案件編號,派工項目,案件地址,立案日期,立案時間
2025083110365,大型廢棄物清運聯繫,萬華區臺北市萬華區銘德里018鄰長泰街２９７巷４號七樓,20250831,235548
2025083110363,大型廢棄物清運聯繫,大安區臺北市大安區古莊里012鄰浦城街１３巷６弄１號1樓,20250831,235124
2025083110362,場所與設施噪音舉發,信義區臺北市信義區松隆里002鄰福德街８１號,20250831,234614
2025083110361,大型廢棄物清運聯繫,松山區臺北市松山區慈祐里021鄰八德路四段６８９號1樓,20250831,234241
2025083110360,大型廢棄物清運聯繫,大同區103台灣台北市大同區重慶北路三段137巷37號,20250831,233708
2025083110359,場所與設施噪音舉發,松山區臺北市松山區中華里004鄰敦化北路１６７號,20250831,232003
2025083110358,場所與設施噪音舉發,士林區臺北市士林區天玉里016鄰天母北路１５號,20250831,231317
2025083110357,污染舉發,南港區臺北市南港區百福里009鄰福德街３３１號,20250831,231103
2025083110356,大型廢棄物清運聯繫,內湖區臺北市內湖區東湖里007鄰東湖路１１９巷５０弄２０號七樓,20250831,230535
2025083110355,大型廢棄物清運聯繫,大同區臺北市大同區朝陽里008鄰南京西路１６５號五樓,20250831,230411
2025083110354,人孔蓋(含周邊)破損、遺失處理,松山區臺北市松山區介壽里016鄰民生東路五段８４號,20250831,225732
2025083110353,污染舉發,中正區臺北市中正區永昌里007鄰中華路二段４４１巷６弄３號,20250831,225636
2025083110351,大型廢棄物清運聯繫,松山區臺北市松山區東勢里015鄰健康路８巷２號1樓,20250831,224328
2025083110350,路燈不亮或損壞,萬華區108台灣台北市萬華區萬青街138號,20250831,223512
2025083110349,場所與設施噪音舉發,"士林區天母國小,參考地址：天玉街１２號",20250831,222342
2025083110348,交通標誌及設施物損壞(含汙損)、傾斜,中山區臺北市臺北市中山區行仁里建國南北快速道路,20250831,222317
2025083110347,大型廢棄物清運聯繫,大安區臺北市大安區群賢里015鄰四維路２０８巷１之１號二樓,20250831,222340
2025083110346,路燈不亮或損壞,松山區臺北市松山區福成里010鄰敦化南路一段１０８號,20250831,222101
2025083110345,道路散落物或油漬處理,大安區市民大道高架道路,20250831,221901
2025083110344,大型廢棄物清運聯繫,松山區臺北市松山區新聚里010鄰南京東路五段３０８號九樓之3,20250831,221802
2025083110343,道路散落物或油漬處理,中正區南昌路一段-公園路,20250831,221344
2025083110342,動物救援,士林區臺北市士林區忠誠里004鄰德行東路１０４巷７弄４號四樓,20250831,221052
2025083110341,大型廢棄物清運聯繫,南港區臺北市南港區東新里015鄰重陽路１６６巷４弄２號1樓,20250831,221119
2025083110340,場所與設施噪音舉發,內湖區康寧路一段176巷,20250831,220811
2025083110337,市區道路坑洞處理,信義區110台灣台北市信義區信義快速道路28號,20250831,214834
2025083110335,大型廢棄物清運聯繫,信義區臺北市信義區廣居里013鄰虎林街１３２巷２３號二樓,20250831,214504
2025083110334,污染舉發,大同區103台灣台北市大同區環河北路二段161巷161號,20250831,213309
2025083110333,大型廢棄物清運聯繫,士林區111台灣台北市士林區中山北路六段18 樓5號,20250831,212645
2025083110332,路燈不亮或損壞,內湖區114台灣內湖區潭美街547號,20250831,212559
2025083110331,大型廢棄物清運聯繫,文山區臺北市文山區木新里010鄰木新路二段４號二樓,20250831,212456
2025083110330,大型廢棄物清運聯繫,信義區臺北市信義區富台里017鄰忠孝東路五段４５３號1樓,20250831,212330
2025083110329,大型廢棄物清運聯繫,大同區臺北市大同區雙連里007鄰承德路二段１７５巷１０號三樓,20250831,212007
2025083110328,大型廢棄物清運聯繫,松山區臺北市松山區東榮里002鄰新中街８號1樓,20250831,211913
2025083110327,污染舉發,萬華區臺北市萬華區柳鄉里004鄰環河南路二段６２巷１弄２號五樓,20250831,211643
2025083110326,用戶無水、漏水報修,信義區忠孝東路五段-松仁路,20250831,210937
2025083110325,大型廢棄物清運聯繫,中正區臺北市中正區三愛里030鄰臨沂街６１巷１８之２號1樓,20250831,210635
2025083110324,污染舉發,南港區臺北市南港區西新里001鄰昆陽街７９號1樓,20250831,210939
2025083110323,污染舉發,中山區臺北市中山區新庄里003鄰農安街８１號三樓,20250831,205947
2025083110322,路燈不亮或損壞,萬華區臺北市萬華區仁德里012鄰昆明街２４５號,20250831,210013
2025083110321,大型廢棄物清運聯繫,士林區臺北市士林區富洲里006鄰延平北路八段１５０號1樓,20250831,204607
2025083110320,大型廢棄物清運聯繫,信義區臺北市信義區西村里003鄰光復南路４２１巷１１８號四樓,20250831,204716
2025083110319,大型廢棄物清運聯繫,南港區115台灣台北市南港區福德街309巷20弄25號三樓之1號,20250831,204522
2025083110318,人孔蓋(含周邊)破損、遺失處理,信義區臺北市信義區長春里001鄰松山路３０６號,20250831,204526
2025083110317,大型廢棄物清運聯繫,大安區106台灣台北市大安區和平東路二段107巷11弄11 之1號,20250831,204124
2025083110316,大型廢棄物清運聯繫,內湖區臺北市內湖區湖濱里005鄰內湖路二段１０３巷１１５號十一樓,20250831,203813
2025083110315,道路散落物或油漬處理,士林區凱旋路61巷4弄,20250831,203619
2025083110314,污染舉發,南港區臺北市南港區南港里007鄰南港路一段１３７巷５弄１２號,20250831,203552
2025083110313,大型廢棄物清運聯繫,文山區臺北市文山區順興里023鄰忠順街二段６０號七樓,20250831,203016
2025083110312,道路散落物或油漬處理,萬華區108台灣台北市萬華區貴陽街二段144號,20250831,202835
2025083110311,大型廢棄物清運聯繫,大安區臺北市大安區光信里004鄰光復南路４２０巷１號四樓,20250831,202936
2025083110310,大型廢棄物清運聯繫,大同區103台灣台北市大同區重慶北路二段70號,20250831,202758
2025083110309,大型廢棄物清運聯繫,松山區臺北市松山區吉祥里021鄰光復北路１１巷６７號二樓,20250831,203041
2025083110308,大型廢棄物清運聯繫,士林區臺北市士林區天壽里014鄰天母西路５０巷２３號四樓,20250831,202833
2025083110307,大型廢棄物清運聯繫,內湖區臺北市內湖區麗山里016鄰內湖路一段３５９巷８號三樓,20250831,203205
2025083110306,大型廢棄物清運聯繫,文山區臺北市文山區樟新里008鄰樟新街３２巷７號十一樓,20250831,202046
2025083110305,路燈不亮或損壞,萬華區臺北市萬華區富民里016鄰廣州街２１１號,20250831,201811
2025083110304,交通號誌異常,大安區忠孝東路四段181巷-忠孝東路四段,20250831,201451
2025083110303,交通號誌異常,大安區忠孝東路四段181巷-市民大道四段,20250831,201231
2025083110302,大型廢棄物清運聯繫,松山區臺北市松山區復盛里014鄰八德路四段７２巷１４弄１２號二樓,20250831,201048
2025083110301,大型廢棄物清運聯繫,文山區臺北市文山區指南里015鄰指南路三段２６巷７號1樓,20250831,200931
2025083110300,交通標誌及設施物損壞(含汙損)、傾斜,萬華區西園路二段-東園街,20250831,200046
2025083110299,路燈不亮或損壞,松山區105台灣台北市松山區健康路325巷12弄2號,20250831,195526
2025083110298,路燈不亮或損壞,北投區臺北市北投區湖山里012鄰湖山路二段９之５號,20250831,195517
2025083110297,鄰里無主垃圾清運,中山區臺北市中山區新生里020鄰中原街１０６號,20250831,194909
