案件編號,派工項目,案件地址,立案日期,立案時間
2017030100001,用戶無水、漏水報修,北投區旁,20170301,000500
2017030100002,場所與設施噪音舉發,內湖區,20170301,004800
2017030100007,場所與設施噪音舉發,中山區巷內中山北路二段42巷公有停車場,20170301,013400
2017030100008,場所與設施噪音舉發,中山區22號,20170301,013700
2017030100009,污染舉發,萬華區108台灣台北市萬華區西園路一段220巷54-1號,20170301,014400
2017030100010,大型廢棄物清運聯繫,文山區,20170301,023300
2017030100011,場所與設施噪音舉發,中山區,20170301,025900
2017030100012,大型廢棄物清運聯繫,大同區,20170301,033300
2017030100013,交通號誌異常,萬華區108台灣台北市萬華區和平西路三段200號,20170301,040500
2017030100014,交通號誌異常,萬華區108台灣台北市萬華區和平西路三段200號,20170301,040500
2017030100015,路燈故障或設施損壞,松山區民生東路三段(民生東路三段113巷至敦化北路之間),20170301,043300
2017030100016,場所與設施噪音舉發,中山區,20170301,051000
2017030100017,場所與設施噪音舉發,大安區附近,20170301,063900
2017030100019,交通號誌異常,士林區交叉路口:  延平北路五段  中正路,20170301,072100
2017030100020,大型廢棄物清運聯繫,中山區,20170301,072200
2017030100021,交通號誌異常,大安區交叉路口:  和平東路  金山南路,20170301,073700
2017030100022,鄰里無主垃圾清運,松山區242台北市八德路三段158巷10號,20170301,074300
2017030100023,交通號誌異常,北投區交叉路口:  中山路   光明路,20170301,074900
2017030100025,用戶無水、漏水報修,松山區與民權東路三段106巷21弄 交叉口,20170301,075800
2017030100026,大型廢棄物清運聯繫,中正區,20170301,080400
2017030100027,市區道路坑洞處理,南港區115台灣台北市南港區忠孝東路六段101號,20170301,080400
2017030100028,道路側溝溝蓋(含周邊)損壞遺失,南港區115台灣台北市南港區中坡北路76巷3號,20170301,080700
2017030100029,大型廢棄物清運聯繫,松山區,20170301,081000
2017030100031,大型廢棄物清運聯繫,南港區,20170301,081500
2017030100032,大型廢棄物清運聯繫,大安區,20170301,081900
2017030100033,鄰里無主垃圾清運,萬華區約2號,20170301,082500
2017030100034,市區道路坑洞處理,文山區116台灣台北市文山區木柵路一段270號,20170301,081700
2017030100035,用戶無水、漏水報修,中山區位在新生北路上上新生高架方向的車行紅綠燈下方交叉路口:  新生北路一段  長安東路一段,20170301,082400
2017030100038,路燈故障或設施損壞,內湖區對面,20170301,082700
2017030100039,交通號誌異常,士林區芝山岩派出所前,20170301,083000
2017030100040,大型廢棄物清運聯繫,信義區,20170301,083400
2017030100041,場所與設施噪音舉發,中正區隔壁營建工地。,20170301,083500
2017030100042,大型廢棄物清運聯繫,北投區,20170301,083500
2017030100043,大型廢棄物清運聯繫,士林區,20170301,083700
2017030100045,鄰里無主垃圾清運,文山區靠近河堤處,20170301,084100
2017030100046,路燈故障或設施損壞,北投區,20170301,083900
2017030100047,用戶無水、漏水報修,中正區,20170301,084100
2017030100048,大型廢棄物清運聯繫,信義區,20170301,084200
2017030100049,大型廢棄物清運聯繫,大安區,20170301,084500
2017030100050,大型廢棄物清運聯繫,大同區,20170301,084900
2017030100051,道路側溝溝蓋(含周邊)損壞遺失,大安區106台灣台北市大安區大安路一段84巷13號,20170301,084900
2017030100052,大型廢棄物清運聯繫,士林區,20170301,085400
2017030100053,大型廢棄物清運聯繫,松山區,20170301,085700
2017030100054,場所與設施噪音舉發,大安區餐廳名：辰市私廚,20170301,090000
