案件編號,派工項目,案件地址,立案日期,立案時間
2019100100019,場所與設施噪音舉發,萬華區臺北市萬華區新起里013鄰昆明街１３７號,20191001,020300
2019100100020,場所與設施噪音舉發,萬華區長沙街二段９３號,20191001,020700
2019100100021,場所與設施噪音舉發,大安區新生南路三段９８巷１號,20191001,021800
2019100100025,場所與設施噪音舉發,內湖區臺北市內湖區五分里009鄰東湖路１６０巷１０弄２３號,20191001,044500
2019100100031,污染舉發,士林區華榮街２３號,20191001,063200
2019100100034,市區道路坑洞處理,大安區和平東路二段-臥龍街(靠近台灣之星前),20191001,070300
2019100100035,路樹處理,內湖區大湖街１５８巷３２號,20191001,071000
2019100100036,交通標誌及設施物損壞(含汙損)、傾斜,中山區104台灣台北市中山區南京東路三段89巷3弄,20191001,071500
2019100100037,道路邊坡坍方,北投區臺北市北投區林泉里003鄰中山路３２號,20191001,072000
2019100100038,市區道路坑洞處理,南港區向陽路-忠孝東路七段124巷路口到巷陽路與市民大道八段路口中間慢車道上,20191001,072100
2019100100039,大型廢棄物清運聯繫,士林區德行東路３３１巷３６弄１５號,20191001,072200
2019100100040,路樹處理,內湖區臺北市內湖區內溝里010鄰大湖街１３７號,20191001,072400
2019100100041,路樹處理,文山區臺北市文山區指南里002鄰指南路三段３３巷１９之１號,20191001,072700
2019100100042,市區道路坑洞處理,中山區臺北市中山區下埤里001鄰民權東路三段３號,20191001,073500
2019100100043,市區道路坑洞處理,大安區新生南路三段-辛亥路一段,20191001,073900
2019100100044,路樹處理,北投區臺北市北投區中心里021鄰泉源路７５號,20191001,074100
2019100100045,市區道路坑洞處理,松山區敦化北路4巷口靠近公車車道上,20191001,074000
2019100100046,市區道路坑洞處理,大安區新生南路三段-辛亥路一段路口南往北方向過停止線一點點車道上,20191001,075100
2019100100047,路樹處理,北投區臺北市北投區開明里019鄰翠雲街２６巷７號,20191001,074600
2019100100048,市區道路坑洞處理,內湖區臺北市內湖區紫陽里008鄰文德路１４３號,20191001,075100
2019100100049,道路側溝溝蓋(含周邊)損壞遺失,信義區忠孝東路五段-松仁路(往莊敬路方向),20191001,075200
2019100100050,用戶無水、漏水報修,北投區臺北市北投區中心里003鄰泉源路１７號,20191001,075200
2019100100051,市區道路坑洞處理,內湖區成功路二段內湖高中公車站牌前,20191001,075200
2019100100052,路樹處理,北投區臺北市北投區開明里019鄰翠雲街２６巷７號,20191001,075800
2019100100053,交通標誌及設施物損壞(含汙損)、傾斜,中山區濱江街566號,20191001,075600
2019100100054,交通標誌及設施物損壞(含汙損)、傾斜,文山區景福街175巷巷內從巷口進入後約20公尺處的反射鏡(靠近陽光哈佛社區),20191001,080000
2019100100055,大型廢棄物清運聯繫,文山區臺北市文山區木新里005鄰集英街３５之１號,20191001,080000
2019100100056,市區道路坑洞處理,士林區環河外速道路(社子島往市區方向外側車道),20191001,080200
2019100100058,路樹處理,北投區臺北市北投區泉源里016鄰泉源路２６０號,20191001,080500
2019100100059,大型廢棄物清運聯繫,中山區臺北市中山區中庄里010鄰錦州街１７０號,20191001,080700
2019100100060,路樹處理,北投區大業路１５８號,20191001,081200
2019100100061,道路散落物或油漬處理,南港區富康街４９巷１號,20191001,081200
2019100100062,市區道路坑洞處理,內湖區港墘路-洲子街路口港墘路上往瑞光路方向在紅綠燈下方,20191001,081300
2019100100063,路樹處理,內湖區114台灣台北市內湖區碧山路22號,20191001,081400
2019100100064,路樹處理,信義區110台灣台北市信義區松勇路31號,20191001,081700
2019100100065,市區道路坑洞處理,中山區龍江路與民權東路交叉口中間路面(往復興北路方向),20191001,081800
2019100100066,路樹處理,文山區臺北市文山區政大里021鄰新光路二段７４巷８弄１５０號,20191001,082000
2019100100067,路樹處理,文山區萬美街二段上人行道旁邊的山坡(在辛亥國小對面與靈糧山莊上面),20191001,081900
2019100100068,路樹處理,士林區仰德大道二段1號,20191001,082100
2019100100069,路樹處理,大安區臺北市大安區建倫里004鄰敦化南路一段２５１號,20191001,082500
2019100100070,大型廢棄物清運聯繫,信義區松德路９３號,20191001,082400
2019100100071,路樹處理,中正區重慶南路三段146巷17號,20191001,082700
2019100100072,交通標誌及設施物損壞(含汙損)、傾斜,士林區德行西路62巷口,20191001,082800
2019100100073,大型廢棄物清運聯繫,中山區臺北市中山區恆安里006鄰農安街１０之１號,20191001,083300
2019100100074,鄰里無主垃圾清運,南港區興南街64巷26弄18號,20191001,084000
2019100100076,交通號誌異常,北投區臺北市北投區永和里002鄰行義路１５號,20191001,084100
2019100100077,路樹處理,大同區103台灣台北市大同區重慶北路三段338號,20191001,084200
2019100100078,鄰里無主垃圾清運,信義區臺北市信義區雅祥里018鄰松信路４３號,20191001,084600
2019100100079,鄰里無主垃圾清運,內湖區臺北市內湖區港墘里020鄰瑞光路３９３巷８號,20191001,084300
2019100100080,市區道路坑洞處理,中正區貴陽街一段-公園路(一女中圍牆邊的快車道),20191001,084400
2019100100081,路樹處理,大安區106台灣台北市大安區金華街135號,20191001,084400
2019100100082,雨水下水道側溝清淤,士林區臺北市士林區舊佳里002鄰中山北路五段７２９號,20191001,084700
2019100100083,大型廢棄物清運聯繫,中山區臺北市中山區新生里021鄰錦州街１５９號,20191001,085200
2019100100084,路樹處理,中正區臺北市中正區文祥里001鄰杭州南路一段１３３之２號,20191001,085200
2019100100085,路樹處理,大同區103台灣台北市大同區延平北路四段294巷15號,20191001,084900
2019100100086,路樹處理,北投區臺北市北投區大同里011鄰北投路二段５５號,20191001,085500
2019100100087,大型廢棄物清運聯繫,松山區臺北市松山區美仁里011鄰八德路三段２７號,20191001,085400
2019100100088,鄰里無主垃圾清運,士林區臺北市士林區福林里002鄰至善路一段１３８巷２４弄２號,20191001,085300
2019100100089,路樹處理,北投區臺北市北投區八仙里005鄰大業路１６０號,20191001,085700
2019100100090,交通號誌異常,士林區雨農橋與至誠路交叉口,20191001,091100
2019100100091,道路散落物或油漬處理,北投區洲美高架橋延平北路六段上洲美快速道路的斜坡上,20191001,085900
2019100100092,路樹處理,北投區臺北市北投區開明里019鄰翠雲街２６巷７號,20191001,085900
2019100100093,大型廢棄物清運聯繫,信義區臺北市信義區松光里010鄰忠孝東路五段５２４巷１弄２１號,20191001,090300
2019100100094,路樹處理,內湖區臺北市內湖區金湖里017鄰康寧路三段５１號,20191001,090700
2019100100095,市區道路坑洞處理,文山區福和橋(靠近接續基隆路高架道路處往台北市區方向),20191001,090600
2019100100096,大型廢棄物清運聯繫,信義區臺北市信義區大道里009鄰大道路４２巷６號,20191001,090600
2019100100098,污染舉發,中正區臺北市中正區螢圃里019鄰?門街９４號,20191001,090700
2019100100099,路樹處理,士林區臺北市士林區天和里021鄰中山北路七段１１４巷６９弄１５號,20191001,090600
2019100100100,路樹處理,北投區112台灣台北市北投區榮總一,20191001,090700
2019100100101,大型廢棄物清運聯繫,士林區臺北市士林區明勝里005鄰承德路四段２９號,20191001,091100
2019100100102,道路散落物或油漬處理,士林區臺北市士林區聖山里017鄰忠義街６０號,20191001,091200
2019100100103,市區道路坑洞處理,中正區館前路,20191001,091200
2019100100104,路樹處理,士林區111台灣台北市士林區葫蘆街87號,20191001,091300
2019100100105,鄰里無主垃圾清運,中山區臺北市中山區大直里033鄰大直街４６巷１３號,20191001,091300
2019100100106,大型廢棄物清運聯繫,南港區臺北市南港區舊莊里012鄰舊莊街一段１９７號,20191001,091600
2019100100107,污染舉發,信義區110台灣台北市信義區莊敬路453號,20191001,091400
2019100100108,場所與設施噪音舉發,萬華區臺北市萬華區和德里022鄰興義街７３號,20191001,091500
2019100100109,路樹處理,北投區112台灣台北市北投區石牌路二段304號,20191001,091500
2019100100110,市區道路坑洞處理,中正區中華路一段 接近衡陽路口  往中華路二段方向,20191001,091600
2019100100111,大型廢棄物清運聯繫,文山區臺北市文山區興福里004鄰景興路９３號,20191001,091900
2019100100112,路樹處理,北投區112台灣台北市北投區榮總,20191001,092300
2019100100113,交通號誌異常,中正區重慶南路三段-寧波西街到羅斯福路,20191001,092400
2019100100114,大型廢棄物清運聯繫,中山區臺北市中山區新庄里020鄰民族東路１３８號,20191001,092600
2019100100115,道路散落物或油漬處理,內湖區臺北市內湖區紫星里020鄰星雲街６８巷１４號,20191001,092600
2019100100116,路樹處理,北投區112台灣台北市北投區文化三路54號,20191001,092600
2019100100117,交通號誌異常,士林區至善路一段接雨農橋,20191001,093300
2019100100118,路樹處理,內湖區成功路五段450巷21弄弄口,20191001,093500
2019100100119,大型廢棄物清運聯繫,中正區南昌路二段２０２巷３號,20191001,093400
2019100100120,污染舉發,信義區110台灣台北市信義區松仁路176號,20191001,093400
2019100100121,大型廢棄物清運聯繫,大安區臺北市大安區民炤里015鄰新生南路一段１４３巷２６號,20191001,093500
2019100100122,路樹處理,松山區105台灣台北市松山區民生東路五段182號,20191001,093500
2019100100124,市區道路坑洞處理,士林區臺北市士林區天山里015鄰中山北路七段９２號,20191001,094000
2019100100125,鄰里無主垃圾清運,中山區臺北市中山區行仁里030鄰民族東路４１２號,20191001,093900
2019100100126,路樹處理,北投區112台灣台北市北投區福美路236號,20191001,093800
2019100100127,用戶無水、漏水報修,松山區臺北市松山區吉祥里020鄰光復北路８５巷１號,20191001,093900
2019100100128,道路邊坡坍方,士林區臺北市士林區臨溪里012鄰劍南路２０４巷１６號,20191001,094200
