案件編號,派工項目,案件地址,立案日期,立案時間
2019073100493,道路散落物或油漬處理,大安區辛亥高架道路要接建國高架道路的轉彎處,20190801,000100
2019080100001,路燈故障或設施損壞,文山區116台灣台北市文山區辛亥路四段166巷19弄1號,20190801,001100
2019080100002,道路側溝溝蓋(含周邊)損壞遺失,士林區中正路-雨農路,20190801,002300
2019080100003,污染舉發,中正區臺北市中正區三愛里001鄰新生南路一段１２６之６號,20190801,002800
2019080100004,大型廢棄物清運聯繫,大安區忠孝東路四段170巷18弄3號,20190801,003800
2019080100005,交通號誌電纜線垂落及設施損壞,士林區天母東路-忠誠路二段,20190801,004900
2019080100006,大型廢棄物清運聯繫,大安區臺北市大安區黎元里005鄰安居街９３號,20190801,010300
2019080100007,污染舉發,松山區臺北市松山區復盛里009鄰光復南路５７巷６號,20190801,011400
2019080100008,道路散落物或油漬處理,內湖區基湖路與堤頂大道交叉口 南往北方向 ,20190801,013400
2019080100009,場所與設施噪音舉發,萬華區臺北市萬華區綠堤里003鄰雙園街１２０號,20190801,013300
2019080100010,大型廢棄物清運聯繫,大安區臺北市大安區民輝里018鄰忠孝東路三段９８號,20190801,013700
2019080100011,場所與設施噪音舉發,文山區興隆路三段192巷2弄17號,20190801,014200
2019080100012,路燈故障或設施損壞,士林區111台灣台北市士林區承德路四段3巷20號,20190801,014400
2019080100013,道路散落物或油漬處理,中正區和平西路一段-牯嶺街,20190801,015700
2019080100014,路燈故障或設施損壞,文山區辛亥路四段188巷,20190801,021000
2019080100015,污染舉發,北投區北投區中和街502巷15弄1號,20190801,022900
2019080100016,大型廢棄物清運聯繫,大安區臺北市大安區龍陣里002鄰瑞安街６１巷１弄１２號,20190801,024000
2019080100017,交通標誌及設施物損壞(含汙損)、傾斜,南港區忠孝東路七段124巷與忠孝東路七段交叉口,20190801,025900
2019080100018,道路散落物或油漬處理,中山區南京東路與建國北路二段交叉口 往東北角  ,20190801,032400
2019080100019,道路散落物或油漬處理,中正區牯嶺街-福州街口,20190801,035600
2019080100020,道路散落物或油漬處理,中正區臺北市中正區南福里012鄰牯嶺街７７號,20190801,040900
2019080100021,大型廢棄物清運聯繫,大安區臺北市大安區仁愛里010鄰仁愛路四段３１號,20190801,045900
