案件編號,派工項目,案件地址,立案日期,立案時間
2018060100001,污染舉發,文山區,20180601,000700
2018060100002,交通標誌及設施物損壞(含汙損)、傾斜,松山區交叉路口:  八德路四段  中坡北路,20180601,002900
2018060100003,場所與設施噪音舉發,信義區,20180601,003300
2018060100004,用戶無水、漏水報修,南港區,20180601,003300
2018060100005,路燈故障或設施損壞,士林區環河北路三段上 北往南方向 由重陽橋至國道一號,20180601,003400
2018060100006,大型廢棄物清運聯繫,萬華區,20180601,004500
2018060100007,場所與設施噪音舉發,文山區至忠順街一段26巷之間(地標為麥當勞後方不清楚具體地址應為住家大樓),20180601,010000
2018060100008,場所與設施噪音舉發,北投區,20180601,010000
2018060100009,大型廢棄物清運聯繫,中山區,20180601,012000
2018060100010,污染舉發,萬華區,20180601,021700
2018060100011,用戶無水、漏水報修,南港區,20180601,022400
2018060100012,道路散落物或油漬處理,萬華區,20180601,025000
2018060100013,場所與設施噪音舉發,文山區對面(辛亥捷運站高架站體下方的軍營內土地),20180601,060400
2018060100014,大型廢棄物清運聯繫,中正區,20180601,062700
2018060100015,污染舉發,文山區賣雞肉的店,20180601,063700
2018060100016,大型廢棄物清運聯繫,大安區,20180601,064100
2018060100017,路燈故障或設施損壞,文山區崇德街上從六張犁往山上方向在富德公墓辦公室前面約1公里處,20180601,065100
2018060100018,鄰里無主垃圾清運,內湖區,20180601,070300
2018060100019,鄰里無主垃圾清運,文山區前,20180601,070300
2018060100020,鄰里無主垃圾清運,文山區95巷口與95巷內 ,20180601,070900
2018060100021,交通號誌異常,松山區復興北路跟民權東路三段交叉口在復興北路高架下方,20180601,072500
2018060100022,大型廢棄物清運聯繫,南港區民眾表示是住家,20180601,073300
2018060100023,場所與設施噪音舉發,松山區婦聯公園內,20180601,074400
2018060100024,大型廢棄物清運聯繫,士林區,20180601,074900
2018060100025,大型廢棄物清運聯繫,大安區,20180601,075500
2018060100026,用戶無水、漏水報修,士林區,20180601,075600
2018060100028,道路散落物或油漬處理,萬華區往台北市方向下橋處的機車道地標:  華江橋,20180601,081600
2018060100029,污染舉發,士林區及26號,20180601,082100
