案件編號,派工項目,案件地址,立案日期,立案時間
2022022800427,大型廢棄物清運聯繫,文山區臺北市文山區興家里001鄰興隆路三段２０５號,20220301,000000
2022030100001,大型廢棄物清運聯繫,內湖區臺北市內湖區紫雲里001鄰康寧路一段１５５號,20220301,000500
2022030100002,大型廢棄物清運聯繫,松山區臺北市松山區鵬程里013鄰塔悠路１８８巷６號,20220301,000700
2022030100003,大型廢棄物清運聯繫,大安區臺北市大安區群英里029鄰和平東路二段３１１巷７７號,20220301,001200
2022030100004,場所與設施噪音舉發,中正區100台灣台北市中正區汀州路三段150號,20220301,001200
2022030100005,場所與設施噪音舉發,文山區臺北市文山區萬興里009鄰指南路二段６４號,20220301,001900
2022030100007,場所與設施噪音舉發,中正區臺北市中正區水源里007鄰汀州路三段１１２號,20220301,003600
2022030100008,場所與設施噪音舉發,中正區臺北市中正區水源里003鄰羅斯福路四段６８號,20220301,004800
2022030100009,場所與設施噪音舉發,中正區100台灣台北市中正區思源街1號,20220301,004800
2022030100010,用戶無水、漏水報修,文山區116台灣台北市文山區景文街58號,20220301,005100
2022030100011,場所與設施噪音舉發,萬華區臺北市萬華區萬壽里009鄰武昌街二段８７號,20220301,005200
2022030100012,場所與設施噪音舉發,萬華區臺北市萬華區菜園里001鄰峨眉街１２０號,20220301,005300
2022030100013,場所與設施噪音舉發,萬華區環河快速道路,20220301,005500
2022030100014,場所與設施噪音舉發,北投區臺北市北投區清江里009鄰民權街１１號,20220301,005800
2022030100015,場所與設施噪音舉發,中山區臺北市中山區正得里007鄰天津街５６號,20220301,010200
2022030100016,大型廢棄物清運聯繫,內湖區臺北市內湖區湖元里005鄰民權東路六段９６號,20220301,010800
2022030100017,場所與設施噪音舉發,中正區臺北市中正區水源里002鄰汀州路三段２５１號,20220301,012100
2022030100018,鄰里無主垃圾清運,中山區臺北市中山區正守里009鄰長安東路一段４４之１號,20220301,012900
2022030100019,場所與設施噪音舉發,士林區臺北市士林區葫東里012鄰延平北路五段２７８號,20220301,013000
2022030100020,場所與設施噪音舉發,萬華區臺北市萬華區錦德里001鄰西園路二段２７９之６號,20220301,015300
2022030100021,場所與設施噪音舉發,中山區10491台灣台北市中山區中山北路一段135巷32號,20220301,015500
2022030100022,場所與設施噪音舉發,松山區饒河街221巷,20220301,015900
2022030100023,場所與設施噪音舉發,萬華區臺北市萬華區福星里015鄰昆明街３４號,20220301,023900
2022030100024,交通號誌異常,士林區福港街-大南路,20220301,033700
2022030100025,場所與設施噪音舉發,大安區臺北市大安區正聲里008鄰光復南路３０８巷１８號,20220301,034000
2022030100026,場所與設施噪音舉發,士林區文昌路211之3號,20220301,034300
2022030100027,場所與設施噪音舉發,北投區臺北市北投區清江里009鄰民權街１１號,20220301,042100
2022030100028,場所與設施噪音舉發,文山區116台灣台北市文山區指南路二段64號,20220301,053000
2022030100029,場所與設施噪音舉發,文山區國立政治大學,20220301,055700
2022030100030,場所與設施噪音舉發,士林區臺北市士林區葫東里012鄰延平北路五段２７８號,20220301,064500
2022030100031,場所與設施噪音舉發,大安區臺北市大安區光武里005鄰忠孝東路四段１０１巷２９號,20220301,070000
2022030100032,交通號誌異常,北投區承德路七段,20220301,070400
2022030100033,交通號誌異常,北投區自強街-文林北路,20220301,071500
2022030100034,道路散落物或油漬處理,內湖區臺北市內湖區蘆洲里003鄰安康路２０８號,20220301,072400
2022030100035,大型廢棄物清運聯繫,萬華區臺北市萬華區新起里016鄰西寧南路１２８號,20220301,073200
2022030100036,場所與設施噪音舉發,大安區臺北市大安區民輝里018鄰忠孝東路三段１００號,20220301,073500
2022030100037,道路散落物或油漬處理,北投區知行路75號,20220301,075700
2022030100038,交通號誌異常,北投區臺北市北投區文林里001鄰文林北路２９６號,20220301,080000
2022030100039,雨水下水道側溝清淤,信義區臺北市信義區松光里020鄰松山路５５１號,20220301,080300
2022030100041,污染舉發,士林區臺北市士林區明勝里018鄰承德路四段６巷２０號,20220301,081400
2022030100042,場所與設施噪音舉發,士林區臺北市士林區明勝里018鄰承德路四段６巷２０號,20220301,081300
2022030100043,大型廢棄物清運聯繫,松山區臺北市松山區吉仁里014鄰延吉街４８巷５號,20220301,081700
2022030100044,路燈故障或設施損壞,北投區臺北市北投區清江里002鄰新市街２４巷４２弄１號,20220301,082200
2022030100045,場所與設施噪音舉發,北投區臺北市北投區清江里010鄰中央南路一段１５９號,20220301,082300
2022030100046,市區道路坑洞處理,中山區臺北市中山區中庄里015鄰吉林路１６１巷９號,20220301,082500
2022030100047,交通標誌及設施物損壞(含汙損)、傾斜,信義區台北市中正區羅斯福路ㄧ段約64號,20220301,082700
2022030100048,鄰里無主垃圾清運,中正區青島東路-中山南路,20220301,083000
2022030100049,路樹處理,萬華區108台灣台北市萬華區莒光路172巷185號,20220301,082800
2022030100050,路樹處理,中正區100台灣台北市中正區廣州街8巷9號,20220301,082900
2022030100051,交通號誌異常,大安區和平東路一段-金山南路二段,20220301,083200
2022030100052,污染舉發,內湖區安康路228巷5號,20220301,084000
2022030100053,大型廢棄物清運聯繫,文山區臺北市文山區木柵里027鄰木柵路三段４８巷１弄８號,20220301,083400
2022030100054,鄰里無主垃圾清運,士林區臺北市士林區德行里011鄰福國路５４號,20220301,083600
2022030100057,大型廢棄物清運聯繫,萬華區臺北市萬華區新和里011鄰中華路二段４１６巷１５之２號,20220301,084100
2022030100058,大型廢棄物清運聯繫,士林區臺北市士林區翠山里001鄰中社路二段１８５巷２弄４號,20220301,084100
2022030100059,用戶無水、漏水報修,萬華區貴陽街二段82巷-貴陽街二段,20220301,084200
2022030100060,大型廢棄物清運聯繫,文山區116台灣台北市文山區萬美街一段50號,20220301,084500
2022030100061,場所與設施噪音舉發,大安區臺北市大安區法治里001鄰基隆路二段１６２之４號,20220301,084500
2022030100062,道路散落物或油漬處理,信義區臺北市信義區中興里011鄰信義路四段３９５巷６弄６號,20220301,084700
2022030100063,場所與設施噪音舉發,北投區臺北市北投區振華里017鄰裕民四路２巷１７號,20220301,085200
2022030100064,污染舉發,文山區臺北市文山區景美里001鄰育英街１１號,20220301,085300
2022030100065,大型廢棄物清運聯繫,中山區臺北市中山區松江里011鄰民生東路二段１４７巷３號,20220301,085800
2022030100066,大型廢棄物清運聯繫,文山區臺北市文山區順興里003鄰興隆路四段１９５巷１１號,20220301,085700
2022030100067,污染舉發,文山區辛亥路四段166巷,20220301,090300
2022030100068,路燈故障或設施損壞,文山區臺北市文山區忠順里005鄰忠順街二段４９號,20220301,090200
2022030100069,大型廢棄物清運聯繫,大安區臺北市大安區龍雲里009鄰大安路二段１００號,20220301,091500
2022030100071,大型廢棄物清運聯繫,中正區臺北市中正區永功里013鄰三元街１７２巷１弄２６號,20220301,091400
2022030100072,大型廢棄物清運聯繫,士林區臺北市士林區蘭雅里024鄰中山北路六段２５２巷１２號,20220301,091600
2022030100073,大型廢棄物清運聯繫,信義區臺北市信義區正和里012鄰光復南路４１７巷２２３號,20220301,091500
2022030100074,道路散落物或油漬處理,內湖區臺北市內湖區紫陽里012鄰陽光街８０號,20220301,091700
2022030100075,大型廢棄物清運聯繫,信義區臺北市信義區三張里036鄰松智路３３巷１號,20220301,092300
2022030100076,大型廢棄物清運聯繫,內湖區臺北市內湖區紫星里002鄰星雲街７３之１號,20220301,092200
2022030100078,大型廢棄物清運聯繫,大安區臺北市大安區光明里009鄰信義路二段１０巷６號,20220301,092600
2022030100079,場所與設施噪音舉發,大安區臺北市大安區光武里011鄰大安路一段３１巷５２號,20220301,092500
2022030100081,大型廢棄物清運聯繫,大安區臺北市大安區正聲里005鄰光復南路２８０巷２６號,20220301,093100
2022030100083,大型廢棄物清運聯繫,大同區臺北市大同區至聖里006鄰承德路三段２２５巷３號,20220301,093400
2022030100084,大型廢棄物清運聯繫,大安區臺北市大安區仁愛里007鄰大安路一段１００號,20220301,093700
2022030100085,交通標誌及設施物損壞(含汙損)、傾斜,南港區臺北市南港區三重里023鄰松河街６９９號,20220301,093700
2022030100086,場所與設施噪音舉發,士林區台北市士林區基河路350-1號,20220301,093800
2022030100087,道路散落物或油漬處理,南港區環東大道,20220301,094000
2022030100088,大型廢棄物清運聯繫,信義區臺北市信義區敦厚里015鄰永吉路１２０巷５０弄７號,20220301,094100
2022030100089,道路散落物或油漬處理,北投區大度路一段13號,20220301,094500
2022030100090,場所與設施噪音舉發,中山區臺北市中山區正守里007鄰市民大道二段６７巷２４號,20220301,095100
2022030100091,污染舉發,中山區臺北市中山區正守里007鄰市民大道二段６７巷２４號,20220301,095100
2022030100092,大型廢棄物清運聯繫,中山區臺北市中山區圓山里014鄰中山北路三段５５巷１２號,20220301,102000
2022030100093,大型廢棄物清運聯繫,信義區臺北市信義區四育里018鄰虎林街４０巷１２號,20220301,095800
2022030100094,交通號誌異常,士林區中正路-福林路,20220301,095400
2022030100095,大型廢棄物清運聯繫,松山區臺北市松山區三民里012鄰民生東路五段１３８巷９號,20220301,100000
