案件編號,派工項目,案件地址,立案日期,立案時間
202312010,場所與設施噪音舉發,松山區TPE臺北市松山區新聚里南京東路五段250巷36弄19號,20231201,001400
202312010,大型廢棄物清運聯繫,大安區臺北市大安區大學里011鄰羅斯福路三段２８５號,20231201,001600
202312010,交通號誌異常,文山區TPE臺北市文山區萬芳里萬安街16巷8號,20231201,001500
202312010,大型廢棄物清運聯繫,中正區臺北市中正區龍福里012鄰南昌路一段１２號,20231201,002100
202312010,交通號誌異常,大安區基隆路二段-樂業街,20231201,002500
202312010,場所與設施噪音舉發,中山區臺北市中山區正義里001鄰林森北路８５巷３６號,20231201,002500
202312010,場所與設施噪音舉發,松山區南京東路五段250巷36弄19號,20231201,002700
202312010,場所與設施噪音舉發,中山區104台灣台北市中山區中山北路一段135巷32號,20231201,002800
202312010,場所與設施噪音舉發,萬華區臺北市萬華區華江里011鄰環河南路二段２７４號,20231201,003000
202312010,場所與設施噪音舉發,松山區臺北市松山區中正里018鄰敦化北路４巷５６號,20231201,003200
202312010,場所與設施噪音舉發,松山區臺北市松山區民有里004鄰復興北路３１３巷３７號,20231201,003400
202312010,場所與設施噪音舉發,萬華區臺北市萬華區華江里006鄰環河南路二段２８６號,20231201,003800
202312010,場所與設施噪音舉發,松山區臺北市松山區中崙里012鄰八德路二段３４６巷９弄１號,20231201,004400
202312010,場所與設施噪音舉發,中山區104台灣台北市中山區錦州街10號,20231201,005200
202312010,場所與設施噪音舉發,士林區臺北市士林區社新里020鄰環河北路三段１５５號,20231201,014400
202312010,道路散落物或油漬處理,大安區復興南路,20231201,015200
202312010,道路散落物或油漬處理,內湖區舊宗路一段-新明路298巷,20231201,015700
202312010,交通號誌異常,南港區永吉路-中坡北路,20231201,015800
202312010,交通號誌異常,南港區中坡南路201巷,20231201,020700
202312010,場所與設施噪音舉發,士林區臺北市士林區仁勇里009鄰大北路４２號,20231201,021900
202312010,路樹處理,中山區臺北市中山區行孝里016鄰民族東路３３６號,20231201,023900
202312010,場所與設施噪音舉發,信義區臺北市信義區景新里018鄰信義路五段１４巷１弄８號,20231201,032700
202312010,場所與設施噪音舉發,中山區104台灣台北市中山區中山北路一段135巷32號,20231201,034000
