案件編號,派工項目,案件地址,立案日期,立案時間
2019070100001,大型廢棄物清運聯繫,士林區臺北市士林區芝山里017鄰士東路２６６巷６弄３號,20190701,001400
2019070100002,大型廢棄物清運聯繫,大安區臺北市大安區大學里023鄰羅斯福路三段２８３巷３６號,20190701,001900
2019070100003,鄰里無主垃圾清運,大安區安東街與市民大道三段路交叉口,20190701,003900
2019070100004,場所與設施噪音舉發,大安區臺北市大安區仁愛里005鄰仁愛路四段２７巷４弄８號,20190701,005600
2019070100005,道路散落物或油漬處理,中山區臺北市中山區埤頭里007鄰市民大道三段１６９號,20190701,010900
2019070100006,污染舉發,信義區臺北市信義區雅祥里016鄰松隆路１２３巷１５號,20190701,012100
2019070100007,污染舉發,信義區臺北市信義區雅祥里016鄰松隆路１２３巷１５號,20190701,013200
2019070100008,道路散落物或油漬處理,中正區水源快速道路上右轉師大路轉彎處   水源快速道路往北方向,20190701,013900
2019070100009,場所與設施噪音舉發,大安區臺北市大安區建安里010鄰忠孝東路四段２２３巷４９弄５號,20190701,014600
2019070100010,道路側溝溝蓋(含周邊)損壞遺失,萬華區臺北市萬華區西門里001鄰峨眉街９２號,20190701,015400
2019070100012,污染舉發,信義區臺北市信義區松光里009鄰林口街１３號,20190701,033000
2019070100013,污染舉發,松山區南京東路五段23巷9弄1號,20190701,033300
2019070100014,用戶無水、漏水報修,萬華區臺北市萬華區華江里018鄰環河南路二段２５０巷２８弄８號,20190701,033900
2019070100016,污染舉發,內湖區臺北市內湖區內湖里009鄰內湖路二段４１０號,20190701,052900
2019070100018,道路散落物或油漬處理,萬華區環河快速道路上 往南方向 剛過桂林路,20190701,060000
2019070100019,用戶無水、漏水報修,士林區天母西路5巷與天母西路交叉口巷口麥當勞前方轉角處,20190701,055900
2019070100020,用戶無水、漏水報修,內湖區金湖路401巷-金湖路423巷交叉口,20190701,060900
2019070100021,大型廢棄物清運聯繫,大安區臺北市大安區華聲里008鄰光復南路２０２號,20190701,062000
2019070100022,污染舉發,信義區信義區虎林街57號,20190701,062300
2019070100023,大型廢棄物清運聯繫,南港區臺北市南港區成福里017鄰成福路１３５號,20190701,063800
2019070100024,大型廢棄物清運聯繫,文山區木新路二段211巷6弄12號,20190701,065200
2019070100025,道路散落物或油漬處理,中山區從北安路進入自強隧道的道口處以及隧道內外測車道上,20190701,065800
2019070100026,道路散落物或油漬處理,士林區自強隧道(大直往故宮方向),20190701,065600
2019070100027,污染舉發,大安區臺北市大安區義村里017鄰建國南路一段１７５巷３３號,20190701,070900
2019070100028,場所與設施噪音舉發,北投區福美路洲美公宅,20190701,070600
2019070100029,市區道路坑洞處理,中山區10491台灣台北市中山區雙城街47-7號,20190701,070900
2019070100030,市區道路坑洞處理,中山區10491台灣台北市中山區德惠街11號,20190701,071100
2019070100031,場所與設施噪音舉發,文山區樟新街48巷(靠近樟新街),20190701,071300
2019070100032,市區道路坑洞處理,中山區10491台灣台北市中山區中山北路三段49-5號,20190701,071300
2019070100033,大型廢棄物清運聯繫,中山區臺北市中山區行孝里003鄰建國北路三段７５巷７號,20190701,071300
2019070100034,大型廢棄物清運聯繫,北投區臺北市北投區關渡里002鄰大度路三段３０１巷２６號,20190701,071900
2019070100035,大型廢棄物清運聯繫,士林區臺北市士林區東山里022鄰士東路２８６巷１號,20190701,073500
2019070100036,大型廢棄物清運聯繫,北投區臺北市北投區吉慶里011鄰石牌路一段７１巷１５弄７號,20190701,073700
2019070100037,路樹處理,信義區110台灣台北市信義區信義路五段信義雅翠一座,20190701,073800
2019070100038,污染舉發,北投區112台灣台北市北投區大業路527巷23弄16號,20190701,075200
2019070100039,大型廢棄物清運聯繫,信義區臺北市信義區黎平里012鄰和平東路三段２８１號,20190701,075500
2019070100040,市區道路坑洞處理,北投區中央北路四段桃源國中前,20190701,075500
2019070100041,鄰里無主垃圾清運,中山區臺北市中山區新庄里011鄰新生北路三段８５號,20190701,075900
2019070100042,交通號誌異常,內湖區臺北市內湖區五分里004鄰東湖路９０號,20190701,075700
2019070100043,污染舉發,內湖區臺北市內湖區內湖里009鄰內湖路二段４１０號,20190701,080400
2019070100044,大型廢棄物清運聯繫,北投區光明路２２０號,20190701,080300
2019070100045,路樹處理,士林區111台灣台北市士林區承德路五段55號,20190701,080700
2019070100046,大型廢棄物清運聯繫,信義區臺北市信義區安康里014鄰信義路六段３３巷５號,20190701,081600
2019070100047,路樹處理,士林區111台灣台北市士林區前港街45號,20190701,081800
2019070100048,道路側溝溝蓋(含周邊)損壞遺失,大安區106台灣台北市大安區通化街143巷3號,20190701,081900
2019070100049,用戶無水、漏水報修,中山區民權西路-天祥路(靠近民權西路48號,20190701,082000
2019070100050,大型廢棄物清運聯繫,北投區石牌路一段７１巷１５弄５號,20190701,082200
2019070100051,大型廢棄物清運聯繫,信義區臺北市信義區黎平里012鄰和平東路三段２８１號,20190701,082700
2019070100052,污染舉發,北投區臺北市北投區長安里018鄰光明路２５１號,20190701,083000
2019070100053,污染舉發,大同區臺北市大同區國順里004鄰迪化街二段１７２巷１３號,20190701,083000
2019070100055,用戶無水、漏水報修,中山區民權西路４８號,20190701,083800
2019070100056,大型廢棄物清運聯繫,松山區臺北市松山區中華里017鄰敦化北路１５５巷４號,20190701,084100
2019070100057,大型廢棄物清運聯繫,內湖區臺北市內湖區紫雲里007鄰康寧路一段１５６巷７弄１０號,20190701,084300
2019070100058,場所與設施噪音舉發,中山區臺北市中山區江寧里020鄰民權東路三段６０巷１３弄２號,20190701,084300
2019070100060,污染舉發,信義區110台灣台北市信義區松仁路176號,20190701,085100
2019070100061,污染舉發,大安區臺北市大安區龍雲里002鄰瑞安街３１巷４號,20190701,085800
2019070100062,鄰里無主垃圾清運,大同區長安西路113巷巷口到長安西路113巷到2號,20190701,085300
2019070100063,交通號誌異常,內湖區臺北市內湖區五分里004鄰東湖路９２號,20190701,085400
2019070100064,場所與設施噪音舉發,內湖區金龍路67巷9號,20190701,085600
2019070100065,污染舉發,內湖區金龍路67巷9號,20190701,085600
2019070100066,場所與設施噪音舉發,內湖區臺北市內湖區大湖里023鄰大湖山莊街１６９巷１５號,20190701,085800
2019070100067,污染舉發,信義區臺北市信義區安康里014鄰信義路六段２７巷１號,20190701,085900
2019070100068,大型廢棄物清運聯繫,文山區臺北市文山區萬隆里019鄰萬隆街２９巷７號,20190701,090200
2019070100069,場所與設施噪音舉發,大安區臺北市大安區黎和里008鄰臥龍街２７９號,20190701,090400
2019070100070,大型廢棄物清運聯繫,北投區臺北市北投區桃源里014鄰中央北路三段２３６巷１號,20190701,090400
2019070100071,市區道路坑洞處理,萬華區水源路199號,20190701,090700
2019070100072,市區道路坑洞處理,北投區大業路527巷75弄(忠義往北投方向)捷運公司北投機廠坎坡下面,20190701,090800
2019070100073,大型廢棄物清運聯繫,信義區臺北市信義區景新里001鄰吳興街１０５號,20190701,091400
2019070100074,大型廢棄物清運聯繫,萬華區臺北市萬華區日祥里008鄰青年路１５２巷２９號,20190701,091300
2019070100075,鄰里無主垃圾清運,北投區112台灣台北市北投區中和街458巷48弄8號,20190701,091600
2019070100076,大型廢棄物清運聯繫,文山區臺北市文山區華興里013鄰木柵路一段１３０號,20190701,091800
2019070100077,場所與設施噪音舉發,士林區臺北市士林區蘭興里008鄰磺溪街４７巷４號,20190701,092000
2019070100078,大型廢棄物清運聯繫,文山區臺北市文山區樟文里005鄰木新路三段２３２巷１１號,20190701,092200
2019070100079,場所與設施噪音舉發,大同區臺北市大同區雙連里026鄰寧夏路４５巷２４號,20190701,092100
2019070100080,大型廢棄物清運聯繫,信義區臺北市信義區黎順里010鄰嘉興街２１９巷２號,20190701,092100
