案件編號,派工項目,案件地址,立案日期,立案時間
202503311,場所與設施噪音舉發,信義區基隆路一段37巷-基隆路一段87巷,20250331,234601
202503311,道路側溝溝蓋(含周邊)損壞遺失,士林區臺北市臺北市士林區義信里中山北路五段65號,20250331,234004
202503311,大型廢棄物清運聯繫,大安區106台灣台北市大安區延吉街164號,20250331,232851
202503311,市區道路坑洞處理,松山區臺北市臺北市松山區新聚里八德路四段255號,20250331,230006
202503311,大型廢棄物清運聯繫,中正區臺北市中正區幸福里010鄰齊東街８２巷１５號二樓,20250331,225956
202503311,大型廢棄物清運聯繫,士林區大南路34號4樓,20250331,224913
202503311,大型廢棄物清運聯繫,中正區臺北市中正區幸福里010鄰齊東街８２巷１５號二樓,20250331,224558
202503311,場所與設施噪音舉發,中正區100台灣台北市中正區羅斯福路一段8之1號之中正紀念堂,20250331,223527
202503311,動物救援,南港區臺北市南港區東新里016鄰興南街５９號1樓,20250331,223200
202503311,場所與設施噪音舉發,大安區臺北市大安區建倫里010鄰敦化南路一段２３３巷６１號,20250331,222754
202503311,路樹處理,松山區105台灣台北市松山區市民大道四段39號,20250331,221604
202503311,大型廢棄物清運聯繫,士林區111台灣台北市士林區文林路661巷11號,20250331,220742
202503311,大型廢棄物清運聯繫,松山區臺北市松山區復盛里017鄰八德路四段１００號二樓,20250331,220734
202503311,大型廢棄物清運聯繫,萬華區臺北市萬華區西門里005鄰西寧南路７２之１號十樓之1,20250331,215347
202503311,大型廢棄物清運聯繫,萬華區臺北市萬華區華江里026鄰和平西路三段３８２巷１２弄２６號五樓,20250331,214645
202503311,大型廢棄物清運聯繫,大安區臺北市大安區民輝里018鄰忠孝東路三段８６號二樓,20250331,214545
202503311,大型廢棄物清運聯繫,大安區臺北市大安區全安里017鄰安和路二段２０５號五樓,20250331,214337
202503311,大型廢棄物清運聯繫,大安區臺北市大安區錦華里003鄰潮州街８２巷７號1樓,20250331,213949
202503311,大型廢棄物清運聯繫,南港區115台灣台北市南港區市民大道七段208號三樓號,20250331,213722
202503311,大型廢棄物清運聯繫,中山區10491台灣台北市中山區建國北路二段258巷8號,20250331,213417
202503311,場所與設施噪音舉發,中正區臺北市中正區文盛里010鄰汀州路三段１６７號二樓,20250331,211544
202503311,大型廢棄物清運聯繫,北投區臺北市北投區振華里010鄰明德路３３５巷２９號四樓,20250331,211213
202503311,大型廢棄物清運聯繫,大安區臺北市大安區虎嘯里002鄰敦化南路二段１７２巷１號二樓,20250331,210650
202503311,大型廢棄物清運聯繫,松山區臺北市松山區民有里007鄰民生東路三段１１３巷２５弄１４號三樓,20250331,210424
202503311,污染舉發,松山區臺北市松山區敦化里013鄰市民大道四段１２９號,20250331,205934
202503311,污染舉發,南港區舊莊街一段199巷-舊莊街一段,20250331,205553
202503311,大型廢棄物清運聯繫,中山區臺北市中山區中山里010鄰民生東路一段２６號1樓,20250331,205446
202503311,動物救援,南港區臺北市南港區中研里003鄰研究院路二段２１號,20250331,204837
202503311,交通標誌及設施物損壞(含汙損)、傾斜,南港區115台灣台北市南港區研究院路二段197號,20250331,204430
202503311,大型廢棄物清運聯繫,松山區臺北市松山區松基里007鄰民生東路三段１３０巷１８弄１３號1樓,20250331,204537
202503311,大型廢棄物清運聯繫,松山區臺北市松山區新聚里013鄰南京東路五段２５０巷１８弄１９號五樓,20250331,204355
202503311,大型廢棄物清運聯繫,內湖區臺北市內湖區寶湖里006鄰民權東路六段１９１巷６２弄６號地下一樓,20250331,203200
202503311,大型廢棄物清運聯繫,北投區臺北市北投區立農里011鄰吉利街１２７巷５號三樓,20250331,203034
202503311,交通號誌異常,大同區103台灣台北市大同區民族承德路口,20250331,202939
202503311,污染舉發,南港區臺北市南港區東新里020鄰南港路二段２６６號,20250331,202900
202503311,大型廢棄物清運聯繫,士林區延平北路八段157巷臨16-6號1樓,20250331,201731
202503311,大型廢棄物清運聯繫,萬華區臺北市萬華區新和里028鄰國興路８４號十樓,20250331,201823
202503311,大型廢棄物清運聯繫,大安區臺北市大安區法治里002鄰通化街１７１巷１２號1樓,20250331,201619
202503311,交通號誌異常,北投區立德路-大度路三段,20250331,200952
202503311,場所與設施噪音舉發,信義區永吉路225巷5弄,20250331,200929
202503311,污染舉發,南港區臺北市南港區舊莊里012鄰舊莊街一段１８９號1樓,20250331,200739
202503311,路燈不亮或損壞,北投區紗帽路141巷,20250331,200446
202503311,大型廢棄物清運聯繫,中山區臺北市中山區新喜里005鄰德惠街１９３巷２３號1樓,20250331,200152
202503311,大型廢棄物清運聯繫,北投區臺北市臺北市北投區石牌里建民路,20250331,195508
202503311,污染舉發,南港區臺北市南港區舊莊里012鄰舊莊街一段１８９號,20250331,195530
202503311,動物救援,北投區三合街一段117巷38弄8號,20250331,195416
202503311,大型廢棄物清運聯繫,信義區臺北市信義區雙和里023鄰吳興街２８４巷６號六樓,20250331,195226
202503311,大型廢棄物清運聯繫,大安區106台灣台北市大安區通化街38巷24號,20250331,194926
202503311,大型廢棄物清運聯繫,大安區106台灣台北市大安區復興南路一段126巷1號2號,20250331,194640
202503311,大型廢棄物清運聯繫,信義區臺北市信義區長春里002鄰虎林街１１９巷２３號五樓之3,20250331,194641
202503311,路燈不亮或損壞,南港區成福路121巷,20250331,193919
202503311,路燈不亮或損壞,北投區中央北路四段316巷,20250331,193639
202503311,場所與設施噪音舉發,中山區臺北市中山區中山里010鄰中山北路二段７１號,20250331,193757
202503311,大型廢棄物清運聯繫,大同區No. 7,Chongqing N Rd Sec 2,Xingming
202503311,大型廢棄物清運聯繫,文山區臺北市文山區景慶里004鄰萬慶街２２之３號四樓,20250331,192453
202503311,大型廢棄物清運聯繫,文山區臺北市文山區萬有里015鄰羅斯福路六段１０９號五樓,20250331,192401
202503311,大型廢棄物清運聯繫,南港區臺北市南港區中研里004鄰研究院路二段３５巷２３弄１號三樓,20250331,192331
202503311,大型廢棄物清運聯繫,中山區臺北市中山區成功里016鄰明水路６３６號二樓之1,20250331,192346
202503311,路燈不亮或損壞,松山區105台灣台北市松山區光復北路103巷14號,20250331,192059
202503311,大型廢棄物清運聯繫,文山區臺北市文山區景慶里004鄰萬慶街２２之３號四樓,20250331,192000
202503311,大型廢棄物清運聯繫,北投區石牌路二段320號9樓之4,20250331,192009
202503311,場所與設施噪音舉發,士林區承德路四段58巷31弄,20250331,191550
202503311,路燈不亮或損壞,文山區羅斯福路五段97巷,20250331,191426
202503311,場所與設施噪音舉發,中山區中山北路二段27巷-南京東路一段31巷,20250331,191512
202503311,大型廢棄物清運聯繫,文山區臺北市文山區明興里014鄰木柵路二段１６１巷１９號四樓,20250331,190744
202503311,大型廢棄物清運聯繫,信義區臺北市信義區興雅里003鄰忠孝東路五段３５號二樓,20250331,190839
202503311,路面積淹水,中山區台?省雅?,20250331,190223
202503311,路燈不亮或損壞,中山區10491台灣台北市中山區民族東路88-1號,20250331,190210
202503311,大型廢棄物清運聯繫,南港區臺北市南港區三重里012鄰新民街２５巷４號四樓,20250331,190323
202503311,污染舉發,中山區臺北市中山區松江里005鄰錦州街２５８號,20250331,190148
202503311,大型廢棄物清運聯繫,文山區116台灣台北市文山區興隆路四段105巷21號,20250331,185944
202503311,場所與設施噪音舉發,中山區臺北市中山區松江里005鄰錦州街２５８號,20250331,190043
202503311,路燈不亮或損壞,內湖區114台灣台北市內湖區大湖街166巷4號,20250331,185508
202503311,道路散落物或油漬處理,中山區臺北市臺北市中山區永安里北安路458巷41弄21號,20250331,185420
202503311,污染舉發,信義區臺北市信義區國業里010鄰松山路４８４號,20250331,185507
202503311,大型廢棄物清運聯繫,中山區臺北市中山區行政里003鄰松江路４３１巷１１號四樓,20250331,184642
202503311,大型廢棄物清運聯繫,萬華區臺北市萬華區全德里018鄰萬大路２６２號二樓,20250331,184130
202503311,路燈不亮或損壞,內湖區成功路四段323巷,20250331,183347
202503311,路燈不亮或損壞,士林區菁山路99巷,20250331,183153
202503311,大型廢棄物清運聯繫,內湖區臺北市內湖區湖濱里029鄰內湖路二段３３６號七樓之1,20250331,182304
202503311,大型廢棄物清運聯繫,內湖區臺北市內湖區瑞陽里017鄰文德路２２巷９弄４８號九樓,20250331,182148
202503311,路燈不亮或損壞,北投區臺北市臺北市北投區一德里中央北路四段316巷1弄4號,20250331,182103
202503311,場所與設施噪音舉發,萬華區臺北市萬華區榮德里002鄰武成街１２５巷５號,20250331,181753
202503311,交通號誌異常,大安區新生南路二段-金華街,20250331,180914
202503311,交通號誌異常,大安區新生南路二段-金華街,20250331,181038
202503311,交通號誌異常,大安區新生南路二段-金華街,20250331,180914
202503311,交通號誌異常,內湖區康樂街151巷-康樂街,20250331,175821
202503311,大型廢棄物清運聯繫,內湖區臺北市內湖區南湖里011鄰康寧路三段７０巷１４５號1樓,20250331,175633
202503311,大型廢棄物清運聯繫,士林區臺北市士林區天福里016鄰天母東路２２巷２３號8樓之5,20250331,175740
202503311,大型廢棄物清運聯繫,中山區臺北市中山區大直里013鄰北安路６２１巷３４號五樓,20250331,175812
202503311,大型廢棄物清運聯繫,士林區臺北市士林區天福里016鄰天母東路２２巷２３號七樓之１,20250331,175358
202503311,大型廢棄物清運聯繫,萬華區臺北市萬華區糖?里014鄰大理街１２４號二樓,20250331,175520
202503311,道路散落物或油漬處理,大同區哈密街-大龍街,20250331,175222
202503311,交通號誌異常,大安區新生南路二段-金華街,20250331,175027
202503311,大型廢棄物清運聯繫,大安區臺北市大安區古風里014鄰辛亥路一段９３號十五樓之一,20250331,174836
202503311,大型廢棄物清運聯繫,信義區臺北市信義區六合里001鄰松仁路２５３巷４弄２號二樓,20250331,175011
202503311,大型廢棄物清運聯繫,大安區臺北市大安區古風里008鄰龍泉街６９號三樓之1,20250331,174431
202503311,大型廢棄物清運聯繫,文山區指南路一段42號2樓,20250331,174204
202503311,大型廢棄物清運聯繫,內湖區臺北市內湖區湖興里022鄰成功路二段２５０巷１４號1樓,20250331,173751
202503311,鄰里無主垃圾清運,中山區臺北市中山區正守里013鄰長安東路一段３０巷３弄３號,20250331,172844
202503311,大型廢棄物清運聯繫,大同區臺北市大同區玉泉里007鄰延平北路一段３０號三樓,20250331,172836
202503311,路燈不亮或損壞,南港區臺北市南港區重陽里003鄰重陽路１８７巷１號,20250331,172439
202503311,大型廢棄物清運聯繫,大安區臺北市大安區群英里001鄰復興南路二段１７１巷３８號十五樓,20250331,172135
202503311,大型廢棄物清運聯繫,大安區臺北市大安區華聲里008鄰光復南路２０２號七樓之3,20250331,171614
202503311,大型廢棄物清運聯繫,信義區臺北市信義區敦厚里013鄰永吉路３０巷２９號5樓,20250331,171357
202503311,大型廢棄物清運聯繫,大安區臺北市大安區法治里004鄰基隆路二段１８２巷７號九樓,20250331,171126
202503311,大型廢棄物清運聯繫,內湖區臺北市內湖區金龍里017鄰內湖路三段１１１號5樓,20250331,170523
202503311,大型廢棄物清運聯繫,大安區臺北市大安區民炤里005鄰新生南路一段１４３巷１２號,20250331,170207
202503311,大型廢棄物清運聯繫,信義區臺北市信義區安康里001鄰虎林街１６４巷６０弄８號1樓,20250331,170300
202503311,大型廢棄物清運聯繫,大安區臺北市大安區車層里017鄰忠孝東路四段２１６巷３３弄４號五樓,20250331,170226
202503311,大型廢棄物清運聯繫,大同區臺北市大同區星明里011鄰重慶北路二段３３號八樓之1,20250331,170301
202503311,大型廢棄物清運聯繫,信義區吳興街583巷20弄10號3樓,20250331,165207
202503311,大型廢棄物清運聯繫,松山區105台灣台北市松山區民生東路五段198號,20250331,163815
202503311,大型廢棄物清運聯繫,北投區臺北市北投區裕民里004鄰明德路１５７號四樓,20250331,163654
202503311,大型廢棄物清運聯繫,松山區臺北市松山區東勢里008鄰健康路１１６號二樓,20250331,163910
202503311,大型廢棄物清運聯繫,松山區臺北市松山區東光里018鄰南京東路五段５９巷２９弄３８號1樓,20250331,163544
202503311,大型廢棄物清運聯繫,北投區臺北市北投區中心里011鄰泉源路４１巷３９號三樓,20250331,163648
202503311,大型廢棄物清運聯繫,大安區臺北市大安區法治里005鄰樂利路１０１巷３號,20250331,163338
202503311,大型廢棄物清運聯繫,大安區臺北市大安區通安里005鄰文昌街１６２號三樓,20250331,162618
202503311,大型廢棄物清運聯繫,文山區臺北市文山區樟林里015鄰光輝路１１４號四樓,20250331,162425
202503311,場所與設施噪音舉發,萬華區臺北市萬華區富民里015鄰康定路２３０號1樓,20250331,162218
202503311,大型廢棄物清運聯繫,中山區臺北市中山區中山里014鄰新生北路二段７２巷２３號六樓之2,20250331,162051
202503311,大型廢棄物清運聯繫,文山區臺北市文山區木新里009鄰木新路二段１１號五樓,20250331,161615
202503311,大型廢棄物清運聯繫,中正區臺北市中正區幸市里004鄰臨沂街２７巷９號六樓之5,20250331,161750
202503311,大型廢棄物清運聯繫,內湖區114台灣台北市內湖區內湖路一段47巷22弄10號,20250331,161415
202503311,大型廢棄物清運聯繫,內湖區臺北市內湖區內湖里007鄰內湖路三段１８巷３號1樓,20250331,161036
202503311,大型廢棄物清運聯繫,大安區臺北市大安區仁慈里013鄰東豐街１３號五樓,20250331,161155
202503311,場所與設施噪音舉發,文山區臺北市文山區華興里022鄰辛亥路六段２１巷１８號十六樓,20250331,160631
202503311,大型廢棄物清運聯繫,南港區臺北市南港區東明里012鄰南港路二段６０巷１９號二十一樓,20250331,160636
202503311,大型廢棄物清運聯繫,信義區110台灣台北市信義區松山路540巷3弄27號,20250331,160334
202503311,鄰里無主垃圾清運,中正區台電大樓站出口1,參考地址：辛亥路一段４５號,20250331
202503311,大型廢棄物清運聯繫,中山區臺北市中山區大佳里003鄰濱江街２２８號1樓,20250331,160430
202503311,大型廢棄物清運聯繫,信義區臺北市信義區西村里024鄰光復南路４５７之２號十樓,20250331,155905
202503311,大型廢棄物清運聯繫,大安區臺北市大安區華聲里008鄰光復南路２０２號六樓之7,20250331,155810
202503311,大型廢棄物清運聯繫,大同區臺北市大同區斯文里016鄰承德路三段１４３巷６號4樓,20250331,155451
202503311,大型廢棄物清運聯繫,內湖區臺北市內湖區西康里006鄰內湖路一段４７巷８弄５號二樓,20250331,155551
202503311,道路散落物或油漬處理,大同區臺北市大同區國順里002鄰迪化街二段１４６巷２號,20250331,155717
202503311,道路散落物或油漬處理,中山區臺北市臺北市中山區劍潭里通北街145巷,20250331,155227
202503311,大型廢棄物清運聯繫,文山區臺北市文山區興安里017鄰仙岩路１６巷７０號二樓,20250331,154446
202503311,大型廢棄物清運聯繫,中山區臺北市中山區民安里001鄰中山北路一段７４號12樓之3,20250331,154227
202503311,場所與設施噪音舉發,大安區臺北市大安區建倫里020鄰忠孝東路四段１７０巷６弄７號1樓,20250331,153005
202503311,場所與設施噪音舉發,內湖區文湖街21巷82弄,20250331,152902
202503311,大型廢棄物清運聯繫,士林區臺北市士林區翠山里005鄰中社路二段９１巷５號二樓,20250331,152533
202503311,大型廢棄物清運聯繫,大同區臺北市大同區建明里009鄰承德路一段２０號二樓,20250331,152254
202503311,路燈不亮或損壞,士林區通河西街二段,20250331,152305
202503311,大型廢棄物清運聯繫,中山區臺北市中山區聚盛里004鄰錦州街３２號五樓,20250331,152350
202503311,路樹處理,中山區10491台灣台北市中山區建國北路一段17巷22號,20250331,151831
202503311,大型廢棄物清運聯繫,內湖區臺北市內湖區湖元里018鄰陽光街３２１巷３號八樓之4,20250331,151307
202503311,大型廢棄物清運聯繫,大安區臺北市大安區通安里001鄰文昌街１４２號四樓,20250331,150815
202503311,場所與設施噪音舉發,中山區臺北市中山區復華里003鄰長春路３６８號三樓,20250331,150629
202503311,大型廢棄物清運聯繫,北投區112台灣台北市北投區大度路三段301巷112號,20250331,150103
202503311,鄰里無主垃圾清運,士林區臺北市士林區福林里014鄰中山北路五段５２９號,20250331,150230
202503311,大型廢棄物清運聯繫,松山區臺北市松山區民福里001鄰復興北路５１１號四樓,20250331,145725
202503311,大型廢棄物清運聯繫,中正區臺北市中正區新營里020鄰杭州南路二段５４號三樓,20250331,145246
202503311,大型廢棄物清運聯繫,中正區臺北市中正區光復里003鄰開封街一段４８號十一樓,20250331,145238
202503311,大型廢棄物清運聯繫,文山區臺北市文山區木柵里015鄰久康街１３３號1樓,20250331,144816
202503311,大型廢棄物清運聯繫,大同區臺北市大同區朝陽里006鄰延平北路二段３５號四樓之2,20250331,144614
202503311,大型廢棄物清運聯繫,大同區臺北市大同區建明里011鄰長安西路１６０號2樓,20250331,144021
202503311,場所與設施噪音舉發,松山區105台灣台北市松山區南京東路四段75巷20號,20250331,143855
202503311,大型廢棄物清運聯繫,內湖區臺北市內湖區港富里015鄰內湖路一段７３７巷９４號二樓,20250331,144019
202503311,大型廢棄物清運聯繫,大安區通化街163號2樓,20250331,144014
202503311,大型廢棄物清運聯繫,信義區臺北市信義區安康里007鄰松德路１２４號三樓,20250331,143608
202503311,大型廢棄物清運聯繫,大安區臺北市大安區住安里015鄰大安路二段５３巷４號三樓,20250331,143445
202503311,大型廢棄物清運聯繫,信義區臺北市信義區四育里017鄰永吉路３２１巷４號5樓,20250331,143334
202503311,大型廢棄物清運聯繫,士林區111台灣台北市士林區至誠路二段92巷3弄2號,20250331,143107
202503311,交通號誌異常,南港區115台灣台北市南港區經貿二路105巷289號,20250331,142719
202503311,大型廢棄物清運聯繫,南港區臺北市南港區中研里013鄰研究院路二段２巷２號四樓,20250331,142713
202503311,大型廢棄物清運聯繫,北投區臺北市北投區中和里002鄰中和街３９９之５號四樓,20250331,142759
202503311,大型廢棄物清運聯繫,中正區臺北市中正區三愛里026鄰臨沂街７１巷２３之１號四樓,20250331,142715
202503311,大型廢棄物清運聯繫,文山區臺北市臺北市文山區興安里仙岩路16巷口,20250331,142301
202503311,場所與設施噪音舉發,士林區中山北路五段698巷15號,20250331,142402
202503311,場所與設施噪音舉發,萬華區108台灣台北市萬華區武昌街二段52號,20250331,142049
202503311,大型廢棄物清運聯繫,信義區虎林街242巷13號,20250331,141808
202503311,大型廢棄物清運聯繫,大安區臺北市大安區黎元里010鄰安居街９８巷９號二樓,20250331,141847
202503311,大型廢棄物清運聯繫,松山區臺北市松山區中崙里010鄰八德路二段３４６巷３弄１７號三樓,20250331,141301
202503311,路樹處理,士林區111台灣台北市士林區德行西路38號德行公園號,20250331,141207
202503311,大型廢棄物清運聯繫,士林區臺北市士林區蘭雅里024鄰中山北路六段２９０巷４６之１號五樓,20250331,141300
202503311,污染舉發,松山區臺北市松山區慈祐里020鄰八德路四段７０９巷２之３號,20250331,141057
202503311,大型廢棄物清運聯繫,中山區臺北市中山區新福里006鄰民權東路二段６７號三樓,20250331,140547
202503311,大型廢棄物清運聯繫,信義區臺北市信義區廣居里029鄰虎林街１４１巷１８號三樓,20250331,140309
202503311,路燈不亮或損壞,大安區106台灣台北市大安區信義路三段104號,20250331,140234
202503311,大型廢棄物清運聯繫,大安區臺北市大安區臨江里004鄰通化街１０１巷４５弄６號2樓,20250331,135958
202503311,大型廢棄物清運聯繫,大同區臺北市大同區雙連里008鄰雙連街３９巷１２號1樓,20250331,140056
