案件編號,派工項目,案件地址,立案日期,立案時間
2017043000356,場所與設施噪音舉發,大安區交叉路口:  新生北路一段  市民大道三段新生北路一段上,20170501,000400
2017050100001,場所與設施噪音舉發,大安區交叉路口:  新生北路一段  八德路一段 附近,20170501,000200
2017050100002,路燈故障或設施損壞,中正區湖口街整條至重慶南路二段19巷,20170501,002100
2017050100003,場所與設施噪音舉發,大同區,20170501,002600
2017050100004,場所與設施噪音舉發,大同區巷口,20170501,002700
2017050100005,路燈故障或設施損壞,士林區巷內,20170501,002900
2017050100006,場所與設施噪音舉發,大安區或6號,20170501,003200
2017050100007,場所與設施噪音舉發,中山區,20170501,004100
2017050100008,場所與設施噪音舉發,大安區豚豚拍子,20170501,005200
2017050100009,場所與設施噪音舉發,大同區交叉路口:  重慶北路  民族西路,20170501,005100
2017050100013,場所與設施噪音舉發,文山區景興路與景中街交叉口 ,20170501,012800
2017050100014,場所與設施噪音舉發,信義區後方防火巷,20170501,013100
2017050100015,場所與設施噪音舉發,文山區附近,20170501,013500
2017050100016,用戶無水、漏水報修,萬華區,20170501,013800
2017050100017,場所與設施噪音舉發,大同區巷口,20170501,020400
2017050100018,場所與設施噪音舉發,文山區旁的建築工地建案名:景美天際 ,20170501,021900
2017050100019,場所與設施噪音舉發,信義區,20170501,021900
2017050100020,場所與設施噪音舉發,信義區,20170501,023600
2017050100021,用戶無水、漏水報修,大安區,20170501,025000
2017050100022,場所與設施噪音舉發,中山區自助洗衣店,20170501,025300
2017050100024,污染舉發,文山區,20170501,031000
2017050100025,路燈故障或設施損壞,中山區對面敬業三路及樂群一路交叉口基湖路166巷口,20170501,035900
2017050100026,場所與設施噪音舉發,中正區,20170501,040500
2017050100027,大型廢棄物清運聯繫,萬華區,20170501,042200
2017050100028,場所與設施噪音舉發,大同區,20170501,045900
2017050100030,大型廢棄物清運聯繫,文山區,20170501,062300
2017050100031,市區道路坑洞處理,內湖區交叉路口:  成功路二段  石潭路路口附近,20170501,064600
2017050100032,用戶無水、漏水報修,萬華區,20170501,065000
2017050100034,大型廢棄物清運聯繫,內湖區,20170501,070700
2017050100036,污染舉發,內湖區,20170501,073000
2017050100039,路樹處理,中正區,20170501,073800
