案件編號,派工項目,案件地址,立案日期,立案時間
2016090100001,場所與設施噪音舉發,北投區媄和樂卡拉OK,20160901,000800
2016090100002,場所與設施噪音舉發,文山區,20160901,000800
2016090100003,場所與設施噪音舉發,內湖區2、3、4樓這側,20160901,001600
2016090100004,大型廢棄物清運聯繫,松山區,20160901,001600
2016090100005,場所與設施噪音舉發,文山區內,20160901,002000
2016090100006,場所與設施噪音舉發,大同區,20160901,002400
2016090100007,污染舉發,北投區旁邊,20160901,002900
2016090100008,污染舉發,南港區或19樓,20160901,004300
2016090100009,污染舉發,中正區,20160901,004800
2016090100010,污染舉發,信義區,20160901,005200
2016090100011,鄰里無主垃圾清運,文山區弄口攤位炸遍集團旁,20160901,011200
2016090100012,場所與設施噪音舉發,文山區整條巷,20160901,011000
2016090100013,鄰里無主垃圾清運,中山區在咖啡店家的右邊巷口,20160901,015400
2016090100014,大型廢棄物清運聯繫,信義區,20160901,023100
2016090100015,污染舉發,北投區3樓以上住戶,20160901,024700
2016090100016,場所與設施噪音舉發,松山區,20160901,030900
2016090100017,場所與設施噪音舉發,中正區交叉路口:  汀州路二段  師大路;汀州路二段上,20160901,031300
2016090100018,場所與設施噪音舉發,中正區王貫英先生紀念圖書館附近,20160901,033400
2016090100019,污染舉發,南港區桐德鋼鐵股份有限公司,20160901,040600
2016090100020,污染舉發,信義區巷靠近陸軍後勤訓練中心,20160901,043100
2016090100021,路燈故障或設施損壞,中正區與71號,20160901,053400
2016090100022,交通號誌異常,南港區交叉路口:  南港路一段  研究院路一段,20160901,060900
2016090100024,用戶無水、漏水報修,文山區,20160901,063600
2016090100025,鄰里無主垃圾清運,北投區,20160901,064900
2016090100026,鄰里無主垃圾清運,士林區,20160901,065300
2016090100028,交通號誌異常,大安區交叉路口:  仁愛路  復興南路 福華飯店 ,20160901,070700
2016090100029,大型廢棄物清運聯繫,北投區,20160901,071400
2016090100030,場所與設施噪音舉發,文山區地標:  木柵高工,20160901,071800
2016090100031,市區道路坑洞處理,萬華區交叉路口:  艋舺大道  西園路靠近豆漿店,20160901,072400
2016090100032,用戶無水、漏水報修,中正區,20160901,073500
2016090100033,鄰里無主垃圾清運,松山區交叉路口:  長春路  慶城街(往東方文華酒店方向)停車場旁邊人行道上,20160901,073400
2016090100034,鄰里無主垃圾清運,松山區交叉路口:  長春路  慶城街在慶城街上旁邊為台灣聯通停車場,20160901,073500
2016090100036,污染舉發,信義區52號,20160901,074800
2016090100037,污染舉發,中山區右邊店家(無招牌),20160901,075700
2016090100038,污染舉發,士林區對面,20160901,080700
2016090100039,污染舉發,文山區忠聖廟,20160901,081000
2016090100040,交通號誌異常,大安區安和路二段59巷和文昌街交口,20160901,081300
2016090100041,大型廢棄物清運聯繫,內湖區,20160901,083000
2016090100042,污染舉發,內湖區洗衣店,20160901,083000
2016090100043,污染舉發,大安區爭鮮壽司店家,20160901,083100
2016090100044,交通號誌異常,北投區東華街126號,20160901,083700
2016090100045,污染舉發,文山區靠近樹林處,20160901,083900
2016090100046,污染舉發,士林區,20160901,084400
2016090100047,路燈故障或設施損壞,中正區地標:  古亭河濱公園,20160901,084500
2016090100048,鄰里無主垃圾清運,中山區路口人行道座椅周邊 軍方印刷所旁 ,20160901,084900
2016090100049,污染舉發,大同區側門,20160901,090000
2016090100050,大型廢棄物清運聯繫,大同區,20160901,090000
2016090100051,大型廢棄物清運聯繫,文山區,20160901,090200
2016090100053,用戶無水、漏水報修,文山區,20160901,090200
2016090100054,大型廢棄物清運聯繫,中正區,20160901,090400
2016090100055,場所與設施噪音舉發,士林區後方,20160901,090600
2016090100056,大型廢棄物清運聯繫,大安區,20160901,090600
2016090100057,場所與設施噪音舉發,南港區巷口  興富發建設的齊裕營造的建築工地,20160901,091500
2016090100059,道路側溝溝蓋(含周邊)損壞遺失,北投區,20160901,092100
2016090100060,大型廢棄物清運聯繫,萬華區,20160901,092500
2016090100061,大型廢棄物清運聯繫,信義區,20160901,092800
2016090100062,大型廢棄物清運聯繫,大安區,20160901,092800
2016090100063,污染舉發,內湖區,20160901,093400
2016090100064,大型廢棄物清運聯繫,中山區,20160901,094300
2016090100065,鄰里無主垃圾清運,中正區巷口,20160901,094500
2016090100066,大型廢棄物清運聯繫,內湖區,20160901,094800
2016090100067,污染舉發,大同區側門 ,20160901,094800
2016090100068,路燈故障或設施損壞,文山區門前,20160901,094900
2016090100069,大型廢棄物清運聯繫,大安區,20160901,095900
2016090100070,污染舉發,萬華區住商混和大樓,20160901,095700
2016090100071,大型廢棄物清運聯繫,中正區,20160901,095800
2016090100072,大型廢棄物清運聯繫,北投區,20160901,095900
2016090100074,大型廢棄物清運聯繫,中山區,20160901,101000
2016090100075,場所與設施噪音舉發,中山區巷口為麗晶飯店其停車場入口上方2樓陽台 ,20160901,100900
2016090100076,大型廢棄物清運聯繫,中正區,20160901,101300
2016090100077,市區道路坑洞處理,中山區,20160901,101200
2016090100078,污染舉發,北投區到7號,20160901,101400
2016090100079,鄰里無主垃圾清運,士林區,20160901,102000
2016090100080,大型廢棄物清運聯繫,信義區,20160901,102600
2016090100081,場所與設施噪音舉發,中正區或是25號,20160901,103100
2016090100082,路燈故障或設施損壞,士林區弄口,20160901,103200
2016090100083,大型廢棄物清運聯繫,中正區,20160901,103200
2016090100084,鄰里無主垃圾清運,文山區門口前方馬路上,20160901,103300
2016090100085,交通號誌異常,北投區地標:  捷運北投站,20160901,103900
2016090100086,用戶無水、漏水報修,文山區,20160901,104500
2016090100087,大型廢棄物清運聯繫,松山區,20160901,104500
2016090100090,大型廢棄物清運聯繫,內湖區,20160901,105500
2016090100091,污染舉發,文山區交叉路口:  辛亥路四段  興隆路三段捷運辛亥站出口的對面(原址為憲兵營),20160901,105800
2016090100092,大型廢棄物清運聯繫,北投區,20160901,110000
2016090100093,大型廢棄物清運聯繫,大安區,20160901,110000
2016090100094,大型廢棄物清運聯繫,北投區,20160901,110300
