案件編號,派工項目,案件地址,立案日期,立案時間
2021120100002,路燈故障或設施損壞,文山區試院路-木柵路一段,20211201,001000
2021120100003,場所與設施噪音舉發,大安區羅斯福路四段,20211201,001400
2021120100004,用戶無水、漏水報修,中山區臺北市中山區朱馥里020鄰合江街１７巷５號,20211201,002500
2021120100005,場所與設施噪音舉發,中山區臺北市中山區正義里011鄰林森北路１１９巷８０號,20211201,002800
2021120100006,大型廢棄物清運聯繫,士林區臺北市士林區福德里019鄰中正路４２７號,20211201,003400
2021120100007,路燈故障或設施損壞,文山區羅斯福路五段,20211201,003500
2021120100008,場所與設施噪音舉發,萬華區臺北市萬華區騰雲里001鄰中華路二段６６６號,20211201,003600
2021120100009,場所與設施噪音舉發,大安區臺北市大安區誠安里010鄰忠孝東路三段３０５號,20211201,003800
2021120100010,場所與設施噪音舉發,萬華區臺北市萬華區青山里009鄰梧州街１２巷１號,20211201,010400
2021120100011,場所與設施噪音舉發,松山區南京東路五段-光復北路,20211201,005300
2021120100012,污染舉發,松山區南京東路五段-光復北路,20211201,005300
2021120100013,場所與設施噪音舉發,萬華區臺北市萬華區全德里010鄰民和街１０３號,20211201,010300
2021120100014,場所與設施噪音舉發,中正區臺北市中正區水源里003鄰羅斯福路四段６８號,20211201,010500
2021120100015,場所與設施噪音舉發,中山區臺北市中山區晴光里013鄰雙城街３２巷５號,20211201,011100
2021120100016,污染舉發,內湖區江南街117巷8弄,20211201,011300
2021120100017,場所與設施噪音舉發,內湖區江南街117巷8弄,20211201,011300
2021120100018,場所與設施噪音舉發,大安區臺北市大安區誠安里010鄰忠孝東路三段３０５號,20211201,011900
2021120100019,場所與設施噪音舉發,士林區天母西路41巷,20211201,013200
2021120100020,場所與設施噪音舉發,松山區北寧路40號,20211201,013700
2021120100021,場所與設施噪音舉發,內湖區臺北市內湖區港墘里008鄰江南街７１巷１６弄３１號,20211201,015000
2021120100022,場所與設施噪音舉發,松山區臺北市松山區吉祥里018鄰南京東路五段３４號,20211201,015500
2021120100023,場所與設施噪音舉發,大安區臺北市大安區光明里001鄰金山南路二段１８號,20211201,015700
2021120100024,場所與設施噪音舉發,松山區南京東路五段-光復北路,20211201,020200
2021120100025,場所與設施噪音舉發,文山區臺北市文山區興光里008鄰興隆路三段１３７號,20211201,020300
2021120100026,場所與設施噪音舉發,士林區臺北市士林區天玉里004鄰天母西路４１巷１弄２號,20211201,020800
2021120100027,場所與設施噪音舉發,士林區臺北市士林區天玉里005鄰天母北路９巷１４號,20211201,020900
2021120100028,道路散落物或油漬處理,中正區臺北市中正區愛國里005鄰和平西路二段１３１號,20211201,024400
2021120100029,場所與設施噪音舉發,大安區臺北市大安區和安里015鄰仁愛路三段１１８巷１２弄１８之２號,20211201,025200
2021120100030,大型廢棄物清運聯繫,信義區臺北市信義區大仁里015鄰林口街２４巷２８號,20211201,025500
2021120100031,場所與設施噪音舉發,北投區大業路-豐年路二段,20211201,031900
2021120100032,路燈故障或設施損壞,文山區福和橋,20211201,033900
2021120100033,場所與設施噪音舉發,松山區臺北市松山區東光里019鄰南京東路五段１２３巷２７號,20211201,034400
2021120100034,路燈故障或設施損壞,內湖區臺北市內湖區內湖里004鄰內湖路二段３３９巷１０弄１號,20211201,035200
2021120100035,路燈故障或設施損壞,士林區111台灣台北市士林區文昌橋,20211201,035000
2021120100036,路燈故障或設施損壞,內湖區臺北市內湖區內湖里005鄰內湖路二段３５５巷１號,20211201,035200
2021120100037,路燈故障或設施損壞,內湖區臺北市內湖區內湖里004鄰內湖路二段３５５巷２號,20211201,035200
2021120100038,路燈故障或設施損壞,內湖區臺北市內湖區內湖里005鄰內湖路二段３５５巷７號,20211201,035200
2021120100039,場所與設施噪音舉發,北投區臺北市北投區吉慶里006鄰承德路七段１６２號,20211201,035900
2021120100040,場所與設施噪音舉發,內湖區臺北市內湖區港都里006鄰內湖路一段６６７巷９號,20211201,040100
2021120100041,場所與設施噪音舉發,大安區臺北市大安區群賢里005鄰復興南路二段２９１號,20211201,042600
2021120100042,路燈故障或設施損壞,北投區秀山路46巷,20211201,044900
2021120100043,道路散落物或油漬處理,中山區建國高架橋,20211201,061100
2021120100044,交通號誌電纜線垂落及設施損壞,文山區羅斯福路六段-車前路,20211201,063300
2021120100045,交通號誌異常,大安區復興南路二段-復興南路二段78巷,20211201,063500
2021120100046,道路散落物或油漬處理,北投區臺北市北投區大同里011鄰北投路二段５５號,20211201,064500
2021120100047,鄰里無主垃圾清運,萬華區西園路一段136巷,20211201,065800
2021120100048,場所與設施噪音舉發,中山區新生北路二段76巷,20211201,070300
2021120100049,場所與設施噪音舉發,萬華區柳州街-昆明街257巷,20211201,071900
2021120100050,大型廢棄物清運聯繫,松山區105台灣台北市松山區南京東路五段212號,20211201,072700
2021120100051,路燈故障或設施損壞,士林區臺北市士林區福德里020鄰基河路２５８號,20211201,073200
2021120100052,大型廢棄物清運聯繫,內湖區臺北市內湖區紫雲里011鄰康寧路一段１９５巷３弄２８號,20211201,073400
2021120100053,場所與設施噪音舉發,中正區100台灣台北市中正區杭州南路一段71巷18號,20211201,073500
2021120100054,鄰里無主垃圾清運,中山區民權東路一段38巷,20211201,073900
2021120100055,交通號誌異常,北投區中央北路三段,20211201,075700
2021120100056,鄰里無主垃圾清運,士林區臺北市士林區忠誠里025鄰中山北路六段１３６號,20211201,080500
2021120100057,場所與設施噪音舉發,松山區臺北市松山區東光里019鄰南京東路五段１２３巷２７號,20211201,081200
2021120100058,場所與設施噪音舉發,大安區106台灣台北市大安區大安路二段65號,20211201,081100
2021120100059,路燈故障或設施損壞,萬華區108台灣台北市萬華區雙園河濱公園,20211201,081200
2021120100060,路燈故障或設施損壞,士林區臺北市士林區福德里019鄰中正路４３９號,20211201,081300
2021120100061,污染舉發,信義區110台灣台北市信義區永吉路446號,20211201,081300
2021120100062,場所與設施噪音舉發,萬華區臺北市萬華區菜園里010鄰西昌街３５號,20211201,081400
2021120100065,場所與設施噪音舉發,士林區臺北市士林區明勝里018鄰承德路四段６巷３６號,20211201,081900
2021120100066,污染舉發,士林區臺北市士林區明勝里018鄰承德路四段６巷３６號,20211201,082100
2021120100067,交通號誌異常,大安區106台灣台北市大安區大安路一段116巷26號,20211201,082500
2021120100068,污染舉發,中山區10491台灣台北市中山區天祥路48巷9號,20211201,082500
2021120100069,鄰里無主垃圾清運,中正區臺北市中正區愛國里010鄰中華路二段７５巷８號,20211201,082900
2021120100070,交通號誌異常,中正區金山南路一段-銅山街,20211201,083200
2021120100071,場所與設施噪音舉發,內湖區港墘路-內湖路一段,20211201,083600
2021120100072,交通號誌異常,中正區100台灣台北市中正區忠孝東路二段1號,20211201,083400
2021120100073,污染舉發,信義區臺北市信義區廣居里013鄰虎林街１３２巷４１號,20211201,083600
2021120100074,大型廢棄物清運聯繫,士林區臺北市士林區後港里025鄰通河東街二段２４號,20211201,085200
2021120100075,場所與設施噪音舉發,北投區臺北市北投區中央里002鄰新市街５７號,20211201,090400
2021120100076,用戶無水、漏水報修,內湖區臺北市內湖區內湖里007鄰金龍路５６號,20211201,090700
2021120100077,鄰里無主垃圾清運,士林區111台灣台北市士林區基河路31號,20211201,090500
2021120100078,大型廢棄物清運聯繫,信義區臺北市信義區興雅里021鄰基隆路一段１４７巷５弄６號,20211201,091600
2021120100079,大型廢棄物清運聯繫,信義區臺北市信義區安康里029鄰松勇路５３巷６６號,20211201,092200
2021120100080,鄰里無主垃圾清運,士林區忠義街,20211201,092500
2021120100081,場所與設施噪音舉發,南港區臺北市南港區萬福里015鄰忠孝東路六段７０巷２１弄１５號,20211201,092800
2021120100082,鄰里無主垃圾清運,文山區萬美街二段21巷,20211201,093100
2021120100083,市區道路坑洞處理,文山區116台灣台北市文山區萬盛街60巷3-2號,20211201,092300
2021120100084,場所與設施噪音舉發,士林區小西街2之2號,20211201,092900
2021120100085,大型廢棄物清運聯繫,信義區臺北市信義區西村里018鄰基隆路一段３６４巷２４號,20211201,093000
2021120100086,大型廢棄物清運聯繫,信義區臺北市信義區四育里013鄰虎林街４６巷４１號,20211201,093000
2021120100087,場所與設施噪音舉發,大安區臺北市大安區黎和里013鄰臥龍街２７２巷７號,20211201,093100
2021120100088,大型廢棄物清運聯繫,士林區臺北市士林區仁勇里002鄰文林路１４４巷６號,20211201,093300
2021120100089,用戶無水、漏水報修,文山區臺北市文山區政大里008鄰政大二街１６６號,20211201,093500
2021120100090,大型廢棄物清運聯繫,內湖區臺北市內湖區寶湖里021鄰民權東路六段２４８巷８號,20211201,093800
2021120100091,大型廢棄物清運聯繫,內湖區臺北市內湖區紫星里038鄰成功路四段４７號,20211201,094400
2021120100092,大型廢棄物清運聯繫,大安區臺北市大安區住安里004鄰信義路四段５８號,20211201,095000
2021120100093,大型廢棄物清運聯繫,信義區臺北市信義區黎平里010鄰富陽街４４巷１８號,20211201,095200
2021120100094,大型廢棄物清運聯繫,大安區臺北市大安區群賢里006鄰和平東路二段２８３巷３號,20211201,095100
2021120100096,大型廢棄物清運聯繫,中山區10491台灣台北市中山區龍江路328巷31號,20211201,095600
2021120100098,鄰里無主垃圾清運,南港區臺北市南港區中南里010鄰忠孝東路七段５７６號,20211201,100500
2021120100099,鄰里無主垃圾清運,文山區臺北市文山區萬祥里013鄰興隆路一段１１４號,20211201,100600
2021120100100,道路散落物或油漬處理,內湖區民權大橋,20211201,101500
2021120100101,道路散落物或油漬處理,內湖區民權大橋,20211201,101600
2021120100102,場所與設施噪音舉發,北投區臺北市北投區八仙里018鄰中央南路二段２８號,20211201,101500
2021120100103,大型廢棄物清運聯繫,信義區臺北市信義區泰和里016鄰吳興街６００巷５５弄８號,20211201,101700
2021120100104,場所與設施噪音舉發,中山區10491台灣台北市中山區長安東路一段99號,20211201,101600
2021120100106,場所與設施噪音舉發,士林區111台灣台北市士林區基河路300號,20211201,102700
2021120100107,場所與設施噪音舉發,文山區臺北市文山區忠順里001鄰興隆路四段１４５巷２２弄６號,20211201,102900
2021120100108,鄰里無主垃圾清運,中正區信義路一段,20211201,103300
2021120100109,大型廢棄物清運聯繫,文山區臺北市文山區樟文里021鄰辛亥路七段６９巷１２號,20211201,103100
2021120100110,用戶無水、漏水報修,士林區臺北市士林區蘭雅里023鄰中山北路六段２３６巷１２號,20211201,103000
2021120100111,大型廢棄物清運聯繫,松山區臺北市松山區松基里003鄰復興北路２３１巷２號,20211201,103400
2021120100112,雨水下水道側溝清淤,信義區臺北市信義區永春里015鄰松山路２８７巷２８號,20211201,103900
2021120100113,道路側溝溝蓋(含周邊)損壞遺失,大安區106台灣台北市大安區光復南路294巷33號,20211201,103600
2021120100114,大型廢棄物清運聯繫,北投區臺北市北投區湖田里005鄰竹子湖路３８號,20211201,103900
2021120100115,大型廢棄物清運聯繫,大安區臺北市大安區黎元里007鄰安居街１０７巷２號,20211201,103800
2021120100116,場所與設施噪音舉發,松山區臺北市松山區復勢里018鄰光復北路８０巷１４號,20211201,103900
2021120100117,污染舉發,松山區臺北市松山區復勢里018鄰光復北路８０巷１４號,20211201,104000
2021120100118,道路散落物或油漬處理,士林區臺北市士林區永倫里022鄰延平北路六段４３４號,20211201,104400
2021120100119,大型廢棄物清運聯繫,中山區臺北市中山區聚盛里013鄰林森北路３９９巷２６號,20211201,104300
2021120100120,污染舉發,中山區臺北市中山區永安里002鄰北安路４７６巷６號,20211201,104400
2021120100121,大型廢棄物清運聯繫,中山區臺北市中山區中庄里009鄰吉林路２３６巷２９號,20211201,104800
2021120100122,大型廢棄物清運聯繫,萬華區臺北市萬華區福星里003鄰開封街二段８號,20211201,104600
2021120100124,大型廢棄物清運聯繫,中正區臺北市中正區梅花里010鄰紹興北街３３號,20211201,105500
2021120100125,路燈故障或設施損壞,文山區試院路,20211201,105600
2021120100126,大型廢棄物清運聯繫,中正區臺北市中正區龍光里007鄰和平西路二段７號,20211201,110100
2021120100127,大型廢棄物清運聯繫,內湖區臺北市內湖區安泰里003鄰安泰街４９巷７號,20211201,110800
2021120100128,場所與設施噪音舉發,大安區臺北市大安區昌隆里009鄰忠孝東路三段２１７巷１弄４號,20211201,111000
2021120100129,污染舉發,松山區105台灣台北市松山區光復北路11巷74號,20211201,111000
2021120100130,道路散落物或油漬處理,內湖區民權東路六段190巷75弄,20211201,112000
2021120100131,大型廢棄物清運聯繫,信義區臺北市信義區正和里007鄰光復南路４１５巷１８２號,20211201,111900
2021120100132,市區道路坑洞處理,南港區115台灣台北市南港區南港路一段364號,20211201,112500
2021120100133,大型廢棄物清運聯繫,士林區臺北市士林區忠誠里017鄰德行東路７４巷１７弄９號,20211201,112900
2021120100134,大型廢棄物清運聯繫,內湖區臺北市內湖區金湖里004鄰金湖路３２６巷３８號,20211201,113400
2021120100135,大型廢棄物清運聯繫,中山區臺北市中山區永安里031鄰明水路３８５號,20211201,113600
