案件編號,派工項目,案件地址,立案日期,立案時間
202412311,場所與設施噪音舉發,大安區臺北市大安區永康里005鄰永康街２巷９號1樓,20241231,235803
202412311,場所與設施噪音舉發,士林區福德路31巷3號,20241231,233954
202412311,鄰里無主垃圾清運,大同區酒泉街9巷,20241231,233819
202412311,場所與設施噪音舉發,士林區臺北市士林區仁勇里003鄰大西路６７號,20241231,233950
202412311,鄰里無主垃圾清運,士林區臺北市士林區社園里009鄰社中街２１１號,20241231,231728
202412311,污染舉發,中正區林森北路-市民大道二段,20241231,230537
202412311,場所與設施噪音舉發,大安區台北市大安區羅斯福路三段269巷51弄9號,20241231,230128
202412311,交通標誌及設施物損壞(含汙損)、傾斜,內湖區臺北市內湖區金湖里017鄰康寧路三段４１號,20241231,225853
202412311,場所與設施噪音舉發,中山區10491台灣台北市中山區林森北路85巷43號,20241231,225135
202412311,大型廢棄物清運聯繫,南港區臺北市南港區三重里001鄰重陽路４２３巷１弄１號二樓,20241231,224942
202412311,場所與設施噪音舉發,萬華區臺北市萬華區福星里015鄰開封街二段４７號,20241231,224048
202412311,場所與設施噪音舉發,士林區雨聲街15巷,20241231,223631
202412311,場所與設施噪音舉發,萬華區臺北市萬華區萬壽里011鄰武昌街二段８９號,20241231,222651
202412311,場所與設施噪音舉發,士林區臺北市士林區仁勇里009鄰大北路４２號,20241231,222630
202412311,大型廢棄物清運聯繫,內湖區臺北市內湖區湖興里006鄰成功路二段４２６巷２７號1樓,20241231,222005
202412311,場所與設施噪音舉發,大安區臺北市大安區光武里003鄰忠孝東路四段６７號,20241231,222152
202412311,場所與設施噪音舉發,松山區臺北市臺北市松山區八德路四段389巷18號1樓,20241231,221145
202412311,大型廢棄物清運聯繫,內湖區114台灣台北市內湖區文德路210巷30弄49號五樓號,20241231,221044
202412311,大型廢棄物清運聯繫,大安區臺北市大安區古莊里010鄰羅斯福路三段２９號十樓,20241231,221328
202412311,場所與設施噪音舉發,中山區美堤河濱公園,參考地址：樂群二路２６６巷１１０號,20241231
202412311,道路散落物或油漬處理,內湖區臺北市臺北市內湖區行善里南京東路六段,20241231,220648
202412311,場所與設施噪音舉發,大同區圓山站出口1,參考地址：酒泉街１３號,20241231
202412311,場所與設施噪音舉發,中山區臺北市中山區江寧里022鄰民權東路三段６０巷３弄９號,20241231,215211
202412311,大型廢棄物清運聯繫,大安區臺北市大安區古風里012鄰泰順街５４巷１０號三樓,20241231,214522
202412311,場所與設施噪音舉發,文山區臺北市文山區樟文里006鄰忠順街一段２６巷３０弄３號二樓,20241231,213851
202412311,大型廢棄物清運聯繫,士林區臺北市士林區社園里005鄰延平北路六段１１６巷３９弄９號三樓,20241231,213631
202412311,交通號誌異常,中山區建國北路三段-農安街,20241231,212940
202412311,污染舉發,士林區臺北市士林區富洲里015鄰延平北路八段２巷６１弄１５號1樓,20241231,212329
202412311,大型廢棄物清運聯繫,北投區臺北市北投區中心里002鄰泉源路１２號五樓之6,20241231,212140
202412311,大型廢棄物清運聯繫,信義區臺北市信義區富台里001鄰忠孝東路五段４２３巷４弄１號五樓,20241231,212159
202412311,大型廢棄物清運聯繫,士林區臺北市士林區社新里017鄰社子街８４巷６號1樓,20241231,211911
202412311,大型廢棄物清運聯繫,文山區臺北市文山區萬有里009鄰景隆街９１號四樓,20241231,211830
