案件編號,派工項目,案件地址,立案日期,立案時間
2021050100001,路燈故障或設施損壞,大安區臺北市大安區龍泉里007鄰龍泉街１５號,20210501,000300
2021050100002,場所與設施噪音舉發,中山區臺北市中山區聚盛里016鄰錦州街４６號,20210501,001800
2021050100003,場所與設施噪音舉發,北投區大業路-豐年路二段交叉口旁邊,20210501,002300
2021050100004,場所與設施噪音舉發,北投區大業路-豐年路二段 國泰華威豐年興建工程,20210501,002600
2021050100005,路燈故障或設施損壞,中正區紹興南街從濟南路一段 到忠孝東路之間,20210501,003000
2021050100007,場所與設施噪音舉發,北投區大業路-北投路二段交叉口 ,20210501,003300
2021050100008,大型廢棄物清運聯繫,大安區臺北市大安區古莊里018鄰師大路１０２巷８號,20210501,003600
2021050100009,大型廢棄物清運聯繫,大安區臺北市大安區龍泉里009鄰泰順街１２號,20210501,003600
2021050100010,大型廢棄物清運聯繫,中山區臺北市中山區中原里015鄰吉林路１６８巷１４號,20210501,003600
2021050100011,場所與設施噪音舉發,中正區衡陽路-桃源街,20210501,003700
2021050100012,污染舉發,文山區文山區興隆路二段153巷5弄4號,20210501,003800
2021050100013,路燈故障或設施損壞,信義區嘉興街179之28號,20210501,004800
2021050100014,用戶無水、漏水報修,文山區116台灣台北市文山區興隆路一段271巷2弄1號,20210501,005200
2021050100015,場所與設施噪音舉發,文山區臺北市文山區興邦里003鄰興隆路二段１７１號,20210501,005500
2021050100016,場所與設施噪音舉發,松山區臺北市松山區新東里018鄰塔悠路１９５號,20210501,010300
2021050100017,場所與設施噪音舉發,文山區臺北市文山區萬興里003鄰新光路一段１５８號,20210501,010700
2021050100018,路燈故障或設施損壞,南港區臺北市南港區鴻福里008鄰玉成街２０１巷２弄１６號,20210501,011500
2021050100019,場所與設施噪音舉發,松山區臺北市松山區中崙里017鄰八德路二段４１０巷９２號,20210501,012000
2021050100020,路燈故障或設施損壞,南港區研究院路二段102巷23弄內整條,20210501,012900
2021050100021,場所與設施噪音舉發,文山區羅斯福路五段218巷附近靠近捷運萬隆站民眾不清楚確切來源位置,20210501,013700
2021050100022,場所與設施噪音舉發,松山區臺北市松山區中華里001鄰敦化北路１９９巷１６弄１５號,20210501,014200
2021050100023,場所與設施噪音舉發,文山區臺北市文山區萬年里011鄰羅斯福路五段１７２號,20210501,013900
2021050100024,場所與設施噪音舉發,松山區臺北市松山區敦化里013鄰市民大道四段１２９號,20210501,014300
2021050100026,場所與設施噪音舉發,士林區自強隧道出口處大直往士林方向,20210501,014600
2021050100027,場所與設施噪音舉發,大安區金山南路二段101巷 政大公企中心營建工地,20210501,014800
2021050100028,場所與設施噪音舉發,中山區臺北市中山區聚盛里016鄰錦州街４６號,20210501,014700
2021050100029,場所與設施噪音舉發,士林區111台灣台北市士林區外雙溪(故宮),20210501,020000
2021050100030,路燈故障或設施損壞,文山區臺北市文山區萬年里003鄰汀州路四段８８號,20210501,020700
2021050100031,場所與設施噪音舉發,文山區羅斯福路五段與興隆路交叉口 ,20210501,021400
2021050100032,交通號誌異常,中正區羅斯福路與愛國東路交叉口,20210501,022500
2021050100033,場所與設施噪音舉發,士林區臺北市士林區臨溪里005鄰故宮路４１巷２號,20210501,023000
2021050100034,場所與設施噪音舉發,信義區福德街84巷-福德街交叉口旁邊,20210501,024800
2021050100035,場所與設施噪音舉發,中山區臺北市中山區聚盛里016鄰錦州街４６號,20210501,030600
2021050100036,場所與設施噪音舉發,中山區臺北市中山區朱馥里005鄰合江街３６巷１５號,20210501,031400
2021050100037,場所與設施噪音舉發,文山區臺北市文山區博嘉里017鄰木柵路四段６６號,20210501,032500
2021050100038,場所與設施噪音舉發,文山區文山區興隆路一段68號,20210501,033900
2021050100039,場所與設施噪音舉發,文山區臺北市文山區萬年里013鄰羅斯福路五段１９０號,20210501,034000
2021050100040,場所與設施噪音舉發,文山區臺北市文山區萬年里013鄰羅斯福路五段１９０號,20210501,034400
2021050100041,場所與設施噪音舉發,文山區臺北市文山區萬年里013鄰羅斯福路五段１９０號,20210501,034500
2021050100042,場所與設施噪音舉發,文山區羅斯福路五段-興隆路一段交叉口,20210501,035000
2021050100043,場所與設施噪音舉發,中山區中山區德惠街202號,20210501,035300
2021050100044,道路散落物或油漬處理,士林區中正路-文林路交叉口(只知道在路口處無法說明詳細地點),20210501,035500
2021050100045,場所與設施噪音舉發,大同區臺北市大同區民權里006鄰民權西路１４８號,20210501,035600
2021050100046,道路散落物或油漬處理,大安區臺北市大安區建安里008鄰敦化南路一段１６１巷６３號,20210501,041600
2021050100048,道路散落物或油漬處理,大安區敦化南路一段161巷-忠孝東路四段205巷,20210501,042600
2021050100049,污染舉發,士林區臺北市士林區聖山里016鄰德行東路１８４號,20210501,043100
2021050100050,鄰里無主垃圾清運,萬華區西園路一段72巷-西園路一段交叉口旁路邊,20210501,045500
2021050100051,場所與設施噪音舉發,中正區羅斯福路四段52巷-汀州路三段交叉口旁邊,20210501,050600
2021050100052,道路散落物或油漬處理,中山區臺北市中山區江寧里014鄰民權東路三段２號,20210501,051700
2021050100053,鄰里無主垃圾清運,內湖區臺北市內湖區清白里024鄰星雲街１６６號,20210501,052500
2021050100054,場所與設施噪音舉發,文山區臺北市文山區萬祥里001鄰興隆路一段６８號,20210501,052500
2021050100055,大型廢棄物清運聯繫,大安區臺北市大安區德安里012鄰東豐街６７號,20210501,053100
2021050100056,道路散落物或油漬處理,北投區北投區中央南路二段12之1號,20210501,054700
2021050100057,大型廢棄物清運聯繫,文山區臺北市文山區興旺里015鄰福興路１０６巷２８弄１號,20210501,061400
2021050100058,場所與設施噪音舉發,萬華區萬華區昆明街34號,20210501,062200
2021050100059,鄰里無主垃圾清運,文山區木新路二段68號,20210501,063600
2021050100060,污染舉發,士林區臺北市士林區福順里015鄰延平北路五段１８２號,20210501,064800
2021050100061,大型廢棄物清運聯繫,士林區臺北市士林區天母里015鄰天玉街８１巷２號,20210501,071300
2021050100063,場所與設施噪音舉發,中山區臺北市中山區正守里003鄰新生北路一段８２號,20210501,072100
2021050100064,場所與設施噪音舉發,萬華區貴陽街二段13號,20210501,074300
2021050100065,場所與設施噪音舉發,大同區臺北市大同區老師里018鄰迪化街二段２７７號,20210501,080900
2021050100066,場所與設施噪音舉發,信義區110台灣台北市信義區忠孝東路五段15巷15號,20210501,081200
2021050100067,用戶無水、漏水報修,中山區臺北市中山區劍潭里006鄰通北街１６５巷６號,20210501,082000
2021050100068,場所與設施噪音舉發,中正區臺北市中正區螢圃里001鄰和平西路一段８２號,20210501,081800
2021050100069,大型廢棄物清運聯繫,中正區臺北市中正區永昌里012鄰中華路二段４２５號,20210501,082700
2021050100070,場所與設施噪音舉發,信義區嘉興街181巷巷口,20210501,083000
2021050100071,場所與設施噪音舉發,松山區臺北市松山區自強里007鄰三民路７４巷２號,20210501,083300
2021050100072,污染舉發,信義區嘉興街181巷巷口,20210501,083500
2021050100074,場所與設施噪音舉發,內湖區大湖公園站出口2,20210501,083800
2021050100076,大型廢棄物清運聯繫,信義區臺北市信義區雅祥里002鄰基隆路一段１１巷１０弄３４號,20210501,083600
2021050100077,場所與設施噪音舉發,中山區天津街24號,20210501,083900
2021050100078,交通號誌異常,南港區研究院路一段101巷巷口,20210501,084200
2021050100080,場所與設施噪音舉發,中正區100台灣台北市中正區延平南路163巷1號,20210501,084300
2021050100081,場所與設施噪音舉發,大安區臺北市大安區建安里008鄰敦化南路一段１６１巷６２號,20210501,084700
2021050100082,交通號誌異常,南港區研究院路一段110號,20210501,084800
2021050100084,交通號誌異常,南港區中南街123巷-中南街交叉口,20210501,084800
2021050100085,大型廢棄物清運聯繫,大安區臺北市大安區通化里012鄰通化街３９巷６１弄２３號,20210501,084900
2021050100086,鄰里無主垃圾清運,中正區100台灣台北市中正區福州街58號,20210501,085200
2021050100087,道路散落物或油漬處理,士林區天母東路-天母東路105巷(羊肉爐前方路面),20210501,085600
2021050100088,場所與設施噪音舉發,文山區臺北市文山區景行里009鄰景文街８３號,20210501,090100
