案件編號,派工項目,案件地址,立案日期,立案時間
2020100100001,場所與設施噪音舉發,士林區通河街-承德路四段,20201001,000000
2020100100002,污染舉發,中山區林森北路119巷55之1號,20201001,000700
2020100100003,污染舉發,士林區通河街-承德路四段,20201001,000700
2020100100004,道路散落物或油漬處理,大同區民族西路205巷 整條巷子,20201001,000900
2020100100005,場所與設施噪音舉發,文山區臺北市文山區景華里005鄰景興路９６巷２３號,20201001,001200
2020100100006,場所與設施噪音舉發,北投區靠近文林郵局的文林北路75巷與文林北路交叉口附近,20201001,002500
2020100100007,場所與設施噪音舉發,大同區臺北市大同區延平里008鄰保安街５０號,20201001,004000
2020100100008,場所與設施噪音舉發,松山區臺北市松山區民有里023鄰民權東路三段１６０巷１之２號,20201001,004600
2020100100009,場所與設施噪音舉發,北投區臺北市北投區文林里019鄰明德路３巷９號,20201001,010700
2020100100010,市區道路坑洞處理,松山區八德路四段-中坡北路(坑洞右前方有7-11),20201001,011600
2020100100011,道路散落物或油漬處理,信義區松山路上的富邦銀行附近(松德路往忠孝東路五段方向詳細地址民眾無法提供),20201001,011700
2020100100012,場所與設施噪音舉發,北投區文林北路-明德路交叉口,20201001,012000
2020100100013,鄰里無主垃圾清運,信義區松德路要左轉松山路的斑馬線附近,20201001,011800
2020100100014,場所與設施噪音舉發,中正區金山南路一段50號,20201001,012000
2020100100016,場所與設施噪音舉發,大安區通化街19巷6弄6號,20201001,020100
2020100100017,場所與設施噪音舉發,中山區臺北市中山區晴光里004鄰新生北路三段６２巷１６號,20201001,020500
2020100100018,場所與設施噪音舉發,萬華區臺北市萬華區福音里008鄰昆明街２７８號,20201001,020400
2020100100019,場所與設施噪音舉發,萬華區臺北市萬華區福音里008鄰昆明街２７８號,20201001,021500
2020100100020,污染舉發,萬華區臺北市萬華區福音里008鄰昆明街２７８號,20201001,021400
2020100100021,場所與設施噪音舉發,中正區?門街81號,20201001,023500
2020100100022,鄰里無主垃圾清運,中山區臺北市中山區埤頭里004鄰八德路二段１９２號,20201001,023700
2020100100023,場所與設施噪音舉發,文山區臺北市文山區樟新里014鄰木新路三段２５５號,20201001,025400
2020100100024,場所與設施噪音舉發,大安區臺北市大安區民炤里012鄰仁愛路三段２４巷２８號,20201001,030300
2020100100025,大型廢棄物清運聯繫,松山區臺北市松山區新益里003鄰富錦街５８１巷１１號,20201001,031000
2020100100026,場所與設施噪音舉發,大安區臺北市大安區通化里005鄰通化街１９巷３之１號,20201001,032600
2020100100027,場所與設施噪音舉發,中山區臺北市中山區正義里012鄰林森北路１３３巷５２號,20201001,035600
2020100100028,鄰里無主垃圾清運,士林區111台灣台北市士林區中山北路七段14巷5弄9號,20201001,035900
2020100100029,鄰里無主垃圾清運,士林區臺北市士林區忠誠里006鄰忠誠路一段１０２號,20201001,051300
2020100100030,大型廢棄物清運聯繫,萬華區臺北市萬華區銘德里018鄰長泰街２９７巷４號,20201001,052500
2020100100031,路燈故障或設施損壞,信義區臺北市信義區興雅里023鄰永吉路３０巷１５７弄２１號,20201001,052900
2020100100032,污染舉發,北投區明德路150巷的榮華公園內的福佑宮,20201001,055300
2020100100033,交通號誌異常,士林區重慶北路四段49巷巷口往士林方向,20201001,061900
2020100100034,場所與設施噪音舉發,文山區臺北市文山區景華里005鄰景興路９６巷２３號,20201001,065800
2020100100035,場所與設施噪音舉發,北投區明德路337巷-石牌路二段90巷交叉口,20201001,070600
