案件編號,派工項目,案件地址,立案日期,立案時間
2020030100001,場所與設施噪音舉發,中山區臺北市中山區聚盛里004鄰錦州街３２號,20200301,003600
2020030100002,場所與設施噪音舉發,萬華區臺北市萬華區壽德里007鄰萬大路４２３巷５９號,20200301,004300
2020030100004,場所與設施噪音舉發,萬華區成都路-康定路,20200301,010300
2020030100005,污染舉發,萬華區成都路-康定路,20200301,010800
2020030100007,道路散落物或油漬處理,士林區重陽橋剛上橋轉彎處的汽車道(蘆洲往士林方向),20200301,012500
2020030100008,路燈故障或設施損壞,士林區永公路245巷34弄144號,20200301,014200
2020030100010,場所與設施噪音舉發,信義區臺北市信義區西村里008鄰松壽路１２號,20200301,021500
2020030100012,場所與設施噪音舉發,信義區臺北市信義區西村里004鄰基隆路一段３６４巷１９號,20200301,023900
2020030100013,場所與設施噪音舉發,北投區中央北路三段23號,20200301,025600
2020030100014,場所與設施噪音舉發,信義區臺北市信義區西村里001鄰光復南路４２１巷９４號,20200301,030800
2020030100015,交通號誌電纜線垂落及設施損壞,中正區羅斯福路一段-寧波西街 東南角,20200301,031600
2020030100016,場所與設施噪音舉發,信義區臺北市信義區西村里004鄰基隆路一段３６４巷９號,20200301,031800
2020030100017,場所與設施噪音舉發,信義區臺北市信義區西村里012鄰基隆路一段３６４巷１４號,20200301,032200
2020030100018,場所與設施噪音舉發,信義區臺北市信義區松光里020鄰松山路５４１巷１４弄２號,20200301,032800
2020030100019,場所與設施噪音舉發,萬華區臺北市萬華區青山里009鄰梧州街１２巷１號,20200301,035900
2020030100020,雨水下水道側溝清淤,中山區松江路123巷6號,20200301,040300
2020030100021,用戶無水、漏水報修,大同區臺北市大同區建功里021鄰長安西路２７０號,20200301,060500
2020030100022,路燈故障或設施損壞,內湖區114台灣台北市內湖區成功路二段182號,20200301,064700
2020030100023,用戶無水、漏水報修,內湖區臺北市內湖區金龍里012鄰內湖路三段３７號,20200301,065200
2020030100024,鄰里無主垃圾清運,信義區臺北市信義區六合里011鄰信義路五段１５０巷４５９號,20200301,070400
2020030100025,鄰里無主垃圾清運,中正區臺北市中正區頂東里006鄰羅斯福路三段２號,20200301,072200
2020030100026,場所與設施噪音舉發,北投區臺北市北投區吉利里011鄰石牌路一段３９巷１３１弄２號,20200301,075500
2020030100027,鄰里無主垃圾清運,文山區景華街128巷與景華街交叉口,20200301,080000
2020030100028,污染舉發,松山區臺北市松山區新聚里026鄰南京東路五段２５０巷３號,20200301,080700
2020030100029,鄰里無主垃圾清運,文山區臺北市文山區萬隆里007鄰羅斯福路五段２２０號,20200301,080600
2020030100030,大型廢棄物清運聯繫,中正區臺北市中正區水源里005鄰汀州路三段１９８號,20200301,081000
2020030100031,場所與設施噪音舉發,松山區臺北市松山區美仁里011鄰南京東路四段１０號,20200301,082100
2020030100032,污染舉發,士林區臺北市士林區百齡里018鄰前港街１２６號,20200301,083500
2020030100033,大型廢棄物清運聯繫,中正區臺北市中正區水源里001鄰羅斯福路四段５０號,20200301,083900
2020030100035,污染舉發,士林區士林區福華路１４７號,20200301,084900
2020030100036,用戶無水、漏水報修,大同區臺北市大同區建功里021鄰長安西路２７２號,20200301,085100
2020030100037,場所與設施噪音舉發,士林區臺北市士林區福志里018鄰中正路１１６號,20200301,090000
2020030100038,鄰里無主垃圾清運,大安區臺北市大安區建安里003鄰市民大道四段１２２號,20200301,091700
2020030100039,污染舉發,內湖區文湖街４９號,20200301,091600
2020030100040,場所與設施噪音舉發,中正區臺北市中正區新營里007鄰愛國東路７０號,20200301,091900
2020030100041,鄰里無主垃圾清運,大同區市民大道四段138之5號,20200301,092200
2020030100042,大型廢棄物清運聯繫,內湖區臺北市內湖區清白里028鄰星雲街１６８巷３５號,20200301,092500
2020030100043,場所與設施噪音舉發,中正區愛國東路３４號,20200301,092400
2020030100044,場所與設施噪音舉發,大同區承德路三段285巷,20200301,092700
2020030100045,場所與設施噪音舉發,信義區永吉路443巷,20200301,094200
2020030100046,污染舉發,文山區恆光街過恆光橋(往貓空方向)在政大後門路段上,20200301,094400
2020030100047,鄰里無主垃圾清運,大同區臺北市大同區建明里018鄰重慶北路一段４９巷１３號,20200301,094800
2020030100048,大型廢棄物清運聯繫,文山區萬隆街１３巷１２號,20200301,094800
2020030100049,場所與設施噪音舉發,信義區臺北市信義區大仁里018鄰林口街１０巷４４號,20200301,095600
2020030100050,場所與設施噪音舉發,內湖區潭美街１２５號,20200301,095800
2020030100052,大型廢棄物清運聯繫,大安區臺北市大安區錦華里008鄰潮州街４８巷６號,20200301,101100
2020030100053,污染舉發,北投區行義路與行義路146巷交叉口(於行義路146巷內),20200301,101200
2020030100054,場所與設施噪音舉發,松山區臺北市松山區吉祥里018鄰南京東路五段３２號,20200301,101500
2020030100055,場所與設施噪音舉發,大安區106台灣台北市大安區復興南路二段175-1號,20200301,101400
2020030100056,大型廢棄物清運聯繫,信義區臺北市信義區黎平里011鄰富陽街７２巷２８號,20200301,101800
2020030100057,大型廢棄物清運聯繫,北投區懷德街１０５巷２號,20200301,102200
2020030100058,鄰里無主垃圾清運,中正區100台灣台北市中正區福州街58號,20200301,102300
2020030100059,用戶無水、漏水報修,大同區臺北市大同區建功里021鄰長安西路２７０號,20200301,102500
2020030100060,污染舉發,萬華區臺北市萬華區壽德里007鄰萬大路４２３巷４９號,20200301,102700
2020030100061,大型廢棄物清運聯繫,萬華區臺北市萬華區福星里005鄰洛陽街５５號,20200301,103000
2020030100062,大型廢棄物清運聯繫,文山區臺北市文山區景行里014鄰景美街１１８號,20200301,103100
2020030100063,大型廢棄物清運聯繫,中正區三元街１６４號,20200301,103100
2020030100064,交通號誌異常,中正區100台灣台北市中正區重慶南路一段142號,20200301,103200
2020030100066,場所與設施噪音舉發,信義區臺北市信義區松隆里002鄰福德街８７號,20200301,105100
2020030100067,場所與設施噪音舉發,內湖區港墘路155巷,20200301,105400
2020030100068,污染舉發,北投區紗帽路半嶺桶仔雞車道轉角上來100公尺邊坡,20200301,105600
2020030100069,大型廢棄物清運聯繫,文山區臺北市文山區興邦里017鄰興隆路二段２０３巷１３０號,20200301,105700
2020030100070,交通號誌異常,大同區長安西路-塔城街,20200301,105800
2020030100071,交通號誌異常,大同區塔城街與長安西路口兩側的紅綠燈,20200301,110000
2020030100072,場所與設施噪音舉發,中山區臺北市中山區興亞里018鄰松江路１０８巷１６號,20200301,110400
2020030100073,大型廢棄物清運聯繫,松山區臺北市松山區吉祥里025鄰八德路四段９１巷３弄４１號,20200301,110700
2020030100074,用戶無水、漏水報修,內湖區康寧路一段２３號,20200301,111600
2020030100075,污染舉發,大安區臺北市大安區仁愛里018鄰忠孝東路四段１２８號,20200301,111900
2020030100076,鄰里無主垃圾清運,北投區臺北市北投區吉利里020鄰石牌路一段３９巷１００號,20200301,112100
2020030100077,場所與設施噪音舉發,中山區臺北市中山區集英里014鄰天祥路３７號,20200301,112200
2020030100078,場所與設施噪音舉發,松山區臺北市松山區東榮里023鄰民生東路五段６９巷２１弄１８號,20200301,113600
2020030100079,雨水下水道側溝清淤,信義區松隆路往南基隆路到松信路之間,20200301,113600
2020030100080,雨水下水道側溝清淤,信義區臺北市信義區興雅里009鄰基隆路一段１４７巷１０號,20200301,114100
2020030100081,污染舉發,信義區臺北市信義區興雅里009鄰基隆路一段１４７巷１０號,20200301,114400
2020030100082,大型廢棄物清運聯繫,信義區臺北市信義區興雅里001鄰忠孝東路五段１之２號,20200301,114600
2020030100083,大型廢棄物清運聯繫,北投區臺北市北投區關渡里012鄰知行路６８號,20200301,114800
2020030100084,大型廢棄物清運聯繫,萬華區臺北市萬華區忠貞里006鄰青年路５６號,20200301,114800
2020030100085,污染舉發,內湖區臺北市內湖區港都里002鄰港墘路６８號,20200301,114800
2020030100086,用戶無水、漏水報修,內湖區臺北市內湖區紫雲里003鄰康寧路一段１７３巷２弄６號,20200301,115100
2020030100087,場所與設施噪音舉發,士林區德行東路203巷巷口,20200301,115900
2020030100088,大型廢棄物清運聯繫,信義區臺北市信義區大仁里001鄰林口街９２號,20200301,120100
2020030100089,污染舉發,士林區德行東路203巷巷口,20200301,120000
2020030100090,大型廢棄物清運聯繫,信義區臺北市信義區永春里001鄰永吉路４９２之１號,20200301,120200
2020030100091,大型廢棄物清運聯繫,萬華區臺北市萬華區忠德里001鄰西園路二段１８１號,20200301,120400
2020030100092,大型廢棄物清運聯繫,大安區臺北市大安區通安里012鄰通安街１１８巷５號,20200301,120700
2020030100093,大型廢棄物清運聯繫,大同區臺北市大同區建功里014鄰華亭街４５號,20200301,120700
2020030100094,道路散落物或油漬處理,南港區市民大道八段-東南街交叉口(過市民大道8段東往西方向 約80公尺處),20200301,121800
2020030100095,大型廢棄物清運聯繫,中山區臺北市中山區圓山里012鄰雙城街４９巷５號,20200301,121900
2020030100096,大型廢棄物清運聯繫,大安區瑞安街２４４巷３０之１號,20200301,122300
2020030100097,大型廢棄物清運聯繫,文山區臺北市文山區景行里001鄰景後街２１０號,20200301,122500
2020030100098,大型廢棄物清運聯繫,大安區臺北市大安區義村里001鄰忠孝東路三段２４８巷１３弄２之３號,20200301,123500
2020030100099,道路側溝溝蓋(含周邊)損壞遺失,中山區10491台灣台北市中山區新生北路二段118號,20200301,123300
2020030100100,場所與設施噪音舉發,中山區臺北市中山區松江里009鄰松江路３１３巷２號,20200301,123600
2020030100101,場所與設施噪音舉發,信義區110台灣台北市信義區信義路五段150巷11弄6號,20200301,124500
2020030100102,鄰里無主垃圾清運,中正區臺北市中正區龍光里004鄰寧波西街１１６號,20200301,124600
2020030100103,大型廢棄物清運聯繫,南港區臺北市南港區九如里023鄰研究院路三段６８巷１６號,20200301,125000
2020030100104,大型廢棄物清運聯繫,信義區臺北市信義區三張里024鄰莊敬路４２３巷７弄５號,20200301,125200
2020030100105,大型廢棄物清運聯繫,文山區臺北市文山區興福里002鄰景興路４３號,20200301,132100
2020030100106,污染舉發,大安區臺北市大安區光武里010鄰敦化南路一段１６０巷４５號,20200301,132100
2020030100107,鄰里無主垃圾清運,內湖區臺北市內湖區明湖里013鄰康寧路三段１８９巷２１弄１１號,20200301,132300
2020030100108,鄰里無主垃圾清運,中正區臺北市中正區東門里003鄰徐州路２之１號,20200301,132300
2020030100109,大型廢棄物清運聯繫,士林區臺北市士林區明勝里013鄰承德路四段１０巷７３號,20200301,132400
2020030100110,大型廢棄物清運聯繫,內湖區臺北市內湖區週美里005鄰新明路３６９之９號,20200301,132600
2020030100111,大型廢棄物清運聯繫,信義區臺北市信義區中行里005鄰中坡南路２４７號,20200301,132900
2020030100112,大型廢棄物清運聯繫,士林區臺北市士林區名山里012鄰雨聲街６５巷３１號,20200301,133100
2020030100113,大型廢棄物清運聯繫,松山區臺北市松山區慈祐里018鄰八德路四段６８６號,20200301,133200
2020030100114,污染舉發,內湖區臺北市內湖區五分里005鄰東湖路１０６巷８號,20200301,134700
2020030100115,大型廢棄物清運聯繫,大安區臺北市大安區福住里003鄰永康街２３巷５３號,20200301,135900
2020030100116,大型廢棄物清運聯繫,信義區臺北市信義區興雅里021鄰基隆路一段１４７巷５弄１號,20200301,140000
2020030100117,路燈故障或設施損壞,內湖區114台灣台北市內湖區東湖路160巷38號,20200301,140100
2020030100118,路燈故障或設施損壞,內湖區114台灣內湖區內湖區康寧路南湖大橋旁.康寧抽水站,20200301,140700
2020030100119,大型廢棄物清運聯繫,中山區臺北市中山區行仁里001鄰五常街４７號,20200301,141500
2020030100120,鄰里無主垃圾清運,中山區臺北市中山區中庄里009鄰吉林路２３６巷２３號,20200301,141500
2020030100121,大型廢棄物清運聯繫,南港區臺北市南港區九如里024鄰研究院路三段６８巷１０弄４號,20200301,142300
2020030100122,大型廢棄物清運聯繫,南港區臺北市南港區中研里034鄰研究院路二段１４８號,20200301,142300
2020030100123,交通號誌電纜線垂落及設施損壞,士林區臺北市士林區芝山里003鄰仰德大道一段１０１號,20200301,142700
2020030100124,道路側溝溝蓋(含周邊)損壞遺失,中山區10491台灣台北市中山區民族東路544號,20200301,143000
2020030100125,大型廢棄物清運聯繫,北投區臺北市北投區奇岩里018鄰公?路２７６巷１之１號,20200301,144000
2020030100126,大型廢棄物清運聯繫,中正區臺北市中正區龍福里011鄰南海路４８號,20200301,144700
2020030100127,大型廢棄物清運聯繫,中山區臺北市中山區大直里007鄰大直街８７號,20200301,144700
2020030100128,鄰里無主垃圾清運,大同區臺北市大同區延平里009鄰甘州街１３號,20200301,145100
2020030100129,場所與設施噪音舉發,信義區和平東路三段與嘉興街口,20200301,145800
2020030100130,交通號誌異常,內湖區114台灣台北市內湖區安美街239號,20200301,145900
2020030100131,大型廢棄物清運聯繫,中山區臺北市中山區新庄里007鄰農安街７７巷９弄２０號,20200301,150200
2020030100132,大型廢棄物清運聯繫,士林區臺北市士林區福林里013鄰中山北路五段５０５巷２８號,20200301,150600
2020030100133,鄰里無主垃圾清運,內湖區康樂街136巷15弄,20200301,150600
2020030100134,大型廢棄物清運聯繫,信義區臺北市信義區中興里014鄰光復南路４７３巷３號,20200301,151300
2020030100135,大型廢棄物清運聯繫,南港區臺北市南港區中南里009鄰忠孝東路七段６０３號,20200301,151300
2020030100136,大型廢棄物清運聯繫,南港區臺北市南港區東新里012鄰興南街６４巷２６弄６號,20200301,151700
2020030100137,大型廢棄物清運聯繫,松山區臺北市松山區新聚里002鄰市民大道五段１９１號,20200301,151900
2020030100138,大型廢棄物清運聯繫,信義區臺北市信義區泰和里027鄰吳興街６００巷１００弄１３號,20200301,151700
2020030100139,大型廢棄物清運聯繫,文山區臺北市文山區興業里013鄰興隆路二段２２０巷５３弄４２號,20200301,152300
2020030100140,大型廢棄物清運聯繫,內湖區臺北市內湖區港都里011鄰麗山街３４８巷１０弄２５號,20200301,152300
2020030100141,大型廢棄物清運聯繫,萬華區臺北市萬華區銘德里016鄰長泰街２９４號,20200301,152500
2020030100142,大型廢棄物清運聯繫,中山區建國北路三段１３５號,20200301,152500
2020030100143,大型廢棄物清運聯繫,北投區臺北市北投區桃源里017鄰中央北路三段４０巷３８弄１８號,20200301,153000
2020030100144,大型廢棄物清運聯繫,內湖區臺北市內湖區紫星里025鄰成功路三段１８７巷３弄４號,20200301,153500
2020030100145,大型廢棄物清運聯繫,信義區臺北市信義區五常里007鄰永吉路２２５巷１６弄１９號,20200301,153600
2020030100146,大型廢棄物清運聯繫,文山區臺北市文山區政大里013鄰政大一街３２０巷２２號,20200301,153700
2020030100147,大型廢棄物清運聯繫,信義區虎林街１６４巷６０弄２４之１號,20200301,153800
2020030100148,大型廢棄物清運聯繫,大安區臺北市大安區通化里010鄰通化街１９巷２６號,20200301,154800
2020030100149,大型廢棄物清運聯繫,內湖區臺北市內湖區紫星里025鄰成功路三段１８７巷３弄４號,20200301,154700
2020030100150,鄰里無主垃圾清運,士林區臺北市士林區社新里028鄰延平北路六段２３７號,20200301,154800
2020030100151,大型廢棄物清運聯繫,文山區臺北市文山區萬興里025鄰新光路一段１５７號,20200301,154900
