案件編號,派工項目,案件地址,立案日期,立案時間
202306010,場所與設施噪音舉發,中山區臺北市中山區正義里001鄰林森北路８５巷３６號,20230601,002100
202306010,污染舉發,內湖區臺北市內湖區東湖里019鄰康樂街１３６巷３０弄３之１號,20230601,002300
202306010,路樹處理,南港區福德街251巷7弄,20230601,013000
202306010,場所與設施噪音舉發,士林區臺北市士林區葫蘆里014鄰葫蘆街１３５巷１０號,20230601,015400
202306010,場所與設施噪音舉發,中山區臺北市中山區正義里010鄰林森北路１１９巷２１號,20230601,021100
202306010,場所與設施噪音舉發,中山區臺北市中山區正義里006鄰林森北路８５巷７７號,20230601,021900
202306010,污染舉發,大安區臺北市大安區法治里005鄰樂利路１０７號,20230601,024000
202306010,場所與設施噪音舉發,中山區臺北市中山區正義里006鄰林森北路８５巷７７號,20230601,024900
202306010,大型廢棄物清運聯繫,信義區臺北市信義區新仁里003鄰忠孝東路四段５５３巷１６弄８之１號,20230601,050700
202306010,道路散落物或油漬處理,中正區汀州路三段,20230601,055800
202306010,路樹處理,南港區研究院路一段130巷,20230601,060600
202306010,鄰里無主垃圾清運,萬華區成都路27巷-成都路,20230601,061400
202306010,道路散落物或油漬處理,萬華區水源快速道路-萬大路,20230601,063600
202306010,交通號誌異常,大安區臺北市大安區龍門里004鄰建國南路二段２６９號,20230601,064000
202306010,污染舉發,文山區臺北市文山區試院里030鄰木柵路一段６０號,20230601,064100
202306010,交通號誌異常,內湖區東湖路160巷10弄-五分街,20230601,071400
202306010,大型廢棄物清運聯繫,文山區臺北市文山區樟林里025鄰光輝路１３４巷６號,20230601,072400
202306010,場所與設施噪音舉發,大安區復興南路一段-仁愛路三段,20230601,072600
202306010,大型廢棄物清運聯繫,士林區臺北市士林區天山里020鄰中山北路七段１９０巷８號,20230601,072800
202306010,污染舉發,萬華區臺北市萬華區興德里018鄰富民路１４５巷４號,20230601,073100
202306010,大型廢棄物清運聯繫,內湖區114台灣台北市內湖區民權東路六段120巷9弄2號,20230601,073400
202306010,交通號誌異常,中正區中華路一段-漢口街一段,20230601,074100
202306010,場所與設施噪音舉發,中山區臺北市中山區正守里012鄰林森北路６７巷７６號,20230601,075600
202306010,市區道路坑洞處理,大安區臺北市大安區虎嘯里007鄰和平東路三段６０號,20230601,080600
202306010,橋梁、隧道、車(人)行地下道及涵洞積淹水,中山區民權東路一段,20230601,081300
202306010,大型廢棄物清運聯繫,北投區臺北市北投區中庸里015鄰雙全街４８巷３號,20230601,081500
202306010,大型廢棄物清運聯繫,松山區臺北市松山區中華里009鄰南京東路四段５３巷１０弄１５號,20230601,081900
202306010,交通標誌及設施物損壞(含汙損)、傾斜,文山區116台灣台北市文山區忠順街一段119號,20230601,082600
202306010,道路散落物或油漬處理,大安區臺北市大安區大學里021鄰羅斯福路三段２６９巷１２號,20230601,082700
202306010,交通標誌及設施物損壞(含汙損)、傾斜,大安區106台灣台北市大安區忠孝東路三段217巷6弄21號,20230601,083100
202306010,場所與設施噪音舉發,中山區臺北市中山區聚盛里006鄰中山北路二段９３巷１５號,20230601,083200
202306010,污染舉發,大同區臺北市大同區延平里016鄰歸綏街２０４號,20230601,083500
202306010,路燈故障或設施損壞,信義區110台灣台北市信義區信義路五段信義雅翠一座,20230601,083400
202306010,大型廢棄物清運聯繫,信義區臺北市信義區中坡里014鄰大道路１１１號,20230601,083900
202306010,場所與設施噪音舉發,松山區105台灣台北市松山區八德路四段208號,20230601,084600
202306010,交通標誌及設施物損壞(含汙損)、傾斜,大安區文昌街-文昌街250巷,20230601,084700
202306010,路樹處理,北投區台北市北投區承德路七段198號,20230601,084800
202306010,大型廢棄物清運聯繫,大安區臺北市大安區敦煌里009鄰信義路四段２３５號,20230601,085800
202306010,動物救援,大同區臺北市大同區光能里005鄰南京西路２５巷１４號,20230601,090000
202306010,大型廢棄物清運聯繫,大安區臺北市大安區建安里017鄰忠孝東路四段１８１巷７弄９號,20230601,090100
202306010,河濱公園自行車道破損、油漬及樹倒,文山區台北市,20230601,085900
202306010,交通標誌及設施物損壞(含汙損)、傾斜,士林區111台灣台北市士林區天母東路8巷42-1號,20230601,090100
202306010,大型廢棄物清運聯繫,中正區臺北市中正區幸福里005鄰青島東路２３號,20230601,090900
202306010,路樹處理,北投區承德路六段288號,20230601,091100
202306010,場所與設施噪音舉發,大安區臺北市大安區永康里005鄰信義路二段１７６號,20230601,092400
202306010,大型廢棄物清運聯繫,信義區臺北市信義區三犁里015鄰信義路五段１５０巷２２弄４號,20230601,092800
202306010,交通號誌異常,內湖區民權東路六段-民權東路六段81巷,20230601,092800
202306010,大型廢棄物清運聯繫,信義區臺北市信義區新仁里014鄰忠孝東路四段５５９巷１６弄４號,20230601,093000
202306010,大型廢棄物清運聯繫,信義區臺北市信義區松光里022鄰松山路５４１巷１７號,20230601,093100
202306010,路樹處理,北投區台北市北科路,20230601,093200
202306010,大型廢棄物清運聯繫,內湖區臺北市內湖區石潭里020鄰南京東路六段３５０之２號,20230601,093500
202306010,動物救援,內湖區潭美街139號,20230601,093500
202306010,鄰里無主垃圾清運,信義區信義國小,20230601,093500
202306010,交通標誌及設施物損壞(含汙損)、傾斜,中正區100台灣台北市中正區羅斯福路三段300號,20230601,093800
202306010,場所與設施噪音舉發,士林區111台灣台北市士林區劍潭路1號,20230601,094200
202306010,大型廢棄物清運聯繫,內湖區臺北市內湖區湖濱里027鄰內湖路二段２６３巷３０弄２之１號,20230601,094400
202306010,市區道路坑洞處理,大安區106台灣台北市大安區基隆路二段142號,20230601,094500
202306010,交通標誌及設施物損壞(含汙損)、傾斜,中正區100台灣台北市中正區羅斯福路三段316巷10號,20230601,094700
202306010,道路側溝溝蓋(含周邊)損壞遺失,松山區105台灣台北市松山區南京東路四段52巷8-2號,20230601,094800
202306010,大型廢棄物清運聯繫,松山區臺北市松山區新東里009鄰延壽街９７號,20230601,095300
202306010,市區道路坑洞處理,北投區112台灣台北市北投區東華街二段404號,20230601,095600
202306010,鄰里無主垃圾清運,中正區臺北市中正區梅花里013鄰新生南路一段６號,20230601,095900
202306010,污染舉發,南港區經貿二路62巷,20230601,100100
202306010,道路散落物或油漬處理,萬華區華中橋,20230601,095900
202306010,鄰里無主垃圾清運,萬華區西園路一段136巷,20230601,100000
202306010,道路散落物或油漬處理,萬華區華中橋,20230601,100200
202306010,道路散落物或油漬處理,萬華區臺北市萬華區華中里003鄰萬大路４６４號,20230601,100300
202306010,場所與設施噪音舉發,內湖區臺北市內湖區瑞陽里017鄰文德路２２巷９弄４８號,20230601,101600
202306010,路樹處理,南港區115台灣台北市南港區昆陽街163巷3號,20230601,101600
202306010,路燈故障或設施損壞,南港區臺北市南港區九如里028鄰研究院路四段１６１號,20230601,102000
202306010,污染舉發,萬華區臺北市萬華區菜園里023鄰西昌街１１５號,20230601,102100
202306010,大型廢棄物清運聯繫,中山區臺北市中山區行仁里014鄰龍江路３５６巷５５號,20230601,102500
202306010,場所與設施噪音舉發,中山區臺北市中山區復華里011鄰遼寧街１７７號,20230601,102400
202306010,交通標誌及設施物損壞(含汙損)、傾斜,大同區103台灣台北市大同區大龍街66號,20230601,102300
202306010,雨水下水道側溝清淤,大安區臺北市大安區福住里012鄰永康街１５號,20230601,102800
202306010,市區道路坑洞處理,內湖區臺北市內湖區寶湖里001鄰民權東路六段１０９號,20230601,102600
202306010,市區道路坑洞處理,中正區永福橋,20230601,102900
202306010,污染舉發,北投區臺北市北投區稻香里010鄰稻香路１０９號,20230601,102900
202306010,大型廢棄物清運聯繫,中山區臺北市中山區行仁里013鄰龍江路３５２號,20230601,103100
202306010,大型廢棄物清運聯繫,信義區臺北市信義區長春里010鄰虎林街１０８巷４５號,20230601,103200
202306010,道路散落物或油漬處理,萬華區華中橋,20230601,103400
202306010,動物救援,信義區臺北市信義區景新里004鄰莊敬路２４６號,20230601,103800
202306010,道路散落物或油漬處理,萬華區萬大路,20230601,103500
202306010,路燈故障或設施損壞,北投區臺北市北投區八仙里011鄰承德路七段４０１巷６２６號,20230601,103700
202306010,大型廢棄物清運聯繫,大安區臺北市大安區仁慈里013鄰大安路一段１７６巷３１號,20230601,103700
