案件編號,派工項目,案件地址,立案日期,立案時間
2018073100528,大型廢棄物清運聯繫,文山區,20180801,000000
2018080100001,污染舉發,中山區10491台灣台北市中山區新生北路三段18號,20180801,002500
2018080100002,動物虐待傷害,南港區115台灣台北市南港區東新街116-4號,20180801,005400
2018080100003,道路散落物或油漬處理,大同區(銜接往市民高架之前的引道過環河快速道路後只有1線汽車道)地標:  忠孝橋,20180801,010800
2018080100004,污染舉發,萬華區弄內不清楚確切來源,20180801,011300
2018080100005,污染舉發,大安區在建物有安東市場、安東幼兒園、大安工坊三個招牌共同存在的那一側,20180801,011000
2018080100006,污染舉發,大安區建物正前方在香港大中華燒臘店門口的樓上,20180801,011300
2018080100007,污染舉發,大安區門口前,20180801,015400
2018080100008,鄰里無主垃圾清運,大安區門前人行道上,20180801,021500
2018080100009,道路散落物或油漬處理,北投區在東昇路上往上山方向,20180801,022400
2018080100010,污染舉發,信義區,20180801,025100
2018080100011,橋梁、隧道、車(人)行地下道及涵洞積淹水,信義區110台灣台北市信義區信義路四段490號,20180801,030600
2018080100012,路燈故障或設施損壞,信義區在光復南路上(從仁愛路到忠孝東路之間)地標:  光復南路,20180801,035500
2018080100013,道路散落物或油漬處理,士林區與天母西路交叉口,20180801,040300
2018080100014,路燈故障或設施損壞,內湖區至內湖路三段之間(沒有名字的公園內,20180801,043900
2018080100015,場所與設施噪音舉發,信義區頂樓,20180801,052700
2018080100016,路燈故障或設施損壞,內湖區114台灣台北市內湖區內湖路一段333-3號,20180801,054700
2018080100017,大型廢棄物清運聯繫,士林區,20180801,055200
2018080100018,交通號誌異常,中正區公園路上從貴陽街一段到常德街之間的路口,20180801,065600
2018080100019,污染舉發,萬華區樓上不確定哪一層住戶,20180801,071200
2018080100020,道路側溝溝蓋(含周邊)損壞遺失,北投區(燦坤前路名牌前),20180801,071700
2018080100021,鄰里無主垃圾清運,松山區三信大樓前,20180801,071700
2018080100022,場所與設施噪音舉發,萬華區新和國小,20180801,072600
2018080100024,交通號誌異常,內湖區旁,20180801,073200
2018080100025,道路散落物或油漬處理,北投區地標:  洲美快速道路從大度路剛上去往南方向的第二車道,20180801,073500
2018080100026,污染舉發,大安區5樓以上的樓層有二戶民眾表示要到後方防火巷才看的到,20180801,074300
2018080100027,道路散落物或油漬處理,北投區在大業路上(在近與大度路交叉口往北投方向)交叉路口:  大業路  大度路,20180801,074100
2018080100028,鄰里無主垃圾清運,文山區,20180801,075800
2018080100029,交通號誌異常,大安區心泰原創泰國料理對面警衛亭的轉彎處,20180801,080800
2018080100031,大型廢棄物清運聯繫,信義區,20180801,080800
2018080100032,交通號誌電纜線垂落及設施損壞,北投區交叉路口:  石牌路二段  天母西路,20180801,080900
2018080100033,市區道路坑洞處理,內湖區,20180801,080900
2018080100034,交通號誌異常,中正區交叉路口:  襄陽路  懷寧街(西往東),20180801,082200
2018080100035,大型廢棄物清運聯繫,萬華區,20180801,082400
2018080100036,鄰里無主垃圾清運,文山區,20180801,082600
2018080100037,大型廢棄物清運聯繫,松山區,20180801,082700
2018080100038,大型廢棄物清運聯繫,北投區,20180801,083900
2018080100039,場所與設施噪音舉發,內湖區114台灣台北市內湖區新明路428巷6-1號,20180801,083900
2018080100040,道路散落物或油漬處理,內湖區地標:  民權大橋靠近消防隊東往西方向中間快速道路,20180801,084000
2018080100041,污染舉發,大同區,20180801,084100
2018080100042,場所與設施噪音舉發,中山區住戶 馬達在後面巷子 ,20180801,084500
2018080100043,場所與設施噪音舉發,大同區,20180801,084200
2018080100044,大型廢棄物清運聯繫,內湖區,20180801,084500
2018080100046,污染舉發,文山區木柵垃圾焚化廠地標:  木柵垃圾焚化廠由富德里公車站旁的第一條道路50公尺,20180801,084700
2018080100047,大型廢棄物清運聯繫,文山區,20180801,084800
2018080100048,大型廢棄物清運聯繫,大安區,20180801,084700
2018080100049,大型廢棄物清運聯繫,士林區,20180801,084700
2018080100050,道路散落物或油漬處理,內湖區地標:  民權大橋在民權大橋上往臺北市方向的正中央,20180801,085500
2018080100051,大型廢棄物清運聯繫,文山區,20180801,085400
2018080100052,道路散落物或油漬處理,內湖區地標:  民權大橋東往西方向約在橋中間處,20180801,085500
2018080100053,道路側溝溝蓋(含周邊)損壞遺失,中山區10491台灣台北市中山區合江街68號,20180801,085700
2018080100054,場所與設施噪音舉發,中山區,20180801,085900
2018080100055,大型廢棄物清運聯繫,文山區,20180801,090300
2018080100056,道路散落物或油漬處理,內湖區地標:  民權大橋內湖往松山機場方向,20180801,090900
2018080100057,道路散落物或油漬處理,內湖區往松山方向 上橋處 地標:  民權大橋,20180801,090300
2018080100058,路燈故障或設施損壞,中山區10491台灣台北市中山區中山北路二段42巷30號,20180801,090400
2018080100059,場所與設施噪音舉發,中山區,20180801,091600
2018080100060,場所與設施噪音舉發,中山區周邊大樓(不確定地點),20180801,090800
2018080100061,大型廢棄物清運聯繫,中山區,20180801,090900
2018080100062,交通號誌異常,中正區與柳州街交叉口,20180801,091700
2018080100063,污染舉發,士林區便當店,20180801,092200
2018080100064,大型廢棄物清運聯繫,萬華區,20180801,092000
2018080100065,道路散落物或油漬處理,內湖區交叉路口:  行忠路  民權東路六段46巷交叉口,20180801,092300
2018080100066,道路散落物或油漬處理,信義區松仁路國泰銀行往忠孝東路方向在松仁路快車道,20180801,092500
2018080100067,鄰里無主垃圾清運,大同區,20180801,092800
2018080100068,大型廢棄物清運聯繫,中山區,20180801,093000
2018080100069,污染舉發,信義區110台灣台北市信義區松仁路176號,20180801,093000
2018080100071,大型廢棄物清運聯繫,中正區,20180801,093700
2018080100072,大型廢棄物清運聯繫,內湖區,20180801,093800
2018080100073,道路散落物或油漬處理,大同區,20180801,093700
2018080100074,大型廢棄物清運聯繫,松山區,20180801,094100
2018080100075,大型廢棄物清運聯繫,信義區,20180801,094300
2018080100076,交通號誌異常,萬華區口交叉路口:  貴陽街  柳州街,20180801,094400
2018080100077,大型廢棄物清運聯繫,大安區,20180801,094700
2018080100078,大型廢棄物清運聯繫,北投區,20180801,095500
2018080100079,場所與設施噪音舉發,萬華區後面,20180801,100300
2018080100080,大型廢棄物清運聯繫,大安區,20180801,100200
2018080100081,大型廢棄物清運聯繫,中山區,20180801,100400
2018080100082,大型廢棄物清運聯繫,南港區,20180801,100600
2018080100083,大型廢棄物清運聯繫,大安區,20180801,100500
2018080100084,污染舉發,松山區不確定哪一戶只知道是樓上,20180801,100700
2018080100085,大型廢棄物清運聯繫,大同區,20180801,101100
2018080100086,大型廢棄物清運聯繫,信義區,20180801,101000
2018080100087,大型廢棄物清運聯繫,中山區,20180801,101200
2018080100089,市區道路坑洞處理,萬華區108台灣台北市萬華區桂林路242巷69號,20180801,101900
2018080100090,大型廢棄物清運聯繫,大同區,20180801,102100
2018080100091,道路側溝溝蓋(含周邊)損壞遺失,大同區103台灣台北市大同區民權西路118巷15弄3號,20180801,102100
2018080100092,市區道路坑洞處理,大同區103台灣台北市大同區六和大樓,20180801,102300
2018080100095,市區道路坑洞處理,大同區103台灣台北市大同區民權西路110號,20180801,102600
2018080100096,場所與設施噪音舉發,大同區,20180801,102900
2018080100097,道路側溝溝蓋(含周邊)損壞遺失,大同區103台灣台北市大同區民權西路102巷5號,20180801,102900
2018080100098,大型廢棄物清運聯繫,中正區,20180801,104800
2018080100099,鄰里無主垃圾清運,內湖區114台灣台北市內湖區康樂街171號,20180801,103000
2018080100100,大型廢棄物清運聯繫,大安區,20180801,103000
2018080100101,道路散落物或油漬處理,士林區到74號,20180801,103300
2018080100102,場所與設施噪音舉發,大安區,20180801,103400
2018080100103,大型廢棄物清運聯繫,松山區,20180801,103700
2018080100104,大型廢棄物清運聯繫,中山區,20180801,103600
2018080100106,人孔蓋(含周邊)破損、遺失處理,士林區111台灣台北市士林區延平北路八段2巷56弄30號,20180801,103800
2018080100107,場所與設施噪音舉發,大安區,20180801,103900
2018080100108,大型廢棄物清運聯繫,信義區,20180801,104200
2018080100109,交通標誌及設施物損壞(含汙損)、傾斜,中正區100台灣台北市中正區寶慶路21號,20180801,104400
2018080100110,鄰里無主垃圾清運,信義區110台灣台北市信義區福德街20號,20180801,104800
2018080100111,大型廢棄物清運聯繫,北投區,20180801,105100
2018080100112,鄰里無主垃圾清運,中山區與錦州街157巷巷交口錦州街上,20180801,105100
2018080100113,交通號誌異常,信義區地標:  象山隧道木柵往台北方向,20180801,105400
2018080100114,污染舉發,萬華區108台灣台北市萬華區萬大路486巷37弄70號,20180801,105500
2018080100115,道路側溝溝蓋(含周邊)損壞遺失,中正區100台灣台北市中正區重慶南路一段1號,20180801,105600
2018080100116,場所與設施噪音舉發,大同區,20180801,105700
2018080100117,大型廢棄物清運聯繫,松山區,20180801,110000
2018080100118,鄰里無主垃圾清運,南港區115台灣台北市南港區福德街427號,20180801,105900
2018080100119,用戶無水、漏水報修,萬華區5號,20180801,111500
2018080100120,污染舉發,大同區,20180801,105900
2018080100121,鄰里無主垃圾清運,信義區110台灣台北市信義區林口街2號,20180801,110000
2018080100122,大型廢棄物清運聯繫,中山區,20180801,110400
2018080100123,大型廢棄物清運聯繫,中山區,20180801,110200
2018080100124,大型廢棄物清運聯繫,中正區,20180801,110400
2018080100125,大型廢棄物清運聯繫,中山區,20180801,110400
2018080100126,大型廢棄物清運聯繫,中正區,20180801,110500
2018080100127,交通標誌及設施物損壞(含汙損)、傾斜,松山區交叉路口:  敦化北路  八德路二段,20180801,110700
2018080100128,道路側溝溝蓋(含周邊)損壞遺失,中正區100台灣台北市中正區辛亥路一段潤泰雙子星大廈,20180801,110600
2018080100129,道路散落物或油漬處理,大安區(東往西方向車流),20180801,110700
2018080100130,大型廢棄物清運聯繫,中山區,20180801,111000
2018080100131,人孔蓋(含周邊)破損、遺失處理,信義區110台灣台北市信義區虎林街120巷217號,20180801,111000
2018080100132,大型廢棄物清運聯繫,松山區,20180801,111500
2018080100133,大型廢棄物清運聯繫,中山區,20180801,111500
