案件編號,派工項目,案件地址,立案日期,立案時間
2021040100001,用戶無水、漏水報修,北投區臺北市北投區溫泉里011鄰光明路２４０之１９號,20210401,000000
2021040100002,路燈故障或設施損壞,內湖區內湖路二段179巷61弄至81弄,20210401,000700
2021040100004,用戶無水、漏水報修,內湖區臺北市內湖區瑞陽里026鄰文德路９０巷３０號,20210401,001100
2021040100005,場所與設施噪音舉發,北投區大豐公園內 磺港路與清江路25巷交叉口,20210401,001300
2021040100006,場所與設施噪音舉發,北投區大興街-磺港路口大豐公園,20210401,001400
2021040100007,路燈故障或設施損壞,大同區臺北市大同區雙連里008鄰雙連街３７號,20210401,001500
2021040100008,場所與設施噪音舉發,信義區吳興街284巷24弄78號,20210401,001700
2021040100009,路樹處理,文山區萬壽路-政大一街,20210401,002100
2021040100010,路燈故障或設施損壞,士林區倫等街54巷整巷,20210401,001800
2021040100012,場所與設施噪音舉發,中正區中華路二段-和平西路二段,20210401,002500
2021040100013,場所與設施噪音舉發,中正區中華路二段-和平西路二段(在中華路二段上),20210401,003600
2021040100014,場所與設施噪音舉發,萬華區和平西路二段-艋舺大道,20210401,004000
2021040100015,場所與設施噪音舉發,中正區中華路二段-和平西路二段,20210401,004300
2021040100017,場所與設施噪音舉發,中正區和平西路二段-中華路二段交叉口,20210401,004300
2021040100018,場所與設施噪音舉發,中正區和平西路二段-中華路二段交叉口,20210401,004600
2021040100019,路燈故障或設施損壞,內湖區內湖區港墘路1號,20210401,004700
2021040100020,場所與設施噪音舉發,中正區中華路二段-和平西路二段,20210401,005000
2021040100021,場所與設施噪音舉發,大安區臺北市大安區建安里004鄰忠孝東路四段１８１巷３３號,20210401,005200
2021040100022,用戶無水、漏水報修,內湖區文德路90巷30號,20210401,005400
2021040100023,場所與設施噪音舉發,中正區中華路二段-和平西路二段,20210401,005300
2021040100024,污染舉發,信義區虎林街-市民大道六段(虎林街上) 台北府城隍廟,20210401,005600
2021040100025,污染舉發,大安區忠孝東路四段181巷33號,20210401,010300
2021040100026,路燈故障或設施損壞,內湖區在港華街上從麗山國小至麗山國中這一段,20210401,010800
2021040100027,場所與設施噪音舉發,中正區和平西路二段-中華路二段交叉口,20210401,011000
2021040100028,場所與設施噪音舉發,中正區中華路二段-和平西路二段,20210401,011000
2021040100030,場所與設施噪音舉發,中正區中華路二段-和平西路二段,20210401,011300
2021040100031,路燈故障或設施損壞,士林區延平北路八段2巷,20210401,013300
2021040100032,交通號誌異常,大安區忠孝東路與新生南路交叉口,20210401,013500
2021040100033,場所與設施噪音舉發,大安區臺北市大安區車層里007鄰仁愛路四段３４５巷４弄８號,20210401,013800
2021040100034,場所與設施噪音舉發,中山區林森北路107巷75號,20210401,015300
2021040100035,場所與設施噪音舉發,信義區基隆路與永吉路交叉口(永吉路橋上),20210401,015900
2021040100036,大型廢棄物清運聯繫,中山區中山區德惠街34號,20210401,020300
2021040100037,市區道路坑洞處理,信義區吳興街220巷53號,20210401,021800
2021040100038,道路散落物或油漬處理,萬華區昆明街洛陽停車場汽車入口處對面,20210401,021400
2021040100039,場所與設施噪音舉發,中山區臺北市中山區正義里008鄰林森北路１０７巷７７號,20210401,021700
2021040100040,市區道路坑洞處理,信義區和平東路三段-基隆路二段的圓環在崇德街往和平東路三段方向要右轉繞一圈快要到和平東路三段的右邊車道上,20210401,022000
2021040100041,交通號誌異常,士林區重慶北路四段-中正路交叉口 往士林方向,20210401,023800
2021040100042,場所與設施噪音舉發,內湖區臺北市內湖區石潭里016鄰南京東路六段３８２號,20210401,024200
2021040100044,大型廢棄物清運聯繫,信義區臺北市信義區敦厚里022鄰基隆路一段１３３號,20210401,031000
2021040100045,道路散落物或油漬處理,士林區在重陽橋上三重往臺北方向橋中間靠近臺北端在機車道靠近分隔島的車道上,20210401,034900
2021040100046,路燈故障或設施損壞,士林區中山北路七段191巷-中山北路七段交叉口,20210401,035100
2021040100047,路燈故障或設施損壞,南港區臺北市南港區東明里001鄰南港路二段３９號,20210401,035100
2021040100048,路燈故障或設施損壞,松山區105台灣台北市松山區寶清街103-3號,20210401,035400
2021040100049,場所與設施噪音舉發,中山區臺北市中山區正得里006鄰林森北路５０號,20210401,040800
2021040100050,大型廢棄物清運聯繫,大安區臺北市大安區正聲里003鄰光復南路２６０巷４０號,20210401,041300
2021040100051,場所與設施噪音舉發,士林區臺北市士林區葫蘆里016鄰延平北路五段２８５巷４９號,20210401,043700
2021040100052,污染舉發,文山區景興路252號,20210401,053700
2021040100053,鄰里無主垃圾清運,北投區稻香路108巷(後面是大南汽車停車場),20210401,053600
2021040100054,場所與設施噪音舉發,中山區10491台灣台北市中山區錦州街446-1號,20210401,054300
2021040100055,大型廢棄物清運聯繫,信義區臺北市信義區中興里003鄰文昌街３１６號,20210401,061000
2021040100056,道路散落物或油漬處理,中山區新生高架橋上往士林方向(南京東路正上方)外側車道 詳細地點無法提供,20210401,064000
2021040100057,路燈故障或設施損壞,萬華區馬場町紀念公園及中正河濱公園,20210401,064600
2021040100058,道路散落物或油漬處理,士林區中山北路五段-福國路交叉口旁邊有一間寶雅的前方紅綠燈底下車道上,20210401,065000
2021040100059,場所與設施噪音舉發,北投區臺北市北投區中心里009鄰珠海路１８０號,20210401,065500
