案件編號,派工項目,案件地址,立案日期,立案時間
2019110100001,道路散落物或油漬處理,大安區臺北市大安區錦泰里014鄰金山南路二段１４８號,20191101,000900
2019110100002,場所與設施噪音舉發,大同區臺北市大同區蓬萊里011鄰民權西路１９９號,20191101,000400
2019110100003,場所與設施噪音舉發,大同區民權西路144巷巷口,20191101,001500
2019110100004,鄰里無主垃圾清運,中正區忠孝西路一段台北車站(忠孝)公車站 往青島東路方向,20191101,001600
2019110100005,交通號誌異常,內湖區麥帥一橋機車道從松山往內湖方向的下橋處,20191101,002200
2019110100006,場所與設施噪音舉發,大同區臺北市大同區建功里016鄰延平北路一段２３號,20191101,003200
2019110100007,場所與設施噪音舉發,大同區民權西路-蘭州街路口,20191101,003700
2019110100008,場所與設施噪音舉發,文山區基隆路與汀州路交叉口 福和橋道路施工噪音,20191101,005800
2019110100009,場所與設施噪音舉發,北投區臺北市北投區福興里003鄰承德路七段３４號,20191101,005900
2019110100010,場所與設施噪音舉發,中山區臺北市中山區復華里001鄰復興北路１６６號,20191101,010300
2019110100011,場所與設施噪音舉發,文山區臺北市文山區興安里019鄰仙岩路１６巷２２號,20191101,013500
2019110100012,場所與設施噪音舉發,中山區林森北路107巷88號,20191101,013700
2019110100013,場所與設施噪音舉發,松山區八德路三段12巷62弄-八德路三段8巷,20191101,014000
2019110100014,大型廢棄物清運聯繫,文山區臺北市文山區樟新里009鄰樟新街１１號,20191101,014100
2019110100015,場所與設施噪音舉發,南港區南港路二段38巷巷內 國宅,20191101,021300
2019110100016,場所與設施噪音舉發,士林區德行西路-磺溪街路口,20191101,023600
2019110100017,污染舉發,大同區臺北市大同區蓬萊里010鄰昌吉街４８號,20191101,031600
2019110100018,鄰里無主垃圾清運,大同區臺北市大同區民權里019鄰承德路二段２０６號,20191101,040200
2019110100019,場所與設施噪音舉發,士林區臺北市士林區東山里019鄰德行東路３３１巷３５號,20191101,060200
2019110100020,鄰里無主垃圾清運,北投區義理街60號,20191101,064500
2019110100021,路樹處理,內湖區金湖路18巷巷口,20191101,065700
2019110100022,交通號誌異常,士林區至誠路一段-仰德大道,20191101,071200
2019110100023,污染舉發,大安區臺北市大安區通化里009鄰光復南路６２０之２號,20191101,070900
2019110100024,道路散落物或油漬處理,中山區林森北路-民族東路口(憲兵隊前),20191101,071100
2019110100025,交通號誌異常,士林區永公路-仰德大道二段,20191101,071400
2019110100026,雨水下水道側溝清淤,萬華區臺北市萬華區富民里018鄰西昌街２４５號,20191101,071900
2019110100027,交通號誌異常,中山區中山北路二段-民生東路一段在中山北路二段上南往北方向,20191101,072400
2019110100028,用戶無水、漏水報修,士林區臺北市士林區芝山里003鄰仰德大道一段１０１號,20191101,072600
