案件編號,派工項目,案件地址,立案日期,立案時間
2017110100001,場所與設施噪音舉發,大同區交叉路口:  太原路  平陽街,20171101,004500
2017110100002,路燈故障或設施損壞,松山區整條7弄內 ,20171101,005500
2017110100003,場所與設施噪音舉發,大同區交叉路口:  太原路  平陽街,20171101,005700
2017110100004,場所與設施噪音舉發,大安區倉庫,20171101,010600
2017110100005,場所與設施噪音舉發,士林區後方停車場的附近,20171101,014200
2017110100006,場所與設施噪音舉發,文山區對面的對向車道,20171101,015700
2017110100007,交通號誌異常,北投區交叉路口:  大同街  大業路,20171101,020100
2017110100008,場所與設施噪音舉發,松山區後方,20171101,020500
2017110100009,場所與設施噪音舉發,松山區附近,20171101,023100
2017110100010,道路散落物或油漬處理,士林區前面,20171101,033400
2017110100012,大型廢棄物清運聯繫,大安區,20171101,034800
2017110100013,市區道路坑洞處理,士林區111台灣台北市士林區大南路49-1號,20171101,062500
2017110100014,用戶無水、漏水報修,萬華區萬大路與萬大路493巷交叉口7-11旁交叉路口:  萬大路  萬大路493巷,20171101,064400
2017110100015,污染舉發,南港區墨爾漢堡店,20171101,071100
2017110100016,用戶無水、漏水報修,大安區,20171101,072800
2017110100017,大型廢棄物清運聯繫,士林區,20171101,073000
2017110100018,污染舉發,大安區106台灣台北市大安區大安路一段242號,20171101,073600
2017110100019,鄰里無主垃圾清運,松山區道路路旁,20171101,074700
2017110100020,路燈故障或設施損壞,松山區,20171101,074900
2017110100021,路燈故障或設施損壞,北投區前方整條路的路燈,20171101,081200
2017110100022,大型廢棄物清運聯繫,松山區,20171101,081600
2017110100023,場所與設施噪音舉發,文山區,20171101,082000
2017110100024,交通號誌異常,文山區交叉路口:  羅斯福路六段  車前路,20171101,082000
2017110100025,污染舉發,文山區三角公園附近的指南溪往貓空方向,20171101,083000
2017110100026,交通號誌異常,文山區與羅斯福路六段交叉口,20171101,082700
2017110100028,交通號誌異常,大安區市民大道三段與復興南路一段交叉路口,20171101,084700
2017110100029,鄰里無主垃圾清運,內湖區台北往南港方向(靠近南港的路段),20171101,084800
2017110100030,道路側溝溝蓋(含周邊)損壞遺失,中正區台北地方法院前,20171101,085300
2017110100031,污染舉發,中山區,20171101,085600
2017110100032,場所與設施噪音舉發,中山區,20171101,085300
2017110100033,場所與設施噪音舉發,內湖區對面,20171101,085600
2017110100034,大型廢棄物清運聯繫,中正區,20171101,085700
2017110100035,大型廢棄物清運聯繫,松山區,20171101,085900
2017110100036,大型廢棄物清運聯繫,士林區,20171101,090100
2017110100038,大型廢棄物清運聯繫,松山區,20171101,090400
2017110100039,大型廢棄物清運聯繫,大安區,20171101,091300
2017110100040,大型廢棄物清運聯繫,中山區,20171101,091300
2017110100041,大型廢棄物清運聯繫,中山區,20171101,091600
2017110100042,場所與設施噪音舉發,文山區整棟,20171101,091900
2017110100043,場所與設施噪音舉發,內湖區對面的營建工地,20171101,092500
2017110100044,大型廢棄物清運聯繫,信義區,20171101,092600
2017110100045,大型廢棄物清運聯繫,松山區,20171101,092800
2017110100046,市區道路坑洞處理,文山區斜前方,20171101,093200
