案件編號,派工項目,案件地址,立案日期,立案時間
2018070100001,大型廢棄物清運聯繫,內湖區,20180701,001000
2018070100002,場所與設施噪音舉發,大安區DARTS夜店,20180701,001400
2018070100003,場所與設施噪音舉發,大安區焱鐵板燒餐廳,20180701,002200
2018070100004,場所與設施噪音舉發,大安區忠孝東路四段248巷17號,20180701,003600
2018070100005,用戶無水、漏水報修,大安區,20180701,005400
2018070100006,路燈故障或設施損壞,中山區前方,20180701,010200
2018070100007,大型廢棄物清運聯繫,大安區,20180701,014600
2018070100008,場所與設施噪音舉發,萬華區108台灣台北市萬華區西藏路125巷13號,20180701,032800
2018070100009,場所與設施噪音舉發,中正區與忠孝西路交叉口,20180701,050400
2018070100010,用戶無水、漏水報修,信義區交叉路口:  松智路  松高路誠品信義店旁的人行道,20180701,051500
2018070100011,道路散落物或油漬處理,中山區(對面道路中央),20180701,051600
2018070100012,鄰里無主垃圾清運,中正區前的內線第二車道上,20180701,055400
2018070100013,交通號誌異常,中正區忠孝東路與林森北路交叉口 ,20180701,064000
2018070100015,交通標誌及設施物損壞(含汙損)、傾斜,信義區前面人行紅磚道的路燈桿或鐵桿上,20180701,072300
2018070100016,用戶無水、漏水報修,中山區,20180701,073800
2018070100017,鄰里無主垃圾清運,松山區105台灣台北市松山區八德路四段201號,20180701,074800
2018070100018,交通號誌異常,信義區交叉路口:  信義路五段  松仁路,20180701,080900
2018070100020,污染舉發,大同區,20180701,082100
2018070100021,大型廢棄物清運聯繫,信義區,20180701,082200
2018070100022,鄰里無主垃圾清運,文山區對面,20180701,083400
2018070100023,大型廢棄物清運聯繫,大安區,20180701,083600
2018070100024,污染舉發,南港區南港區興南街57號,20180701,083900
2018070100025,場所與設施噪音舉發,南港區115台灣台北市南港區福德街373巷13號,20180701,084100
2018070100026,場所與設施噪音舉發,士林區,20180701,084200
2018070100027,大型廢棄物清運聯繫,內湖區,20180701,084600
2018070100028,用戶無水、漏水報修,信義區,20180701,084500
2018070100029,用戶無水、漏水報修,中山區,20180701,085600
2018070100030,交通號誌異常,大安區,20180701,090500
2018070100031,道路散落物或油漬處理,大安區忠孝東路與復興南路交叉口(西北角)  ,20180701,090500
2018070100033,大型廢棄物清運聯繫,文山區,20180701,091500
2018070100034,鄰里無主垃圾清運,大安區,20180701,091600
2018070100035,鄰里無主垃圾清運,北投區,20180701,091800
2018070100036,大型廢棄物清運聯繫,中山區,20180701,092200
2018070100037,大型廢棄物清運聯繫,北投區,20180701,092300
2018070100038,市區道路坑洞處理,內湖區內湖區堤頂大道與港墘路上交叉口 (往堤頂大道方向靠近加油站這一側)交叉路口:  堤頂大道  港墘路,20180701,092700
2018070100039,污染舉發,內湖區面對該建物後方車顧,20180701,092900
2018070100040,大型廢棄物清運聯繫,文山區,20180701,093100
2018070100041,大型廢棄物清運聯繫,士林區,20180701,093500
2018070100042,場所與設施噪音舉發,大安區,20180701,093700
2018070100043,交通號誌異常,大同區迪化街二段上重慶輪胎行前交叉路口:  迪化街二段  酒泉街,20180701,093700
2018070100044,鄰里無主垃圾清運,文山區,20180701,093800
2018070100045,大型廢棄物清運聯繫,中山區,20180701,095000
2018070100046,大型廢棄物清運聯繫,中山區,20180701,100300
2018070100047,大型廢棄物清運聯繫,大安區,20180701,100500
2018070100049,大型廢棄物清運聯繫,中山區,20180701,100600
2018070100050,場所與設施噪音舉發,松山區交叉路口:  民權東路三段106巷  復興北路313巷,20180701,100700
2018070100051,場所與設施噪音舉發,大同區交叉路口:  延平北路  甘谷街,20180701,100800
2018070100052,污染舉發,內湖區大樓名稱:阿曼凱艷,20180701,101100
2018070100053,大型廢棄物清運聯繫,松山區,20180701,101100
2018070100054,道路散落物或油漬處理,大安區前方,20180701,101200
2018070100055,污染舉發,大同區,20180701,101200
2018070100056,鄰里無主垃圾清運,文山區景美街口(景美觀光商圈牌樓下),20180701,102300
2018070100057,污染舉發,大安區106台灣台北市大安區和平東路三段555號,20180701,102300
2018070100058,大型廢棄物清運聯繫,文山區,20180701,102600
2018070100059,場所與設施噪音舉發,南港區,20180701,103000
2018070100060,大型廢棄物清運聯繫,中山區,20180701,102800
2018070100061,路燈故障或設施損壞,士林區,20180701,102900
2018070100062,鄰里無主垃圾清運,中山區中山北路上(圓山往臺北車站方向)出圓山隧道,20180701,103000
2018070100063,污染舉發,文山區116台灣台北市文山區興隆路三段138號,20180701,103000
2018070100064,場所與設施噪音舉發,大安區,20180701,103200
2018070100065,大型廢棄物清運聯繫,南港區,20180701,103800
2018070100066,場所與設施噪音舉發,中正區100台灣台北市中正區重慶南路二段82號,20180701,103700
2018070100067,用戶無水、漏水報修,萬華區整棟,20180701,103800
2018070100068,污染舉發,內湖區114台灣台北市內湖區瑞光路393號,20180701,104000
2018070100069,大型廢棄物清運聯繫,南港區,20180701,105700
2018070100070,大型廢棄物清運聯繫,文山區,20180701,110700
2018070100071,交通號誌異常,信義區介於基隆路一段到松仁路之間,20180701,111000
2018070100073,污染舉發,大安區,20180701,111300
2018070100074,鄰里無主垃圾清運,文山區門前巷口轉角處,20180701,111800
2018070100075,大型廢棄物清運聯繫,中正區,20180701,111900
2018070100076,大型廢棄物清運聯繫,中山區,20180701,112200
2018070100077,大型廢棄物清運聯繫,萬華區,20180701,112200
2018070100078,大型廢棄物清運聯繫,文山區,20180701,112400
2018070100079,大型廢棄物清運聯繫,大安區,20180701,112900
2018070100080,大型廢棄物清運聯繫,信義區,20180701,113400
2018070100081,大型廢棄物清運聯繫,信義區,20180701,114500
2018070100082,場所與設施噪音舉發,北投區交叉路口:  磺港路  三合街二段,20180701,114700
