案件編號,派工項目,案件地址,立案日期,立案時間
2021020100001,大型廢棄物清運聯繫,信義區臺北市信義區中行里010鄰福德街２６８巷５弄７號,20210201,001200
2021020100002,場所與設施噪音舉發,松山區臺北市松山區慈祐里007鄰饒河街６３號,20210201,003200
2021020100003,鄰里無主垃圾清運,中山區10491台灣台北市中山區長安東路一段52巷7弄8號,20210201,003300
2021020100004,場所與設施噪音舉發,中山區臺北市中山區正義里007鄰林森北路１０７巷４６號,20210201,003700
2021020100005,場所與設施噪音舉發,中山區臺北市中山區正義里011鄰林森北路１１９巷７９號,20210201,005400
2021020100006,場所與設施噪音舉發,中山區臺北市中山區松江里007鄰松江路２９７巷１２號,20210201,010100
2021020100007,大型廢棄物清運聯繫,北投區北投區義理街63巷3號,20210201,010400
2021020100008,場所與設施噪音舉發,北投區臺北市北投區文林里012鄰文林北路２４４巷６６號,20210201,010400
2021020100009,交通號誌異常,內湖區民權東路六段-民權東路六段136巷交叉口,20210201,011100
2021020100010,場所與設施噪音舉發,北投區臺北市北投區長安里019鄰溫泉路７１之１０號,20210201,011700
2021020100011,場所與設施噪音舉發,南港區玉成街54號,20210201,012800
2021020100012,污染舉發,南港區玉成街54號,20210201,012800
2021020100013,場所與設施噪音舉發,南港區南港路三段80巷巷口,20210201,013900
2021020100014,交通號誌異常,中山區中山北路一段-長安東路一段 四面,20210201,021400
2021020100015,大型廢棄物清運聯繫,松山區臺北市松山區慈祐里004鄰饒河街２２７號,20210201,023100
2021020100016,場所與設施噪音舉發,大安區瑞安街-信義路四段30巷50弄交叉口附近,20210201,030100
2021020100017,場所與設施噪音舉發,南港區臺北市南港區西新里003鄰南港路三段１７號,20210201,030400
2021020100018,場所與設施噪音舉發,大安區青田街2之2號,20210201,031000
2021020100019,場所與設施噪音舉發,大安區青田街2之2號,20210201,031100
2021020100020,污染舉發,大安區大安區新生南路一段137巷巷內,20210201,031900
2021020100022,場所與設施噪音舉發,信義區臺北市信義區正和里025鄰光復南路９８號,20210201,040600
2021020100023,污染舉發,大同區臺北市大同區大有里005鄰涼州街９６號,20210201,041800
2021020100024,場所與設施噪音舉發,文山區臺北市文山區樟腳里006鄰木新路二段２７９號,20210201,043600
2021020100025,場所與設施噪音舉發,文山區景美街-景後街,20210201,043600
2021020100026,交通號誌異常,中山區10491台灣台北市中山區植福路23號,20210201,052200
2021020100027,道路散落物或油漬處理,北投區在洲美快速道路橋上士林區往北投區的方向,20210201,052600
2021020100028,鄰里無主垃圾清運,中山區臺北市中山區正義里011鄰林森北路１１９巷５１號,20210201,061600
2021020100029,場所與設施噪音舉發,萬華區臺北市萬華區壽德里007鄰萬大路４２３巷４９號,20210201,062300
