案件編號,派工項目,案件地址,立案日期,立案時間
202305010,道路散落物或油漬處理,中正區中山北路一段-忠孝東路一段,20230501,000400
202305010,場所與設施噪音舉發,松山區臺北市松山區莊敬里009鄰撫遠街３８３巷１６號,20230501,001100
202305010,大型廢棄物清運聯繫,大安區106台灣台北市大安區羅斯福路二段101巷28號,20230501,001200
202305010,場所與設施噪音舉發,南港區臺北市南港區中南里024鄰忠孝東路七段５８３號,20230501,001900
202305010,道路散落物或油漬處理,南港區臺北市南港區南港里002鄰南港路一段１７５號,20230501,002800
202305010,場所與設施噪音舉發,中山區臺北市中山區晴光里013鄰雙城街３２巷１１號,20230501,003000
202305010,大型廢棄物清運聯繫,大安區106台北市大安區通化街39巷61弄8號,20230501,003300
202305010,場所與設施噪音舉發,松山區臺北市松山區莊敬里009鄰撫遠街３７９巷１１號,20230501,003900
202305010,場所與設施噪音舉發,大同區臺北市大同區朝陽里006鄰南京西路１８５巷８號,20230501,013100
202305010,場所與設施噪音舉發,信義區臺北市信義區中興里001鄰基隆路二段１２號,20230501,013100
202305010,大型廢棄物清運聯繫,文山區臺北市文山區景仁里009鄰景仁街８２巷８號,20230501,014700
202305010,場所與設施噪音舉發,松山區105台灣台北市松山區敦化北路244巷17號,20230501,015200
202305010,場所與設施噪音舉發,內湖區民權大橋,20230501,022100
202305010,場所與設施噪音舉發,大安區臺北市大安區敦安里012鄰信義路四段１７７號,20230501,023300
202305010,道路散落物或油漬處理,中正區臺北市中正區河堤里019鄰水源路５３號,20230501,024700
202305010,場所與設施噪音舉發,松山區民權東路五段-塔悠路,20230501,024700
202305010,場所與設施噪音舉發,士林區111台灣台北市士林區大北路42號,20230501,031800
202305010,場所與設施噪音舉發,松山區臺北市松山區中崙里004鄰市民大道四段１５號,20230501,032700
202305010,場所與設施噪音舉發,松山區民權東路五段-塔悠路,20230501,032600
202305010,道路散落物或油漬處理,北投區大度路三段,20230501,034400
202305010,場所與設施噪音舉發,松山區臺北市松山區莊敬里010鄰撫遠街３６９巷１２號,20230501,035700
202305010,道路散落物或油漬處理,北投區大度路二段,20230501,040700
202305010,場所與設施噪音舉發,萬華區臺北市萬華區西門里007鄰漢中街１１６號,20230501,043100
202305010,場所與設施噪音舉發,大安區復興南路二段-和平東路二段,20230501,043300
202305010,場所與設施噪音舉發,大安區臺北市大安區敦安里012鄰信義路四段１７７號,20230501,044100
202305010,場所與設施噪音舉發,中山區臺北市中山區正義里007鄰林森北路１０７巷４５號,20230501,051000
202305010,場所與設施噪音舉發,北投區知行路245巷24號,20230501,061400
202305010,道路散落物或油漬處理,內湖區堤頂大道一段-舊宗路二段,20230501,062800
202305010,場所與設施噪音舉發,文山區臺北市文山區順興里007鄰木新路二段２２８號,20230501,064000
202305010,大型廢棄物清運聯繫,中山區臺北市中山區興亞里011鄰新生北路一段４７巷３３號,20230501,063800
202305010,污染舉發,內湖區康樂街275巷-康樂街,20230501,065200
202305010,大型廢棄物清運聯繫,南港區南港區舊莊街一段91巷12弄1號,20230501,070100
202305010,道路散落物或油漬處理,中正區中正區林森南路,20230501,070800
202305010,污染舉發,內湖區康樂街238巷,20230501,074300
202305010,場所與設施噪音舉發,松山區臺北市松山區復勢里020鄰南京東路四段１５８巷８號,20230501,074900
202305010,場所與設施噪音舉發,中正區台北市中正區紹興北街10之2號,20230501,074900
202305010,大型廢棄物清運聯繫,北投區臺北市北投區長安里023鄰溫泉路７１號,20230501,075200
202305010,用戶無水、漏水報修,北投區臺北市北投區建民里017鄰明德路５０號,20230501,080200
202305010,污染舉發,士林區臺北市士林區義信里009鄰小西街４２號,20230501,080600
202305010,道路散落物或油漬處理,士林區臺北市士林區陽明里008鄰光華路１０號,20230501,080700
202305010,大型廢棄物清運聯繫,內湖區臺北市內湖區西安里022鄰內湖路一段９１巷３９弄１９號,20230501,081000
202305010,場所與設施噪音舉發,信義區松隆路-虎林街,20230501,081100
202305010,大型廢棄物清運聯繫,信義區110台灣台北市信義區信義路五段150巷335弄1號,20230501,081000
202305010,場所與設施噪音舉發,松山區臺北市松山區慈祐里018鄰市民大道六段１０５號,20230501,081800
202305010,大型廢棄物清運聯繫,信義區110台灣台北市信義區忠孝東路五段372巷27弄56號,20230501,081900
202305010,道路散落物或油漬處理,大安區羅斯福路四段,20230501,082000
202305010,大型廢棄物清運聯繫,信義區臺北市信義區松友里017鄰信義路六段１２巷１３號,20230501,082300
202305010,場所與設施噪音舉發,信義區松德路307巷,20230501,082600
202305010,大型廢棄物清運聯繫,大安區臺北市大安區龍淵里017鄰和平東路二段１１８巷５２弄６號,20230501,083500
202305010,大型廢棄物清運聯繫,信義區110台灣台北市信義區忠孝東路四段553巷32號,20230501,083100
202305010,雨水下水道側溝清淤,松山區臺北市松山區敦化里023鄰八德路三段１２巷５３弄２９號,20230501,083600
202305010,大型廢棄物清運聯繫,北投區臺北市北投區福興里012鄰自強街３１巷４７號,20230501,084400
202305010,污染舉發,士林區臺北市士林區葫蘆里021鄰中正路６９３號,20230501,084300
202305010,路樹處理,文山區臺北市文山區萬年里002鄰汀州路四段１０號,20230501,084600
202305010,道路側溝溝蓋(含周邊)損壞遺失,信義區110台灣台北市信義區忠孝東路6號,20230501,084700
202305010,場所與設施噪音舉發,大同區大同區大龍街85巷16號,20230501,085300
