案件編號,派工項目,案件地址,立案日期,立案時間
2022100100001,大型廢棄物清運聯繫,信義區110台灣台北市信義區松信路8號,20221001,000100
2022100100002,場所與設施噪音舉發,中山區民權東路三段-龍江路,20221001,000400
2022100100003,污染舉發,北投區臺北市北投區榮光里013鄰西安街一段３４５號,20221001,001200
2022100100004,場所與設施噪音舉發,松山區臺北市松山區新聚里017鄰東興路１２號,20221001,001800
2022100100005,污染舉發,信義區臺北市信義區惠安里027鄰吳興街５１８巷１２號,20221001,002000
2022100100006,場所與設施噪音舉發,文山區臺北市文山區試院里021鄰木柵路一段５９巷１１弄５號,20221001,002100
2022100100007,場所與設施噪音舉發,大安區臺北市大安區通化里005鄰通化街１９巷６弄２號,20221001,003000
2022100100008,場所與設施噪音舉發,信義區忠孝東路五段71巷12弄21號,20221001,004400
2022100100009,場所與設施噪音舉發,萬華區臺北市萬華區萬壽里004鄰漢中街２６號,20221001,004300
2022100100010,場所與設施噪音舉發,松山區臺北市松山區復盛里017鄰八德路四段１３８號,20221001,004700
2022100100011,場所與設施噪音舉發,中山區臺北市中山區正義里001鄰林森北路８５巷３６號,20221001,004700
2022100100012,場所與設施噪音舉發,信義區臺北市信義區安康里009鄰松仁路９９號,20221001,005800
2022100100013,場所與設施噪音舉發,大安區臺北市大安區通安里002鄰文昌街１８３號,20221001,005900
2022100100014,場所與設施噪音舉發,大安區仁愛路三段24巷-建國南路一段270巷,20221001,012600
2022100100015,場所與設施噪音舉發,大安區仁愛路三段20巷-新生南路一段133巷,20221001,012600
2022100100016,大型廢棄物清運聯繫,大安區臺北市大安區龍泉里013鄰龍泉街３７號,20221001,013000
2022100100017,場所與設施噪音舉發,北投區臺北市北投區榮光里002鄰西安街一段２７９號,20221001,013700
2022100100018,道路散落物或油漬處理,松山區敦化北路-富錦街,20221001,021400
2022100100019,道路散落物或油漬處理,內湖區臺北市內湖區港富里024鄰內湖路二段９８號,20221001,024600
2022100100020,道路散落物或油漬處理,內湖區臺北市內湖區湖濱里017鄰內湖路二段１０３巷９８號,20221001,025300
2022100100021,場所與設施噪音舉發,信義區臺北市信義區松光里012鄰忠孝東路五段５２４巷３弄１１號,20221001,031900
2022100100022,場所與設施噪音舉發,萬華區臺北市萬華區錦德里021鄰寶興街１３８號,20221001,032000
2022100100023,用戶無水、漏水報修,內湖區臺北市內湖區港華里009鄰環山路二段１０９巷１弄１號,20221001,050300
2022100100024,場所與設施噪音舉發,中山區臺北市中山區中吉里006鄰松江路１５０巷１１之１號,20221001,072000
2022100100025,大型廢棄物清運聯繫,南港區臺北市南港區中南里002鄰中南街１０號,20221001,073300
2022100100026,大型廢棄物清運聯繫,中正區臺北市中正區文北里011鄰杭州南路一段７１巷８號,20221001,073900
2022100100027,場所與設施噪音舉發,大同區臺北市大同區至聖里005鄰承德路三段１９１巷１１號,20221001,074100
2022100100028,鄰里無主垃圾清運,信義區臺北市信義區永吉里001鄰松隆路３４３號,20221001,081200
