案件編號,派工項目,案件地址,立案日期,立案時間
2017010100001,場所與設施噪音舉發,大安區,20170101,001800
2017010100002,交通號誌異常,大安區交叉路口:  金山南路   和平東路和平東路上往羅斯福路方向,20170101,002100
2017010100003,場所與設施噪音舉發,大安區大樓名稱:水樹之間,20170101,002300
2017010100004,場所與設施噪音舉發,大安區附近 ,20170101,002600
2017010100005,場所與設施噪音舉發,文山區底公園內周遭,20170101,002700
2017010100007,場所與設施噪音舉發,士林區交叉路口:  通河西街一段  重慶北路四段220巷,20170101,002900
2017010100009,場所與設施噪音舉發,士林區與承德路四段179巷交叉口附近,20170101,004200
2017010100010,場所與設施噪音舉發,松山區,20170101,003800
2017010100011,場所與設施噪音舉發,松山區樓上不確定幾樓,20170101,004500
2017010100012,場所與設施噪音舉發,中正區或57號,20170101,004400
2017010100013,場所與設施噪音舉發,內湖區潭美街139號,20170101,004700
2017010100014,交通號誌異常,信義區,20170101,005800
2017010100015,場所與設施噪音舉發,大安區(大安分局)交叉路口:  仁愛路  新生南路,20170101,010100
2017010100016,場所與設施噪音舉發,信義區臺北市政府周邊,20170101,010200
2017010100017,場所與設施噪音舉發,信義區地標:  捷運市政府站4號,20170101,010200
2017010100018,場所與設施噪音舉發,大安區,20170101,010700
2017010100019,場所與設施噪音舉發,信義區廣場,20170101,010800
2017010100020,場所與設施噪音舉發,內湖區居酒屋,20170101,011900
2017010100021,場所與設施噪音舉發,大安區酒吧,20170101,012500
2017010100023,場所與設施噪音舉發,萬華區(靠近紅樓的派克雞排不清楚詳細地址),20170101,013100
2017010100024,場所與設施噪音舉發,信義區,20170101,013500
2017010100025,場所與設施噪音舉發,中正區,20170101,013400
2017010100026,場所與設施噪音舉發,士林區橋面上靠近社子地標:  社子橋,20170101,013600
2017010100027,場所與設施噪音舉發,中山區附近建國啤酒廠婚宴廣場,20170101,013900
2017010100028,場所與設施噪音舉發,中山區大佳國小周邊,20170101,014000
2017010100029,場所與設施噪音舉發,信義區酒吧,20170101,014000
2017010100030,污染舉發,大安區,20170101,014500
2017010100031,場所與設施噪音舉發,大安區,20170101,014900
2017010100032,場所與設施噪音舉發,信義區交叉路口:  松壽路  松智路ATT 4FUN樓上夜店,20170101,015200
2017010100033,場所與設施噪音舉發,松山區附近的彩虹橋,20170101,015200
2017010100034,場所與設施噪音舉發,中山區店家:水鄉,20170101,021000
2017010100035,場所與設施噪音舉發,松山區松山醫院對面的長壽公園,20170101,022400
2017010100036,場所與設施噪音舉發,松山區該地對面靠近河堤區域,20170101,022700
2017010100037,場所與設施噪音舉發,大安區106台灣台北市大安區復興南路一段107巷5弄23號,20170101,022900
2017010100038,場所與設施噪音舉發,南港區靠近南港區成功橋下河濱公園,20170101,024200
2017010100039,場所與設施噪音舉發,松山區店家:印度支那酒館,20170101,031200
2017010100040,場所與設施噪音舉發,信義區頂樓,20170101,032000
2017010100041,場所與設施噪音舉發,大安區店內,20170101,032400
2017010100042,場所與設施噪音舉發,中正區自來水園區內,20170101,032900
2017010100043,交通號誌異常,信義區交叉路口:  松智路  松壽路,20170101,033100
2017010100044,場所與設施噪音舉發,文山區,20170101,033600
2017010100045,場所與設施噪音舉發,信義區臺北101附近,20170101,033900
2017010100046,場所與設施噪音舉發,信義區頂樓夜店,20170101,034200
2017010100047,場所與設施噪音舉發,信義區地標:  市政府市政府前廣場,20170101,035000
2017010100048,場所與設施噪音舉發,中山區對面,20170101,035200
2017010100049,鄰里無主垃圾清運,士林區Ves Coffee,20170101,035800
2017010100051,場所與設施噪音舉發,士林區夜店,20170101,043300
2017010100052,場所與設施噪音舉發,文山區右側,20170101,054300
2017010100053,場所與設施噪音舉發,松山區周邊彩虹橋附近,20170101,055200
2017010100059,場所與設施噪音舉發,中山區按摩店,20170101,065900
2017010100061,鄰里無主垃圾清運,中山區對面,20170101,072100
2017010100062,污染舉發,北投區高爾夫練習場 面對社子橋左邊,20170101,072400
2017010100063,場所與設施噪音舉發,中山區隔壁大樓,20170101,073000
2017010100064,場所與設施噪音舉發,中山區地標:  花博公園在捷運圓山站旁,20170101,075600
2017010100065,交通號誌異常,信義區地標:  市政府,20170101,075700
2017010100066,場所與設施噪音舉發,中正區巷口,20170101,080700
2017010100068,大型廢棄物清運聯繫,內湖區,20170101,082200
2017010100069,場所與設施噪音舉發,大安區內新建大樓工程,20170101,082500
2017010100070,場所與設施噪音舉發,中山區五常國中校園內新建大樓,20170101,083300
2017010100071,用戶無水、漏水報修,大安區門口前,20170101,083800
2017010100072,用戶無水、漏水報修,南港區後方,20170101,085400
2017010100073,用戶無水、漏水報修,大安區地標:  捷運忠孝敦化站出口5,20170101,085800
2017010100074,場所與設施噪音舉發,士林區,20170101,090000
2017010100075,污染舉發,中山區,20170101,091300
2017010100076,動物虐待傷害,信義區110台灣台北市信義區信義路五段150巷471號,20170101,092300
2017010100077,鄰里無主垃圾清運,士林區門口前路燈旁,20170101,092500
2017010100078,用戶無水、漏水報修,中正區往南在仁愛路之前約50公尺(公車站牌前),20170101,093400
2017010100079,場所與設施噪音舉發,松山區樓層不清楚,20170101,093500
2017010100080,大型廢棄物清運聯繫,內湖區,20170101,093600
2017010100081,大型廢棄物清運聯繫,松山區,20170101,094100
2017010100082,場所與設施噪音舉發,內湖區前方中華電信,20170101,094400
2017010100083,大型廢棄物清運聯繫,松山區,20170101,094600
2017010100084,場所與設施噪音舉發,文山區發現之旅社區,20170101,095200
2017010100085,交通號誌異常,內湖區交叉路口:  民權東路六段  民權東路六段191巷,20170101,095400
2017010100086,場所與設施噪音舉發,南港區附近(合宜住宅),20170101,095700
2017010100087,場所與設施噪音舉發,松山區或6號,20170101,100100
2017010100088,大型廢棄物清運聯繫,松山區,20170101,100400
2017010100089,大型廢棄物清運聯繫,信義區,20170101,100200
2017010100091,場所與設施噪音舉發,大安區,20170101,100500
2017010100092,場所與設施噪音舉發,內湖區對面,20170101,100700
2017010100093,場所與設施噪音舉發,中山區,20170101,101200
2017010100094,污染舉發,中山區,20170101,101000
2017010100095,鄰里無主垃圾清運,萬華區全家便利超商旁邊,20170101,101300
2017010100096,污染舉發,南港區,20170101,102100
2017010100097,場所與設施噪音舉發,大安區內仁愛院區的機車停車場,20170101,102300
2017010100098,大型廢棄物清運聯繫,文山區,20170101,102800
2017010100099,鄰里無主垃圾清運,中山區門口,20170101,103200
2017010100100,交通號誌電纜線垂落及設施損壞,內湖區前方,20170101,103300
2017010100101,交通號誌電纜線垂落及設施損壞,內湖區前方,20170101,103200
2017010100104,場所與設施噪音舉發,士林區,20170101,103800
2017010100105,場所與設施噪音舉發,松山區B1(地下室) 約明首都基督教會聚會,20170101,104400
2017010100106,場所與設施噪音舉發,松山區,20170101,104600
2017010100107,污染舉發,中山區及地下室,20170101,105000
2017010100108,交通號誌異常,大安區巷口處對面的紅綠燈,20170101,105800
2017010100109,鄰里無主垃圾清運,士林區111台灣台北市士林區大南路322號,20170101,105800
2017010100111,大型廢棄物清運聯繫,中山區,20170101,110100
2017010100112,交通號誌異常,北投區交叉路口:  行義路  泉源路往登山路的方向,20170101,110200
2017010100113,鄰里無主垃圾清運,士林區門前,20170101,110700
2017010100114,交通號誌異常,北投區交叉路口:  行義路  泉源路(位於行義路上整條道路),20170101,111300
2017010100115,污染舉發,北投區與行義路交叉口處菜園內,20170101,113500
2017010100116,大型廢棄物清運聯繫,南港區,20170101,114400
2017010100117,污染舉發,南港區,20170101,114500
2017010100118,場所與設施噪音舉發,南港區旁邊(緊鄰南港路二段38巷到60巷),20170101,114200
2017010100119,大型廢棄物清運聯繫,文山區,20170101,114600
2017010100121,大型廢棄物清運聯繫,大安區,20170101,114800
2017010100122,大型廢棄物清運聯繫,中山區,20170101,115800
2017010100123,大型廢棄物清運聯繫,信義區,20170101,121800
2017010100124,大型廢棄物清運聯繫,士林區,20170101,122100
2017010100125,大型廢棄物清運聯繫,中山區,20170101,123200
2017010100126,場所與設施噪音舉發,中山區,20170101,123500
