案件編號,派工項目,案件地址,立案日期,立案時間
2020090100001,道路散落物或油漬處理,中山區建國高架道路上要下長安東路匝道前約50~100公尺處南往北方向,20200901,000400
2020090100002,大型廢棄物清運聯繫,中山區臺北市中山區行仁里008鄰龍江路３４２巷２４號,20200901,000200
2020090100003,路樹處理,南港區115台灣台北市南港區忠孝東路六段304號,20200901,001900
2020090100004,市區道路坑洞處理,中正區100台灣台北市中正區仁愛路二段60號,20200901,002200
2020090100005,橋梁、隧道、車(人)行地下道及涵洞積淹水,中正區100台灣台北市中正區林森南路地下道,20200901,002300
2020090100006,場所與設施噪音舉發,中正區臺北市中正區光復里006鄰武昌街一段１８號,20200901,004600
2020090100007,場所與設施噪音舉發,信義區臺北市信義區大仁里020鄰福德街７６號,20200901,005500
2020090100009,路燈故障或設施損壞,中山區新生北路二段60巷整巷,20200901,011200
2020090100010,道路散落物或油漬處理,北投區一德街-中央北路四段從中央北路轉入一德街後在一德街巷內約10公尺處,20200901,020400
2020090100011,鄰里無主垃圾清運,信義區臺北市信義區長春里001鄰虎林街９９號,20200901,024800
2020090100012,道路散落物或油漬處理,士林區私立華興中學,20200901,030600
2020090100013,道路散落物或油漬處理,文山區水源快速道路 基隆路到師大路之間,20200901,032900
2020090100014,路燈故障或設施損壞,士林區仰德大道一段91巷整條,20200901,061800
2020090100015,場所與設施噪音舉發,萬華區西園路二段372巷101弄整條路的對面,20200901,065500
2020090100016,交通號誌異常,北投區臺北市北投區建民里017鄰明德路５０號,20200901,070900
2020090100017,場所與設施噪音舉發,信義區臺北市信義區興雅里009鄰忠孝東路五段７１巷２２號,20200901,071300
2020090100018,交通號誌異常,南港區東新街108巷-東新街118巷交叉口,20200901,072600
2020090100019,路樹處理,士林區忠義街-雨聲街從忠義街轉雨聲街雨農國小圍牆旁,20200901,073100
2020090100020,雨水下水道側溝清淤,中正區台北車站,20200901,073200
2020090100021,道路散落物或油漬處理,士林區臺北市士林區芝山里003鄰仰德大道一段１０１號,20200901,073700
2020090100022,路樹處理,內湖區臺北市內湖區安泰里015鄰安泰街２２１號,20200901,074100
2020090100023,污染舉發,中山區臺北市中山區行仁里024鄰五常街５３巷３０之１號,20200901,074400
2020090100025,大型廢棄物清運聯繫,松山區臺北市松山區龍田里009鄰延壽街４０２巷３弄３號,20200901,080500
2020090100026,路樹處理,內湖區114台灣台北市內湖區安泰街217號,20200901,081600
2020090100027,鄰里無主垃圾清運,信義區基隆路一段(往基隆路地下道從臺北往環東大道方向),20200901,081600
2020090100028,大型廢棄物清運聯繫,大安區臺北市大安區龍泉里013鄰泰順街４４巷２９號,20200901,082000
2020090100029,交通號誌異常,士林區臺北市士林區福順里004鄰重慶北路四段７２號,20200901,082000
2020090100031,大型廢棄物清運聯繫,北投區臺北市北投區榮光里023鄰致遠一路二段１１２巷２３號,20200901,084300
2020090100032,場所與設施噪音舉發,信義區信義區景雲街27號,20200901,085300
2020090100033,市區道路坑洞處理,士林區重陽橋,20200901,084600
2020090100034,大型廢棄物清運聯繫,大安區臺北市大安區群賢里014鄰四維路２１６巷１１號,20200901,085600
2020090100035,場所與設施噪音舉發,大安區臺北市大安區民炤里024鄰新生南路一段１６１巷３３號,20200901,090000
2020090100036,場所與設施噪音舉發,文山區新光路一段66巷6弄內,20200901,090300
2020090100037,大型廢棄物清運聯繫,內湖區康寧路三段265巷10號,20200901,090400
2020090100038,鄰里無主垃圾清運,士林區臺北市士林區承德里010鄰承德路四段５８巷２８弄１號,20200901,090500
2020090100040,路燈故障或設施損壞,士林區蘭興公園,20200901,090500
2020090100041,大型廢棄物清運聯繫,文山區臺北市文山區興福里004鄰景興路９７巷７號,20200901,091000
2020090100042,路燈故障或設施損壞,士林區臺北市士林區富洲里004鄰延平北路八段１１１巷１８弄７號,20200901,091000
2020090100043,場所與設施噪音舉發,中山區10491台灣台北市中山區龍江路288號,20200901,091200
2020090100045,污染舉發,內湖區臺北市內湖區秀湖里012鄰成功路四段３３２號,20200901,091700
2020090100046,路樹處理,北投區行義路115巷巷內過木橋後,20200901,091900
2020090100047,大型廢棄物清運聯繫,文山區臺北市文山區木柵里023鄰秀明路一段７９巷５弄３５號,20200901,092000
2020090100048,大型廢棄物清運聯繫,中正區臺北市中正區頂東里018鄰晉江街９８巷１１號,20200901,092000
2020090100049,路燈故障或設施損壞,士林區通河西街一段斜坡 進去百齡橋堤外 槌球場南側 停車場旁,20200901,093300
2020090100050,大型廢棄物清運聯繫,信義區臺北市信義區安康里005鄰松德路１０４號,20200901,092900
2020090100051,道路散落物或油漬處理,北投區洲美快速道路(士林往淡水方向剛上快速道路附近),20200901,093100
2020090100052,場所與設施噪音舉發,內湖區臺北市內湖區秀湖里012鄰成功路四段３３２號,20200901,093200
2020090100053,大型廢棄物清運聯繫,士林區臺北市士林區德華里007鄰德行西路９４巷９號,20200901,093300
2020090100054,大型廢棄物清運聯繫,北投區臺北市北投區裕民里016鄰懷德街３７號,20200901,093600
2020090100055,大型廢棄物清運聯繫,文山區臺北市文山區景東里018鄰景華街１２８巷３弄１６號,20200901,093900
2020090100056,場所與設施噪音舉發,大安區臺北市大安區虎嘯里002鄰敦化南路二段１６４號,20200901,094100
2020090100057,大型廢棄物清運聯繫,大安區臺北市大安區新龍里014鄰信義路三段１３４巷６２號,20200901,094300
2020090100058,用戶無水、漏水報修,中山區臺北市中山區正義里013鄰林森北路１３３巷８２號,20200901,094400
2020090100059,道路散落物或油漬處理,北投區洲美高架橋(剛上橋地方往北投方向很前段),20200901,094400
2020090100060,大型廢棄物清運聯繫,大同區臺北市大同區雙連里014鄰承德路二段１５０號,20200901,094600
2020090100061,道路側溝溝蓋(含周邊)損壞遺失,大安區臺北市大安區正聲里007鄰光復南路２９４巷２１號,20200901,094700
2020090100062,交通標誌及設施物損壞(含汙損)、傾斜,文山區116台灣台北市文山區指南路三段107號,20200901,095300
2020090100063,大型廢棄物清運聯繫,大安區臺北市大安區龍淵里010鄰和平東路二段９６巷１５弄１３號,20200901,095400
2020090100064,大型廢棄物清運聯繫,士林區臺北市士林區福順里002鄰重慶北路四段３號,20200901,095500
2020090100065,污染舉發,松山區臺北市松山區東勢里010鄰南京東路四段１３３巷７弄２２號,20200901,095800
2020090100066,交通標誌及設施物損壞(含汙損)、傾斜,士林區111台灣台北市士林區士東路91巷17號,20200901,100000
2020090100067,鄰里無主垃圾清運,中正區臺北市中正區板溪里002鄰南昌路二段１３３號,20200901,100100
2020090100068,污染舉發,信義區虎林街76巷,20200901,100600
2020090100069,大型廢棄物清運聯繫,內湖區臺北市內湖區明湖里020鄰康寧路三段９９巷１７弄６號,20200901,100800
2020090100070,污染舉發,中山區臺北市中山區中山里013鄰林森北路３５３巷２１號,20200901,101700
2020090100071,道路側溝溝蓋(含周邊)損壞遺失,士林區臺北市士林區天母里018鄰中山北路七段２１９巷１６號,20200901,102900
2020090100072,大型廢棄物清運聯繫,萬華區臺北市萬華區青山里005鄰華西街１７之４號,20200901,101800
2020090100073,鄰里無主垃圾清運,文山區臺北市文山區萬盛里003鄰羅斯福路五段４７號,20200901,102100
2020090100074,鄰里無主垃圾清運,萬華區臺北市萬華區西門里008鄰中華路一段１５２號,20200901,102000
2020090100075,大型廢棄物清運聯繫,內湖區新明路105號,20200901,102300
2020090100077,大型廢棄物清運聯繫,內湖區臺北市內湖區金湖里008鄰成功路五段５３號,20200901,103200
2020090100078,大型廢棄物清運聯繫,萬華區臺北市萬華區日祥里014鄰青年路１５２巷２０號,20200901,103300
2020090100079,大型廢棄物清運聯繫,信義區臺北市信義區興隆里002鄰基隆路一段３５０號,20200901,103500
2020090100080,場所與設施噪音舉發,大安區臺北市大安區光武里010鄰敦化南路一段１６０巷１９號,20200901,103500
2020090100081,場所與設施噪音舉發,文山區臺北市文山區萬興里029鄰新光路一段３２巷４弄１７號,20200901,103400
2020090100082,路面積淹水,文山區臺北市文山區樟新里018鄰樟新街２０號,20200901,103800
2020090100083,道路散落物或油漬處理,內湖區港墘路221巷33號,20200901,103500
2020090100084,場所與設施噪音舉發,信義區吳興街600巷55弄,20200901,103600
2020090100085,用戶無水、漏水報修,中山區臺北市中山區朱園里007鄰長安東路二段１１２號,20200901,103600
2020090100086,大型廢棄物清運聯繫,北投區臺北市北投區一德里006鄰一心路１巷３號,20200901,104000
2020090100087,大型廢棄物清運聯繫,松山區臺北市松山區吉祥里018鄰南京東路五段４０號,20200901,104000
2020090100088,場所與設施噪音舉發,中山區臺北市中山區新喜里016鄰吉林路４０１號,20200901,105100
2020090100089,大型廢棄物清運聯繫,信義區臺北市信義區六合里009鄰信義路五段１５０巷４０１弄１３號,20200901,105500
2020090100090,大型廢棄物清運聯繫,大同區臺北市大同區南芳里003鄰重慶北路二段１９６號,20200901,105500
2020090100091,市區道路坑洞處理,北投區臺北市北投區榮華里001鄰天母西路１３６號,20200901,105400
2020090100092,大型廢棄物清運聯繫,士林區臺北市士林區天祿里015鄰士東路２５巷８弄７號,20200901,110000
2020090100093,場所與設施噪音舉發,大安區臺北市大安區民輝里003鄰仁愛路三段５巷３弄６號,20200901,110200
2020090100094,大型廢棄物清運聯繫,信義區臺北市信義區五全里022鄰永吉路２００巷８１弄１５號,20200901,110700
2020090100095,大型廢棄物清運聯繫,松山區臺北市松山區莊敬里009鄰撫遠街３８３巷１９號,20200901,110700
2020090100097,大型廢棄物清運聯繫,中山區臺北市中山區恆安里014鄰新生北路三段４０之１號,20200901,111000
2020090100098,場所與設施噪音舉發,大安區敦化南路二段(虎嘯公園內),20200901,111300
2020090100100,道路散落物或油漬處理,大安區市民大道高架橋上往西方向靠近建國南路約一公里處（未到建國南路）,20200901,112100
2020090100101,鄰里無主垃圾清運,內湖區麥帥一橋,20200901,112100
2020090100102,大型廢棄物清運聯繫,松山區臺北市松山區復盛里026鄰八德路四段２２０號,20200901,112700
2020090100103,大型廢棄物清運聯繫,信義區臺北市信義區安康里007鄰虎林街１６４巷６０弄９號,20200901,112600
2020090100104,大型廢棄物清運聯繫,大同區臺北市大同區雙連里006鄰雙連街４９號,20200901,112700
2020090100105,市區道路坑洞處理,大同區103台灣台北市大同區承德路二段30號,20200901,112900
2020090100106,場所與設施噪音舉發,信義區吳興街600巷55弄弄口對面 ,20200901,113700
2020090100107,場所與設施噪音舉發,信義區松山路193號,20200901,113700
2020090100108,市區道路坑洞處理,內湖區114台灣台北市內湖區金龍路203-5號,20200901,113700
2020090100109,大型廢棄物清運聯繫,大同區臺北市大同區景星里011鄰延平北路三段１８巷４１號,20200901,114500
2020090100110,大型廢棄物清運聯繫,大同區臺北市大同區雙連里012鄰承德路二段１３９巷１５號,20200901,114700
2020090100111,路燈故障或設施損壞,文山區116台灣台北市文山區興隆路三段192巷2弄5號,20200901,114400
2020090100113,大型廢棄物清運聯繫,中山區臺北市中山區中原里001鄰吉林路９８巷６２號,20200901,114700
2020090100114,路樹處理,中山區臺北市中山區新庄里020鄰濱江街５號,20200901,114700
2020090100115,大型廢棄物清運聯繫,文山區臺北市文山區萬隆里019鄰萬隆街２９巷５號,20200901,114900
2020090100116,大型廢棄物清運聯繫,大安區臺北市大安區龍泉里013鄰泰順街４４巷２９號,20200901,115200
2020090100117,交通標誌及設施物損壞(含汙損)、傾斜,內湖區114台灣台北市內湖區行忠路171號,20200901,115200
2020090100118,鄰里無主垃圾清運,北投區致遠一路二段86巷巷口,20200901,115500
2020090100119,大型廢棄物清運聯繫,北投區臺北市北投區中和里017鄰復興四路７５巷２號,20200901,115600
2020090100120,市區道路坑洞處理,文山區羅斯福路五段(古亭往公館方向公館圓環上),20200901,115800
2020090100121,大型廢棄物清運聯繫,信義區臺北市信義區正和里005鄰光復南路４１５巷４０號,20200901,120200
2020090100123,道路散落物或油漬處理,信義區臺北市信義區安康里009鄰松仁路１０５號,20200901,120700
2020090100124,場所與設施噪音舉發,大同區臺北市大同區隆和里010鄰景化街２號,20200901,120800
2020090100125,路燈故障或設施損壞,中山區10491台灣台北市中山區安東街16巷2號,20200901,121000
