案件編號,派工項目,案件地址,立案日期,立案時間
2021110100001,污染舉發,南港區臺北市南港區成福里024鄰成福路１９９號,20211101,001300
2021110100002,道路散落物或油漬處理,大安區復興南路二段148巷,20211101,001700
2021110100003,大型廢棄物清運聯繫,萬華區108台灣台北市萬華區康定路103號,20211101,001800
2021110100004,用戶無水、漏水報修,信義區臺北市信義區安康里004鄰松德路５６號,20211101,002600
2021110100005,場所與設施噪音舉發,士林區臺北市士林區社新里020鄰社子街９８巷８號,20211101,004100
2021110100006,場所與設施噪音舉發,內湖區臺北市內湖區西康里016鄰內湖路一段９１巷２４弄１２號,20211101,005400
2021110100007,交通標誌及設施物損壞(含汙損)、傾斜,文山區116台灣台北市文山區興隆路三段206巷28號,20211101,005200
2021110100008,場所與設施噪音舉發,中山區民族東路368號,20211101,005600
2021110100009,場所與設施噪音舉發,文山區臺北市文山區興安里018鄰仙岩路２２巷４號,20211101,010200
2021110100010,大型廢棄物清運聯繫,內湖區臺北市內湖區港都里001鄰港墘路８２巷１６號,20211101,010900
2021110100011,場所與設施噪音舉發,中山區臺北市中山區正義里014鄰林森北路１４５巷３６號,20211101,020200
2021110100012,場所與設施噪音舉發,中山區臺北市中山區正義里012鄰林森北路１３３巷３７號,20211101,022200
2021110100013,場所與設施噪音舉發,士林區臺北市士林區福順里008鄰延平北路五段５６號,20211101,024900
2021110100014,場所與設施噪音舉發,大同區臺北市大同區永樂里002鄰迪化街一段７２巷８弄７號,20211101,030300
2021110100015,場所與設施噪音舉發,大安區臺北市大安區正聲里012鄰仁愛路四段４１７之１號,20211101,033000
2021110100016,場所與設施噪音舉發,北投區臺北市北投區裕民里005鄰建民路１６３之２號,20211101,043200
2021110100017,鄰里無主垃圾清運,士林區臺北市士林區葫蘆里015鄰環河北路三段９５號,20211101,043200
2021110100018,場所與設施噪音舉發,松山區臺北市松山區民有里011鄰民生東路三段１１３巷３９號,20211101,051500
2021110100019,污染舉發,士林區臺北市士林區天玉里001鄰中山北路七段１３號,20211101,060900
2021110100020,場所與設施噪音舉發,北投區行義路130巷,20211101,061100
2021110100022,橋梁、隧道、車(人)行地下道及涵洞積淹水,中山區10491台灣台北市中山區民族東路19號,20211101,064400
2021110100023,污染舉發,中山區臺北市中山區圓山里003鄰新生北路三段８２巷３５號,20211101,070500
2021110100024,場所與設施噪音舉發,內湖區114台灣台北市內湖區新明路428巷1號,20211101,074400
2021110100025,大型廢棄物清運聯繫,信義區臺北市信義區富台里004鄰忠孝東路五段４２３巷５弄３號,20211101,074400
2021110100026,場所與設施噪音舉發,士林區臺北市士林區天母里007鄰中山北路七段８１巷１２號,20211101,075700
2021110100027,大型廢棄物清運聯繫,南港區臺北市南港區中南里023鄰中南街７４巷３８號,20211101,080000
2021110100028,大型廢棄物清運聯繫,松山區臺北市松山區復勢里006鄰八德路三段１９９巷１２號,20211101,080700
2021110100029,大型廢棄物清運聯繫,信義區臺北市信義區富台里005鄰虎林街１２４號,20211101,080800
2021110100030,場所與設施噪音舉發,信義區臺北市信義區永吉里014鄰中坡北路４５號,20211101,080900
2021110100031,道路散落物或油漬處理,萬華區臺北市萬華區福星里007鄰漢中街４號,20211101,081600
