案件編號,派工項目,案件地址,立案日期,立案時間
2020010100001,路燈故障或設施損壞,信義區臺北市信義區正和里014鄰光復南路４１７巷４４號,20200101,001400
2020010100002,場所與設施噪音舉發,萬華區昆明街４６號,20200101,001700
2020010100003,場所與設施噪音舉發,信義區光復南路449號,20200101,001800
2020010100004,道路掏空,北投區112台灣台北市北投區知行路64號,20200101,002000
2020010100005,動物虐待傷害,松山區富錦街572巷,20200101,002700
2020010100006,場所與設施噪音舉發,松山區八德路三段-延吉街,20200101,003000
2020010100007,交通號誌異常,松山區八德路三段與八德路三段199巷口,20200101,004600
2020010100008,場所與設施噪音舉發,中山區臺北市中山區聚盛里016鄰錦州街４８號,20200101,004700
2020010100009,場所與設施噪音舉發,信義區臺北市政府前廣場,20200101,005100
2020010100011,場所與設施噪音舉發,大安區臺北市大安區車層里015鄰忠孝東路四段２４８巷１７號,20200101,005600
2020010100012,場所與設施噪音舉發,中山區臺北市中山區正得里011鄰中山北路一段８３巷９號,20200101,010400
2020010100013,道路散落物或油漬處理,中山區臺北市中山區恆安里002鄰民權東路一段１９號,20200101,010500
2020010100014,場所與設施噪音舉發,信義區臺北市信義區西村里008鄰市府路１號,20200101,010500
2020010100015,道路散落物或油漬處理,北投區大度路三段與中央北路口往關渡宮方向的內側車道,20200101,011100
2020010100016,場所與設施噪音舉發,中山區臺北市中山區新庄里010鄰德惠街８６號,20200101,012000
2020010100017,場所與設施噪音舉發,中山區臺北市中山區復華里001鄰復興北路１６６號,20200101,014900
2020010100018,道路散落物或油漬處理,中正區在市民高架道路上往西方向在林森北路上方,20200101,015000
2020010100019,場所與設施噪音舉發,中山區長安東路一段53巷1-6號,20200101,015000
2020010100020,鄰里無主垃圾清運,士林區111台灣台北市士林區前港街26號,20200101,015800
2020010100021,市區道路坑洞處理,中正區福和橋公館往永和方向的慢車道,20200101,020600
2020010100022,場所與設施噪音舉發,大安區臺北市大安區德安里016鄰四維路１４巷９號,20200101,022100
