案件編號,派工項目,案件地址,立案日期,立案時間
2015110100001,場所與設施噪音舉發,信義區信義區松壽路12號,20151101,000000
2015110100002,場所與設施噪音舉發,南港區,20151101,000100
2015110100004,場所與設施噪音舉發,中山區或75號,20151101,001200
2015110100005,場所與設施噪音舉發,南港區地標:  南港展覽館,20151101,001200
2015110100006,場所與設施噪音舉發,文山區交叉路口:  木柵路  木新路,20151101,001800
2015110100007,用戶無水、漏水報修,大安區,20151101,001600
2015110100009,場所與設施噪音舉發,中山區,20151101,001700
2015110100012,場所與設施噪音舉發,南港區,20151101,004100
2015110100013,用戶無水、漏水報修,信義區,20151101,004400
2015110100014,路燈故障或設施損壞,大安區,20151101,004600
2015110100015,場所與設施噪音舉發,松山區弄口東引小吃店,20151101,010500
2015110100016,場所與設施噪音舉發,萬華區,20151101,010900
2015110100018,場所與設施噪音舉發,萬華區紅樓河岸留言,20151101,012400
2015110100019,場所與設施噪音舉發,內湖區三軍總醫院 周邊,20151101,014900
2015110100020,場所與設施噪音舉發,南港區,20151101,020300
2015110100021,場所與設施噪音舉發,中山區地下樓,20151101,022900
2015110100023,場所與設施噪音舉發,松山區印度支那餐廳,20151101,024300
2015110100024,用戶無水、漏水報修,大安區,20151101,034700
2015110100025,場所與設施噪音舉發,北投區,20151101,043400
2015110100029,用戶無水、漏水報修,士林區或7號,20151101,054900
2015110100031,場所與設施噪音舉發,松山區巷內,20151101,060900
2015110100032,場所與設施噪音舉發,中山區或74號,20151101,061600
2015110100033,污染舉發,大安區,20151101,070600
2015110100034,場所與設施噪音舉發,文山區一進巷內就聽得到,20151101,072000
2015110100035,交通號誌異常,大安區,20151101,072100
2015110100036,場所與設施噪音舉發,文山區,20151101,072900
2015110100037,場所與設施噪音舉發,中山區旁邊松江路上,20151101,073100
2015110100038,大型廢棄物清運聯繫,南港區,20151101,074800
2015110100039,污染舉發,士林區,20151101,075800
2015110100040,用戶無水、漏水報修,信義區,20151101,082000
2015110100041,交通號誌異常,信義區交叉路口:  信義路  松德路在信義路上西往東方向出地下道的位置,20151101,083100
2015110100042,場所與設施噪音舉發,信義區地標:  市民廣場,20151101,083400
2015110100043,用戶無水、漏水報修,松山區前方,20151101,084200
2015110100044,場所與設施噪音舉發,大安區,20151101,084900
2015110100045,污染舉發,文山區後面的菜園,20151101,085500
2015110100046,場所與設施噪音舉發,信義區整條巷內,20151101,085900
2015110100047,大型廢棄物清運聯繫,萬華區,20151101,085700
2015110100048,大型廢棄物清運聯繫,中山區,20151101,090300
2015110100051,鄰里無主垃圾清運,士林區,20151101,090800
2015110100052,大型廢棄物清運聯繫,大安區,20151101,091100
2015110100053,路燈故障或設施損壞,大同區圓山公園,20151101,091200
2015110100054,大型廢棄物清運聯繫,內湖區,20151101,091800
2015110100056,場所與設施噪音舉發,信義區,20151101,092200
2015110100057,場所與設施噪音舉發,中山區,20151101,093000
2015110100058,大型廢棄物清運聯繫,中山區,20151101,093300
2015110100059,大型廢棄物清運聯繫,信義區,20151101,094000
2015110100061,污染舉發,中正區,20151101,094400
2015110100062,用戶無水、漏水報修,文山區,20151101,094700
2015110100063,場所與設施噪音舉發,信義區教會,20151101,094200
2015110100064,場所與設施噪音舉發,松山區雅祥公園的對面,20151101,094500
2015110100065,污染舉發,內湖區,20151101,094300
2015110100066,大型廢棄物清運聯繫,士林區,20151101,094600
2015110100067,場所與設施噪音舉發,中正區正前方,20151101,095600
2015110100068,大型廢棄物清運聯繫,中正區,20151101,095800
2015110100069,場所與設施噪音舉發,松山區,20151101,100200
2015110100070,大型廢棄物清運聯繫,士林區,20151101,100100
2015110100071,鄰里無主垃圾清運,中正區,20151101,100600
2015110100072,場所與設施噪音舉發,北投區,20151101,100800
2015110100073,大型廢棄物清運聯繫,大安區,20151101,100600
2015110100075,交通標誌及設施物損壞(含汙損)、傾斜,大安區交叉路口:  辛亥路三段  芳蘭路,20151101,101500
2015110100076,場所與設施噪音舉發,內湖區國防醫學院內,20151101,101900
2015110100077,大型廢棄物清運聯繫,萬華區,20151101,102700
2015110100078,場所與設施噪音舉發,文山區前方人行道施工噪音擾民,20151101,102600
2015110100080,場所與設施噪音舉發,文山區,20151101,103100
2015110100082,大型廢棄物清運聯繫,信義區,20151101,103300
2015110100083,場所與設施噪音舉發,松山區馥敦飯店,20151101,103700
2015110100084,大型廢棄物清運聯繫,松山區,20151101,103700
2015110100086,大型廢棄物清運聯繫,大安區,20151101,104000
2015110100089,大型廢棄物清運聯繫,北投區,20151101,104300
2015110100090,場所與設施噪音舉發,中正區交叉路口:  廈門街  汀州路,20151101,104800
2015110100091,場所與設施噪音舉發,信義區巷內,20151101,104900
2015110100092,大型廢棄物清運聯繫,文山區,20151101,104800
2015110100093,污染舉發,內湖區哈啦影城,20151101,105200
2015110100094,污染舉發,中正區交叉路口:  廈門街  汀州路,20151101,104900
2015110100095,場所與設施噪音舉發,松山區,20151101,110000
2015110100096,場所與設施噪音舉發,松山區,20151101,110100
2015110100097,大型廢棄物清運聯繫,士林區,20151101,105900
2015110100098,大型廢棄物清運聯繫,中正區,20151101,110800
2015110100100,用戶無水、漏水報修,萬華區,20151101,111400
2015110100101,場所與設施噪音舉發,大安區地標:  捷運信義安和站,20151101,112500
2015110100102,交通號誌異常,北投區巷口,20151101,112700
2015110100103,大型廢棄物清運聯繫,內湖區,20151101,112900
2015110100104,場所與設施噪音舉發,文山區,20151101,113400
2015110100105,污染舉發,內湖區,20151101,113600
2015110100106,鄰里無主垃圾清運,大安區(大安森林公園外圍的四面紅磚人行道上),20151101,113700
2015110100107,用戶無水、漏水報修,松山區,20151101,113800
2015110100108,大型廢棄物清運聯繫,文山區,20151101,114100
2015110100109,用戶無水、漏水報修,萬華區的門口,20151101,114200
2015110100110,鄰里無主垃圾清運,大安區,20151101,114400
2015110100111,大型廢棄物清運聯繫,松山區,20151101,114600
2015110100112,大型廢棄物清運聯繫,松山區,20151101,115200
2015110100113,大型廢棄物清運聯繫,文山區,20151101,115100
2015110100114,大型廢棄物清運聯繫,大安區,20151101,115200
2015110100115,大型廢棄物清運聯繫,中山區,20151101,115200
2015110100116,污染舉發,中山區33巷24號,20151101,120100
2015110100117,場所與設施噪音舉發,信義區,20151101,115400
2015110100120,場所與設施噪音舉發,文山區,20151101,120800
2015110100122,大型廢棄物清運聯繫,信義區,20151101,121600
2015110100123,污染舉發,大安區,20151101,122000
2015110100125,大型廢棄物清運聯繫,北投區,20151101,122900
2015110100126,場所與設施噪音舉發,內湖區,20151101,123200
2015110100127,大型廢棄物清運聯繫,大安區,20151101,124800
2015110100128,雨水下水道側溝清淤,中正區至27號,20151101,125200
2015110100129,交通號誌異常,大同區與天水路交叉路口,20151101,125500
2015110100131,交通號誌異常,內湖區巷口(全家超商斜對角),20151101,125700
2015110100132,用戶無水、漏水報修,大安區,20151101,125800
2015110100133,污染舉發,大安區安和路一段70號,20151101,125700
2015110100134,鄰里無主垃圾清運,士林區,20151101,125800
2015110100135,大型廢棄物清運聯繫,中山區,20151101,130200
2015110100136,場所與設施噪音舉發,大安區店名:逸流誠品,20151101,130700
2015110100137,用戶無水、漏水報修,大安區,20151101,131200
2015110100139,污染舉發,大安區上鼎川湘小館,20151101,132100
2015110100140,場所與設施噪音舉發,中正區交叉路口:  北平東路  杭州北路華山大草原,20151101,132200
2015110100141,大型廢棄物清運聯繫,信義區,20151101,133000
2015110100142,大型廢棄物清運聯繫,松山區,20151101,133400
2015110100143,用戶無水、漏水報修,文山區,20151101,133200
2015110100144,污染舉發,大安區豬跳舞小餐館,20151101,133500
2015110100145,場所與設施噪音舉發,北投區,20151101,133600
2015110100146,大型廢棄物清運聯繫,大安區,20151101,133600
2015110100149,場所與設施噪音舉發,北投區,20151101,135000
2015110100151,大型廢棄物清運聯繫,大安區,20151101,135500
2015110100152,場所與設施噪音舉發,信義區,20151101,135500
2015110100153,大型廢棄物清運聯繫,中山區,20151101,140400
2015110100154,大型廢棄物清運聯繫,內湖區,20151101,140400
2015110100155,場所與設施噪音舉發,內湖區隔壁,20151101,140500
2015110100156,大型廢棄物清運聯繫,南港區,20151101,140900
2015110100157,場所與設施噪音舉發,信義區仁愛國小前方,20151101,141100
2015110100158,雨水下水道側溝清淤,北投區旁7-11前方,20151101,141600
2015110100159,交通號誌異常,大安區地標:  兒童新樂園大門正前方,20151101,141700
2015110100161,場所與設施噪音舉發,士林區tiger tods幼兒園後方,20151101,142400
2015110100162,場所與設施噪音舉發,中正區,20151101,142100
2015110100163,場所與設施噪音舉發,大安區,20151101,142100
2015110100164,用戶無水、漏水報修,北投區,20151101,142200
2015110100165,場所與設施噪音舉發,大安區信義安和站5號,20151101,142700
2015110100166,場所與設施噪音舉發,信義區,20151101,143100
2015110100167,交通號誌異常,北投區交叉路口:  自強街  致遠一路,20151101,143000
2015110100168,大型廢棄物清運聯繫,北投區,20151101,143800
2015110100169,污染舉發,文山區興隆路四段29巷對面(再興中學的馬路上會看到),20151101,145900
2015110100170,用戶無水、漏水報修,文山區,20151101,150400
2015110100171,場所與設施噪音舉發,萬華區,20151101,150100
2015110100172,大型廢棄物清運聯繫,信義區,20151101,150200
2015110100173,大型廢棄物清運聯繫,松山區,20151101,151100
2015110100175,污染舉發,中山區路口,20151101,151300
2015110100176,交通號誌異常,北投區交叉路口:  新民路  泉源路,20151101,151800
2015110100177,污染舉發,大安區,20151101,152300
2015110100178,場所與設施噪音舉發,內湖區市民表示為該棟建築4號,20151101,152800
2015110100180,場所與設施噪音舉發,中山區,20151101,153600
2015110100181,大型廢棄物清運聯繫,中山區,20151101,153800
2015110100183,場所與設施噪音舉發,大安區,20151101,155900
2015110100184,污染舉發,松山區IKEA,20151101,155800
2015110100185,大型廢棄物清運聯繫,中山區,20151101,154200
2015110100186,場所與設施噪音舉發,信義區,20151101,155400
2015110100187,場所與設施噪音舉發,中山區及48巷之間(蔡瑞月紀念館),20151101,154800
2015110100188,大型廢棄物清運聯繫,信義區,20151101,155000
2015110100189,大型廢棄物清運聯繫,大安區,20151101,160400
2015110100190,場所與設施噪音舉發,大安區,20151101,161200
2015110100191,場所與設施噪音舉發,內湖區,20151101,162300
2015110100192,污染舉發,文山區,20151101,162300
2015110100193,用戶無水、漏水報修,文山區此處右前方,20151101,163200
2015110100194,污染舉發,內湖區店家:艋舺雞排,20151101,164400
2015110100195,大型廢棄物清運聯繫,信義區,20151101,164200
2015110100196,大型廢棄物清運聯繫,士林區,20151101,164600
2015110100197,大型廢棄物清運聯繫,內湖區,20151101,164700
2015110100198,大型廢棄物清運聯繫,士林區,20151101,165200
2015110100199,大型廢棄物清運聯繫,松山區,20151101,165600
2015110100200,大型廢棄物清運聯繫,松山區,20151101,165400
2015110100201,場所與設施噪音舉發,文山區,20151101,170300
2015110100202,大型廢棄物清運聯繫,中正區,20151101,170700
2015110100203,大型廢棄物清運聯繫,中正區,20151101,171300
