案件編號,派工項目,案件地址,立案日期,立案時間
202308010,場所與設施噪音舉發,中山區臺北市中山區正義里008鄰林森北路１０７巷６２號,20230801,000100
202308010,大型廢棄物清運聯繫,松山區臺北市松山區慈祐里007鄰饒河街１３３號,20230801,000400
202308010,路燈故障或設施損壞,松山區健康路,20230801,000900
202308010,大型廢棄物清運聯繫,南港區臺北市南港區玉成里018鄰八德路四段８３４號,20230801,000500
202308010,場所與設施噪音舉發,松山區松山區南京東路五段250巷36弄19號,20230801,003500
202308010,場所與設施噪音舉發,內湖區TPE臺北市內湖區湖元里汐止五股高架,20230801,010700
202308010,污染舉發,大安區臺北市大安區通安里001鄰文昌街１３６巷７號,20230801,011900
202308010,污染舉發,大安區臺北市大安區民輝里014鄰新生南路一段１０３巷２１號,20230801,012400
202308010,場所與設施噪音舉發,大安區臺北市大安區法治里005鄰樂利路９５號,20230801,015100
202308010,場所與設施噪音舉發,內湖區內湖路一段411巷-內湖路一段,20230801,015000
202308010,場所與設施噪音舉發,內湖區內湖路一段411巷-內湖路一段,20230801,021500
202308010,場所與設施噪音舉發,信義區臺北市信義區敦厚里020鄰永吉路３０巷１１９弄４０號,20230801,033500
202308010,路燈故障或設施損壞,內湖區舊宗路二段213巷,20230801,034900
202308010,路燈故障或設施損壞,內湖區瑞光路258巷,20230801,034900
202308010,路燈故障或設施損壞,北投區立賢路,20230801,034900
202308010,市區道路坑洞處理,士林區通河西街一段-重慶北路四段,20230801,035100
202308010,道路散落物或油漬處理,大安區臺北市大安區德安里003鄰大安路一段２１１號,20230801,044000
202308010,污染舉發,大安區臺北市大安區建安里004鄰忠孝東路四段１８１巷３８號,20230801,051200
202308010,路燈故障或設施損壞,士林區臺北市士林區陽明里001鄰仰德大道四段４２巷２５號,20230801,064000
202308010,大型廢棄物清運聯繫,大同區臺北市大同區國順里015鄰延平北路三段９８之１號,20230801,070300
202308010,交通號誌異常,北投區三合街二段-北投路一段,20230801,072100
202308010,大型廢棄物清運聯繫,內湖區臺北市內湖區湖興里014鄰民權東路六段１５０之１號,20230801,072800
202308010,道路散落物或油漬處理,大安區臺北市大安區和安里001鄰仁愛路三段１３６號,20230801,073100
202308010,橋梁、隧道、車(人)行地下道及涵洞積淹水,大安區辛亥路二段-建國南路二段,20230801,080000
202308010,橋梁、隧道、車(人)行地下道及涵洞積淹水,大安區建國南路二段-和平東路二段,20230801,080100
202308010,場所與設施噪音舉發,中山區TPE臺北市中山區大直里北安路611號,20230801,075700
202308010,交通號誌異常,中正區市民大道二段-林森北路,20230801,080100
202308010,路樹處理,大安區臺北市大安區古莊里002鄰和平東路一段２號,20230801,080300
202308010,路樹處理,大安區臺北市大安區古莊里002鄰羅斯福路二段６７號,20230801,081400
202308010,鄰里無主垃圾清運,中山區10491台灣台北市松山區民權東路三段103巷3-3號,20230801,081300
202308010,大型廢棄物清運聯繫,文山區臺北市文山區興福里005鄰景興路５３巷３之２號,20230801,081500
202308010,鄰里無主垃圾清運,文山區臺北市文山區明興里019鄰木柵路二段１０９巷２５弄１８號,20230801,081700
202308010,用戶無水、漏水報修,士林區臺北市士林區天母里001鄰中山北路七段１９０巷１１１號,20230801,082100
202308010,交通號誌異常,大安區仁愛路四段,20230801,083100
202308010,場所與設施噪音舉發,文山區臺北市文山區興旺里014鄰福興路８０號,20230801,082100
202308010,污染舉發,文山區臺北市文山區興旺里014鄰福興路８０號,20230801,082200
202308010,路燈故障或設施損壞,大安區106台灣台北市大安區安東街40巷45號,20230801,082000
202308010,路燈故障或設施損壞,大安區106台灣台北市大安區建國南路一段65號,20230801,082700
202308010,路樹處理,大安區和平東路一段-羅斯福路二段,20230801,084300
202308010,路樹處理,大安區臺北市大安區古莊里002鄰和平東路一段２號,20230801,084900
202308010,大型廢棄物清運聯繫,松山區臺北市松山區介壽里005鄰延壽街３２９號,20230801,084900
202308010,交通號誌異常,中山區林森北路,20230801,085700
202308010,鄰里無主垃圾清運,士林區臺北市士林區仁勇里006鄰大南路１５號,20230801,090200
202308010,大型廢棄物清運聯繫,士林區臺北市士林區臨溪里008鄰至善路二段２５６巷１１號,20230801,090800
202308010,鄰里無主垃圾清運,文山區木新路三段172巷2弄,20230801,090800
202308010,市區道路坑洞處理,信義區信義路四段149號,20230801,090900
202308010,路燈故障或設施損壞,內湖區114台灣台北市內湖區潭美街173號,20230801,091000
202308010,交通號誌異常,大同區延平北路二段-歸綏街,20230801,091500
202308010,道路側溝溝蓋(含周邊)損壞遺失,文山區116台灣台北市文山區興德路64巷1號,20230801,091300
202308010,路燈故障或設施損壞,南港區115台灣台北市南港區富康街10號,20230801,091400
202308010,動物救援,南港區臺北市南港區東明里002鄰南港路二段１５５號,20230801,091600
202308010,動物救援,內湖區114台灣台北市內湖區環山路一段60巷13號,20230801,092000
202308010,大型廢棄物清運聯繫,松山區臺北市松山區富錦里001鄰新東街３１巷３號,20230801,092100
202308010,場所與設施噪音舉發,士林區臺北市士林區德行里006鄰中山北路五段８１１巷３１弄１０號,20230801,092800
202308010,鄰里無主垃圾清運,士林區111台灣台北市士林區至善路二段449號,20230801,093300
202308010,交通標誌及設施物損壞(含汙損)、傾斜,中正區100台灣台北市中正區和平西路一段141號,20230801,093400
202308010,污染舉發,士林區臺北市士林區德行里012鄰福華路１２０號,20230801,093600
202308010,大型廢棄物清運聯繫,大同區臺北市大同區永樂里024鄰南京西路３２７號,20230801,093900
202308010,大型廢棄物清運聯繫,信義區臺北市信義區中行里014鄰福德街２５１巷２號,20230801,093900
202308010,鄰里無主垃圾清運,士林區111台灣台北市士林區至善路二段389號,20230801,093900
202308010,動物救援,大安區臺北市大安區住安里020鄰敦化南路二段３２號,20230801,094100
202308010,交通標誌及設施物損壞(含汙損)、傾斜,大安區羅斯福路三段269巷-羅斯福路三段283巷9弄,20230801,094100
202308010,大型廢棄物清運聯繫,北投區臺北市北投區振華里022鄰懷德街６２號,20230801,094100
202308010,路燈故障或設施損壞,內湖區臺北市內湖區金瑞里018鄰內湖路三段３６５號,20230801,094600
202308010,道路側溝溝蓋(含周邊)損壞遺失,萬華區108台灣台北市萬華區環河南路二段175巷22號,20230801,094100
202308010,場所與設施噪音舉發,文山區臺北市文山區試院里009鄰和興路４４巷１４弄２之３號,20230801,094200
202308010,大型廢棄物清運聯繫,士林區臺北市士林區聖山里019鄰忠誠路一段１３５號,20230801,094400
202308010,道路散落物或油漬處理,士林區臺北市士林區福安里011鄰延平北路八段２巷２００弄６２號,20230801,094700
202308010,用戶無水、漏水報修,大安區臺北市大安區古莊里002鄰和平東路一段１６２號,20230801,094500
202308010,污染舉發,信義區臺北市信義區四維里016鄰虎林街８２巷２９號,20230801,094700
202308010,大型廢棄物清運聯繫,文山區臺北市文山區興泰里008鄰辛亥路四段１７４號,20230801,095500
202308010,大型廢棄物清運聯繫,信義區臺北市信義區黎安里001鄰和平東路三段５０９巷７弄２９號,20230801,095600
202308010,交通號誌異常,大同區歸綏街-延平北路二段,20230801,095400
202308010,場所與設施噪音舉發,萬華區臺北市萬華區萬壽里011鄰康定路１３號,20230801,095800
202308010,大型廢棄物清運聯繫,萬華區臺北市萬華區日善里002鄰萬大路１３８號,20230801,100300
202308010,用戶無水、漏水報修,南港區南港路一段30巷,20230801,100700
202308010,用戶無水、漏水報修,內湖區安康路143號,20230801,100900
202308010,污染舉發,大同區臺北市大同區南芳里005鄰延平北路二段２４７巷２０號,20230801,101100
202308010,場所與設施噪音舉發,內湖區臺北市內湖區南湖里007鄰康寧路三段２００號,20230801,101100
202308010,大型廢棄物清運聯繫,文山區臺北市文山區景華里020鄰三福街２６之４號,20230801,101200
202308010,大型廢棄物清運聯繫,士林區臺北市士林區天山里007鄰中山北路七段１４巷９號,20230801,103300
202308010,大型廢棄物清運聯繫,文山區臺北市文山區木新里020鄰保儀路１０９巷３弄３０號,20230801,102400
202308010,污染舉發,信義區臺北市信義區三犁里002鄰信義路五段１５０巷３２５弄１號,20230801,102500
202308010,污染舉發,信義區臺北市信義區三犁里007鄰信義路五段１５０巷３４５號,20230801,102600
202308010,鄰里無主垃圾清運,文山區臺北市文山區樟文里006鄰木新路三段２３２巷８號,20230801,102600
202308010,鄰里無主垃圾清運,北投區112台灣台北市北投區豐年路二段132號,20230801,103000
202308010,鄰里無主垃圾清運,文山區臺北市文山區萬隆里021鄰萬隆街７３號,20230801,103400
202308010,路樹處理,中山區3GFV+QV 台灣台北市中山區,20230801,103300
202308010,大型廢棄物清運聯繫,松山區臺北市松山區精忠里007鄰民生東路四段９７巷４弄２號,20230801,104000
202308010,大型廢棄物清運聯繫,士林區臺北市士林區名山里013鄰忠誠路一段１１９號,20230801,110300
202308010,大型廢棄物清運聯繫,信義區臺北市信義區雙和里001鄰吳興街２８４巷７之３號,20230801,110500
202308010,大型廢棄物清運聯繫,中正區臺北市中正區網溪里013鄰廈門街１３５巷４之２號,20230801,110800
202308010,大型廢棄物清運聯繫,內湖區臺北市內湖區南湖里006鄰民權東路六段２９６巷９０號,20230801,111100
202308010,鄰里無主垃圾清運,內湖區臺北市內湖區明湖里015鄰康寧路三段１８９巷５７號,20230801,111000
202308010,鄰里無主垃圾清運,內湖區114台灣台北市內湖區康寧路三段189巷163弄3號,20230801,111200
202308010,用戶無水、漏水報修,文山區萬壽路,20230801,111300
202308010,大型廢棄物清運聯繫,大安區臺北市大安區民輝里014鄰新生南路一段１０３巷３３之２號,20230801,111500
202308010,大型廢棄物清運聯繫,文山區臺北市文山區政大里002鄰萬壽路４３之１７號,20230801,111800
202308010,大型廢棄物清運聯繫,萬華區臺北市萬華區新安里025鄰萬大路２７７巷３３弄４號,20230801,112000
202308010,交通標誌及設施物損壞(含汙損)、傾斜,北投區112台灣台北市北投區新民路10號,20230801,112400
202308010,交通號誌異常,中山區臺北市中山區復華里009鄰龍江路１３５號,20230801,112700
202308010,大型廢棄物清運聯繫,中正區臺北市中正區龍興里009鄰三元街１５２巷５之２號,20230801,112700
202308010,大型廢棄物清運聯繫,松山區臺北市松山區中正里006鄰八德路二段４３７巷６弄６號,20230801,112700
202308010,道路散落物或油漬處理,士林區福林橋,20230801,112900
202308010,鄰里無主垃圾清運,信義區臺北市信義區黎順里011鄰嘉興街２２７號,20230801,113500
202308010,雨水下水道側溝清淤,南港區忠孝東路六段185巷1弄,20230801,113400
202308010,污染舉發,松山區臺北市松山區東光里011鄰南京東路五段２３巷６弄２９之１號,20230801,113400
202308010,市區道路坑洞處理,北投區112台灣台北市北投區新民路60號,20230801,113400
202308010,路樹處理,文山區116台灣台北市文山區辛亥路四段21巷26號,20230801,113600
202308010,大型廢棄物清運聯繫,中山區臺北市中山區聚葉里002鄰民權東路一段４８號,20230801,113800
202308010,大型廢棄物清運聯繫,文山區臺北市文山區樟林里002鄰光輝路３０巷６號,20230801,114100
