案件編號,派工項目,案件地址,立案日期,立案時間
2018010100001,道路散落物或油漬處理,松山區交叉路口:  復興北路  長安東路二段,20180101,000200
2018010100002,場所與設施噪音舉發,松山區與地下1樓,20180101,000400
2018010100003,場所與設施噪音舉發,萬華區交叉路口:  康定路  環河南路,20180101,001100
2018010100004,場所與設施噪音舉發,北投區雅樂軒酒店,20180101,001600
2018010100005,場所與設施噪音舉發,北投區旁店名：馬場,20180101,002700
2018010100006,場所與設施噪音舉發,中山區大直橋正下方美堤河濱公園地標:  大直橋,20180101,004000
2018010100007,場所與設施噪音舉發,信義區聽到音源位置,20180101,003300
2018010100008,場所與設施噪音舉發,北投區,20180101,004200
2018010100009,場所與設施噪音舉發,中正區附近,20180101,005100
2018010100010,場所與設施噪音舉發,松山區後方 ,20180101,005400
2018010100011,場所與設施噪音舉發,中山區,20180101,005500
2018010100012,場所與設施噪音舉發,信義區,20180101,011100
2018010100013,場所與設施噪音舉發,信義區市府前廣場,20180101,010300
2018010100014,場所與設施噪音舉發,信義區市府前廣場 ,20180101,010200
2018010100015,場所與設施噪音舉發,信義區忠孝東路五段與松仁路交叉口 交叉路口:  忠孝東路  松仁路,20180101,010300
2018010100016,交通號誌電纜線垂落及設施損壞,中正區交叉路口:  三元街  寧波西街,20180101,010600
2018010100017,場所與設施噪音舉發,信義區,20180101,010600
2018010100018,場所與設施噪音舉發,文山區溪洲街10前面福和河濱公園內,20180101,011100
2018010100019,場所與設施噪音舉發,中山區不確定幾號,20180101,011400
2018010100020,場所與設施噪音舉發,松山區1樓跟B1 店名:JOKER 小丑酒館,20180101,012500
2018010100021,場所與設施噪音舉發,大安區焱鐵板燒,20180101,012300
2018010100022,場所與設施噪音舉發,信義區,20180101,012800
2018010100023,場所與設施噪音舉發,大安區對面,20180101,013800
2018010100024,大型廢棄物清運聯繫,內湖區,20180101,014000
2018010100025,場所與設施噪音舉發,文山區116台灣台北市文山區興隆路三段115巷1號,20180101,013900
2018010100026,場所與設施噪音舉發,萬華區附近,20180101,015200
2018010100027,場所與設施噪音舉發,中山區周邊,20180101,020000
2018010100028,路燈故障或設施損壞,萬華區地標:  青年公園,20180101,020300
2018010100029,場所與設施噪音舉發,萬華區可愛地餐廳,20180101,021000
2018010100030,場所與設施噪音舉發,士林區斜對面的堤外在百齡橋跟承德橋之間的百齡右岸河濱公園,20180101,022000
2018010100031,場所與設施噪音舉發,中山區美堤河濱公園 敬業三路162巷巷口對面河堤,20180101,021400
2018010100032,場所與設施噪音舉發,士林區居酒屋,20180101,021900
2018010100033,場所與設施噪音舉發,信義區,20180101,021700
