案件編號,派工項目,案件地址,立案日期,立案時間
2020110100001,場所與設施噪音舉發,大安區臺北市大安區建安里007鄰敦化南路一段１７７巷４５號,20201101,000200
2020110100002,場所與設施噪音舉發,中山區10443台灣台北市中山區林森北路107巷46號,20201101,000200
2020110100003,場所與設施噪音舉發,士林區力行街-至善路二段 營建工地,20201101,000600
2020110100004,場所與設施噪音舉發,中山區美堤河濱公園16,20201101,000600
2020110100005,道路散落物或油漬處理,信義區松智路上從松壽路往松高路方向,20201101,000700
2020110100006,場所與設施噪音舉發,信義區光復南路567號,20201101,001300
2020110100007,場所與設施噪音舉發,中正區青島東路-鎮江街靠近立法院側門,20201101,001600
2020110100008,場所與設施噪音舉發,士林區力行街和至善路二段交叉口番仔田綠地對面以前的衛生勤務學校,20201101,001700
2020110100009,場所與設施噪音舉發,大同區臺北市大同區雙連里020鄰興城街１２號,20201101,001700
2020110100010,場所與設施噪音舉發,中山區臺北市中山區龍洲里007鄰興安街１１４號,20201101,001800
2020110100011,場所與設施噪音舉發,信義區臺北市信義區西村里008鄰松壽路１２號,20201101,001900
2020110100012,場所與設施噪音舉發,中正區臺北市中正區幸福里001鄰鎮江街７號,20201101,002000
2020110100013,場所與設施噪音舉發,中正區鎮江街-林森南路8巷靠近立法院側門,20201101,002700
2020110100014,場所與設施噪音舉發,中正區鎮江街-青島東路,20201101,003200
2020110100015,場所與設施噪音舉發,信義區臺北市信義區大道里019鄰大道路８０號,20201101,002700
2020110100016,場所與設施噪音舉發,士林區力行街和至善路二段,20201101,002700
2020110100017,場所與設施噪音舉發,中正區林森南路-青島東路,20201101,003200
2020110100018,場所與設施噪音舉發,信義區福德街221巷內在?公國中後面的停車場後面的露天pub,20201101,003700
2020110100019,場所與設施噪音舉發,內湖區港墘路10號,20201101,003400
2020110100020,場所與設施噪音舉發,信義區臺北市信義區西村里008鄰松壽路１２號,20201101,003800
2020110100021,場所與設施噪音舉發,中山區臺北市中山區正義里007鄰林森北路１０７巷４６號,20201101,004300
2020110100022,場所與設施噪音舉發,信義區臺北市信義區中興里008鄰光復南路５８７號,20201101,005100
2020110100023,場所與設施噪音舉發,內湖區港墘路和麗山街交叉口,20201101,005400
2020110100024,污染舉發,內湖區港墘路和麗山街交叉口,20201101,005400
2020110100025,場所與設施噪音舉發,內湖區港墘路-港墘路37巷,20201101,005700
2020110100026,道路散落物或油漬處理,中山區北安路-明水路,20201101,005500
2020110100027,場所與設施噪音舉發,信義區臺北市信義區景聯里020鄰吳興街１１８巷１５弄１號,20201101,005600
2020110100028,場所與設施噪音舉發,松山區105台灣台北市松山區南京東路五段250巷36弄19號,20201101,005700
2020110100029,場所與設施噪音舉發,內湖區港墘路-環山路二段在麗山高中正對面靠近環山路,20201101,010500
