案件編號,派工項目,案件地址,立案日期,立案時間
2021060100001,交通標誌及設施物損壞(含汙損)、傾斜,內湖區114台灣台北市內湖區內湖路二段41號,20210601,000000
2021060100002,交通標誌及設施物損壞(含汙損)、傾斜,內湖區114台灣台北市內湖區江南街71巷38弄1號,20210601,000600
2021060100003,路燈故障或設施損壞,北投區112台灣台北市北投區中央北路四段28號,20210601,000600
2021060100005,用戶無水、漏水報修,信義區仁愛路四段510號,20210601,001300
2021060100007,橋梁、隧道、車(人)行地下道及涵洞積淹水,大安區臺北市大安區民輝里019鄰新生北路一段７號,20210601,004300
2021060100008,場所與設施噪音舉發,中山區臺北市中山區正得里016鄰林森北路９６號,20210601,003200
2021060100009,場所與設施噪音舉發,中山區長安東路一段-林森北路交叉口 ,20210601,003400
2021060100010,場所與設施噪音舉發,中山區林森北路-長安東路一段,20210601,003500
2021060100011,污染舉發,士林區臺北市士林區福德里014鄰下樹林街２２巷８號,20210601,003800
2021060100012,場所與設施噪音舉發,信義區臺北市信義區敦厚里021鄰永吉路１２０巷８６號,20210601,004000
2021060100013,場所與設施噪音舉發,中山區長安東路一段與林森北路交叉口　,20210601,004300
2021060100014,用戶無水、漏水報修,大安區辛亥路三段157巷22弄15號,20210601,005800
2021060100015,場所與設施噪音舉發,信義區臺北市信義區中行里003鄰忠孝東路五段７９０巷５９弄２０號,20210601,010000
2021060100016,場所與設施噪音舉發,中山區臺北市中山區正守里010鄰林森北路６７巷２１號,20210601,010100
2021060100017,場所與設施噪音舉發,中山區長安東路與林森北路交叉口,20210601,010400
2021060100018,路燈故障或設施損壞,中山區臺北市中山區江寧里011鄰合江街１３１號,20210601,011200
2021060100019,大型廢棄物清運聯繫,內湖區內湖區成功路三段199號,20210601,011300
2021060100021,路燈故障或設施損壞,大安區芳蘭路上,20210601,014500
2021060100022,場所與設施噪音舉發,內湖區臺北市內湖區內湖里015鄰成功路四段３０巷７號,20210601,015100
2021060100023,場所與設施噪音舉發,大安區臺北市大安區住安里020鄰敦化南路二段３８號,20210601,023700
2021060100024,道路散落物或油漬處理,萬華區臺北市萬華區仁德里001鄰昆明街１８９號,20210601,031500
2021060100026,路燈故障或設施損壞,北投區中央北路四段30巷68號,20210601,061000
2021060100027,道路散落物或油漬處理,南港區臺北市南港區九如里026鄰研究院路三段８６巷２５號,20210601,063600
2021060100028,道路散落物或油漬處理,信義區臺北市信義區三張里032鄰莊敬路３２７號,20210601,065400
2021060100029,鄰里無主垃圾清運,中正區臺北市中正區螢圃里026鄰重慶南路三段６５巷４弄４號,20210601,065800
2021060100030,污染舉發,內湖區內湖區潭美街533號,20210601,073400
2021060100031,場所與設施噪音舉發,中正區臺北市中正區文北里020鄰銅山街５號,20210601,073900
2021060100032,路燈故障或設施損壞,北投區臺北市北投區桃源里014鄰中央北路三段２３６巷３號,20210601,074200
2021060100033,場所與設施噪音舉發,大同區103台灣台北市大同區庫倫街13巷1弄28號,20210601,075800
2021060100034,大型廢棄物清運聯繫,中山區臺北市中山區新喜里007鄰吉林路４４７巷１８號,20210601,080100
2021060100036,場所與設施噪音舉發,信義區臺北市信義區松光里017鄰松山路４６５巷２弄５號,20210601,081100
