案件編號,派工項目,案件地址,立案日期,立案時間
2019120100001,場所與設施噪音舉發,北投區中央北路一段167巷1弄弄內,20191201,000600
2019120100002,鄰里無主垃圾清運,中正區汀州路二段6巷巷口,20191201,001200
2019120100003,場所與設施噪音舉發,信義區臺北市信義區西村里008鄰松壽路１２號,20191201,001400
2019120100004,用戶無水、漏水報修,北投區臺北市北投區裕民里021鄰明德路１０５號,20191201,002300
2019120100005,場所與設施噪音舉發,中山區臺北市中山區江寧里019鄰錦州街４４７號,20191201,002200
2019120100006,污染舉發,大安區臨江街與通化街交叉口,20191201,002400
2019120100007,場所與設施噪音舉發,中正區臺北市中正區螢雪里005鄰重慶南路三段１６４號,20191201,002900
2019120100008,場所與設施噪音舉發,松山區臺北市松山區美仁里007鄰北寧路３０號,20191201,003100
2019120100009,用戶無水、漏水報修,士林區臺北市士林區陽明里005鄰建業路７４巷３號,20191201,003900
2019120100010,場所與設施噪音舉發,大安區106台灣台北市大安區復興南路一段253巷15號,20191201,011100
2019120100011,道路散落物或油漬處理,大同區環河北路一段與歸綏街交叉口 忠和公園前方 ,20191201,014800
2019120100012,場所與設施噪音舉發,松山區臺北市松山區福成里001鄰敦化南路一段９０號,20191201,015000
2019120100013,道路散落物或油漬處理,中正區忠孝西路一段-公園路交叉口,20191201,021400
2019120100014,場所與設施噪音舉發,信義區臺北市信義區西村里008鄰松壽路１２號,20191201,021400
2019120100015,交通號誌異常,中正區南昌路一段-南海路,20191201,021900
2019120100016,場所與設施噪音舉發,萬華區臺北市萬華區青山里010鄰桂林路１６０號,20191201,022600
2019120100017,場所與設施噪音舉發,大安區106台灣台北市大安區新生南路一段165巷21號,20191201,024000
2019120100018,道路散落物或油漬處理,北投區磺港路-大興街,20191201,024700
2019120100019,場所與設施噪音舉發,松山區復興南路一段25巷1弄7號,20191201,031600
2019120100020,場所與設施噪音舉發,信義區臺北市信義區松光里020鄰松山路６１５巷８號,20191201,060000
2019120100021,道路散落物或油漬處理,中山區中山站出口3,20191201,060300
2019120100022,場所與設施噪音舉發,萬華區西寧南路82巷,20191201,061100
2019120100023,市區道路坑洞處理,南港區在忠孝東路六段上往南港方向靠近陸軍後勤指揮部前方紅綠燈的鐵蓋附近,20191201,063400
2019120100024,道路散落物或油漬處理,文山區水源快速道路 師大路匝道上去往新店方向靠近景美那段,20191201,064200
