案件編號,派工項目,案件地址,立案日期,立案時間
2018110100001,場所與設施噪音舉發,大同區臺北市大同區星明里21鄰民生西路234號,20181101,000300
2018110100002,大型廢棄物清運聯繫,中正區紹興南街5之4號,20181101,001600
2018110100003,場所與設施噪音舉發,中山區臺北市中山區正得里12鄰中山北路一段121巷26號,20181101,001200
2018110100004,場所與設施噪音舉發,內湖區臺北市內湖區瑞陽里21鄰文德路22巷8號,20181101,001500
2018110100005,場所與設施噪音舉發,士林區臺北市士林區百齡里12鄰華齡街35巷13弄3號,20181101,002000
2018110100006,交通號誌異常,松山區八德路二段-復興北路交叉口,20181101,003700
2018110100007,路燈故障或設施損壞,大安區瑞安街八一巷一二弄弄內,20181101,004700
2018110100008,場所與設施噪音舉發,大安區臺北市大安區通安里16鄰通化街156號,20181101,005900
2018110100009,道路散落物或油漬處理,內湖區臺北市內湖區碧山里5鄰內湖路三段60巷12弄21之1號,20181101,010000
2018110100010,場所與設施噪音舉發,信義區臺北市信義區西村里8鄰松壽路12號,20181101,010800
2018110100011,交通號誌異常,信義區忠孝東路五段-大道路交叉口,20181101,014800
2018110100012,場所與設施噪音舉發,內湖區114台灣台北市內湖區新明路428巷6-1號,20181101,014900
2018110100013,場所與設施噪音舉發,中山區臺北市中山區聚盛里17鄰林森北路409號,20181101,020000
2018110100014,場所與設施噪音舉發,松山區臺北市松山區敦化里28鄰市民大道四段163號,20181101,023800
2018110100015,場所與設施噪音舉發,士林區臺北市士林區義信里3鄰大南路51號,20181101,024300
2018110100016,路燈故障或設施損壞,大安區瑞安街二四四巷整條,20181101,033800
2018110100017,路燈故障或設施損壞,大安區瑞安街二二二巷整條,20181101,033800
2018110100018,路燈故障或設施損壞,大安區臺北市大安區龍生里19鄰瑞安街222巷整巷與208巷整巷,20181101,053700
2018110100019,場所與設施噪音舉發,內湖區文德路二一０巷三０弄弄內進去(民眾不清楚確切門號,20181101,060200
2018110100020,交通號誌異常,中山區合江街-民生東路三段,20181101,060800
2018110100021,鄰里無主垃圾清運,士林區臺北市士林區後港里12鄰福港街97號,20181101,071700
2018110100022,道路散落物或油漬處理,士林區百齡橋 橋上士林往延平北路方向 往高架道路入口約10公尺的快車道,20181101,073000
2018110100023,場所與設施噪音舉發,內湖區臺北市內湖區湖濱里3鄰內湖路二段103巷84號,20181101,073100
2018110100024,道路散落物或油漬處理,大同區臺北市大同區民權里17鄰承德路二段235號,20181101,073200
2018110100025,大型廢棄物清運聯繫,內湖區臺北市內湖區湖濱里7鄰內湖路二段103巷119弄30號,20181101,073400
2018110100026,路燈故障或設施損壞,中山區10491台灣台北市中山區雙城街43巷6號,20181101,073600
2018110100027,市區道路坑洞處理,中山區10491台灣台北市中山區新生北路三段84巷47號,20181101,073800
2018110100028,市區道路坑洞處理,中山區10491台灣台北市中山區林森北路623號,20181101,073900
2018110100029,道路邊坡坍方,中山區10491台灣台北市中山區林森北路671-3號,20181101,074100
2018110100030,道路散落物或油漬處理,南港區永吉路-忠孝東路五段在永吉路上靠近中坡北路內側車道處,20181101,075200
2018110100031,道路散落物或油漬處理,中正區水源快速道路-師大路從師大路上橋後往萬華方向未到環南市場及光復橋,20181101,075500
2018110100032,大型廢棄物清運聯繫,內湖區內湖路一段629巷101弄18號,20181101,075400
2018110100033,鄰里無主垃圾清運,中山區臺北市中山區江山里25鄰錦州街426巷1弄25號,20181101,080000
2018110100034,污染舉發,中山區松江路330巷18號,20181101,082300
2018110100035,場所與設施噪音舉發,萬華區臺北市萬華區青山里18鄰西園路一段136巷16弄10號,20181101,082500
2018110100036,場所與設施噪音舉發,內湖區114台灣台北市內湖區新明路428巷6-1號,20181101,083300
2018110100037,鄰里無主垃圾清運,中山區臺北市中山區大佳里5鄰濱江街350號,20181101,084500
2018110100038,交通標誌及設施物損壞(含汙損)、傾斜,內湖區臺北市內湖區康寧里18鄰康寧路三段99巷12弄2號,20181101,084700
2018110100040,道路散落物或油漬處理,南港區永吉路(忠孝東路五段與中坡北路之間)往西車道上,20181101,085000
2018110100041,鄰里無主垃圾清運,大安區仁愛路三段,20181101,085000
2018110100042,大型廢棄物清運聯繫,大同區臺北市大同區隆和里18鄰景化街29號,20181101,085200
2018110100043,道路側溝溝蓋(含周邊)損壞遺失,大同區103台灣台北市大同區昌吉街81巷27弄6號,20181101,085100
