案件編號,派工項目,案件地址,立案日期,立案時間
2021010100001,場所與設施噪音舉發,中山區臺北市中山區新庄里010鄰德惠街８６號,20210101,000300
2021010100002,場所與設施噪音舉發,中山區臺北市中山區復華里001鄰復興北路１６６號,20210101,000400
2021010100003,場所與設施噪音舉發,大安區市民大道四段68號,20210101,000900
2021010100004,污染舉發,大安區市民大道四段68號,20210101,001000
2021010100005,場所與設施噪音舉發,士林區臺北市士林區永福里001鄰仰德大道二段１１巷１１號,20210101,001200
2021010100006,場所與設施噪音舉發,中山區德惠街８６號,20210101,001300
2021010100007,場所與設施噪音舉發,大安區臺北市大安區虎嘯里010鄰和平東路三段７０號,20210101,001600
2021010100008,場所與設施噪音舉發,中山區臺北市中山區正義里012鄰林森北路１３１號,20210101,001800
2021010100009,場所與設施噪音舉發,萬華區內江街２９之２號,20210101,002100
2021010100011,場所與設施噪音舉發,內湖區臺北市內湖區石潭里019鄰潭美街３３９號,20210101,002600
2021010100012,場所與設施噪音舉發,文山區臺北市文山區興豐里001鄰興隆路一段１７５號,20210101,002600
2021010100013,場所與設施噪音舉發,大同區臺北市大同區建明里011鄰承德路一段２４巷１７號,20210101,003000
2021010100014,場所與設施噪音舉發,信義區市府廣場,20210101,004000
2021010100015,場所與設施噪音舉發,大同區臺北市大同區至聖里017鄰大龍街２５９巷１號,20210101,003300
2021010100016,道路散落物或油漬處理,大同區臺北市大同區國順里003鄰環河北路二段１３５號,20210101,003400
2021010100017,場所與設施噪音舉發,萬華區康定路-武昌街二段交叉口 ,20210101,003600
2021010100018,道路散落物或油漬處理,大同區臺北市大同區國順里003鄰環河北路二段１３５號,20210101,003900
2021010100019,場所與設施噪音舉發,大同區臺北市大同區朝陽里015鄰延平北路二段８３號,20210101,003900
2021010100020,場所與設施噪音舉發,士林區臺北市士林區永福里001鄰仰德大道二段１１巷１１號,20210101,003900
2021010100021,場所與設施噪音舉發,中山區10491台灣台北市中山區中山北路二段93巷35號,20210101,004500
2021010100022,場所與設施噪音舉發,信義區市民廣場,20210101,005000
2021010100023,場所與設施噪音舉發,士林區臺北市士林區永福里001鄰仰德大道二段１１巷１１號,20210101,005000
2021010100024,場所與設施噪音舉發,大安區臺北市大安區群英里009鄰復興南路二段１９３巷１６弄,20210101,005700
2021010100025,場所與設施噪音舉發,信義區市府廣場,20210101,010100
2021010100026,道路散落物或油漬處理,信義區臺北市信義區惠安里006鄰吳興街３５９號,20210101,005800
2021010100027,場所與設施噪音舉發,大安區臺北市大安區福住里012鄰永康街１３巷６號,20210101,011100
2021010100028,場所與設施噪音舉發,內湖區彩虹河濱公園內,20210101,011300
2021010100029,場所與設施噪音舉發,士林區111台灣台北市士林區仰德大道二段11巷11號,20210101,011300
2021010100030,道路散落物或油漬處理,中山區民生東路二段-新生北路二段,20210101,012200
2021010100031,場所與設施噪音舉發,大安區臺北市大安區通安里016鄰通化街１５６號,20210101,012400
2021010100032,場所與設施噪音舉發,松山區八德路四段106巷6弄口,20210101,012500
2021010100033,大型廢棄物清運聯繫,大安區臺北市大安區光武里028鄰忠孝東路四段４９巷４弄１６號,20210101,013200
2021010100034,場所與設施噪音舉發,中正區臺北市中正區黎明里001鄰中山北路一段２６巷６號,20210101,013900
2021010100035,場所與設施噪音舉發,大安區臺北市大安區敦安里004鄰安和路一段８０號,20210101,014500
2021010100036,場所與設施噪音舉發,大同區雙蓮國小,20210101,014700
2021010100037,場所與設施噪音舉發,士林區臺北市士林區天母里007鄰中山北路七段８１巷１６弄１５號,20210101,020400
2021010100038,道路散落物或油漬處理,松山區新中街-民生東路五段69巷2弄交叉口,20210101,020300
2021010100039,道路散落物或油漬處理,士林區中山北路五段與劍潭路口路口中央,20210101,020300
2021010100040,場所與設施噪音舉發,大安區市民大道四段84號,20210101,020800
2021010100041,場所與設施噪音舉發,松山區臺北市松山區中華里020鄰南京東路四段５５之１號,20210101,023200
2021010100042,交通標誌及設施物損壞(含汙損)、傾斜,松山區民生東路五段69巷2弄,20210101,023300
2021010100043,場所與設施噪音舉發,松山區饒河街199號,20210101,024000
2021010100044,交通號誌異常,內湖區臺北市內湖區湖興里013鄰民權東路六段４５號,20210101,024700
2021010100045,場所與設施噪音舉發,大安區臺北市大安區建倫里017鄰忠孝東路四段170巷17弄14號,20210101,025700
