案件編號,派工項目,案件地址,立案日期,立案時間
2020060100001,場所與設施噪音舉發,文山區臺北市文山區景行里008鄰景文街２７號,20200601,000600
2020060100002,場所與設施噪音舉發,北投區崇仁路一段51號,20200601,001100
2020060100003,場所與設施噪音舉發,松山區敦化南路一段-八德路三段12巷52弄交叉口 ,20200601,001100
2020060100004,路燈故障或設施損壞,中山區建國北路三段81巷整條,20200601,001800
2020060100005,路燈故障或設施損壞,北投區洲美街(洲美橋至北投焚化爐前方之間),20200601,002700
2020060100006,大型廢棄物清運聯繫,北投區臺北市北投區開明里018鄰開明街２３巷８號,20200601,004000
2020060100007,場所與設施噪音舉發,松山區臺北市松山區敦化里002鄰敦化南路一段５７號,20200601,004900
2020060100008,場所與設施噪音舉發,士林區臺北市士林區仁勇里007鄰大北路９號,20200601,005600
2020060100009,場所與設施噪音舉發,文山區羅斯福路五段-萬盛街,20200601,005800
2020060100010,污染舉發,大安區臺北市大安區龍淵里007鄰和平東路二段１１８巷４弄６號,20200601,010700
2020060100011,場所與設施噪音舉發,信義區永吉路200巷口(靠近永吉路這側),20200601,011400
2020060100012,交通號誌異常,中山區民生東路二段-建國北路二段(西往東方向),20200601,013300
2020060100013,場所與設施噪音舉發,南港區中坡北路-永吉路交叉口,20200601,014100
2020060100014,鄰里無主垃圾清運,信義區臺北市信義區永春里021鄰永吉路４６８巷１０弄２０號,20200601,020200
2020060100015,污染舉發,士林區臺北市士林區百齡里025鄰福港街２４４巷１８弄７號,20200601,020600
2020060100016,場所與設施噪音舉發,文山區羅斯福路五段-興隆路一段交叉口,20200601,023300
2020060100017,場所與設施噪音舉發,士林區德行東路190巷-德行東路交叉口旁邊,20200601,024400
2020060100018,道路散落物或油漬處理,南港區臺北市南港區合成里015鄰忠孝東路六段８１巷２號,20200601,031500
2020060100019,路樹處理,信義區信義路六段76巷8弄弄口進去20公尺左右,20200601,033900
2020060100020,鄰里無主垃圾清運,內湖區臺北市內湖區湖元里016鄰民權東路六段５６巷１５弄３號,20200601,034400
2020060100021,路燈故障或設施損壞,北投區石牌路二段-振興街,20200601,034900
2020060100022,場所與設施噪音舉發,文山區羅斯福路五段-興隆路一段,20200601,035900
