案件編號,派工項目,案件地址,立案日期,立案時間
2019020100001,大型廢棄物清運聯繫,文山區臺北市文山區景行里20鄰景興路206號,20190201,000100
2019020100002,場所與設施噪音舉發,萬華區峨眉街28號,20190201,000300
2019020100003,場所與設施噪音舉發,萬華區臺北市萬華區富民里1鄰西園路一段53號,20190201,000700
2019020100004,場所與設施噪音舉發,中山區錦州街50號,20190201,000800
2019020100005,大型廢棄物清運聯繫,萬華區臺北市萬華區福星里10鄰西寧南路4號,20190201,001500
2019020100006,大型廢棄物清運聯繫,文山區臺北市文山區樟樹里10鄰木新路三段158號,20190201,001700
2019020100007,動物虐待傷害,萬華區臺北市萬華區壽德里8鄰萬大路423巷45弄1號,20190201,002400
2019020100008,道路側溝溝蓋(含周邊)損壞遺失,南港區115台灣台北市南港區南港路一段137巷10弄7號,20190201,003400
2019020100009,大型廢棄物清運聯繫,松山區臺北市松山區復盛里12鄰八德路四段72巷10弄12號,20190201,003700
2019020100010,大型廢棄物清運聯繫,松山區臺北市松山區復盛里4鄰光復南路23號,20190201,004400
2019020100011,鄰里無主垃圾清運,南港區115台灣台北市南港區市民大道八段375號,20190201,004800
2019020100012,場所與設施噪音舉發,士林區德行西路108號,20190201,011100
2019020100013,場所與設施噪音舉發,萬華區臺北市萬華區青山里11鄰西園路一段126號,20190201,011900
2019020100014,場所與設施噪音舉發,大安區臺北市大安區龍陣里6鄰復興南路二段210巷9號,20190201,012100
2019020100015,大型廢棄物清運聯繫,內湖區臺北市內湖區港富里21鄰內湖路二段69號,20190201,012800
2019020100016,路樹處理,士林區東山路1巷巷口,20190201,015700
2019020100017,路燈故障或設施損壞,士林區東山路1巷巷口,20190201,015600
2019020100018,場所與設施噪音舉發,中山區臺北市中山區聚盛里16鄰錦州街50號,20190201,020300
2019020100019,場所與設施噪音舉發,中山區臺北市中山區正守里2鄰新生北路一段66號,20190201,020500
2019020100020,場所與設施噪音舉發,內湖區114台灣台北市內湖區新明路428巷6-1號,20190201,030000
2019020100021,場所與設施噪音舉發,中山區中山區八德路二段300巷38號,20190201,030400
2019020100022,場所與設施噪音舉發,內湖區114台灣台北市內湖區新明路428巷6-1號,20190201,030300
2019020100023,污染舉發,松山區富錦街359巷1弄弄口對面,20190201,032300
2019020100024,大型廢棄物清運聯繫,北投區中央北路二段351號,20190201,040800
2019020100025,場所與設施噪音舉發,松山區臺北市松山區自強里28鄰健康路305號,20190201,044000
2019020100026,場所與設施噪音舉發,中山區臺北市中山區金泰里3鄰樂群二路198號,20190201,044700
2019020100027,大型廢棄物清運聯繫,松山區南京東路五段59巷28弄30號,20190201,052900
2019020100028,大型廢棄物清運聯繫,松山區臺北市松山區龍田里10鄰延壽街430號,20190201,055600
2019020100029,場所與設施噪音舉發,萬華區漢口街二段-昆明街路口,20190201,062100
2019020100030,大型廢棄物清運聯繫,大安區臺北市大安區義村里18鄰仁愛路三段123巷26弄7號,20190201,062700
2019020100031,用戶無水、漏水報修,文山區臺北市文山區樟新里13鄰木新路三段243巷4弄14號,20190201,065100
2019020100033,大型廢棄物清運聯繫,中山區104台灣台北市中山區中山北路三段53-1號,20190201,065200
2019020100034,大型廢棄物清運聯繫,南港區臺北市南港區合成里20鄰忠孝東路六段225巷4弄14號,20190201,070400
2019020100035,大型廢棄物清運聯繫,南港區臺北市南港區東新里13鄰重陽路190巷6弄14號,20190201,071800
2019020100036,道路散落物或油漬處理,中正區汀州路三段地下道一進去後中間車道線 師大路往建國高架方向,20190201,072500
2019020100037,道路散落物或油漬處理,中正區臺北市中正區林興里8鄰汀州路三段2號,20190201,072600
2019020100039,路燈故障或設施損壞,士林區碧溪產業道路193號,20190201,073000
2019020100040,大型廢棄物清運聯繫,大同區臺北市大同區延平里6鄰保安街51號,20190201,073100
2019020100041,鄰里無主垃圾清運,中正區臺北市中正區東門里16鄰林森南路105之5號,20190201,073100
2019020100042,道路散落物或油漬處理,大安區建國高架上忠孝東路三段往仁愛路三段方向過了忠孝東路約500公尺外側車道上,20190201,073400
2019020100043,大型廢棄物清運聯繫,中山區臺北市中山區行仁里4鄰民族東路410巷59號,20190201,073700
2019020100044,道路散落物或油漬處理,大安區忠孝東路四段223巷20弄弄口(在223巷上) ,20190201,074600
2019020100045,大型廢棄物清運聯繫,中山區臺北市中山區集英里20鄰天祥路61巷6號,20190201,074900
2019020100046,道路散落物或油漬處理,大安區忠孝東路三段-建國南路一段到中山區長安東路二段141號,20190201,075600
2019020100047,大型廢棄物清運聯繫,士林區臺北市士林區福安里3鄰延平北路七段46巷9號,20190201,075500
2019020100048,大型廢棄物清運聯繫,中山區松江路38巷17號,20190201,075800
2019020100049,道路側溝溝蓋(含周邊)損壞遺失,大同區103台灣台北市大同區迪化街二段364巷21號,20190201,080700
2019020100050,大型廢棄物清運聯繫,大安區樂利路57號,20190201,081000
2019020100051,交通號誌異常,中正區貴陽街一段(從中山南路至重慶南路一段之間雙向),20190201,081200
2019020100052,大型廢棄物清運聯繫,萬華區寶興街64號,20190201,081300
2019020100053,大型廢棄物清運聯繫,士林區臺北市士林區福中里11鄰福港街210巷17弄6之1號,20190201,081700
2019020100054,大型廢棄物清運聯繫,中山區敬業三路190號,20190201,082300
2019020100055,大型廢棄物清運聯繫,松山區臺北市松山區慈祐里18鄰八德路四段686號,20190201,082700
2019020100056,大型廢棄物清運聯繫,士林區臺北市士林區福中里12鄰通河東街一段130巷5號,20190201,083000
2019020100057,大型廢棄物清運聯繫,信義區臺北市信義區五全里4鄰永吉路200巷24弄3號,20190201,083500
2019020100058,大型廢棄物清運聯繫,內湖區臺北市內湖區週美里24鄰行善路281巷18號,20190201,083500
2019020100059,大型廢棄物清運聯繫,松山區臺北市松山區復建里13鄰光復南路22巷23號,20190201,083600
2019020100060,大型廢棄物清運聯繫,信義區臺北市信義區永春里1鄰永吉路494號,20190201,083700
2019020100061,大型廢棄物清運聯繫,信義區臺北市信義區五全里11鄰永吉路278巷28弄16號,20190201,084100
2019020100062,大型廢棄物清運聯繫,中正區重慶南路三段74巷14號,20190201,084100
2019020100063,大型廢棄物清運聯繫,士林區臺北市士林區福佳里6鄰華光街29號,20190201,084500
2019020100064,大型廢棄物清運聯繫,士林區臺北市士林區天和里6鄰天母東路105巷35號,20190201,084600
2019020100065,大型廢棄物清運聯繫,士林區臺北市士林區福佳里6鄰華光街29號,20190201,084600
2019020100066,場所與設施噪音舉發,內湖區臺北市內湖區金瑞里3鄰內湖路三段143巷22號,20190201,084800
2019020100067,大型廢棄物清運聯繫,中正區臺北市中正區梅花里2鄰天津街11巷2弄2號,20190201,084800
2019020100068,動物虐待傷害,文山區臺北市文山區萬芳里26鄰萬美街一段17號,20190201,085100
2019020100069,大型廢棄物清運聯繫,信義區臺北市信義區長春里4鄰虎林街88巷18弄6號,20190201,084900
2019020100071,大型廢棄物清運聯繫,萬華區臺北市萬華區騰雲里6鄰國興路1巷5號,20190201,085500
2019020100072,大型廢棄物清運聯繫,大安區臺北市大安區華聲里11鄰延吉街137巷28號,20190201,085600
2019020100073,大型廢棄物清運聯繫,信義區林口街38巷33號,20190201,090100
2019020100074,大型廢棄物清運聯繫,中山區臺北市中山區行仁里14鄰龍江路356巷43號,20190201,085900
2019020100075,大型廢棄物清運聯繫,中山區臺北市中山區下埤里5鄰龍江路345巷18號,20190201,090100
2019020100076,路燈故障或設施損壞,北投區112台灣台北市北投區自強街120巷19號,20190201,090000
2019020100077,大型廢棄物清運聯繫,信義區臺北市信義區景聯里16鄰基隆路二段39巷26號,20190201,090200
2019020100078,大型廢棄物清運聯繫,士林區臺北市士林區天玉里4鄰天母西路55號,20190201,090200
2019020100080,大型廢棄物清運聯繫,萬華區臺北市萬華區壽德里4鄰長泰街53號,20190201,090600
2019020100081,大型廢棄物清運聯繫,北投區臺北市北投區尊賢里2鄰尊賢街218巷6號,20190201,090600
2019020100082,大型廢棄物清運聯繫,內湖區環山路一段136巷69號,20190201,090700
2019020100083,鄰里無主垃圾清運,中正區100台灣台北市中正區福州街58號,20190201,090700
2019020100084,交通號誌異常,信義區和平東路三段(復興往敦化南路上),20190201,090900
2019020100085,大型廢棄物清運聯繫,南港區臺北市南港區新光里5鄰昆陽街142巷35號,20190201,090800
2019020100086,大型廢棄物清運聯繫,萬華區臺北市萬華區和德里4鄰西藏路267號,20190201,090900
2019020100088,場所與設施噪音舉發,大安區臺北市大安區群賢里5鄰復興南路二段277號,20190201,091600
2019020100089,大型廢棄物清運聯繫,內湖區瑞光路7巷3號,20190201,091300
2019020100090,污染舉發,中山區臺北市中山區中庄里17鄰民生東路二段125號,20190201,091500
2019020100091,大型廢棄物清運聯繫,內湖區臺北市內湖區西康里19鄰內湖路一段203巷11號,20190201,091500
2019020100092,鄰里無主垃圾清運,中山區復興北路280巷10弄,20190201,091500
2019020100093,大型廢棄物清運聯繫,內湖區成功路四段294巷16號,20190201,091800
