案件編號,派工項目,案件地址,立案日期,立案時間
2016110100001,場所與設施噪音舉發,信義區(後方的光復南路519巷內) ,20161101,002700
2016110100002,場所與設施噪音舉發,中山區,20161101,003400
2016110100003,路燈故障或設施損壞,大同區三號,20161101,003400
2016110100004,用戶無水、漏水報修,士林區,20161101,003700
2016110100005,鄰里無主垃圾清運,中正區巷內,20161101,005800
2016110100006,大型廢棄物清運聯繫,松山區,20161101,005700
2016110100007,場所與設施噪音舉發,信義區巷內永吉公園,20161101,011000
2016110100008,大型廢棄物清運聯繫,信義區,20161101,013500
2016110100009,場所與設施噪音舉發,士林區對面橋樑,20161101,013800
2016110100011,場所與設施噪音舉發,信義區,20161101,020100
2016110100012,場所與設施噪音舉發,中山區,20161101,021500
2016110100013,場所與設施噪音舉發,士林區交叉路口:  中山北路六段  忠誠路,20161101,023300
2016110100015,場所與設施噪音舉發,信義區門前,20161101,034900
2016110100018,場所與設施噪音舉發,中山區,20161101,045000
2016110100019,場所與設施噪音舉發,中山區,20161101,045700
2016110100020,場所與設施噪音舉發,中山區,20161101,051000
2016110100022,大型廢棄物清運聯繫,中山區,20161101,054800
2016110100024,鄰里無主垃圾清運,萬華區,20161101,055800
2016110100029,鄰里無主垃圾清運,南港區旁邊空地(該址為湯泉1號,20161101,070200
2016110100030,鄰里無主垃圾清運,中山區附近,20161101,073600
2016110100031,交通號誌異常,士林區在順益博物館跟土地公廟之間從外雙溪往故宮方向,20161101,074800
2016110100032,路燈故障或設施損壞,萬華區旁巷口,20161101,075200
2016110100033,大型廢棄物清運聯繫,松山區7號,20161101,075700
2016110100034,大型廢棄物清運聯繫,大安區,20161101,080800
2016110100035,污染舉發,萬華區旁的巷子(何家排骨酥),20161101,081400
2016110100036,場所與設施噪音舉發,南港區,20161101,084100
2016110100037,大型廢棄物清運聯繫,中山區,20161101,083000
2016110100038,污染舉發,大同區,20161101,083300
2016110100039,交通號誌異常,內湖區出金龍隧道右轉環山路三段方向,20161101,083600
2016110100040,場所與設施噪音舉發,信義區,20161101,084300
2016110100041,污染舉發,信義區,20161101,084400
2016110100042,場所與設施噪音舉發,士林區弄底,20161101,085900
2016110100043,鄰里無主垃圾清運,中山區文太居酒屋前方,20161101,084500
2016110100045,路燈故障或設施損壞,信義區交叉路口:  逸仙路  忠孝東路 靠近國父紀念館的二側外方人行道,20161101,085400
2016110100046,大型廢棄物清運聯繫,信義區,20161101,085600
2016110100047,大型廢棄物清運聯繫,信義區,20161101,085500
2016110100048,交通號誌異常,萬華區與艋舺大道口,20161101,085600
2016110100049,大型廢棄物清運聯繫,內湖區,20161101,085500
2016110100050,路樹處理,中正區和平西路二段跟寧波西街交叉口在寧波西街上,20161101,090500
2016110100052,大型廢棄物清運聯繫,內湖區,20161101,090500
2016110100053,場所與設施噪音舉發,中山區交叉路口:  林森北路  農安街；對面是全聯,20161101,090800
2016110100054,大型廢棄物清運聯繫,大安區,20161101,091000
2016110100055,污染舉發,大安區對面小空地,20161101,091600
2016110100057,大型廢棄物清運聯繫,大安區,20161101,091800
2016110100058,鄰里無主垃圾清運,內湖區人行道上,20161101,092200
2016110100059,大型廢棄物清運聯繫,信義區,20161101,092400
2016110100060,交通標誌及設施物損壞(含汙損)、傾斜,大安區 中華寧記食品有限公司交叉路口:  光復南路628巷  通化街19巷,20161101,095200
2016110100061,大型廢棄物清運聯繫,中山區,20161101,093600
2016110100062,交通號誌異常,大安區交叉路口:  安和路二段  樂利路；南往北方向,20161101,094100
2016110100063,場所與設施噪音舉發,松山區吳留手燒烤店,20161101,094200
2016110100064,場所與設施噪音舉發,中山區中山國小教室後面圍牆的位置在林森北路557巷內,20161101,094500
2016110100065,大型廢棄物清運聯繫,北投區,20161101,094100
2016110100066,大型廢棄物清運聯繫,北投區,20161101,094800
2016110100067,大型廢棄物清運聯繫,大安區,20161101,095100
2016110100068,污染舉發,內湖區弄口(便當店),20161101,095600
2016110100069,大型廢棄物清運聯繫,北投區,20161101,095100
2016110100071,污染舉發,內湖區弄口(美而美早餐店),20161101,095600
2016110100073,污染舉發,士林區排油煙管裝設在後巷,20161101,100800
2016110100076,鄰里無主垃圾清運,北投區,20161101,100600
2016110100077,場所與設施噪音舉發,中山區交叉路口:  林森北路  農安街(在林森北路上對面有一間7-11便利商店)工地,20161101,100700
2016110100079,場所與設施噪音舉發,中山區,20161101,102300
2016110100080,場所與設施噪音舉發,士林區冷氣機裝設在餐廳後巷,20161101,101000
2016110100081,大型廢棄物清運聯繫,文山區,20161101,101100
2016110100082,路燈故障或設施損壞,內湖區內湖區劍南路過鄭成功廟100-200公尺往大崙尾山步道上去5分鐘,20161101,101200
2016110100083,大型廢棄物清運聯繫,萬華區,20161101,101800
2016110100084,用戶無水、漏水報修,松山區,20161101,101900
2016110100085,大型廢棄物清運聯繫,大安區,20161101,102300
2016110100086,大型廢棄物清運聯繫,松山區,20161101,102100
2016110100087,鄰里無主垃圾清運,內湖區住家圍牆外面,20161101,102900
2016110100088,大型廢棄物清運聯繫,中山區,20161101,102800
2016110100089,大型廢棄物清運聯繫,大同區大同區承德路三段159巷12號,20161101,103600
2016110100090,大型廢棄物清運聯繫,大同區,20161101,104400
2016110100091,路燈故障或設施損壞,士林區(靠近磺溪這側公園內),20161101,103600
2016110100092,大型廢棄物清運聯繫,士林區,20161101,103700
2016110100093,污染舉發,內湖區後面的防火巷,20161101,103700
2016110100094,場所與設施噪音舉發,中山區,20161101,111200
2016110100095,大型廢棄物清運聯繫,中山區,20161101,103900
2016110100096,大型廢棄物清運聯繫,大同區,20161101,104300
2016110100097,污染舉發,信義區,20161101,104400
2016110100098,鄰里無主垃圾清運,文山區對面路邊,20161101,105100
2016110100099,大型廢棄物清運聯繫,中山區,20161101,105900
2016110100100,場所與設施噪音舉發,萬華區電影主題公園旁,20161101,110200
2016110100101,道路側溝內溝牆(底)破損,萬華區,20161101,110300
2016110100102,大型廢棄物清運聯繫,大安區,20161101,110400
2016110100103,市區道路坑洞處理,士林區銘傳大學前斑馬線地標:  銘傳大學,20161101,110400
2016110100104,大型廢棄物清運聯繫,萬華區,20161101,110600
2016110100105,大型廢棄物清運聯繫,中山區,20161101,111100
2016110100106,大型廢棄物清運聯繫,士林區,20161101,110500
2016110100107,大型廢棄物清運聯繫,松山區,20161101,110800
2016110100108,用戶無水、漏水報修,文山區,20161101,110700
2016110100109,大型廢棄物清運聯繫,內湖區,20161101,111000
2016110100110,場所與設施噪音舉發,中山區附近(市民不確認正確地點),20161101,111100
2016110100112,污染舉發,中山區,20161101,111400
2016110100114,市區道路坑洞處理,中山區  大門前往民權東路方向慢車道中間地標:  大同大學,20161101,111300
2016110100115,市區道路坑洞處理,文山區一上橋處的快車道上(台北往永和方向),20161101,113600
2016110100116,大型廢棄物清運聯繫,信義區,20161101,111400
2016110100117,市區道路坑洞處理,士林區  交叉路口:  劍潭路  中山北路五段,20161101,111700
2016110100118,鄰里無主垃圾清運,內湖區前方,20161101,112100
2016110100119,鄰里無主垃圾清運,大安區門前馬路邊,20161101,112300
2016110100120,大型廢棄物清運聯繫,士林區,20161101,112400
2016110100121,污染舉發,大安區羅馬大廈方停車場隔壁小攤商,20161101,112300
2016110100122,場所與設施噪音舉發,內湖區,20161101,112700
2016110100123,大型廢棄物清運聯繫,文山區,20161101,112800
2016110100124,大型廢棄物清運聯繫,北投區,20161101,113400
2016110100125,大型廢棄物清運聯繫,大安區,20161101,113900
2016110100126,路燈故障或設施損壞,士林區交叉路口:  天母東路  中山北路七段,20161101,113700
2016110100127,大型廢棄物清運聯繫,大安區,20161101,114200
2016110100128,鄰里無主垃圾清運,松山區巷口旁邊,20161101,114600
2016110100129,大型廢棄物清運聯繫,南港區,20161101,114500
2016110100130,大型廢棄物清運聯繫,大安區,20161101,115600
2016110100131,場所與設施噪音舉發,大安區春天素食(餐廳在4樓、水塔在12樓),20161101,120100
2016110100132,大型廢棄物清運聯繫,內湖區,20161101,120300
2016110100133,大型廢棄物清運聯繫,內湖區,20161101,120600
2016110100134,鄰里無主垃圾清運,士林區前方,20161101,121000
2016110100135,大型廢棄物清運聯繫,南港區,20161101,121100
2016110100136,污染舉發,大安區,20161101,121600
2016110100138,大型廢棄物清運聯繫,大安區,20161101,123100
2016110100139,大型廢棄物清運聯繫,南港區,20161101,123500
2016110100140,場所與設施噪音舉發,大安區後方巷道,20161101,123600
2016110100141,大型廢棄物清運聯繫,北投區,20161101,123800
2016110100143,大型廢棄物清運聯繫,大安區,20161101,124400
2016110100144,大型廢棄物清運聯繫,南港區,20161101,124500
2016110100145,鄰里無主垃圾清運,大同區旁邊的騎樓,20161101,125000
2016110100146,交通號誌異常,中正區交叉路口:  延平南路  寶慶路,20161101,125100
2016110100147,污染舉發,中山區602號,20161101,130400
2016110100148,大型廢棄物清運聯繫,松山區,20161101,130300
2016110100149,污染舉發,北投區Q媽食堂,20161101,130500
2016110100150,大型廢棄物清運聯繫,松山區,20161101,130700
2016110100151,大型廢棄物清運聯繫,北投區,20161101,131000
2016110100153,路燈故障或設施損壞,萬華區地標:  華中橋。從萬大路走到底進入華中露營場旁的網球場(市民表示是三座的網球場內的照明燈故障),20161101,131400
2016110100154,大型廢棄物清運聯繫,大安區,20161101,131700
2016110100155,鄰里無主垃圾清運,中正區前面人行道的路樹邊,20161101,131600
2016110100157,用戶無水、漏水報修,北投區建築物後方,20161101,132200
2016110100158,污染舉發,中山區或是180號,20161101,132400
2016110100159,場所與設施噪音舉發,士林區士林分局跟皮套王（店家名稱）中間巷子,20161101,132600
2016110100160,大型廢棄物清運聯繫,內湖區,20161101,132600
2016110100161,大型廢棄物清運聯繫,大安區,20161101,133300
2016110100162,鄰里無主垃圾清運,中山區前方,20161101,133500
2016110100163,大型廢棄物清運聯繫,大安區,20161101,133700
2016110100164,大型廢棄物清運聯繫,松山區,20161101,133700
2016110100165,路燈故障或設施損壞,文山區左邊的登山步道,20161101,134000
2016110100166,大型廢棄物清運聯繫,內湖區,20161101,133700
2016110100167,大型廢棄物清運聯繫,信義區,20161101,133800
2016110100168,污染舉發,中山區大鈿有限公司,20161101,134100
2016110100169,大型廢棄物清運聯繫,松山區,20161101,134100
2016110100170,鄰里無主垃圾清運,北投區前面馬路的黃線上,20161101,134600
2016110100171,大型廢棄物清運聯繫,信義區,20161101,134900
2016110100172,場所與設施噪音舉發,萬華區交叉路口:  漢中街  漢口街,20161101,134900
2016110100173,大型廢棄物清運聯繫,中山區,20161101,135200
2016110100174,大型廢棄物清運聯繫,信義區,20161101,135400
2016110100175,場所與設施噪音舉發,內湖區,20161101,135700
2016110100178,大型廢棄物清運聯繫,大安區,20161101,140200
2016110100179,場所與設施噪音舉發,中山區,20161101,140100
2016110100180,大型廢棄物清運聯繫,松山區,20161101,140600
2016110100181,污染舉發,大安區新麻蒲海鷗燒烤店,20161101,140800
2016110100182,大型廢棄物清運聯繫,信義區,20161101,140900
2016110100183,大型廢棄物清運聯繫,松山區,20161101,141100
2016110100184,鄰里無主垃圾清運,內湖區,20161101,141300
2016110100185,場所與設施噪音舉發,南港區聽到音源的位置,20161101,141400
2016110100186,大型廢棄物清運聯繫,北投區,20161101,142100
2016110100187,場所與設施噪音舉發,南港區,20161101,142100
2016110100189,場所與設施噪音舉發,大安區,20161101,142300
2016110100190,污染舉發,大安區和成輪胎行,20161101,142300
2016110100191,交通號誌異常,南港區交叉路口:  舊莊街一段145巷  大坑街,20161101,142400
2016110100192,交通號誌異常,士林區交叉路口:  延平北路六段  永平街,20161101,142400
