案件編號,派工項目,案件地址,立案日期,立案時間
2022060100001,道路散落物或油漬處理,士林區仰德大道二段2巷,20220601,001400
2022060100002,場所與設施噪音舉發,文山區景福街251巷,20220601,001700
2022060100003,污染舉發,大同區臺北市大同區保安里003鄰哈密街９５號,20220601,002200
2022060100004,大型廢棄物清運聯繫,北投區臺北市北投區吉利里021鄰致遠二路９５巷３１號,20220601,002400
2022060100005,污染舉發,內湖區臺北市內湖區安泰里003鄰安泰街５１巷６號,20220601,003100
2022060100006,用戶無水、漏水報修,萬華區臺北市萬華區全德里006鄰萬大路３２２巷５６號,20220601,003300
2022060100007,交通號誌異常,大同區103台灣台北市大同區民族西路327號,20220601,004100
2022060100008,鄰里無主垃圾清運,松山區臺北市松山區民有里026鄰民權東路三段１０６巷１號,20220601,004500
2022060100009,場所與設施噪音舉發,大安區臺北市大安區建倫里007鄰安和路一段４７號,20220601,004500
2022060100011,大型廢棄物清運聯繫,信義區臺北市信義區四育里008鄰松隆路２７４號,20220601,012000
2022060100012,大型廢棄物清運聯繫,信義區臺北市信義區國業里027鄰虎林街２４２巷４號,20220601,012900
2022060100013,場所與設施噪音舉發,萬華區臺北市萬華區新起里012鄰長沙街二段７１號,20220601,023000
2022060100014,鄰里無主垃圾清運,中山區臺北市中山區正得里009鄰天津街６６號,20220601,024800
2022060100015,鄰里無主垃圾清運,萬華區108台灣台北市萬華區桂林路242巷48弄21號,20220601,030400
2022060100016,場所與設施噪音舉發,大同區環河北路二段-昌吉街,20220601,030900
2022060100017,道路散落物或油漬處理,北投區臺北市北投區中央里016鄰大業路３６８號,20220601,031400
2022060100018,路燈故障或設施損壞,內湖區大湖公園,20220601,033300
2022060100019,污染舉發,文山區臺北市文山區景仁里015鄰羅斯福路六段１４２巷２６號,20220601,041400
2022060100020,場所與設施噪音舉發,大同區103台灣台北市大同區民族西路60號,20220601,041600
2022060100021,路燈故障或設施損壞,北投區大屯山系-貴子坑親山步道,20220601,042200
2022060100022,道路散落物或油漬處理,中山區臺北市中山區復華里012鄰龍江路１０２號,20220601,042400
2022060100023,場所與設施噪音舉發,中山區臺北市中山區中原里016鄰中原街３２號,20220601,045800
2022060100024,用戶無水、漏水報修,北投區臺北市北投區湖田里004鄰竹子湖路３０號,20220601,062300
2022060100025,鄰里無主垃圾清運,大安區臺北市大安區龍泉里012鄰泰順街４０巷２１號,20220601,063200
2022060100026,場所與設施噪音舉發,內湖區臺北市內湖區南湖里005鄰康寧路三段７２號,20220601,063500
2022060100027,污染舉發,信義區臺北市信義區四維里015鄰虎林街７６巷２１號,20220601,064400
2022060100028,大型廢棄物清運聯繫,萬華區臺北市萬華區忠貞里021鄰萬青街１５１號,20220601,065500
2022060100030,用戶無水、漏水報修,北投區臺北市北投區湖田里008鄰竹子湖路１７號,20220601,071300
2022060100031,用戶無水、漏水報修,北投區臺北市北投區洲美里010鄰洲美街２７１號,20220601,072300
2022060100032,道路散落物或油漬處理,南港區重陽路39巷-向陽路162巷,20220601,073100
2022060100034,交通號誌異常,北投區福國路-承德路六段,20220601,073500
2022060100035,交通號誌異常,北投區福國路-承德路六段,20220601,074000
2022060100036,大型廢棄物清運聯繫,北投區臺北市北投區振華里002鄰明德路２９９號,20220601,073900
2022060100037,場所與設施噪音舉發,內湖區臺北市內湖區港墘里007鄰江南街７１巷１８號,20220601,073700
