案件編號,派工項目,案件地址,立案日期,立案時間
2026033110475,大型廢棄物清運聯繫,南港區南港路三段３２６號5樓,20260331,235934
2026033110474,場所與設施噪音舉發,萬華區峨眉街１３號,20260331,234639
2026033110473,場所與設施噪音舉發,中山區臺北市臺北市中山區正義里林森北路145巷35號,20260331,234226
2026033110472,污染舉發,大安區忠孝東路四段２２３巷４６號,20260331,234021
2026033110471,場所與設施噪音舉發,萬華區108台灣臺北市萬華區西園路二段281巷31號二樓號,20260331,233227
2026033110470,大型廢棄物清運聯繫,內湖區114台灣臺北市內湖區行善路333巷6號,20260331,233125
2026033110469,大型廢棄物清運聯繫,信義區祥雲街１６之１號2樓,20260331,233758
2026033110468,大型廢棄物清運聯繫,士林區通河東街一段９７號3樓,20260331,232406
2026033110467,大型廢棄物清運聯繫,信義區莊敬路３９１巷１８號3樓,20260331,231815
2026033110466,道路散落物或油漬處理,文山區秀明路一段,20260331,231504
2026033110465,大型廢棄物清運聯繫,大同區延平北路四段２８２巷５１號1樓,20260331,231308
2026033110464,道路散落物或油漬處理,中山區北安路３０５號,20260331,230704
2026033110463,場所與設施噪音舉發,大安區敦化南路二段１１巷５０號1樓,20260331,230629
2026033110462,道路散落物或油漬處理,中山區北安路３０５號,20260331,230618
2026033110461,污染舉發,北投區湖山路二段２之３號,20260331,230413
2026033110460,大型廢棄物清運聯繫,中山區中山北路二段１１５巷２６號11樓,20260331,230132
2026033110459,動物救援,士林區仰德大道一段６０號,20260331,230209
2026033110458,道路散落物或油漬處理,中山區臺北市臺北市中山區劍潭里北安路305號,20260331,225938
2026033110457,大型廢棄物清運聯繫,中山區104台灣臺北市松山區民族東路512巷13弄25號四樓號,20260331,225616
2026033110456,大型廢棄物清運聯繫,信義區永吉路１７６號十樓,20260331,225416
2026033110455,道路散落物或油漬處理,松山區饒河街６９號,20260331,225045
2026033110454,污染舉發,大安區和平東路三段308巷31弄,20260331,225253
2026033110453,大型廢棄物清運聯繫,大安區仁愛路四段３４５巷１５弄１４號7樓,20260331,225101
2026033110452,大型廢棄物清運聯繫,信義區松智路３９巷５號7樓,20260331,224825
2026033110451,大型廢棄物清運聯繫,萬華區西寧南路３６號7樓之9,20260331,224525
2026033110450,場所與設施噪音舉發,萬華區雙園街２０號,20260331,224418
2026033110449,場所與設施噪音舉發,士林區天母東路５１號,20260331,224100
2026033110448,場所與設施噪音舉發,內湖區康樂街１２９號,20260331,223718
2026033110447,大型廢棄物清運聯繫,信義區110台灣臺北市信義區基隆路二段167巷5-1號,20260331,222539
