案件編號,派工項目,案件地址,立案日期,立案時間
2018043000605,交通標誌及設施物損壞(含汙損)、傾斜,北投區112台灣台北市北投區大興街26號,20180503,174300
2018050100001,場所與設施噪音舉發,大安區,20180501,000600
2018050100002,場所與設施噪音舉發,士林區,20180501,000800
2018050100004,場所與設施噪音舉發,中山區或18號,20180501,001800
2018050100005,鄰里無主垃圾清運,中正區店名：寬巷子前方騎樓,20180501,002000
2018050100007,場所與設施噪音舉發,萬華區,20180501,002900
2018050100008,道路散落物或油漬處理,北投區交叉路口:  承德路七段  中央南路二段,20180501,003000
2018050100009,大型廢棄物清運聯繫,大安區,20180501,003800
2018050100010,用戶無水、漏水報修,大同區,20180501,003400
2018050100011,場所與設施噪音舉發,萬華區交叉路口:  西藏路  中華路,20180501,004700
2018050100012,場所與設施噪音舉發,中山區(無法提供完整地址),20180501,005600
2018050100013,大型廢棄物清運聯繫,中山區,20180501,005700
2018050100014,場所與設施噪音舉發,中山區,20180501,005900
2018050100016,場所與設施噪音舉發,中山區,20180501,010900
2018050100017,場所與設施噪音舉發,萬華區108台灣台北市萬華區國興路1巷4號,20180501,011500
2018050100018,場所與設施噪音舉發,中山區,20180501,011800
2018050100019,市區道路坑洞處理,大安區106台灣台北市大安區敦化南路一段324號,20180501,011900
2018050100020,場所與設施噪音舉發,士林區111台灣台北市士林區重慶北路四段49巷40弄48號,20180501,012300
2018050100021,用戶無水、漏水報修,大同區,20180501,012700
2018050100022,場所與設施噪音舉發,大安區大樓後方(由光復南路240巷進去位大樓後方車道出入口)),20180501,014400
2018050100023,場所與設施噪音舉發,大安區外推鐵皮屋屋頂上方(火鍋店),20180501,014300
2018050100024,場所與設施噪音舉發,大安區,20180501,014100
2018050100025,場所與設施噪音舉發,大安區咖啡廳,20180501,020700
2018050100026,場所與設施噪音舉發,內湖區114台灣台北市內湖區新明路428巷6號,20180501,022500
2018050100027,場所與設施噪音舉發,信義區,20180501,024200
2018050100028,大型廢棄物清運聯繫,中正區,20180501,024200
2018050100029,場所與設施噪音舉發,南港區巷內,20180501,024300
2018050100030,場所與設施噪音舉發,中正區交叉路口:  牯嶺街  南海路,20180501,025000
2018050100031,鄰里無主垃圾清運,士林區111台灣台北市士林區格致路50巷5號,20180501,031200
2018050100032,場所與設施噪音舉發,松山區,20180501,045700
2018050100033,用戶無水、漏水報修,大安區交叉路口:  建國南路二段  信義路三段在建國南路上,20180501,055900
2018050100034,交通號誌異常,中正區懷寧街與襄陽路交叉口一直到襄陽路與重慶南路交叉口交叉路口:  懷寧街  襄陽路,20180501,062400
2018050100035,場所與設施噪音舉發,北投區立德路跟立功街交叉口附近的華碩總部建築工地在北投好市多隔壁,20180501,063700
2018050100036,交通號誌異常,文山區與羅斯福路五段交叉口,20180501,063600
2018050100037,路燈故障或設施損壞,松山區(往富錦街與圓環之間),20180501,065100
2018050100038,鄰里無主垃圾清運,信義區門口,20180501,071200
2018050100039,交通號誌電纜線垂落及設施損壞,士林區(社子國小)對面,20180501,072600
2018050100040,鄰里無主垃圾清運,南港區 257號,20180501,073200
2018050100041,大型廢棄物清運聯繫,松山區,20180501,073600
2018050100042,市區道路坑洞處理,松山區105台灣台北市松山區南京東路五段387號,20180501,073600
2018050100043,用戶無水、漏水報修,信義區在莊敬路423巷8弄上往信義國中方向交叉路口:  松仁路  莊敬路423巷8弄,20180501,074400
2018050100044,市區道路坑洞處理,松山區105台灣台北市松山區南京東路五段251巷15號,20180501,074200
2018050100045,交通號誌電纜線垂落及設施損壞,文山區寶橋一下來木新路三段右轉樟新街交叉路口:  木新路三段  樟新街,20180501,075700
2018050100046,場所與設施噪音舉發,松山區松山區南京東路五段316號,20180501,075900
2018050100047,場所與設施噪音舉發,士林區天和公園內涼亭,20180501,080100
2018050100048,大型廢棄物清運聯繫,內湖區,20180501,080100
2018050100049,道路散落物或油漬處理,內湖區,20180501,080700
2018050100050,鄰里無主垃圾清運,中正區及4號,20180501,080700
2018050100051,市區道路坑洞處理,內湖區114台灣台北市內湖區內湖路一段445號,20180501,080600
2018050100052,道路散落物或油漬處理,內湖區地標:  民權大橋東往西方向機車道,20180501,081300
2018050100053,鄰里無主垃圾清運,信義區,20180501,082100
2018050100054,大型廢棄物清運聯繫,中山區24之3,20180501,082600
2018050100055,場所與設施噪音舉發,文山區,20180501,083400
2018050100056,大型廢棄物清運聯繫,萬華區,20180501,084100
2018050100057,路燈故障或設施損壞,大安區,20180501,084500
2018050100058,污染舉發,信義區滷肉飯,20180501,084800
2018050100059,用戶無水、漏水報修,大安區巷口轉角處,20180501,084900
2018050100060,大型廢棄物清運聯繫,內湖區,20180501,085200
2018050100061,道路側溝溝蓋(含周邊)損壞遺失,大安區106台灣台北市大安區延吉街131巷19號,20180501,085000
2018050100062,場所與設施噪音舉發,文山區對面,20180501,085700
2018050100063,人孔蓋(含周邊)破損、遺失處理,大安區106台灣台北市大安區大安路一段101巷5號,20180501,085600
