案件編號,派工項目,案件地址,立案日期,立案時間
2016010100002,場所與設施噪音舉發,士林區巷口,20160101,000400
2016010100004,場所與設施噪音舉發,萬華區西門紅樓,20160101,000900
2016010100006,場所與設施噪音舉發,信義區交叉路口:  光復南路  忠孝東路,20160101,001700
2016010100007,場所與設施噪音舉發,萬華區,20160101,001600
2016010100008,場所與設施噪音舉發,松山區彩虹河濱公園沿岸,20160101,001900
2016010100009,場所與設施噪音舉發,萬華區附近,20160101,002000
2016010100011,場所與設施噪音舉發,信義區後方周邊,20160101,002300
2016010100012,場所與設施噪音舉發,信義區地標:  市府廣場地標:  市府廣場,20160101,002500
2016010100013,場所與設施噪音舉發,中正區交叉路口:  八德路一段  金山北路在新生高架橋下,20160101,003800
2016010100014,場所與設施噪音舉發,大同區36號,20160101,004100
2016010100015,場所與設施噪音舉發,文山區樟欣公有停車場(市圖力行圖書館附近),20160101,004500
2016010100016,場所與設施噪音舉發,大安區停車場4樓,20160101,004800
2016010100017,場所與設施噪音舉發,中正區交叉路口:  新生北路  市民大道,20160101,005000
2016010100018,場所與設施噪音舉發,大安區交叉路口:  八德路二段  新生南路一段高架橋下方,20160101,005500
2016010100019,路燈故障或設施損壞,中山區地標:  林森公園14號,20160101,005700
2016010100020,場所與設施噪音舉發,信義區,20160101,005900
2016010100021,場所與設施噪音舉發,信義區市政府前廣場,20160101,010200
2016010100022,場所與設施噪音舉發,大安區近大安路,20160101,010500
2016010100024,場所與設施噪音舉發,信義區亞太大樓,20160101,010700
2016010100025,場所與設施噪音舉發,萬華區交叉路口:  青年路  水源路,20160101,010800
2016010100026,場所與設施噪音舉發,中正區交叉路口:  八德路一段  金山北路交叉路口:  八德路一段  金山北路交叉路口:  八德路一段  金山北路,20160101,011100
2016010100027,場所與設施噪音舉發,信義區靠近仁愛路和逸仙路口,20160101,010800
2016010100029,場所與設施噪音舉發,信義區前方廣場,20160101,011100
2016010100030,場所與設施噪音舉發,信義區,20160101,011400
2016010100031,場所與設施噪音舉發,中正區,20160101,011600
2016010100032,場所與設施噪音舉發,信義區地標:  國父紀念館忠孝東路大門前,20160101,011300
2016010100033,大型廢棄物清運聯繫,大安區,20160101,011300
2016010100035,場所與設施噪音舉發,信義區,20160101,011500
2016010100036,交通號誌異常,松山區地標:  台安醫院在臺安醫院正前方東往西方向,20160101,011800
2016010100037,場所與設施噪音舉發,信義區前方廣場,20160101,011900
2016010100038,場所與設施噪音舉發,信義區靠近仁愛路和逸仙路口,20160101,012000
2016010100039,場所與設施噪音舉發,大同區後棟的2樓,20160101,012400
2016010100040,場所與設施噪音舉發,大安區交叉路口:  仁愛路  建國南路,20160101,012100
2016010100041,場所與設施噪音舉發,信義區,20160101,012500
2016010100043,場所與設施噪音舉發,萬華區,20160101,012700
2016010100044,場所與設施噪音舉發,中正區交叉路口:  杭州南路一段  濟南路,20160101,012800
2016010100045,場所與設施噪音舉發,信義區,20160101,013200
2016010100046,場所與設施噪音舉發,信義區市府前廣場,20160101,013000
2016010100047,場所與設施噪音舉發,大安區近忠孝東路四段216巷,20160101,013100
2016010100048,場所與設施噪音舉發,大安區,20160101,013000
2016010100049,場所與設施噪音舉發,信義區地標:  市府廣場地標:  市府廣場,20160101,012900
2016010100050,場所與設施噪音舉發,信義區,20160101,013000
2016010100051,場所與設施噪音舉發,大安區頂樓或20號,20160101,013300
2016010100052,場所與設施噪音舉發,士林區,20160101,014100
2016010100054,場所與設施噪音舉發,大安區,20160101,015500
2016010100056,場所與設施噪音舉發,內湖區,20160101,015700
2016010100057,場所與設施噪音舉發,大安區,20160101,020500
2016010100058,場所與設施噪音舉發,南港區,20160101,020500
2016010100059,場所與設施噪音舉發,文山區左側,20160101,020600
2016010100060,場所與設施噪音舉發,信義區,20160101,021000
2016010100061,場所與設施噪音舉發,中山區及3樓 ,20160101,022100
