案件編號,派工項目,案件地址,立案日期,立案時間
2022010100001,場所與設施噪音舉發,中正區臺北市中正區頂東里004鄰師大路１６４號,20220101,000500
2022010100002,場所與設施噪音舉發,中正區中山北路一段,20220101,000800
2022010100003,場所與設施噪音舉發,松山區臺北市松山區美仁里008鄰北寧路４０號,20220101,002100
2022010100004,場所與設施噪音舉發,中山區臺北市中山區興亞里012鄰長安東路二段３１號,20220101,003400
2022010100005,場所與設施噪音舉發,松山區臺北市松山區東勢里014鄰南京東路四段１７９巷３弄２號,20220101,003900
2022010100006,場所與設施噪音舉發,中山區美堤河濱公園,20220101,003700
2022010100007,場所與設施噪音舉發,信義區松德路307巷,20220101,004100
2022010100008,場所與設施噪音舉發,松山區臺北市松山區富泰里015鄰民生東路五段１９０號,20220101,004000
2022010100009,場所與設施噪音舉發,大安區臺北市大安區通安里019鄰安和路二段１２９號,20220101,004100
2022010100010,大型廢棄物清運聯繫,文山區臺北市文山區萬年里016鄰羅斯福路五段１９２巷２０號,20220101,005100
2022010100011,場所與設施噪音舉發,中山區臺北市中山區新喜里012鄰德惠街１９２號,20220101,005300
2022010100012,場所與設施噪音舉發,北投區彩虹橋,20220101,005300
2022010100014,鄰里無主垃圾清運,中山區林森北路與民權東路一段口,20220101,005800
2022010100015,場所與設施噪音舉發,大同區臺北市大同區建明里011鄰承德路一段２４巷１７號,20220101,010300
2022010100016,道路散落物或油漬處理,松山區臺北市松山區松基里003鄰復興北路２３３號,20220101,010600
2022010100018,污染舉發,中山區臺北市中山區民安里015鄰中山北路二段４２巷３６號,20220101,010800
2022010100019,大型廢棄物清運聯繫,信義區臺北市信義區敦厚里022鄰基隆路一段１３３號,20220101,011100
2022010100021,場所與設施噪音舉發,中山區臺北市中山區成功里021鄰敬業三路１２３號,20220101,011500
2022010100022,道路散落物或油漬處理,南港區松河街３２８號,20220101,011800
2022010100023,場所與設施噪音舉發,中正區臺北市中正區東門里005鄰徐州路１８巷１５號,20220101,012500
2022010100024,場所與設施噪音舉發,大安區臺北市大安區大學里017鄰辛亥路一段１００號,20220101,013700
2022010100025,場所與設施噪音舉發,信義區吳興街320巷59弄29號,20220101,013500
2022010100026,場所與設施噪音舉發,信義區臺北市信義區景聯里006鄰基隆路二段８７號,20220101,013900
2022010100027,場所與設施噪音舉發,萬華區臺北市萬華區西門里002鄰康定路２５巷２號,20220101,015100
2022010100028,場所與設施噪音舉發,士林區111台灣台北市士林區文昌路169巷32號,20220101,015000
2022010100029,路燈故障或設施損壞,中山區臺北市中山區朱崙里011鄰龍江路１號,20220101,015200
2022010100030,場所與設施噪音舉發,松山區臺北市松山區富錦里018鄰新東街５１巷２３號,20220101,015900
2022010100032,場所與設施噪音舉發,士林區臺北市士林區葫東里012鄰延平北路五段２７８號,20220101,020200
2022010100033,場所與設施噪音舉發,信義區臺北市信義區興雅里001鄰忠孝東路五段８號,20220101,020500
2022010100034,場所與設施噪音舉發,大安區臺北市大安區龍雲里002鄰復興南路二段６５號,20220101,021900
2022010100035,場所與設施噪音舉發,中正區辛亥路一段３１號,20220101,021900
2022010100036,道路側溝溝蓋(含周邊)損壞遺失,中山區10491台灣台北市中山區民生東路二段166號,20220101,022200
2022010100037,場所與設施噪音舉發,大安區臺北市大安區龍安里010鄰和平東路一段１８３巷２０號,20220101,022500
2022010100038,道路散落物或油漬處理,信義區吳興街-吳興街269巷,20220101,022500
2022010100039,場所與設施噪音舉發,萬華區康定路２５巷１９號,20220101,022700
2022010100040,場所與設施噪音舉發,信義區臺北市信義區黎順里008鄰基隆路二段１４３號,20220101,024300
2022010100041,場所與設施噪音舉發,中山區台北市中山區中山北路二段59巷46號,20220101,024300
2022010100042,場所與設施噪音舉發,萬華區漢中街１１６號,20220101,024400
2022010100043,場所與設施噪音舉發,大安區臺北市大安區德安里003鄰四維路５２巷３０號,20220101,025100
2022010100044,場所與設施噪音舉發,大安區臺北市大安區正聲里015鄰光復南路２８６號,20220101,025700
2022010100045,場所與設施噪音舉發,中山區大直街６２巷８號,20220101,025700
2022010100046,場所與設施噪音舉發,信義區林口街80巷,20220101,031200
2022010100047,污染舉發,中山區臺北市中山區行孝里008鄰龍江路３７０巷５９號,20220101,032800
2022010100048,場所與設施噪音舉發,南港區臺北市南港區合成里001鄰中坡北路３０巷１號,20220101,033100
2022010100049,用戶無水、漏水報修,信義區臺北市信義區敦厚里012鄰永吉路５４號,20220101,035400
2022010100050,場所與設施噪音舉發,萬華區臺北市萬華區西門里007鄰漢中街１１６號,20220101,035700
2022010100051,場所與設施噪音舉發,文山區臺北市文山區萬興里031鄰新光路二段３０號,20220101,040000
2022010100052,場所與設施噪音舉發,大同區臺北市大同區永樂里020鄰西寧北路１３０號,20220101,040300
2022010100053,場所與設施噪音舉發,松山區臺北市松山區美仁里008鄰北寧路４０號,20220101,040500
