案件編號,派工項目,案件地址,立案日期,立案時間
2025073110554,場所與設施噪音舉發,中山區臺北市中山區中山里023鄰林森北路２８９號十二樓,20250731,235838
2025073110553,大型廢棄物清運聯繫,內湖區臺北市內湖區東湖里007鄰東湖路１１９巷５０弄２０號二樓,20250731,235226
2025073110552,污染舉發,萬華區臺北市萬華區富民里019鄰廣州街１４８號,20250731,234829
2025073110551,大型廢棄物清運聯繫,南港區臺北市南港區中研里006鄰福山街２３號1樓,20250731,234211
2025073110550,場所與設施噪音舉發,中山區臺北市中山區晴光里013鄰雙城街３２巷５號,20250731,234032
2025073110549,大型廢棄物清運聯繫,內湖區114台灣台北市內湖區安康路434巷21號,20250731,233410
2025073110548,大型廢棄物清運聯繫,大安區溫州街12巷20號3樓,20250731,232801
2025073110547,大型廢棄物清運聯繫,北投區北投區怡和巷4弄3號1樓,20250731,232910
2025073110545,場所與設施噪音舉發,中正區臺北市中正區文盛里009鄰羅斯福路三段３００號,20250731,231840
2025073110544,大型廢棄物清運聯繫,中正區臺北市中正區富水里012鄰永春街１６３巷１０號,20250731,231815
2025073110543,大型廢棄物清運聯繫,信義區臺北市信義區敦厚里009鄰永吉路３０巷１０２弄３號2樓,20250731,231631
2025073110542,污染舉發,大安區臺北市大安區民炤里009鄰新生南路一段１６３號,20250731,231400
2025073110541,場所與設施噪音舉發,信義區臺北市信義區國業里017鄰松山路５４０巷３弄２９號二樓,20250731,230724
2025073110540,大型廢棄物清運聯繫,內湖區114台灣台北市內湖區成功路二段320巷29號,20250731,230407
2025073110539,大型廢棄物清運聯繫,中山區臺北市中山區新福里001鄰吉林路３４３巷３３號1樓,20250731,230054
2025073110538,污染舉發,中山區臺北市中山區新庄里015鄰吉林路４５６巷１號四樓,20250731,225300
2025073110537,大型廢棄物清運聯繫,大安區臺北市大安區古莊里007鄰浦城街１６巷１１之１號四樓,20250731,225118
2025073110536,大型廢棄物清運聯繫,萬華區臺北市萬華區萬壽里001鄰武昌街二段２２號3樓之1,20250731,225145
2025073110535,大型廢棄物清運聯繫,南港區臺北市南港區南港里020鄰重陽路３４３號二樓,20250731,224357
2025073110534,污染舉發,大安區臺北市大安區通化里020鄰臨江街８９號,20250731,224935
2025073110533,道路散落物或油漬處理,信義區臺北市信義區大道里008鄰中坡南路３８號,20250731,224437
2025073110531,場所與設施噪音舉發,內湖區臺北市內湖區金龍里020鄰內湖路三段１１５巷４弄３號二樓,20250731,223719
2025073110530,路燈不亮或損壞,大安區106台灣台北市大安區師大路43號,20250731,223309
2025073110529,場所與設施噪音舉發,南港區臺北市南港區東新里013鄰重陽路１８８號,20250731,223341
2025073110528,大型廢棄物清運聯繫,中山區10491台灣台北市中山區農安街98號,20250731,222512
2025073110527,路燈不亮或損壞,內湖區114台灣台北市內湖區大湖街137 之2號,20250731,222402
2025073110526,路燈不亮或損壞,"內湖區捷運港墘站,參考地址：內湖路一段６６１號",20250731,222602
2025073110525,大型廢棄物清運聯繫,大安區臺北市大安區群英里033鄰四維路１９８巷３９弄１３號七樓,20250731,222342
2025073110524,大型廢棄物清運聯繫,文山區臺北市文山區試院里012鄰和興路４４巷７０號1樓,20250731,222608
2025073110523,場所與設施噪音舉發,士林區111台灣台北市士林區中山北路五段505巷46弄2號,20250731,222111
2025073110522,場所與設施噪音舉發,大同區臺北市大同區朝陽里014鄰重慶北路二段４６巷５２號,20250731,222049
2025073110521,大型廢棄物清運聯繫,大安區臺北市大安區虎嘯里002鄰敦化南路二段１６４號七樓之3,20250731,222031
2025073110520,大型廢棄物清運聯繫,文山區臺北市文山區興豐里008鄰興順街１９３號1樓,20250731,222106
2025073110519,大型廢棄物清運聯繫,大安區臺北市臺北市大安區全安里和平東路三段119巷10弄2–12,20250731,220833
2025073110518,用戶無水、漏水報修,松山區富錦街12巷,20250731,220819
2025073110517,大型廢棄物清運聯繫,松山區臺北市松山區安平里019鄰南京東路五段２９１巷１９弄１１號1樓,20250731,220824
2025073110516,道路散落物或油漬處理,內湖區臺北市內湖區五分里029鄰五分街５１號,20250731,220844
2025073110514,路燈不亮或損壞,大安區106台灣台北市大安區羅斯福路三段187號,20250731,220422
2025073110513,大型廢棄物清運聯繫,內湖區臺北市內湖區紫星里026鄰成功路三段１８７巷３弄１９號三樓,20250731,220311
2025073110512,大型廢棄物清運聯繫,內湖區臺北市內湖區金瑞里017鄰內湖路三段３４３巷１弄１號四樓,20250731,214826
2025073110509,大型廢棄物清運聯繫,內湖區臺北市內湖區碧山里018鄰內湖路三段１９１巷９號五樓,20250731,214152
2025073110508,大型廢棄物清運聯繫,大安區臺北市大安區義安里005鄰敦化南路二段１１巷２０號3樓,20250731,214255
2025073110507,場所與設施噪音舉發,南港區重陽路-興華路,20250731,214506
2025073110506,大型廢棄物清運聯繫,文山區臺北市文山區萬盛里011鄰萬盛街５３號二樓,20250731,214220
2025073110505,大型廢棄物清運聯繫,松山區臺北市松山區中正里007鄰八德路二段４３７巷１０弄１７號四樓,20250731,213824
2025073110504,大型廢棄物清運聯繫,松山區臺北市松山區民有里006鄰民生東路三段１１３巷１０號三樓,20250731,213855
2025073110503,污染舉發,內湖區台北市內湖區文德路8號,20250731,213812
2025073110502,大型廢棄物清運聯繫,大安區臺北市大安區法治里002鄰通化街１８３巷１號2樓,20250731,213722
2025073110501,動物救援,大安區臺北市大安區德安里003鄰四維路５２巷２４弄２號,20250731,213725
2025073110500,路燈不亮或損壞,大安區106台灣台北市大安區四維路136號,20250731,213221
2025073110498,道路散落物或油漬處理,南港區臺北市臺北市南港區重陽里重陽路125巷口,20250731,212940
2025073110497,場所與設施噪音舉發,松山區臺北市松山區慈祐里017鄰饒河街１２２號,20250731,212902
2025073110496,大型廢棄物清運聯繫,信義區臺北市信義區嘉興里006鄰嘉興街２１６巷５之１號1樓,20250731,212810
2025073110495,大型廢棄物清運聯繫,士林區臺北市臺北市士林區忠誠路二段10巷5號,20250731,212531
2025073110494,大型廢棄物清運聯繫,中山區臺北市中山區中原里007鄰長春路８９之２號四樓,20250731,212126
2025073110493,大型廢棄物清運聯繫,萬華區臺北市萬華區新起里005鄰內江街８６之１號二樓,20250731,212042
2025073110491,大型廢棄物清運聯繫,大安區臺北市大安區義村里005鄰忠孝東路三段２４８巷７弄１０號二樓,20250731,211817
