案件編號,派工項目,案件地址,立案日期,立案時間
2025113010478,場所與設施噪音舉發,士林區臺北市士林區義信里009鄰大南路１１０號1樓,20251130,235907
2025113010477,大型廢棄物清運聯繫,信義區110台灣臺北市信義區信義路六段12巷25號,20251130,235430
2025113010476,路燈不亮或損壞,中山區10491台灣臺北市中山區基湖路145號大直金碧大廈,20251130,234050
2025113010474,場所與設施噪音舉發,中山區臺北市中山區大直里027鄰北安路５７１號,20251130,233418
2025113010473,場所與設施噪音舉發,大同區臺北市大同區景星里004鄰環河北路二段８３號,20251130,233116
2025113010472,場所與設施噪音舉發,萬華區臺北市萬華區菜園里012鄰康定路８２號二樓,20251130,232628
2025113010470,大型廢棄物清運聯繫,信義區臺北市信義區松隆里009鄰松山路６５０巷１５弄２２號四樓,20251130,232319
2025113010469,路燈不亮或損壞,松山區八德路三段12巷4弄-八德路三段8巷,20251130,232308
2025113010468,大型廢棄物清運聯繫,士林區111台灣臺北市士林區中山北路七段148-1號,20251130,232001
2025113010467,大型廢棄物清運聯繫,松山區臺北市松山區民有里026鄰民權東路三段１０６巷１號二樓,20251130,231746
2025113010466,污染舉發,中山區臺北市中山區大直里018鄰北安路６１５號,20251130,231125
2025113010465,路燈不亮或損壞,南港區115台灣臺北市南港區南湖大橋8號,20251130,230552
2025113010464,大型廢棄物清運聯繫,中正區臺北市中正區永昌里002鄰汀州路一段２０６巷３號四樓,20251130,225630
2025113010463,道路散落物或油漬處理,中山區通北街-北安路,20251130,225623
2025113010462,大型廢棄物清運聯繫,大安區臺北市大安區龍安里009鄰青田街７巷４號三樓,20251130,225247
2025113010461,路燈不亮或損壞,士林區臺北市臺北市士林區後港里承德路四段318號,20251130,225036
2025113010460,場所與設施噪音舉發,中山區明水路-明水路439巷,20251130,224648
2025113010459,大型廢棄物清運聯繫,中山區臺北市中山區江山里003鄰合江街１１６巷１９號四樓,20251130,224437
2025113010458,大型廢棄物清運聯繫,內湖區臺北市內湖區安湖里005鄰東湖路４３巷１號6樓,20251130,223941
2025113010457,場所與設施噪音舉發,內湖區金湖路363巷,20251130,222806
2025113010456,大型廢棄物清運聯繫,士林區臺北市士林區福順里007鄰重慶北路四段４９巷４０弄９號二樓,20251130,222552
2025113010454,大型廢棄物清運聯繫,信義區臺北市信義區大仁里021鄰大道路１０８號五樓,20251130,222555
2025113010453,雨水下水道側溝清淤,文山區116台灣臺北市文山區羅斯福路六段159巷5弄7號二樓號,20251130,221726
2025113010451,大型廢棄物清運聯繫,南港區臺北市南港區西新里008鄰成功路一段８２巷１４號五樓,20251130,220655
2025113010450,鄰里無主垃圾清運,內湖區臺北市內湖區金龍里021鄰內湖路三段１４１巷４弄１號,20251130,220500
2025113010449,路燈不亮或損壞,萬華區中華路二段300巷13弄27號,20251130,220253
2025113010448,大型廢棄物清運聯繫,士林區延平北路七段40之5號,20251130,215834
2025113010447,道路側溝溝蓋(含周邊)損壞遺失,松山區105台灣臺北市松山區八德路四段51號,20251130,215526
2025113010446,大型廢棄物清運聯繫,大安區臺北市大安區民輝里019鄰新生北路一段３號三樓之一,20251130,215515
2025113010445,大型廢棄物清運聯繫,南港區臺北市南港區東新里022鄰向陽路１２０巷２弄６號1樓,20251130,215221
2025113010444,大型廢棄物清運聯繫,文山區臺北市文山區景行里003鄰景文街６４號四樓之１,20251130,214817
2025113010442,大型廢棄物清運聯繫,信義區臺北市臺北市信義區松光里松山路465巷27弄2號,20251130,214113
2025113010441,道路散落物或油漬處理,文山區木新路三段-木新路三段278巷,20251130,214127
2025113010440,大型廢棄物清運聯繫,大安區臺北市臺北市大安區正聲里光復南路280巷37號,20251130,214001
2025113010439,鄰里無主垃圾清運,中正區臺北市中正區建國里002鄰中華路一段９１巷１號一樓,20251130,214112
2025113010438,道路掏空,大安區106台灣臺北市大安區忠孝東路四段216巷8弄12號,20251130,213759
2025113010437,用戶無水、漏水報修,中正區臺北市中正區富水里001鄰思源街６號二樓,20251130,213554
2025113010436,場所與設施噪音舉發,中正區華山文創園區,20251130,213422
2025113010435,交通號誌電纜線垂落及設施損壞,南港區經貿一路-經貿二路157巷,20251130,213615
2025113010434,場所與設施噪音舉發,士林區臺北市士林區仁勇里006鄰大南路９號,20251130,212839
2025113010433,大型廢棄物清運聯繫,中山區臺北市中山區朱馥里014鄰合江街６１巷２號二樓,20251130,212732
2025113010432,大型廢棄物清運聯繫,松山區臺北市松山區中崙里015鄰八德路二段３６６巷３８號1樓,20251130,212913
2025113010430,大型廢棄物清運聯繫,南港區臺北市南港區三重里033鄰經貿二路１５７巷３６弄９３號九樓之2,20251130,212022
2025113010429,大型廢棄物清運聯繫,北投區臺北市北投區智仁里007鄰杏林二路１７號二樓,20251130,211837
2025113010428,場所與設施噪音舉發,文山區臺北市文山區指南里002鄰指南路三段３３巷１２號1樓,20251130,211521
2025113010426,大型廢棄物清運聯繫,信義區臺北市信義區敦厚里018鄰永吉路３０巷１０１弄３６號二樓,20251130,211447
2025113010425,鄰里無主垃圾清運,內湖區臺北市內湖區行善里015鄰南京東路六段１１９號,20251130,211411
2025113010424,大型廢棄物清運聯繫,內湖區臺北市內湖區行善里015鄰南京東路六段１０７號六樓,20251130,211303
2025113010423,大型廢棄物清運聯繫,信義區臺北市信義區黎平里007鄰富陽街２０巷７號二樓,20251130,211154
2025113010422,大型廢棄物清運聯繫,大安區臺北市大安區通化里015鄰通化街３９巷５３弄１３號1樓,20251130,211057
