案件編號,派工項目,案件地址,立案日期,立案時間
2017060100001,場所與設施噪音舉發,士林區與忠誠路交叉路口,20170601,000700
2017060100002,大型廢棄物清運聯繫,士林區,20170601,001200
2017060100004,路燈故障或設施損壞,內湖區114台灣台北市內湖區康寧路三段222巷,20170601,001500
2017060100005,交通標誌及設施物損壞(含汙損)、傾斜,中山區10491台灣台北市中山區北安路763號,20170601,002200
2017060100006,場所與設施噪音舉發,萬華區交叉路口:  桂林路  昆明街,20170601,002300
2017060100007,路燈故障或設施損壞,內湖區114台灣台北市內湖區康寧路三段225號,20170601,002500
2017060100008,交通標誌及設施物損壞(含汙損)、傾斜,內湖區114台灣台北市內湖區防災科學教育館,20170601,003000
2017060100009,交通標誌及設施物損壞(含汙損)、傾斜,內湖區114台灣台北市內湖區成功路二段273巷11號,20170601,003200
2017060100010,路燈故障或設施損壞,南港區115台灣台北市南港區經貿一路16號,20170601,003700
2017060100011,路燈故障或設施損壞,南港區115台灣台北市南港區成功橋91號,20170601,004200
2017060100012,市區道路坑洞處理,中山區巷口,20170601,004800
2017060100013,交通標誌及設施物損壞(含汙損)、傾斜,內湖區114台灣台北市內湖區金豐街,20170601,004700
2017060100014,場所與設施噪音舉發,南港區正對面,20170601,005800
2017060100015,場所與設施噪音舉發,大安區,20170601,010400
2017060100016,場所與設施噪音舉發,北投區,20170601,013900
2017060100017,場所與設施噪音舉發,南港區,20170601,020000
2017060100018,場所與設施噪音舉發,南港區捷運昆陽站前,20170601,020800
2017060100019,場所與設施噪音舉發,大安區,20170601,021600
2017060100020,場所與設施噪音舉發,士林區跟六段整條路段,20170601,022300
2017060100021,場所與設施噪音舉發,文山區附近,20170601,023100
2017060100022,場所與設施噪音舉發,北投區交叉路口:  立德路  立功街,20170601,023400
2017060100023,場所與設施噪音舉發,文山區萬芳醫院對面,20170601,023300
2017060100024,污染舉發,中山區右側橘色瓷磚外牆的住家,20170601,024000
2017060100025,場所與設施噪音舉發,文山區附近,20170601,023800
2017060100026,場所與設施噪音舉發,文山區興華國小前,20170601,024900
2017060100027,場所與設施噪音舉發,南港區,20170601,025200
2017060100028,場所與設施噪音舉發,中山區,20170601,025100
2017060100030,場所與設施噪音舉發,北投區,20170601,032300
2017060100031,場所與設施噪音舉發,信義區,20170601,043400
2017060100034,路燈故障或設施損壞,萬華區地標:  中正河濱公園中正河濱公園與馬場町河濱公園內,20170601,060500
2017060100035,交通號誌異常,文山區由興隆路~基隆路這段,20170601,063100
2017060100036,用戶無水、漏水報修,士林區巷口,20170601,065000
2017060100037,鄰里無主垃圾清運,大同區巷口及環河北路二段145巷口及環河北路二段123巷口,20170601,065000
