案件編號,派工項目,案件地址,立案日期,立案時間
2023020100001,大型廢棄物清運聯繫,大安區臺北市大安區通化里010鄰通化街１９巷１４之１號,20230201,001300
2023020100002,大型廢棄物清運聯繫,士林區台北市士林區天母北路28巷10號,20230201,001500
2023020100003,場所與設施噪音舉發,中山區臺北市中山區正義里001鄰林森北路８５巷３６號,20230201,001800
2023020100004,場所與設施噪音舉發,萬華區臺北市萬華區興德里015鄰富民路１５５巷４９號,20230201,003500
2023020100005,大型廢棄物清運聯繫,士林區台北市士林區天母北路28巷10號,20230201,005000
2023020100006,交通標誌及設施物損壞(含汙損)、傾斜,士林區111台灣台北市士林區菁山路17號,20230201,005500
2023020100007,場所與設施噪音舉發,內湖區江南街110號,20230201,014300
2023020100008,場所與設施噪音舉發,信義區臺北市信義區松友里001鄰松山路６０６號,20230201,015100
2023020100009,場所與設施噪音舉發,萬華區武昌街二段87號,20230201,015100
2023020100010,場所與設施噪音舉發,萬華區峨眉街-康定路,20230201,015100
2023020100011,場所與設施噪音舉發,大安區大安區臺北市大安區敦煌里016鄰仁愛路四段２６６巷１５弄２４號,20230201,015300
2023020100012,交通號誌異常,萬華區西寧南路-內江街,20230201,024300
2023020100013,場所與設施噪音舉發,文山區興華國小,20230201,035900
2023020100015,場所與設施噪音舉發,中山區臺北市中山區正義里008鄰林森北路１０７巷５９號,20230201,041200
2023020100017,道路散落物或油漬處理,信義區市民大道五段36巷-市民大道五段,20230201,055000
2023020100018,場所與設施噪音舉發,大安區臺北市大安區德安里019鄰仁愛路四段５０號,20230201,055400
2023020100019,場所與設施噪音舉發,內湖區臺北市內湖區港富里008鄰港墘路３７巷８號,20230201,062100
2023020100020,人孔蓋(含周邊)破損、遺失處理,大安區臺北市大安區全安里012鄰安和路二段１８９巷１３號,20230201,071400
2023020100021,人孔蓋(含周邊)破損、遺失處理,大安區臺北市大安區全安里011鄰和平東路三段１１９巷３５號,20230201,071800
2023020100022,人孔蓋(含周邊)破損、遺失處理,大安區臺北市大安區臨江里014鄰基隆路二段１３２巷４號,20230201,072200
2023020100023,場所與設施噪音舉發,大同區臺北市大同區蓬萊里006鄰民權西路１３９號,20230201,073600
2023020100024,大型廢棄物清運聯繫,文山區116台灣台北市文山區興隆路二段153巷2弄10號,20230201,073700
2023020100025,鄰里無主垃圾清運,萬華區臺北市萬華區日祥里022鄰青年路１８８號,20230201,075800
2023020100026,污染舉發,松山區新東街-延壽街,20230201,082000
2023020100027,鄰里無主垃圾清運,士林區忠勇街40巷-忠勇街,20230201,082600
2023020100028,場所與設施噪音舉發,文山區臺北市文山區景慶里001鄰羅斯福路六段２１２號,20230201,083900
2023020100029,交通號誌異常,內湖區麗山街-港墘路,20230201,084900
2023020100031,交通號誌異常,內湖區港墘路-港華街,20230201,085000
2023020100032,大型廢棄物清運聯繫,北投區臺北市北投區立賢里007鄰承德路七段３１０號,20230201,085200
2023020100033,大型廢棄物清運聯繫,內湖區臺北市內湖區石潭里007鄰成功路二段１１５巷４５弄９號,20230201,091500
2023020100034,交通號誌異常,北投區中央北路四段142巷,20230201,091700
2023020100035,大型廢棄物清運聯繫,萬華區臺北市萬華區柳鄉里015鄰桂林路２４４巷７３號,20230201,091500
2023020100037,路燈故障或設施損壞,北投區臺北市北投區裕民里012鄰懷德街１１巷２號,20230201,092000
2023020100039,交通標誌及設施物損壞(含汙損)、傾斜,中山區104台灣台北市中山區民權東路二段152巷14號,20230201,092200
2023020100040,路燈故障或設施損壞,士林區臺北市士林區福德里003鄰中正路２５５號,20230201,092500
2023020100041,交通號誌異常,松山區撫遠街與民生東路五段,20230201,092300
2023020100042,市區道路坑洞處理,中山區10491台灣台北市中山區松江路313巷11號,20230201,092400
2023020100043,大型廢棄物清運聯繫,中正區臺北市中正區頂東里010鄰南昌路二段１７８號,20230201,092600
2023020100044,大型廢棄物清運聯繫,大安區臺北市大安區黎孝里008鄰安居街１１號,20230201,092800
2023020100045,人孔蓋(含周邊)破損、遺失處理,內湖區114台灣台北市內湖區民權東路六段423巷9弄15號,20230201,092700
2023020100047,大型廢棄物清運聯繫,南港區臺北市南港區聯成里002鄰忠孝東路六段１８０號,20230201,093500
2023020100048,場所與設施噪音舉發,士林區臺北市士林區承德里002鄰後港街２６號,20230201,094200
2023020100049,道路散落物或油漬處理,中正區臺北市中正區龍興里007鄰三元街１６０號,20230201,094700
2023020100050,大型廢棄物清運聯繫,信義區臺北市信義區雙和里022鄰吳興街２６０巷２１弄４號,20230201,095100
2023020100052,大型廢棄物清運聯繫,中正區100台灣台北市中正區詔安街26號,20230201,095000
2023020100053,大型廢棄物清運聯繫,信義區臺北市信義區中坡里001鄰福德街１１９號,20230201,095400
2023020100054,大型廢棄物清運聯繫,南港區臺北市南港區舊莊里022鄰合順街８巷３弄４１號,20230201,095300
2023020100055,大型廢棄物清運聯繫,內湖區成功路三段174巷6號,20230201,095500
2023020100056,大型廢棄物清運聯繫,中正區臺北市中正區文祥里013鄰杭州南路一段１４３巷２７號,20230201,095600
2023020100057,交通標誌及設施物損壞(含汙損)、傾斜,大安區106台灣台北市大安區光復南路318號,20230201,100000
2023020100058,大型廢棄物清運聯繫,萬華區臺北市萬華區新和里018鄰中華路二段３６４巷１５號,20230201,100300
2023020100059,交通號誌異常,松山區塔悠路-民生東路五段,20230201,100500
2023020100060,用戶無水、漏水報修,內湖區臺北市內湖區西安里023鄰內湖路一段９１巷１５２號,20230201,100700
2023020100061,路燈故障或設施損壞,萬華區臺北市萬華區華江里023鄰和平西路三段３７６號,20230201,100700
2023020100062,道路散落物或油漬處理,士林區楓林橋,20230201,100700
2023020100063,鄰里無主垃圾清運,文山區指南路三段32巷,20230201,100800
2023020100064,大型廢棄物清運聯繫,內湖區臺北市內湖區秀湖里002鄰大湖街１６６巷５５號,20230201,101100
2023020100065,市區道路坑洞處理,內湖區114台灣台北市內湖區文湖街21巷90號,20230201,101000
2023020100066,場所與設施噪音舉發,士林區臺北市士林區天和里020鄰中山北路七段１９０巷２４之４號,20230201,102100
2023020100067,大型廢棄物清運聯繫,大安區臺北市大安區通化里008鄰文昌街２７８巷４號,20230201,102300
2023020100068,大型廢棄物清運聯繫,內湖區臺北市內湖區大湖里011鄰大湖山莊街１９０號,20230201,102300
2023020100069,大型廢棄物清運聯繫,士林區臺北市士林區社子里004鄰社中街１５２巷３１號,20230201,102700
2023020100070,大型廢棄物清運聯繫,信義區臺北市信義區富台里002鄰忠孝東路五段４２３巷３弄１６號,20230201,103500
2023020100071,大型廢棄物清運聯繫,中正區臺北市中正區三愛里015鄰新生南路一段１７０巷６號,20230201,103800
2023020100072,大型廢棄物清運聯繫,北投區臺北市北投區桃源里006鄰崗山路５巷２號,20230201,104400
2023020100073,大型廢棄物清運聯繫,士林區臺北市士林區天母里001鄰中山北路七段１９０巷２７號,20230201,104400
2023020100074,用戶無水、漏水報修,松山區南京東路三段-敦化北路,20230201,104500
2023020100075,大型廢棄物清運聯繫,中山區臺北市中山區聚盛里013鄰林森北路３９９巷１８號,20230201,104700
2023020100076,路燈故障或設施損壞,內湖區內湖路一段581號,20230201,104700
2023020100077,大型廢棄物清運聯繫,士林區臺北市士林區葫東里005鄰重慶北路四段１９０巷５弄３號,20230201,105100
2023020100078,大型廢棄物清運聯繫,士林區臺北市士林區天福里007鄰天母東路４４號,20230201,105000
2023020100079,場所與設施噪音舉發,大同區臺北市大同區星明里018鄰重慶北路二段９７巷１８號,20230201,105200
2023020100080,場所與設施噪音舉發,大安區臺北市大安區龍雲里017鄰四維路１７０巷５號,20230201,105500
2023020100081,用戶無水、漏水報修,內湖區內湖區文德路22巷62弄23號,20230201,105600
2023020100082,場所與設施噪音舉發,萬華區臺北市萬華區頂碩里015鄰興寧街２４號,20230201,105600
2023020100083,大型廢棄物清運聯繫,南港區臺北市南港區聯成里002鄰忠孝東路六段１７６巷７號,20230201,105600
2023020100084,鄰里無主垃圾清運,文山區臺北市文山區興福里021鄰景華街１２３號,20230201,105900
2023020100085,路燈故障或設施損壞,士林區仰德大道三段250巷,20230201,110300
2023020100086,污染舉發,北投區臺北市北投區長安里017鄰光明路２２０號,20230201,110500
2023020100087,場所與設施噪音舉發,大安區臺北市大安區龍雲里017鄰四維路１７０巷５號,20230201,110800
2023020100088,大型廢棄物清運聯繫,信義區臺北市信義區六合里020鄰信義路五段１５０巷４１８弄１５號,20230201,110900
