案件編號,派工項目,案件地址,立案日期,立案時間
2022040100001,場所與設施噪音舉發,中山區臺北市中山區晴光里013鄰雙城街３２巷５號,20220401,000000
2022040100002,污染舉發,南港區臺北市南港區聯成里009鄰忠孝東路六段２７８巷２２弄４０號,20220401,000600
2022040100004,場所與設施噪音舉發,北投區承德路六段331巷,20220401,001400
2022040100005,大型廢棄物清運聯繫,萬華區臺北市萬華區新起里012鄰長沙街二段６１號,20220401,001700
2022040100006,大型廢棄物清運聯繫,中山區台北市明水路397巷7弄46號,20220401,002400
2022040100007,交通號誌異常,北投區112台灣台北市北投區東華街一段32號,20220401,003000
2022040100008,大型廢棄物清運聯繫,南港區台北市南港區忠孝東路六段278巷23弄1號,20220401,003100
2022040100009,路燈故障或設施損壞,萬華區臺北市萬華區萬壽里009鄰武昌街二段８１號,20220401,003500
2022040100010,場所與設施噪音舉發,中山區臺北市中山區正義里003鄰新生北路一段９８之３號,20220401,003800
2022040100011,大型廢棄物清運聯繫,大安區臺北市大安區光武里009鄰敦化南路一段１６０巷１６號,20220401,011900
2022040100013,場所與設施噪音舉發,文山區臺北市文山區興業里007鄰興隆路二段２４４巷１號,20220401,013600
2022040100014,場所與設施噪音舉發,中山區臺北市中山區中庄里020鄰松江路２５２巷５號,20220401,014900
2022040100015,場所與設施噪音舉發,文山區臺北市文山區景華里024鄰景興路４０號,20220401,015100
2022040100016,市區道路坑洞處理,大安區復興南路一段196巷-仁愛路三段143巷,20220401,020400
2022040100017,場所與設施噪音舉發,中山區臺北市中山區晴光里013鄰雙城街３２巷９號,20220401,021000
2022040100018,場所與設施噪音舉發,文山區臺北市文山區興福里006鄰景興路５３巷２號,20220401,021200
2022040100019,場所與設施噪音舉發,文山區景興路53巷,20220401,021800
2022040100020,大型廢棄物清運聯繫,中山區臺北市中山區正義里010鄰林森北路１１９巷１５號,20220401,023700
2022040100021,場所與設施噪音舉發,文山區臺北市文山區興福里003鄰景興路８１號,20220401,024700
2022040100022,場所與設施噪音舉發,中山區中山北路二段20巷,20220401,025700
2022040100023,路燈故障或設施損壞,北投區112台灣台北市北投區大同街208巷1號,20220401,030600
2022040100025,場所與設施噪音舉發,文山區臺北市文山區興福里003鄰景興路８１號,20220401,032600
2022040100026,場所與設施噪音舉發,中正區台北市中正區忠孝東路一段58–70號,20220401,035300
2022040100027,場所與設施噪音舉發,北投區臺北市北投區文林里001鄰自強街２２號,20220401,045900
2022040100028,場所與設施噪音舉發,中山區臺北市中山區民安里012鄰中山北路二段２６巷３２號,20220401,051000
2022040100029,場所與設施噪音舉發,萬華區臺北市萬華區華中里003鄰萬大路４３２號,20220401,051300
2022040100030,場所與設施噪音舉發,萬華區臺北市萬華區綠堤里001鄰長順街７１號,20220401,052500
2022040100031,場所與設施噪音舉發,中山區臺北市中山區正義里011鄰林森北路１１９巷５８號,20220401,060100
2022040100032,鄰里無主垃圾清運,信義區台北市信義區莊敬路391巷2號,20220401,062800
2022040100033,道路散落物或油漬處理,南港區南港路二段-興華路,20220401,062900
2022040100034,大型廢棄物清運聯繫,松山區臺北市松山區敦化里004鄰八德路三段１２巷１６弄６號,20220401,063700
2022040100035,場所與設施噪音舉發,中山區臺北市中山區新庄里001鄰吉林路４２２號,20220401,064400
2022040100036,場所與設施噪音舉發,大安區市立大安國中,20220401,065600
2022040100037,交通號誌異常,北投區112台灣台北市北投區文林北路96號,20220401,070600
2022040100038,道路散落物或油漬處理,士林區臺北市士林區葫東里002鄰葫東街７巷５號,20220401,070600
2022040100039,市區道路坑洞處理,中山區104台灣台北市中山區民族東路口,20220401,070700
2022040100040,場所與設施噪音舉發,大安區臺北市大安區德安里011鄰敦化南路一段２８８號,20220401,070800
2022040100041,市區道路坑洞處理,中山區10491台灣台北市中山區中山北路三段181號,20220401,070800
2022040100043,大型廢棄物清運聯繫,士林區臺北市士林區芝山里016鄰士東路２６６巷１２弄８號,20220401,073800
2022040100044,道路散落物或油漬處理,松山區市立敦化國中,20220401,074000
2022040100045,道路散落物或油漬處理,南港區南港路二段-興華路,20220401,074200
2022040100046,場所與設施噪音舉發,信義區臺北市政府,20220401,075000
2022040100047,大型廢棄物清運聯繫,中山區臺北市中山區新生里007鄰松江路３３０巷９號,20220401,081100
2022040100048,場所與設施噪音舉發,士林區臺北市士林區明勝里018鄰承德路四段６巷２０號,20220401,081000
2022040100049,大型廢棄物清運聯繫,中山區臺北市中山區江山里014鄰合江街９３巷１５號,20220401,081700
