案件編號,派工項目,案件地址,立案日期,立案時間
2023040100001,交通號誌異常,大安區辛亥路一段-溫州街,20230401,000200
2023040100002,場所與設施噪音舉發,大安區臺北市大安區龍安里007鄰和平東路一段１７７號,20230401,001000
2023040100003,場所與設施噪音舉發,信義區臺北市信義區三張里022鄰莊敬路４０５號,20230401,002000
2023040100004,道路散落物或油漬處理,士林區臺北市士林區永福里002鄰仰德大道二段５６號,20230401,002300
2023040100005,道路散落物或油漬處理,大安區建國高架橋,20230401,002300
2023040100006,場所與設施噪音舉發,萬華區臺北市萬華區頂碩里018鄰莒光路１９３號,20230401,003100
2023040100007,場所與設施噪音舉發,萬華區臺北市萬華區福星里017鄰漢口街二段８３巷１０號,20230401,003300
2023040100009,交通標誌及設施物損壞(含汙損)、傾斜,松山區台北市松山區光復北路3–9號,20230401,003900
2023040100010,路燈故障或設施損壞,南港區臺北市南港區中研里033鄰研究院路二段１２８號,20230401,004300
2023040100011,大型廢棄物清運聯繫,內湖區臺北市內湖區西安里012鄰環山路一段６０巷２８號,20230401,005700
2023040100012,場所與設施噪音舉發,松山區臺北市松山區民有里025鄰敦化北路２４４巷４１之１號,20230401,011800
2023040100014,場所與設施噪音舉發,中山區臺北市中山區正得里012鄰中山北路一段１０５巷２３號,20230401,012700
2023040100016,大型廢棄物清運聯繫,信義區臺北市信義區泰和里002鄰松仁路２８２號,20230401,013600
2023040100017,大型廢棄物清運聯繫,大同區103台灣台北市大同區甘州街42巷9號,20230401,013800
2023040100018,場所與設施噪音舉發,內湖區臺北市內湖區五分里010鄰東湖路１３８號,20230401,014100
2023040100019,場所與設施噪音舉發,松山區臺北市松山區敦化里028鄰市民大道四段１８５號,20230401,020000
2023040100020,道路散落物或油漬處理,士林區臺北市士林區福德里003鄰文林路４２８號,20230401,020500
2023040100021,場所與設施噪音舉發,大安區臺北市大安區龍安里007鄰和平東路一段１７７號,20230401,020900
2023040100022,場所與設施噪音舉發,信義區莊敬路391巷,20230401,024000
2023040100023,場所與設施噪音舉發,大同區臺北市大同區建泰里005鄰南京西路３０號,20230401,024200
2023040100024,場所與設施噪音舉發,萬華區臺北市萬華區壽德里003鄰長泰街６９號,20230401,025600
2023040100025,污染舉發,萬華區臺北市萬華區壽德里003鄰長泰街６９號,20230401,025700
2023040100026,用戶無水、漏水報修,北投區大度路,20230401,030200
2023040100027,場所與設施噪音舉發,信義區臺北市信義區三張里020鄰莊敬路４１６號,20230401,031200
2023040100028,道路散落物或油漬處理,大安區建國高架橋,20230401,051900
2023040100029,路燈故障或設施損壞,文山區仙跡岩親山步道,20230401,051900
2023040100030,鄰里無主垃圾清運,萬華區西園路二段372巷23弄,20230401,053600
2023040100031,場所與設施噪音舉發,中山區臺北市中山區正義里007鄰林森北路１０７巷４６號,20230401,055900
2023040100032,大型廢棄物清運聯繫,信義區臺北市信義區國業里013鄰松德路２５巷３７號,20230401,071300
2023040100033,鄰里無主垃圾清運,北投區東陽街432巷,20230401,073000
2023040100034,污染舉發,內湖區臺北市內湖區麗山里012鄰環山路二段２５巷５號,20230401,074200
2023040100035,交通號誌異常,中山區10491台灣台北市中山區北安路87巷2號,20230401,080700
2023040100036,污染舉發,文山區116台灣台北市文山區指南路二段45巷21弄2號,20230401,081200
2023040100038,場所與設施噪音舉發,士林區延平北路五段276巷8號,20230401,081800
2023040100039,場所與設施噪音舉發,萬華區臺北市萬華區西門里001鄰康定路２３號,20230401,082200
2023040100040,大型廢棄物清運聯繫,士林區臺北市士林區社子里014鄰社中街６１號,20230401,082500
2023040100041,大型廢棄物清運聯繫,中山區臺北市中山區行仁里018鄰龍江路３７０巷４５號,20230401,083100
