案件編號,派工項目,案件地址,立案日期,立案時間
2026053110424,大型廢棄物清運聯繫,大安區延吉街６４之２號,20260531,235917
2026053110423,場所與設施噪音舉發,文山區水源快速道路,20260531,235330
2026053110422,路燈不亮或損壞,中正區100台灣臺北市中正區龍福里南昌路一段24巷8 樓4號,20260531,234425
2026053110421,大型廢棄物清運聯繫,中山區建國北路二段２５８巷１６號4樓,20260531,233900
2026053110420,大型廢棄物清運聯繫,萬華區長順街４６巷１０號3樓,20260531,233845
2026053110419,大型廢棄物清運聯繫,大安區大安路一段２０６巷６號1樓,20260531,233755
2026053110418,大型廢棄物清運聯繫,大安區臨江街２巷２號3樓,20260531,233258
2026053110417,大型廢棄物清運聯繫,中正區臨沂街６５巷１０號3樓,20260531,233021
2026053110416,大型廢棄物清運聯繫,萬華區西寧南路１０８號4樓之2,20260531,232220
2026053110415,大型廢棄物清運聯繫,中山區龍江路３９４巷３６號1樓,20260531,231824
2026053110413,大型廢棄物清運聯繫,中山區中山北路一段１３５巷４２之１號2樓,20260531,231049
2026053110412,大型廢棄物清運聯繫,中山區中山北路一段84號,20260531,230620
2026053110411,場所與設施噪音舉發,大安區信義路四段２６５巷２１弄８之２號,20260531,230353
2026053110410,市區道路坑洞處理,士林區重慶北路四段,20260531,230642
2026053110409,市區道路坑洞處理,士林區重慶北路四段,20260531,230604
2026053110408,路燈不亮或損壞,士林區仰德大道三段250巷-仰德大道三段,20260531,230036
2026053110407,大型廢棄物清運聯繫,松山區民生東路四段８０巷１１弄１０號4樓,20260531,230529
2026053110406,大型廢棄物清運聯繫,內湖區新明路４６０巷１８弄９號4樓,20260531,225607
2026053110405,大型廢棄物清運聯繫,萬華區貴陽街二段２２巷３號4樓,20260531,224128
2026053110404,場所與設施噪音舉發,信義區松仁路３０８巷７３號4樓,20260531,223207
2026053110403,大型廢棄物清運聯繫,中山區林森北路１１９巷２０號,20260531,223136
2026053110401,大型廢棄物清運聯繫,大安區信義路三段１０５號9樓,20260531,222134
2026053110400,大型廢棄物清運聯繫,士林區111台灣臺北市士林區承德里劍潭路70 樓5號,20260531,221905
2026053110399,動物救援,中正區水源路３７之６號3樓,20260531,220849
2026053110398,大型廢棄物清運聯繫,信義區信義路五段１５０巷３４２弄５１號,20260531,220953
2026053110397,道路散落物或油漬處理,士林區忠誠路一段-德行東路104巷,20260531,220355
2026053110396,鄰里無主垃圾清運,大安區106台灣臺北市大安區頂好市場,20260531,220206
2026053110395,大型廢棄物清運聯繫,士林區士東路２６６巷１６弄２號B1,20260531,220207
