案件編號,派工項目,案件地址,立案日期,立案時間
2025093010560,大型廢棄物清運聯繫,信義區110台灣台北市信義區光復南路473巷11弄18號,20250930,235134
2025093010559,場所與設施噪音舉發,中山區臺北市臺北市中山區正義里林森北路85巷43號,20250930,234701
2025093010558,場所與設施噪音舉發,內湖區臺北市內湖區寶湖里001鄰成功路二段３２３巷３２號,20250930,234628
2025093010557,動物救援,文山區臺北市文山區樟新里006鄰樟新街６８號,20250930,234810
2025093010555,大型廢棄物清運聯繫,文山區台北市文山區景華街104巷6-1號,20250930,233805
2025093010554,用戶無水、漏水報修,內湖區臺北市內湖區港富里008鄰內湖路一段７３７巷８４號四樓,20250930,233037
2025093010553,路燈不亮或損壞,內湖區臺北市內湖區安湖里012鄰東湖路１１３巷９５弄１６號,20250930,232535
2025093010552,大型廢棄物清運聯繫,北投區臺北市臺北市北投區清江里中央南路一段197巷2–12,20250930,232307
2025093010551,市區道路坑洞處理,南港區舊莊街二段-舊莊街二段70巷,20250930,232429
2025093010550,大型廢棄物清運聯繫,中正區臺北市中正區南福里020鄰南昌路一段１１４之１號六樓,20250930,232134
2025093010547,大型廢棄物清運聯繫,松山區光復南路２２巷２９號7樓,20250930,231656
2025093010546,大型廢棄物清運聯繫,大同區103台灣台北市大同區延平北路二段272巷20號三樓號,20250930,231041
2025093010545,污染舉發,北投區大業路２５９號,20250930,230400
2025093010544,大型廢棄物清運聯繫,中山區雙城街17巷7之9號4樓,20250930,230438
2025093010543,大型廢棄物清運聯繫,內湖區臺北市臺北市內湖區湖元里民權東路六段90巷25弄 1號,20250930,225750
2025093010542,大型廢棄物清運聯繫,內湖區臺北市內湖區行善里007鄰潭美街９１號四樓,20250930,225807
2025093010541,場所與設施噪音舉發,"內湖區三軍總醫院,參考地址：成功路二段３９０號",20250930,225648
2025093010540,大型廢棄物清運聯繫,松山區105台灣台北市松山區三民路113巷20號,20250930,224744
2025093010539,道路散落物或油漬處理,文山區萬美街一段19巷,20250930,224827
2025093010538,市區道路坑洞處理,大安區臺北市大安區義安里007鄰安和路二段１６號,20250930,222907
2025093010537,場所與設施噪音舉發,大安區臺北市大安區古莊里018鄰師大路１１４巷１１號,20250930,222801
2025093010536,污染舉發,萬華區臺北市臺北市萬華區富民里貴陽街二段164巷5弄7號,20250930,222520
2025093010535,場所與設施噪音舉發,北投區臺北市北投區永欣里013鄰石牌路二段３０９號,20250930,222452
2025093010534,大型廢棄物清運聯繫,內湖區臺北市內湖區碧山里002鄰碧山路４０之５號一樓,20250930,222331
2025093010533,污染舉發,信義區臺北市信義區四維里018鄰松山路２５８號,20250930,222342
2025093010532,大型廢棄物清運聯繫,文山區臺北市臺北市文山區興昌里興德路66巷23號,20250930,221919
2025093010531,大型廢棄物清運聯繫,信義區臺北市信義區大仁里028鄰林口街２４巷１９號三樓,20250930,222229
