案件編號,派工項目,案件地址,立案日期,立案時間
2020063000490,場所與設施噪音舉發,大同區臺北市大同區民權里024鄰民權西路１３６號,20200701,000200
2020070100001,道路散落物或油漬處理,內湖區成美橋下橋南港路三段(下橋處),20200701,000800
2020070100002,用戶無水、漏水報修,士林區臺北市士林區德行里015鄰福華路１６６巷７號,20200701,001000
2020070100003,污染舉發,信義區臺北市信義區六合里019鄰信義路五段１５０巷４２６弄１號,20200701,003400
2020070100004,污染舉發,萬華區臺北市萬華區華中里010鄰萬大路４８６巷３７弄２３號,20200701,004100
2020070100005,場所與設施噪音舉發,松山區基隆路一段-南京東路五段交叉口上方的環東大道,20200701,004400
2020070100006,場所與設施噪音舉發,萬華區貴陽街二段164巷的直興市場(詳細位置民眾無法提供),20200701,004100
2020070100007,污染舉發,中山區臺北市中山區金泰里011鄰敬業三路１６２巷１６４號,20200701,004200
2020070100008,污染舉發,萬華區臺北市萬華區華中里010鄰萬大路４８６巷３７弄２３號,20200701,004500
2020070100009,場所與設施噪音舉發,北投區臺北市北投區永欣里013鄰石牌路二段３０３號,20200701,004800
2020070100010,鄰里無主垃圾清運,松山區臺北市松山區敦化里028鄰市民大道四段１６１號,20200701,011000
2020070100011,大型廢棄物清運聯繫,松山區臺北市松山區敦化里015鄰八德路三段１２巷５弄４０號,20200701,013000
2020070100012,污染舉發,中正區臺北市中正區龍福里019鄰寧波西街８７號,20200701,015700
2020070100013,場所與設施噪音舉發,松山區臺北市松山區中崙里004鄰市民大道四段１７號,20200701,020700
2020070100014,道路散落物或油漬處理,內湖區民權大橋內湖區往松山區方向在內湖端的上橋處機車道上,20200701,020800
2020070100015,場所與設施噪音舉發,信義區臺北市信義區景聯里021鄰吳興街１００號,20200701,022000
2020070100016,大型廢棄物清運聯繫,萬華區臺北市萬華區福音里003鄰康定路１０５號,20200701,023700
2020070100017,路燈故障或設施損壞,士林區111台灣台北市士林區士商路151號,20200701,024800
2020070100018,交通標誌及設施物損壞(含汙損)、傾斜,大同區103台灣台北市大同區民族西路33號,20200701,025000
2020070100019,交通標誌及設施物損壞(含汙損)、傾斜,中正區100台灣台北市中正區中山南路300號,20200701,025100
2020070100020,場所與設施噪音舉發,中山區臺北市中山區行仁里029鄰民族東路４３６號,20200701,025400
2020070100021,大型廢棄物清運聯繫,信義區臺北市信義區四育里005鄰虎林街５７之２號,20200701,034200
2020070100022,污染舉發,北投區臺北市北投區桃源里015鄰中央北路三段２５８巷１弄４號,20200701,035100
2020070100023,大型廢棄物清運聯繫,士林區臺北市士林區富洲里010鄰延平北路九段１１７號,20200701,042100
2020070100024,鄰里無主垃圾清運,信義區臺北市信義區新仁里002鄰忠孝東路四段５５３巷６弄９號,20200701,063200
2020070100025,污染舉發,中正區臺北市中正區幸市里007鄰濟南路二段６１之１號,20200701,063300
2020070100026,道路邊坡坍方,中山區10491台灣台北市中山區中山北路三段51號,20200701,064400
2020070100027,道路散落物或油漬處理,中正區泉州街上水源快速道路後約300公尺處在水源快速道路上往師大方向,20200701,065000
2020070100028,大型廢棄物清運聯繫,大安區臺北市大安區芳和里002鄰樂業街１０８巷２２號,20200701,070600
2020070100029,大型廢棄物清運聯繫,松山區臺北市松山區復盛里025鄰市民大道五段１３５號,20200701,072600
2020070100030,污染舉發,信義區臺北市信義區五全里011鄰永吉路２００巷２１弄１７號,20200701,073600
2020070100031,路燈故障或設施損壞,中山區民權東路一段與中山北路二段交叉口一直到松江路與民權東路二段 交叉口中間路段,20200701,074300
2020070100032,道路散落物或油漬處理,中山區長安東路一段-新生北路一段,20200701,074400
2020070100033,大型廢棄物清運聯繫,松山區臺北市松山區吉祥里020鄰光復北路８５巷２５號,20200701,075000
2020070100034,鄰里無主垃圾清運,松山區臺北市松山區龍田里010鄰延壽街４２０號,20200701,080500
2020070100035,大型廢棄物清運聯繫,大同區臺北市大同區大有里005鄰安西街４３之２號,20200701,080400
2020070100036,鄰里無主垃圾清運,內湖區民權東路六段296巷內 明湖國中後門人行道,20200701,081400
2020070100037,場所與設施噪音舉發,松山區臺北市松山區民有里022鄰敦化北路２３８巷１２號,20200701,082000
2020070100038,大型廢棄物清運聯繫,大安區臺北市大安區敦煌里005鄰信義路四段２６５巷２１弄１０之１號,20200701,082000
2020070100039,大型廢棄物清運聯繫,信義區臺北市信義區興隆里002鄰仁愛路四段５２０號,20200701,082200
2020070100040,大型廢棄物清運聯繫,信義區臺北市信義區廣居里027鄰虎林街１４３號,20200701,082400
2020070100041,交通號誌異常,萬華區中華路一段往北方向與洛陽街及忠孝西路一段口,20200701,082900
2020070100042,大型廢棄物清運聯繫,中正區臺北市中正區忠勤里022鄰中華路二段３４３之３號,20200701,082600
2020070100043,大型廢棄物清運聯繫,內湖區臺北市內湖區大湖里018鄰大湖山莊街２１９巷３１弄３３號,20200701,082800
2020070100044,場所與設施噪音舉發,大安區延吉街131巷2弄11號,20200701,082800
2020070100045,污染舉發,大安區延吉街131巷2弄11號,20200701,082800
2020070100046,場所與設施噪音舉發,大安區臺北市大安區誠安里011鄰復興南路一段１２２巷６之１號,20200701,083800
2020070100047,道路散落物或油漬處理,中山區建國高架橋往北濱江街匝道出口前100公尺前處,20200701,083700
2020070100048,大型廢棄物清運聯繫,信義區臺北市信義區雅祥里020鄰松隆路１２５號,20200701,085300
2020070100049,鄰里無主垃圾清運,內湖區捷運港墘站出口1前方(內湖路一段上),20200701,085100
2020070100050,大型廢棄物清運聯繫,松山區臺北市松山區中崙里018鄰八德路二段３６６巷６５號,20200701,090600
2020070100051,大型廢棄物清運聯繫,信義區臺北市信義區雙和里017鄰吳興街２８４巷２２弄６４號,20200701,091400
2020070100052,大型廢棄物清運聯繫,北投區臺北市北投區中央里016鄰大業路３７２號,20200701,091500
2020070100053,大型廢棄物清運聯繫,中山區臺北市中山區正得里014鄰林森北路１３８巷３８號,20200701,091800
2020070100054,場所與設施噪音舉發,南港區臺北市南港區重陽里003鄰重陽路１９９巷２０之１號,20200701,091900
2020070100055,場所與設施噪音舉發,中正區中華路二段75巷17號,20200701,092200
2020070100056,動物虐待傷害,內湖區臺北市內湖區紫雲里021鄰康寧路一段１５６巷３２弄５號,20200701,093100
2020070100057,污染舉發,大安區臺北市大安區建倫里002鄰敦化南路一段２２５號,20200701,093700
