案件編號,派工項目,案件地址,立案日期,立案時間
2022080100001,大型廢棄物清運聯繫,北投區112台灣台北市北投區大同街204巷13號,20220801,000200
2022080100002,路燈故障或設施損壞,北投區明德路113巷,20220801,000500
2022080100003,路燈故障或設施損壞,北投區明德路-懷德街,20220801,001400
2022080100004,路燈故障或設施損壞,北投區裕民六路,20220801,001400
2022080100005,道路散落物或油漬處理,中山區雙城街32巷-雙城街,20220801,002000
2022080100006,交通標誌及設施物損壞(含汙損)、傾斜,內湖區114台灣台北市內湖區內湖路二段192號,20220801,002200
2022080100007,污染舉發,內湖區臺北市內湖區紫陽里013鄰陽光街９２巷１６號,20220801,003000
2022080100008,場所與設施噪音舉發,中山區臺北市中山區聚盛里015鄰新生北路二段９６號,20220801,004200
2022080100009,場所與設施噪音舉發,北投區臺北市北投區大同里011鄰大業路５０６號,20220801,004800
2022080100010,污染舉發,信義區臺北市信義區三張里014鄰吳興街３４５巷６號,20220801,004800
2022080100012,路燈故障或設施損壞,北投區臺北市北投區榮華里002鄰富貴一路３７巷１號,20220801,012800
2022080100013,場所與設施噪音舉發,中山區民族東路,20220801,012900
2022080100014,大型廢棄物清運聯繫,士林區臺北市士林區富洲里009鄰延平北路九段１號,20220801,013000
2022080100015,大型廢棄物清運聯繫,大安區106台灣台北市大安區信義路二段230號,20220801,013900
2022080100016,污染舉發,中山區臺北市中山區龍洲里005鄰復興北路１９２號,20220801,014400
2022080100017,雨水下水道側溝清淤,信義區永吉路468巷10弄,20220801,015400
2022080100018,交通標誌及設施物損壞(含汙損)、傾斜,大安區106台灣台北市大安區金山南路二段9號,20220801,015900
2022080100019,道路散落物或油漬處理,南港區東新街,20220801,023400
2022080100020,場所與設施噪音舉發,中山區臺北市中山區聚盛里011鄰民生東路一段７７號,20220801,024500
2022080100021,場所與設施噪音舉發,大安區106台灣台北市大安區光復南路72巷7弄3號,20220801,031600
2022080100022,場所與設施噪音舉發,士林區臺北市士林區福志里007鄰雨農路９０號,20220801,032600
2022080100023,道路散落物或油漬處理,松山區105台灣台北市松山區長春路357號,20220801,034000
2022080100024,場所與設施噪音舉發,中山區臺北市中山區中央里013鄰伊通街１２９號,20220801,042100
2022080100025,大型廢棄物清運聯繫,文山區臺北市文山區萬祥里002鄰羅斯福路五段２１９號,20220801,055200
2022080100026,污染舉發,中正區中華路二段315巷5弄,20220801,060900
2022080100027,大型廢棄物清運聯繫,大安區臺北市大安區學府里016鄰基隆路三段４０巷１弄３號,20220801,062100
2022080100028,大型廢棄物清運聯繫,萬華區臺北市萬華區和德里013鄰西園路二段３７２巷１０１弄２５號,20220801,064800
2022080100029,污染舉發,中正區臺北市中正區忠勤里010鄰中華路二段３１５巷１５號,20220801,065600
2022080100030,道路散落物或油漬處理,中山區大直橋,20220801,065100
2022080100031,交通號誌電纜線垂落及設施損壞,文山區臺北市文山區萬興里009鄰指南路二段６４號,20220801,065300
2022080100032,道路散落物或油漬處理,文山區臺北市文山區萬興里009鄰指南路二段６４號,20220801,065400
2022080100033,大型廢棄物清運聯繫,文山區臺北市文山區景慶里009鄰萬慶街１４２號,20220801,070100
2022080100034,大型廢棄物清運聯繫,北投區臺北市北投區泉源里003鄰珠海路２２７號,20220801,070400
2022080100035,鄰里無主垃圾清運,北投區臺北市北投區秀山里007鄰中和街４７６號,20220801,070800
2022080100036,道路散落物或油漬處理,文山區臺北市文山區萬興里009鄰指南路二段６４號,20220801,071100
2022080100037,交通號誌電纜線垂落及設施損壞,文山區臺北市文山區萬興里009鄰指南路二段６４號,20220801,071200
2022080100040,大型廢棄物清運聯繫,萬華區臺北市萬華區福音里015鄰昆明街３０６號,20220801,072500
2022080100041,路燈故障或設施損壞,北投區同德街,20220801,073500
2022080100043,道路側溝溝蓋(含周邊)損壞遺失,大安區106台灣台北市大安區臨江街40巷49號,20220801,074400
2022080100044,污染舉發,中正區中華路二段315巷5弄,20220801,075000
2022080100046,道路散落物或油漬處理,士林區中正路-承德路五段,20220801,080900
2022080100047,交通號誌異常,大同區臺北市大同區民權里016鄰錦西街５１號,20220801,081500
2022080100048,場所與設施噪音舉發,信義區臺北市信義區景新里011鄰莊敬路２８９巷５弄７號,20220801,081800
2022080100049,道路散落物或油漬處理,中正區重慶南路三段132巷-重慶南路三段,20220801,081800
2022080100050,場所與設施噪音舉發,北投區榮華一路2巷,20220801,082100
2022080100051,鄰里無主垃圾清運,松山區撫遠街261巷,20220801,082800
2022080100052,場所與設施噪音舉發,大安區臺北市大安區和安里015鄰仁愛路三段１１８巷１２弄４號,20220801,083300
2022080100053,場所與設施噪音舉發,內湖區臺北市內湖區紫雲里022鄰康寧路一段１５６巷２０弄１０號,20220801,083400
