案件編號,派工項目,案件地址,立案日期,立案時間
2015090100001,用戶無水、漏水報修,信義區至13號,20150901,000500
2015090100002,用戶無水、漏水報修,信義區,20150901,000800
2015090100003,場所與設施噪音舉發,士林區,20150901,000800
2015090100004,場所與設施噪音舉發,中山區對面靠近建國啤酒廠的財神爺廟,20150901,001700
2015090100005,場所與設施噪音舉發,松山區7-11,20150901,001700
2015090100006,場所與設施噪音舉發,萬華區牡丹園,20150901,002300
2015090100007,污染舉發,南港區,20150901,005000
2015090100008,場所與設施噪音舉發,內湖區,20150901,005800
2015090100009,場所與設施噪音舉發,中山區,20150901,011600
2015090100010,場所與設施噪音舉發,中正區,20150901,014700
2015090100012,場所與設施噪音舉發,中山區交叉路口:  伊通街  長安東路,20150901,023100
2015090100013,場所與設施噪音舉發,萬華區,20150901,023500
2015090100014,場所與設施噪音舉發,大安區,20150901,031800
2015090100015,大型廢棄物清運聯繫,大同區,20150901,035600
2015090100016,場所與設施噪音舉發,大安區,20150901,040200
2015090100017,用戶無水、漏水報修,大安區前方,20150901,041400
2015090100018,用戶無水、漏水報修,大安區敦南摩天大樓 消防栓 漏水,20150901,053900
2015090100019,鄰里無主垃圾清運,大同區旁邊巷子 堆放廢棄物,20150901,061900
2015090100020,鄰里無主垃圾清運,中山區,20150901,062300
2015090100021,場所與設施噪音舉發,大同區與中山北路一段140巷交叉口 店家:集客,20150901,063100
2015090100024,路燈故障或設施損壞,文山區興隆公園,20150901,063800
2015090100025,用戶無水、漏水報修,士林區,20150901,064400
2015090100027,交通號誌異常,北投區與泉源路交叉口,20150901,071600
2015090100029,鄰里無主垃圾清運,大安區 忠孝復興捷運1號,20150901,071800
2015090100031,交通號誌異常,大安區,20150901,073500
2015090100033,大型廢棄物清運聯繫,內湖區,20150901,073700
2015090100034,交通號誌異常,文山區地標:  萬福國小,20150901,075100
2015090100037,交通號誌異常,文山區交叉路口:  興隆路  木柵路(興隆路上、北往南方向),20150901,075900
2015090100038,鄰里無主垃圾清運,內湖區與民權東路六段296巷 交叉口,20150901,080200
2015090100039,大型廢棄物清運聯繫,文山區,20150901,080700
2015090100040,大型廢棄物清運聯繫,北投區,20150901,081100
2015090100041,場所與設施噪音舉發,文山區,20150901,081600
2015090100042,交通號誌異常,萬華區交叉路口:  西園路  莒光路,20150901,082100
2015090100044,大型廢棄物清運聯繫,松山區,20150901,083800
2015090100047,大型廢棄物清運聯繫,松山區,20150901,084800
2015090100048,交通號誌異常,中正區,20150901,084700
2015090100049,大型廢棄物清運聯繫,信義區,20150901,085100
2015090100050,大型廢棄物清運聯繫,文山區,20150901,085100
2015090100051,大型廢棄物清運聯繫,大安區,20150901,085400
2015090100052,污染舉發,中山區旁邊,20150901,085600
2015090100053,雨水下水道側溝清淤,士林區,20150901,090000
2015090100055,污染舉發,萬華區海味豐台菜,20150901,090800
2015090100056,大型廢棄物清運聯繫,萬華區,20150901,090900
2015090100057,污染舉發,信義區旁邊空地,20150901,091200
2015090100058,污染舉發,內湖區(後面),20150901,091700
2015090100062,路樹處理,松山區到403巷30號,20150901,091900
2015090100063,污染舉發,中正區,20150901,092400
2015090100064,大型廢棄物清運聯繫,北投區,20150901,092300
2015090100065,大型廢棄物清運聯繫,松山區,20150901,092400
2015090100066,路燈故障或設施損壞,文山區環山二道接飛龍步道在飛龍步道旁,20150901,093100
2015090100067,交通號誌異常,中正區與公園路交叉口處,20150901,092800
2015090100069,交通號誌異常,萬華區與環河南路一段口(堤外),20150901,094100
2015090100071,場所與設施噪音舉發,信義區BELLAVITA,20150901,094700
2015090100072,大型廢棄物清運聯繫,松山區,20150901,095100
2015090100073,路燈故障或設施損壞,中山區,20150901,095600
2015090100077,大型廢棄物清運聯繫,信義區,20150901,095700
2015090100078,大型廢棄物清運聯繫,大同區,20150901,095700
2015090100079,交通號誌異常,大安區交叉路口:  濟南路三段  建國南路一段,20150901,095900
2015090100080,大型廢棄物清運聯繫,內湖區,20150901,100100
2015090100081,污染舉發,信義區巷口,20150901,100000
2015090100082,用戶無水、漏水報修,大安區,20150901,100700
2015090100083,鄰里無主垃圾清運,中山區,20150901,101300
2015090100084,大型廢棄物清運聯繫,信義區,20150901,101200
2015090100085,路樹處理,內湖區,20150901,101400
2015090100086,大型廢棄物清運聯繫,文山區,20150901,101500
2015090100088,鄰里無主垃圾清運,萬華區,20150901,102000
2015090100089,污染舉發,北投區,20150901,101900
2015090100090,大型廢棄物清運聯繫,士林區,20150901,102000
2015090100091,鄰里無主垃圾清運,中正區,20150901,102400
2015090100092,污染舉發,士林區,20150901,102500
2015090100093,鄰里無主垃圾清運,中山區交叉路口:  八德路  龍江路象財神廟前的人行道上電話亭旁(龍江路上),20150901,102400
2015090100094,大型廢棄物清運聯繫,中正區,20150901,102800
2015090100096,大型廢棄物清運聯繫,士林區,20150901,103100
2015090100097,大型廢棄物清運聯繫,信義區,20150901,103700
2015090100098,鄰里無主垃圾清運,北投區後方,20150901,103600
2015090100099,大型廢棄物清運聯繫,中山區,20150901,103800
2015090100100,鄰里無主垃圾清運,北投區正前方,20150901,103800
2015090100102,污染舉發,中山區,20150901,104700
2015090100104,鄰里無主垃圾清運,南港區上 東往西的方向（1.1公里處） 南港路上方 外線車道,20150901,104900
2015090100105,大型廢棄物清運聯繫,大同區,20150901,104900
2015090100106,雨水下水道側溝清淤,信義區,20150901,105000
2015090100107,雨水下水道側溝清淤,中正區巷弄(全部的巷子及弄內),20150901,104800
2015090100108,大型廢棄物清運聯繫,信義區,20150901,105800
2015090100109,大型廢棄物清運聯繫,大安區,20150901,105900
2015090100110,場所與設施噪音舉發,松山區,20150901,110300
2015090100111,污染舉發,內湖區,20150901,110700
2015090100112,大型廢棄物清運聯繫,士林區,20150901,110700
2015090100113,大型廢棄物清運聯繫,士林區,20150901,111100
2015090100114,場所與設施噪音舉發,內湖區幼兒園,20150901,111700
2015090100115,大型廢棄物清運聯繫,中正區,20150901,111600
2015090100116,場所與設施噪音舉發,大安區,20150901,111700
2015090100117,路樹處理,萬華區,20150901,112100
2015090100118,場所與設施噪音舉發,內湖區,20150901,112100
2015090100120,大型廢棄物清運聯繫,萬華區,20150901,112200
2015090100121,大型廢棄物清運聯繫,中正區,20150901,112300
