案件編號,派工項目,案件地址,立案日期,立案時間
2020050100001,大型廢棄物清運聯繫,大安區臺北市大安區民輝里020鄰市民大道三段１２８巷８號,20200501,000400.0
2020050100002,場所與設施噪音舉發,萬華區環河南路二段-長順街,20200501,000800.0
2020050100003,場所與設施噪音舉發,內湖區臺北市內湖區大湖里015鄰大湖山莊街２１９巷８８號,20200501,002400.0
2020050100004,場所與設施噪音舉發,內湖區東湖路128號,20200501,002400.0
2020050100005,場所與設施噪音舉發,大安區臺北市大安區光武里015鄰市民大道四段８４號,20200501,003500.0
2020050100006,場所與設施噪音舉發,內湖區臺北市內湖區大湖里017鄰大湖山莊街２１９巷５５號,20200501,002900.0
2020050100007,場所與設施噪音舉發,內湖區臺北市內湖區大湖里015鄰大湖山莊街２１９巷８６號,20200501,003800.0
2020050100008,場所與設施噪音舉發,大安區臺北市大安區建倫里012鄰敦化南路一段２３３巷６４號,20200501,004200.0
2020050100009,場所與設施噪音舉發,內湖區東湖路-康樂街交叉口,20200501,004600.0
2020050100010,場所與設施噪音舉發,內湖區臺北市內湖區大湖里015鄰大湖山莊街２１９巷８８號,20200501,005500.0
2020050100011,場所與設施噪音舉發,內湖區臺北市內湖區大湖里015鄰大湖山莊街２１９巷９０號,20200501,005600.0
2020050100012,道路散落物或油漬處理,內湖區堤頂大道二段-港墘路從港墘路往麥帥二橋方向,20200501,012400.0
2020050100014,鄰里無主垃圾清運,中山區復興北路446號,20200501,013000.0
2020050100015,場所與設施噪音舉發,萬華區臺北市萬華區青山里024鄰西園路一段２１２巷５號,20200501,014100.0
2020050100016,場所與設施噪音舉發,信義區臺北市信義區景新里002鄰吳興街１８１號,20200501,021300.0
2020050100017,鄰里無主垃圾清運,信義區110台灣台北市信義區仁愛路四段444號,20200501,021100.0
2020050100018,場所與設施噪音舉發,士林區臺北市士林區富光里004鄰延平北路五段１巷３６號,20200501,022800.0
2020050100019,場所與設施噪音舉發,大安區東門捷運站出3號,20200501,024200.0
2020050100020,場所與設施噪音舉發,內湖區臺北市內湖區金瑞里005鄰內湖路三段１９１巷２４號,20200501,030800.0
2020050100021,場所與設施噪音舉發,中山區臺北市中山區民安里015鄰中山北路二段４４巷２１之２號,20200501,034100.0
2020050100022,場所與設施噪音舉發,萬華區臺北市萬華區華中里003鄰萬大路４６０號,20200501,040300.0
2020050100023,污染舉發,萬華區臺北市萬華區青山里012鄰西園路一段１５０號,20200501,045900.0
2020050100024,鄰里無主垃圾清運,信義區基隆路一段-信義路五段,20200501,053500.0
2020050100025,場所與設施噪音舉發,萬華區臺北市萬華區富民里018鄰西昌街２４５號,20200501,054000.0
2020050100026,鄰里無主垃圾清運,內湖區臺北市內湖區湖元里018鄰陽光街３２１巷２６號,20200501,055900.0
2020050100028,道路散落物或油漬處理,內湖區民權大橋上橋處往松山方向的內側車道,20200501,064500.0
2020050100029,鄰里無主垃圾清運,萬華區臺北市萬華區凌霄里014鄰國興路６０號,20200501,064400.0
2020050100030,場所與設施噪音舉發,松山區南京東路五段-吉祥路建築工地,20200501,065500.0
2020050100031,污染舉發,大安區臺北市大安區龍圖里019鄰復興南路二段８８號,20200501,072600.0
2020050100032,場所與設施噪音舉發,大安區106台灣台北市大安區新生南路一段137巷16號,20200501,073100.0
2020050100033,路樹處理,大安區106台灣台北市大安區基隆路二段146號,20200501,073300.0
2020050100034,鄰里無主垃圾清運,大安區臺北市大安區龍圖里004鄰建國南路二段２５巷１０號,20200501,074100.0
2020050100035,大型廢棄物清運聯繫,南港區臺北市南港區仁福里014鄰福德街３７３巷８４號,20200501,074200.0
2020050100036,場所與設施噪音舉發,中山區建國北路二段258巷4號,20200501,075300.0
2020050100037,鄰里無主垃圾清運,北投區忠義捷運1號,20200501,075500.0
2020050100038,鄰里無主垃圾清運,中正區南昌路一段24巷口,20200501,080300.0
