案件編號,派工項目,案件地址,立案日期,立案時間
2019043000527,道路散落物或油漬處理,信義區松壽路與基隆路交叉口往北方向,20190501,000200
2019050100001,大型廢棄物清運聯繫,大安區臺北市大安區德安里3鄰四維路52巷24弄7號,20190501,002600
2019050100002,路燈故障或設施損壞,萬華區廣州街81巷5至3號,20190501,002200
2019050100003,場所與設施噪音舉發,南港區臺北市南港區成福里27鄰福德街373巷34號,20190501,002700
2019050100004,路燈故障或設施損壞,大安區仁愛路三段123巷13弄巷內以及周圍巷子,20190501,005500
2019050100005,鄰里無主垃圾清運,萬華區富民路151號,20190501,015700
2019050100006,道路散落物或油漬處理,中正區臺北市中正區建國里4鄰中山南路20號,20190501,020100
2019050100007,場所與設施噪音舉發,松山區南京東路四段19號,20190501,022900
2019050100008,場所與設施噪音舉發,松山區臺北市松山區吉祥里18鄰南京東路五段4號,20190501,024400
2019050100009,場所與設施噪音舉發,大安區臺北市大安區義安里8鄰安和路二段22號,20190501,032100
2019050100011,交通號誌異常,中正區北平東路與天津街交叉口,20190501,052600
2019050100012,橋梁、隧道、車(人)行地下道及涵洞積淹水,中山區新生高架橋上 雙向車道 位於南京東路上方,20190501,062400
2019050100013,污染舉發,文山區文山區興隆路四段197號,20190501,064100
2019050100014,交通號誌異常,北投區石牌路二段-立農街二段路口,20190501,065500
2019050100015,污染舉發,中山區臺北市中山區新生里8鄰松江路330巷18號,20190501,072400
2019050100016,大型廢棄物清運聯繫,中山區臺北市中山區行仁里9鄰龍江路342巷8號,20190501,072600
2019050100017,交通號誌異常,中正區中山南路-貴陽街一段與旁邊凱達格蘭大道的圓環,20190501,072700
2019050100019,交通號誌異常,松山區敦化南路一段-敦化北路路口,20190501,074500
2019050100020,交通號誌異常,中正區中山南路本線上由貴陽街至凱達格蘭大道之間往北方向,20190501,080200
2019050100021,污染舉發,士林區臺北市士林區翠山里4鄰明溪街39號,20190501,080400
2019050100022,交通號誌異常,中正區貴陽街一段-中山南路,20190501,080100
2019050100024,大型廢棄物清運聯繫,萬華區臺北市萬華區青山里20鄰廣州街220號,20190501,080300
2019050100025,大型廢棄物清運聯繫,松山區臺北市松山區龍田里38鄰延壽街330巷16弄6號,20190501,082000
2019050100026,市區道路坑洞處理,大同區臺北市大同區保安里11鄰庫倫街25號,20190501,082500
2019050100027,污染舉發,士林區111台灣台北市士林區中正路435巷17弄4號,20190501,083600
2019050100028,路樹處理,士林區天母北路101巷口,20190501,084300
2019050100029,交通號誌異常,士林區文林路-中正路,20190501,084600
2019050100030,場所與設施噪音舉發,北投區112台灣台北市北投區東華街二段353號,20190501,084500
2019050100031,市區道路坑洞處理,北投區承德路六段和文林北路五巷交叉口附近橋面上在路的中間朝北投方向的車道,20190501,085000
2019050100032,道路散落物或油漬處理,中正區師大路左轉水源路後沿水源路走(往萬華方向)約700-800公尺處的行人天橋下方內側車道上,20190501,085400
2019050100033,交通號誌異常,士林區中正路與文林路交叉口,20190501,085600
2019050100034,大型廢棄物清運聯繫,北投區臺北市北投區中和里14鄰大屯路21巷4弄15號,20190501,090800
2019050100035,大型廢棄物清運聯繫,大安區臺北市大安區龍雲里11鄰大安路二段132巷12號,20190501,090900
2019050100036,大型廢棄物清運聯繫,士林區臺北市士林區聖山里17鄰忠義街72號,20190501,091100
2019050100037,場所與設施噪音舉發,北投區臺北市北投區榮華里15鄰明德路146號,20190501,091200
2019050100038,道路散落物或油漬處理,文山區臺北市文山區萬興里2鄰新光路一段187號,20190501,091500
2019050100039,鄰里無主垃圾清運,松山區延吉街33號,20190501,092900
2019050100040,道路散落物或油漬處理,大安區基隆路高架道路往永和方向靠近臺科大的地方,20190501,091500
2019050100041,大型廢棄物清運聯繫,內湖區臺北市內湖區樂康里8鄰康樂街85巷90號,20190501,091800
2019050100042,大型廢棄物清運聯繫,內湖區環山路三段16巷3弄1號,20190501,092200
2019050100043,交通標誌及設施物損壞(含汙損)、傾斜,內湖區114台灣台北市內湖區大湖街131巷55號,20190501,092200
2019050100044,大型廢棄物清運聯繫,大同區臺北市大同區至聖里33鄰民族西路169巷21號,20190501,092600
2019050100045,場所與設施噪音舉發,大同區臺北市大同區雙連里30鄰重慶北路二段157號,20190501,092700
2019050100046,道路散落物或油漬處理,文山區基隆高架上六張犁上去快到景美和新店和中和分道出口處,20190501,093200
2019050100047,鄰里無主垃圾清運,中正區臺北市中正區梅花里4鄰北平東路2號,20190501,093500
2019050100048,大型廢棄物清運聯繫,北投區行義路96巷111號,20190501,093600
2019050100049,鄰里無主垃圾清運,內湖區舊宗路二段169號,20190501,093700
2019050100050,大型廢棄物清運聯繫,大安區臺北市大安區龍安里8鄰青田街9巷7之12號,20190501,094300
2019050100051,大型廢棄物清運聯繫,信義區臺北市信義區永春里13鄰松山路393巷8號,20190501,094700
2019050100052,市區道路坑洞處理,中山區臺北市中山區復華里11鄰南京東路三段217號,20190501,094900
2019050100053,污染舉發,文山區臺北市文山區興福里21鄰景華街141號,20190501,095000
2019050100054,大型廢棄物清運聯繫,文山區臺北市文山區忠順里10鄰興隆路四段109巷40號,20190501,095000
2019050100055,路樹處理,大安區臺北市大安區群賢里12鄰敦化南路二段152號,20190501,095300
2019050100056,大型廢棄物清運聯繫,中正區臺北市中正區河堤里3鄰金門街12巷3號,20190501,095900
2019050100057,場所與設施噪音舉發,文山區興隆路三段229巷7號,20190501,095600
2019050100058,大型廢棄物清運聯繫,北投區自強街41號,20190501,095900
2019050100059,市區道路坑洞處理,大同區103台灣台北市大同區民權西路185號,20190501,100000
2019050100060,大型廢棄物清運聯繫,大安區臺北市大安區群賢里2鄰復興南路二段175號,20190501,100300
2019050100061,大型廢棄物清運聯繫,大安區臺北市大安區光信里8鄰光復南路574之2號,20190501,100200
2019050100062,場所與設施噪音舉發,中正區漢口街一段與博愛路交叉轉角口,20190501,101400
2019050100063,大型廢棄物清運聯繫,中山區臺北市中山區龍洲里7鄰復興北路204號,20190501,100800
2019050100065,大型廢棄物清運聯繫,北投區臺北市北投區中心里18鄰中和街20巷60號,20190501,100800
2019050100066,污染舉發,信義區松山路465巷14弄13號,20190501,101000
2019050100067,場所與設施噪音舉發,大安區臺北市大安區黎和里16鄰和平東路三段606巷77號,20190501,100900
2019050100068,大型廢棄物清運聯繫,信義區臺北市信義區長春里5鄰虎林街82巷92弄4號,20190501,101100
2019050100069,大型廢棄物清運聯繫,北投區臺北市北投區中庸里15鄰雙全街19巷6號,20190501,101500
2019050100070,大型廢棄物清運聯繫,大安區忠孝東路四段223巷10弄10號,20190501,101800
2019050100071,大型廢棄物清運聯繫,內湖區臺北市內湖區五分里28鄰五分街35號,20190501,101800
2019050100072,大型廢棄物清運聯繫,信義區臺北市信義區三張里20鄰莊敬路410號,20190501,101800
2019050100073,大型廢棄物清運聯繫,信義區臺北市信義區中坡里13鄰中坡南路269號,20190501,102300
2019050100074,污染舉發,萬華區100台灣台北市萬華區中華路二段34號,20190501,102200
2019050100075,鄰里無主垃圾清運,信義區臺北市信義區大仁里18鄰福德街84巷1弄口,20190501,102300
2019050100076,路樹處理,中正區臺北市中正區南福里5鄰羅斯福路二段8巷10號,20190501,103300
2019050100077,污染舉發,北投區臺北市北投區秀山里15鄰中和街502巷14弄13號,20190501,102700
2019050100078,場所與設施噪音舉發,北投區臺北市北投區秀山里15鄰中和街502巷14弄13號,20190501,102700
2019050100079,大型廢棄物清運聯繫,大同區臺北市大同區朝陽里5鄰南京西路340號,20190501,102900
2019050100080,道路側溝溝蓋(含周邊)損壞遺失,中山區10491台灣台北市中山區復興北路456號,20190501,103300
