案件編號,派工項目,案件地址,立案日期,立案時間
2019030100001,大型廢棄物清運聯繫,南港區成福路58號,20190301,002300
2019030100002,鄰里無主垃圾清運,內湖區臺北市內湖區康寧里3鄰康寧路三段75巷242號,20190301,003000
2019030100003,場所與設施噪音舉發,信義區松壽路12號,20190301,002900
2019030100004,場所與設施噪音舉發,大安區潮州街48巷3弄(靠近弄口)(可能是漱心居的五樓住戶),20190301,003300
2019030100005,道路散落物或油漬處理,內湖區康寧路三段75巷175弄口到康寧路三段75巷207弄口中間內湖往東湖方向的車道上,20190301,003700
2019030100006,場所與設施噪音舉發,大安區臺北市大安區光信里1鄰仁愛路四段408巷11號,20190301,004000
2019030100007,大型廢棄物清運聯繫,中山區臺北市中山區埤頭里6鄰安東街16巷30號,20190301,004200
2019030100008,場所與設施噪音舉發,大安區臺北市大安區光武里10鄰敦化南路一段160巷11號,20190301,005500
2019030100009,市區道路坑洞處理,松山區八德路四段-中坡北路位於八德路上從中坡北路往玉成街方向在接近斑馬線邊緣的中間車道處,20190301,010600
2019030100010,道路散落物或油漬處理,信義區松山路-忠孝東路五段位於松山路上從忠孝東路五段往永吉路方向在接近機車停等區前方,20190301,010600
2019030100011,道路散落物或油漬處理,大同區忠孝橋往臺北方向臺北端下橋處的車道上,20190301,010700
2019030100012,鄰里無主垃圾清運,中正區中正區泉州街1-1號,20190301,013900
2019030100013,場所與設施噪音舉發,萬華區臺北市萬華區西門里2鄰成都路159號,20190301,014200
2019030100014,大型廢棄物清運聯繫,士林區華齡街185巷2號,20190301,025600
2019030100015,場所與設施噪音舉發,內湖區臺北市內湖區港都里6鄰內湖路一段667巷9號,20190301,025600
2019030100016,市區道路坑洞處理,大同區103台灣台北市大同區保安街22號,20190301,034400
2019030100017,場所與設施噪音舉發,萬華區臺北市萬華區青山里12鄰西園路一段168號,20190301,035100
2019030100018,大型廢棄物清運聯繫,大安區臺北市大安區民輝里18鄰新生南路一段97巷21號,20190301,035300
2019030100019,市區道路坑洞處理,中山區105台灣台北市中山區復興北路地下道,20190301,035400
2019030100020,市區道路坑洞處理,北投區112台灣台北市北投區承德路七段137號,20190301,035900
2019030100021,場所與設施噪音舉發,中山區臺北市中山區正義里11鄰林森北路119巷65號,20190301,043100
2019030100022,道路散落物或油漬處理,中山區臺北市中山區圓山里8鄰中山北路三段57號,20190301,053500
2019030100023,道路散落物或油漬處理,文山區臺北市文山區樟新里14鄰木新路三段261號,20190301,061500
2019030100024,鄰里無主垃圾清運,大安區四維路208巷巷口 福皇宴餐廳前面,20190301,063700
2019030100025,道路散落物或油漬處理,南港區臺北市南港區玉成里17鄰八德路四段790號,20190301,070100
2019030100026,大型廢棄物清運聯繫,內湖區臺北市內湖區港都里7鄰內湖路一段631號,20190301,070900
2019030100027,大型廢棄物清運聯繫,士林區臺北市士林區福中里19鄰華齡街185巷10號,20190301,071000
2019030100028,污染舉發,文山區臺北市文山區興得里17鄰興隆路三段112巷5號,20190301,072100
2019030100029,場所與設施噪音舉發,信義區臺北市信義區雅祥里20鄰松隆路125號,20190301,072400
2019030100030,鄰里無主垃圾清運,信義區臺北市信義區景新里15鄰信義路五段8巷9號,20190301,072900
2019030100031,大型廢棄物清運聯繫,大安區臺北市大安區大學里13鄰羅斯福路三段269巷21之2號,20190301,073400
2019030100032,大型廢棄物清運聯繫,北投區明德路150巷30號,20190301,080800
2019030100033,場所與設施噪音舉發,大安區臺北市大安區敦煌里10鄰安和路一段141巷13號,20190301,080900
2019030100035,污染舉發,萬華區中華路一段76巷29號,20190301,081900
2019030100036,大型廢棄物清運聯繫,內湖區文德路220巷5弄1號,20190301,082200
2019030100037,場所與設施噪音舉發,中正區臺北市中正區幸福里2鄰青島東路8號,20190301,082200
2019030100038,大型廢棄物清運聯繫,北投區明德路312號,20190301,083800
2019030100039,大型廢棄物清運聯繫,中正區汀州路三段7號,20190301,090200
2019030100040,大型廢棄物清運聯繫,信義區臺北市信義區景聯里15鄰吳興街36號,20190301,085600
2019030100041,污染舉發,松山區八德路三段12巷52弄1號,20190301,085800
2019030100042,污染舉發,信義區永吉路278巷63號,20190301,090600
2019030100043,道路側溝溝蓋(含周邊)損壞遺失,中正區延平南路過長沙街一段,20190301,091100
2019030100044,大型廢棄物清運聯繫,萬華區青年路168巷2弄35號,20190301,091200
2019030100045,大型廢棄物清運聯繫,信義區臺北市信義區雅祥里6鄰基隆路一段37巷1之16號,20190301,091300
2019030100046,場所與設施噪音舉發,士林區臺北市士林區永倫里1鄰延平北路六段224號,20190301,091200
2019030100047,場所與設施噪音舉發,文山區忠順街和保儀路口,20190301,091900
2019030100048,污染舉發,南港區臺北市南港區聯成里9鄰忠孝東路六段278巷22弄40號,20190301,092100
2019030100050,大型廢棄物清運聯繫,北投區臺北市北投區裕民里2鄰懷德街3之3號,20190301,092800
2019030100051,大型廢棄物清運聯繫,大安區臺北市大安區敦煌里17鄰仁愛路四段230號,20190301,092800
2019030100052,用戶無水、漏水報修,松山區臺北市松山區三民里32鄰三民路167巷18號,20190301,092800
2019030100053,場所與設施噪音舉發,士林區臺北市士林區永倫里1鄰延平北路六段224號,20190301,092800
2019030100054,大型廢棄物清運聯繫,大安區復興南路二段125巷20弄4-3號,20190301,093200
2019030100055,大型廢棄物清運聯繫,中山區新生北路二段60巷43號,20190301,093400
2019030100056,大型廢棄物清運聯繫,內湖區文湖街21巷94弄1號,20190301,093800
2019030100058,大型廢棄物清運聯繫,文山區臺北市文山區興業里7鄰興隆路二段252號,20190301,094000
2019030100059,大型廢棄物清運聯繫,松山區臺北市松山區吉祥里20鄰光復北路85巷5號,20190301,094300
2019030100060,大型廢棄物清運聯繫,萬華區康定路238號,20190301,094900
2019030100061,大型廢棄物清運聯繫,萬華區臺北市萬華區新和里29鄰國興路96號,20190301,094900
2019030100062,路樹處理,內湖區臺北市內湖區西康里17鄰內湖路一段203巷25號,20190301,095200
2019030100063,大型廢棄物清運聯繫,北投區中和街507巷3弄1號,20190301,095100
2019030100064,大型廢棄物清運聯繫,萬華區臺北市萬華區日祥里18鄰萬大路423巷32弄5號,20190301,095100
2019030100065,污染舉發,中山區臺北市中山區行仁里4鄰龍江路318巷33號,20190301,095900
2019030100066,大型廢棄物清運聯繫,信義區臺北市信義區正和里15鄰光復南路421巷2弄8號,20190301,100000
2019030100067,大型廢棄物清運聯繫,松山區臺北市松山區民有里16鄰敦化北路222巷23號,20190301,100900
2019030100068,場所與設施噪音舉發,士林區臺北市士林區承德里3鄰承德路四段110號,20190301,101200
2019030100069,路燈故障或設施損壞,南港區115台灣台北市南港區經貿一路75巷62號,20190301,101100
