案件編號,派工項目,案件地址,立案日期,立案時間
2017090100001,污染舉發,內湖區114台灣台北市內湖區舊宗路二段211號,20170901,001100
2017090100003,場所與設施噪音舉發,大安區,20170901,004000
2017090100005,路燈故障或設施損壞,文山區116台灣台北市文山區羅斯福路六段469巷1-2號,20170901,004100
2017090100006,用戶無水、漏水報修,信義區,20170901,010100
2017090100007,路燈故障或設施損壞,萬華區及101巷及125巷,20170901,012000
2017090100008,交通號誌異常,內湖區四個方向(車行及人行號,20170901,015700
2017090100009,道路散落物或油漬處理,士林區地標:  百齡橋,20170901,015700
2017090100010,道路散落物或油漬處理,士林區地標:  百齡橋,20170901,020500
2017090100011,鄰里無主垃圾清運,萬華區人行道,20170901,023200
2017090100012,道路散落物或油漬處理,內湖區地標:  民權大橋往東機車道上,20170901,034200
2017090100013,大型廢棄物清運聯繫,信義區,20170901,060300
2017090100014,污染舉發,北投區112台灣台北市北投區承德路七段3號,20170901,062000
2017090100015,大型廢棄物清運聯繫,松山區松山區三民路101巷3號,20170901,071000
2017090100016,場所與設施噪音舉發,大安區,20170901,071300
2017090100017,大型廢棄物清運聯繫,大安區,20170901,071300
2017090100018,用戶無水、漏水報修,北投區對面道路,20170901,071600
2017090100019,道路散落物或油漬處理,文山區,20170901,074200
2017090100020,大型廢棄物清運聯繫,內湖區,20170901,072700
2017090100021,道路散落物或油漬處理,大同區對面 往東方,20170901,072700
2017090100022,道路散落物或油漬處理,中山區捷運大直站1號,20170901,073800
2017090100023,鄰里無主垃圾清運,中山區天津街與中山北路之間往西的人行道上,20170901,074200
2017090100024,交通號誌異常,士林區以及中山北路六段和中山北路六段728巷交叉路口:  中山北路六段405巷  中山北路六段,20170901,074400
2017090100025,大型廢棄物清運聯繫,松山區,20170901,074800
2017090100026,鄰里無主垃圾清運,士林區111台灣台北市士林區劍潭路12號,20170901,080400
2017090100027,交通號誌電纜線垂落及設施損壞,萬華區交叉路口:  康定路  廣州街,20170901,080900
2017090100028,鄰里無主垃圾清運,士林區前路邊(汽車停車格旁邊),20170901,080800
2017090100029,大型廢棄物清運聯繫,內湖區新明路380巷3弄11之1號,20170901,082500
2017090100030,大型廢棄物清運聯繫,南港區,20170901,083400
2017090100031,場所與設施噪音舉發,南港區,20170901,084300
2017090100032,雨水下水道側溝清淤,信義區前,20170901,085100
2017090100033,大型廢棄物清運聯繫,大安區,20170901,085200
2017090100034,場所與設施噪音舉發,士林區,20170901,085500
2017090100035,大型廢棄物清運聯繫,士林區,20170901,085600
2017090100036,鄰里無主垃圾清運,大同區,20170901,090700
2017090100037,交通標誌及設施物損壞(含汙損)、傾斜,大安區再往仁愛路四段345巷方向約10到20公尺處,20170901,090300
2017090100038,鄰里無主垃圾清運,文山區前方,20170901,090800
2017090100039,大型廢棄物清運聯繫,南港區,20170901,090800
2017090100040,交通號誌異常,大安區前面往樂業街方向,20170901,090900
2017090100041,大型廢棄物清運聯繫,信義區,20170901,091300
2017090100042,鄰里無主垃圾清運,信義區110台灣台北市信義區永吉路225巷2弄1號,20170901,091300
2017090100043,大型廢棄物清運聯繫,北投區,20170901,091700
2017090100044,道路散落物或油漬處理,內湖區BENQ大樓前路面斑馬線上,20170901,091700
2017090100047,大型廢棄物清運聯繫,信義區,20170901,091900
2017090100048,大型廢棄物清運聯繫,松山區,20170901,091900
2017090100049,鄰里無主垃圾清運,信義區天琦幼兒園斜對面路邊收費停車格上人背對著天琦幼兒園在斜對角右手邊,20170901,092100
2017090100050,大型廢棄物清運聯繫,大同區,20170901,092100
2017090100051,道路散落物或油漬處理,萬華區,20170901,093000
2017090100052,污染舉發,信義區,20170901,092500
2017090100053,鄰里無主垃圾清運,北投區112台灣台北市北投區中央北路二段261號,20170901,092400
2017090100054,大型廢棄物清運聯繫,士林區,20170901,092700
2017090100055,大型廢棄物清運聯繫,松山區,20170901,093400
2017090100056,大型廢棄物清運聯繫,士林區,20170901,093300
2017090100057,大型廢棄物清運聯繫,文山區,20170901,093400
2017090100058,鄰里無主垃圾清運,大安區2弄與4弄口,20170901,093400
2017090100059,大型廢棄物清運聯繫,士林區,20170901,093800
2017090100060,場所與設施噪音舉發,中正區巷口對面,20170901,094300
2017090100061,大型廢棄物清運聯繫,士林區,20170901,094300
2017090100062,大型廢棄物清運聯繫,內湖區,20170901,094800
2017090100063,交通標誌及設施物損壞(含汙損)、傾斜,中山區10491台灣台北市中山區龍江路367號,20170901,094400
2017090100064,大型廢棄物清運聯繫,南港區,20170901,095100
2017090100065,路燈故障或設施損壞,中山區前方,20170901,094700
2017090100066,大型廢棄物清運聯繫,信義區,20170901,094700
