案件編號,派工項目,案件地址,立案日期,立案時間
2015070100001,污染舉發,文山區木柵公園傳出,20150701,000400
2015070100002,路燈故障或設施損壞,大安區和2弄,20150701,003200
2015070100003,路燈故障或設施損壞,北投區,20150701,004500
2015070100004,污染舉發,內湖區3樓住戶 冷氣滴水,20150701,005800
2015070100005,污染舉發,北投區,20150701,011700
2015070100006,場所與設施噪音舉發,萬華區對面,20150701,012200
2015070100007,大型廢棄物清運聯繫,大同區,20150701,013400
2015070100008,大型廢棄物清運聯繫,信義區,20150701,015300
2015070100009,場所與設施噪音舉發,內湖區3樓住戶,20150701,015200
2015070100010,場所與設施噪音舉發,萬華區店家:漫步,20150701,015800
2015070100011,場所與設施噪音舉發,中山區無法提供確切位置至該址即可聽到,20150701,021800
2015070100012,污染舉發,信義區及25號,20150701,022200
2015070100013,污染舉發,大安區,20150701,023000
2015070100014,大型廢棄物清運聯繫,內湖區,20150701,024700
2015070100016,鄰里無主垃圾清運,士林區前,20150701,064400
2015070100017,大型廢棄物清運聯繫,士林區,20150701,064600
2015070100018,污染舉發,內湖區陳 康寧路三段75巷219號,20150701,065000
2015070100019,交通號誌異常,內湖區巷口康寧路三段上民權東路至東湖路口之間,20150701,072900
2015070100020,交通號誌異常,松山區交叉路口:  八德路  延吉街,20150701,073500
2015070100022,鄰里無主垃圾清運,萬華區,20150701,074700
2015070100023,鄰里無主垃圾清運,信義區,20150701,074600
2015070100024,鄰里無主垃圾清運,信義區弄內,20150701,075300
2015070100025,交通號誌異常,中正區交叉路口:  羅斯福路  金門街,20150701,075000
2015070100026,交通號誌異常,中山區與松江路90巷交叉口(在中醫診所前方) ,20150701,075300
2015070100027,鄰里無主垃圾清運,士林區,20150701,075500
2015070100028,交通號誌異常,信義區巷口,20150701,075800
2015070100029,交通號誌異常,信義區,20150701,075700
2015070100030,大型廢棄物清運聯繫,萬華區,20150701,080400
2015070100032,大型廢棄物清運聯繫,中正區,20150701,081100
2015070100033,大型廢棄物清運聯繫,中山區,20150701,081200
2015070100034,交通號誌異常,文山區交叉路口:  景隆街  羅斯福路,20150701,081000
2015070100035,污染舉發,萬華區的對面,20150701,081200
2015070100036,場所與設施噪音舉發,士林區地標:  復興橋,20150701,081700
2015070100038,污染舉發,松山區騎樓(薯條攤位),20150701,082300
2015070100040,大型廢棄物清運聯繫,士林區,20150701,083400
2015070100041,交通號誌異常,中正區交叉路口:  羅斯福路二段  南昌路二段,20150701,083800
2015070100042,交通號誌異常,大安區,20150701,083800
2015070100043,交通號誌異常,大安區,20150701,084500
2015070100044,污染舉發,北投區廣福宮廟,20150701,084400
2015070100045,用戶無水、漏水報修,中山區前方,20150701,085200
2015070100046,鄰里無主垃圾清運,士林區旁,20150701,085300
2015070100047,大型廢棄物清運聯繫,內湖區,20150701,085700
2015070100048,污染舉發,信義區,20150701,090000
2015070100049,場所與設施噪音舉發,中山區一盛鋼架行,20150701,091500
2015070100050,大型廢棄物清運聯繫,松山區,20150701,090800
2015070100052,場所與設施噪音舉發,大同區,20150701,091400
2015070100053,大型廢棄物清運聯繫,信義區,20150701,092000
2015070100054,大型廢棄物清運聯繫,中山區,20150701,092000
2015070100055,場所與設施噪音舉發,大安區,20150701,094300
2015070100056,交通號誌異常,士林區,20150701,092400
2015070100057,大型廢棄物清運聯繫,士林區,20150701,092400
2015070100058,污染舉發,中山區巷內的店家樓上(集客 、 八方雲集、及對面的藥局 的 樓上3樓或4樓),20150701,092500
2015070100059,場所與設施噪音舉發,北投區5.7號,20150701,092500
2015070100060,場所與設施噪音舉發,大安區旁,20150701,092600
2015070100061,交通號誌異常,中正區,20150701,093700
2015070100062,大型廢棄物清運聯繫,大安區,20150701,093600
2015070100063,大型廢棄物清運聯繫,南港區,20150701,093600
2015070100064,大型廢棄物清運聯繫,信義區,20150701,093900
2015070100065,大型廢棄物清運聯繫,北投區,20150701,094000
2015070100066,大型廢棄物清運聯繫,南港區,20150701,094500
2015070100067,交通號誌異常,大安區,20150701,094400
2015070100068,大型廢棄物清運聯繫,文山區,20150701,094800
2015070100069,路燈故障或設施損壞,信義區,20150701,094700
2015070100070,大型廢棄物清運聯繫,信義區,20150701,095800
2015070100071,大型廢棄物清運聯繫,內湖區,20150701,095900
2015070100073,交通號誌異常,萬華區巷口,20150701,100700
2015070100074,路燈故障或設施損壞,信義區,20150701,100600
2015070100075,場所與設施噪音舉發,大安區,20150701,100700
2015070100076,大型廢棄物清運聯繫,中山區,20150701,101100
2015070100077,污染舉發,松山區弄內,20150701,101100
2015070100078,大型廢棄物清運聯繫,信義區,20150701,101700
2015070100079,鄰里無主垃圾清運,文山區,20150701,101400
2015070100080,污染舉發,大安區前人行道上(樓層不知道),20150701,101900
2015070100081,大型廢棄物清運聯繫,大同區,20150701,101500
2015070100082,場所與設施噪音舉發,中正區,20150701,101300
2015070100083,大型廢棄物清運聯繫,文山區,20150701,101500
2015070100084,鄰里無主垃圾清運,大同區地標:  承德橋,20150701,102100
2015070100085,大型廢棄物清運聯繫,北投區,20150701,102100
2015070100086,大型廢棄物清運聯繫,松山區,20150701,102100
2015070100088,大型廢棄物清運聯繫,松山區,20150701,102500
2015070100089,場所與設施噪音舉發,中山區隔壁工地,20150701,103200
2015070100090,大型廢棄物清運聯繫,萬華區,20150701,103200
2015070100091,鄰里無主垃圾清運,北投區至80號,20150701,103100
2015070100092,污染舉發,大同區,20150701,103500
2015070100093,用戶無水、漏水報修,松山區前面路面,20150701,103400
2015070100094,大型廢棄物清運聯繫,士林區,20150701,103700
2015070100095,路燈故障或設施損壞,大同區交叉路口:  延平北路  涼州街,20150701,103600
2015070100096,大型廢棄物清運聯繫,中山區,20150701,104200
2015070100097,路燈故障或設施損壞,大同區交叉路口:  南京西路 重慶北路 附近,20150701,104200
2015070100098,大型廢棄物清運聯繫,大同區,20150701,104200
2015070100099,路樹處理,內湖區往198號,20150701,104500
