案件編號,派工項目,案件地址,立案日期,立案時間
2021030100001,污染舉發,信義區臺北市信義區雙和里002鄰吳興街２８４巷１７之３號,20210301,000800
2021030100002,場所與設施噪音舉發,大安區復興南路二段148號,20210301,001200
2021030100003,大型廢棄物清運聯繫,大安區臺北市大安區大學里001鄰新生南路三段３６號,20210301,001400
2021030100004,場所與設施噪音舉發,松山區臺北市松山區東光里014鄰健康路１８４號,20210301,002200
2021030100005,大型廢棄物清運聯繫,北投區臺北市北投區吉利里020鄰石牌路一段３９巷８０弄５９號,20210301,002600
2021030100006,場所與設施噪音舉發,大同區臺北市大同區民權里014鄰錦西街８９號,20210301,002600
2021030100007,場所與設施噪音舉發,萬華區萬華區漢口街二段83巷10號,20210301,003200
2021030100008,大型廢棄物清運聯繫,大安區永康街23巷3之3號,20210301,003100
2021030100009,道路散落物或油漬處理,內湖區新湖一路-舊宗路一段;十字路口中間,20210301,003300
2021030100010,道路側溝溝蓋(含周邊)損壞遺失,松山區八德路四段-中坡北路;八德路右轉中坡北路轉彎處,20210301,003200
2021030100011,大型廢棄物清運聯繫,大安區臺北市大安區建安里011鄰忠孝東路四段２０５巷２１號,20210301,004100
2021030100012,大型廢棄物清運聯繫,信義區臺北市信義區中坡里006鄰福德街１５１巷７號,20210301,004500
2021030100013,場所與設施噪音舉發,大同區臺北市大同區民權里014鄰錦西街８９號,20210301,004900
2021030100014,大型廢棄物清運聯繫,文山區臺北市文山區木新里008鄰木新路二段４１號,20210301,004900
2021030100015,場所與設施噪音舉發,萬華區臺北市萬華區青山里024鄰三水街１１０號,20210301,005400
2021030100016,大型廢棄物清運聯繫,大安區臺北市大安區建安里011鄰忠孝東路四段２０５巷１９號,20210301,010300
2021030100017,場所與設施噪音舉發,萬華區臺北市萬華區柳鄉里003鄰桂林路２４０號,20210301,010400
2021030100018,大型廢棄物清運聯繫,內湖區臺北市內湖區湖興里014鄰民權東路六段１５０號,20210301,011000
2021030100020,路燈故障或設施損壞,中山區10491台灣台北市中山區自強隧道,20210301,011200
2021030100021,場所與設施噪音舉發,大安區臺北市大安區正聲里002鄰光復南路２４０巷５１號,20210301,012000
2021030100022,道路散落物或油漬處理,大安區和平東路一段-新生南路三段,20210301,014900
2021030100023,場所與設施噪音舉發,松山區民族東路719號,20210301,015100
2021030100024,場所與設施噪音舉發,大安區106台灣台北市大安區信義路四段265巷6-1號,20210301,015900
2021030100025,場所與設施噪音舉發,信義區臺北市信義區敦厚里021鄰永吉路１２０巷８６號,20210301,020900
2021030100026,道路散落物或油漬處理,北投區竹子湖路,20210301,024100
2021030100027,場所與設施噪音舉發,中山區臺北市中山區正義里012鄰林森北路１３３巷２７號,20210301,031100
2021030100028,場所與設施噪音舉發,松山區105台灣台北市松山區南京東路五段123巷1弄25號,20210301,033600
2021030100029,鄰里無主垃圾清運,中山區臺北市中山區正義里014鄰林森北路１４５巷１５號,20210301,034600
2021030100030,道路散落物或油漬處理,大同區延平北路一段21之1號,20210301,035900
2021030100031,場所與設施噪音舉發,中山區臺北市中山區正義里004鄰林森北路８５巷１９號,20210301,042300
2021030100032,場所與設施噪音舉發,中山區臺北市中山區正義里004鄰林森北路８５巷１９號,20210301,044500
2021030100033,場所與設施噪音舉發,中山區臺北市中山區新喜里013鄰德惠街２０２號,20210301,050100
2021030100034,鄰里無主垃圾清運,文山區臺北市文山區景東里010鄰景興路１５３巷５３號,20210301,050200
2021030100035,場所與設施噪音舉發,中山區臺北市中山區正義里007鄰林森北路１０７巷４６號,20210301,060300
2021030100036,場所與設施噪音舉發,中正區臺北市中正區龍福里008鄰南昌路一段７號,20210301,062100
2021030100037,場所與設施噪音舉發,萬華區108台灣台北市萬華區內江街62號,20210301,064200
2021030100038,場所與設施噪音舉發,北投區北投區珠海路160號,20210301,065900
2021030100039,大型廢棄物清運聯繫,大同區臺北市大同區至聖里033鄰大龍街２４４號,20210301,072400
2021030100040,大型廢棄物清運聯繫,內湖區臺北市內湖區週美里005鄰新明路３６９之６號,20210301,074100
2021030100041,場所與設施噪音舉發,士林區士林區後港街116號,20210301,074500
2021030100042,大型廢棄物清運聯繫,士林區臺北市士林區天山里011鄰中山北路七段１４巷２９之４號,20210301,080200
2021030100043,路燈故障或設施損壞,內湖區白鷺鷥登山步道,20210301,080600
2021030100044,道路散落物或油漬處理,萬華區臺北市萬華區富福里015鄰南寧路４６號,20210301,080700
2021030100045,大型廢棄物清運聯繫,萬華區臺北市萬華區西門里016鄰西寧南路１０８號,20210301,081300
2021030100046,場所與設施噪音舉發,松山區臺北市松山區中華里011鄰南京東路四段４７號,20210301,081500
2021030100047,場所與設施噪音舉發,南港區臺北市南港區三重里035鄰經貿二路１５７巷３６弄１１０號,20210301,081500
2021030100049,交通號誌電纜線垂落及設施損壞,士林區臺北市士林區福林里007鄰福林路６０號,20210301,082400
