案件編號,派工項目,案件地址,立案日期,立案時間
2023010100001,場所與設施噪音舉發,內湖區舊宗路一段189號,20230101,001300
2023010100002,場所與設施噪音舉發,中山區中山北路一段123號,20230101,001400
2023010100004,場所與設施噪音舉發,中山區臺北市中山區復華里001鄰復興北路１６６號,20230101,001900
2023010100005,場所與設施噪音舉發,中山區臺北市中山區聚盛里016鄰錦州街４８號,20230101,002000
2023010100007,場所與設施噪音舉發,中山區臺北市中山區大直里027鄰北安路５３５號,20230101,003400
2023010100008,場所與設施噪音舉發,大安區忠孝東路三段248巷-仁愛路三段,20230101,003100
2023010100010,鄰里無主垃圾清運,北投區社子大橋,20230101,004300
2023010100011,場所與設施噪音舉發,大安區臺北市大安區車層里012鄰忠孝東路四段２４８巷３號,20230101,004700
2023010100012,場所與設施噪音舉發,大安區臺北市大安區德安里018鄰仁愛路四段３４號,20230101,005100
2023010100013,場所與設施噪音舉發,中正區金門街-水源路,20230101,004900
2023010100014,場所與設施噪音舉發,中正區臺北市中正區文祥里021鄰杭州南路一段１１５號,20230101,005000
2023010100015,場所與設施噪音舉發,中正區臺北市中正區水源里008鄰汀州路三段１０４巷９號,20230101,005100
2023010100016,場所與設施噪音舉發,大安區和平東路二段265巷,20230101,005300
2023010100018,場所與設施噪音舉發,大安區臺北市大安區光武里007鄰大安路一段５１巷３６號,20230101,005400
2023010100019,場所與設施噪音舉發,萬華區康定路-武昌街二段,20230101,005900
2023010100020,場所與設施噪音舉發,萬華區臺北市萬華區萬壽里010鄰武昌街二段１２２號,20230101,010600
2023010100021,大型廢棄物清運聯繫,內湖區臺北市內湖區內湖里015鄰成功路四段３０巷１９號,20230101,011300
2023010100022,場所與設施噪音舉發,中山區臺北市中山區新福里008鄰民權東路二段７１巷２０號,20230101,011300
2023010100023,交通標誌及設施物損壞(含汙損)、傾斜,信義區台北市信義區光復南路171號,20230101,011300
2023010100024,場所與設施噪音舉發,中山區臺北市中山區正義里008鄰林森北路１０７巷５４號,20230101,011800
2023010100025,場所與設施噪音舉發,大安區臺北市大安區華聲里007鄰光復南路１１６巷９號,20230101,012100
2023010100026,場所與設施噪音舉發,中山區臺北市中山區正義里005鄰林森北路８５巷５７號,20230101,012000
2023010100027,場所與設施噪音舉發,萬華區武昌街二段-康定路,20230101,012100
2023010100028,場所與設施噪音舉發,松山區松河街168號,20230101,012800
2023010100029,場所與設施噪音舉發,中正區臺北市中正區頂東里004鄰師大路１６４號,20230101,012900
2023010100030,用戶無水、漏水報修,士林區臺北市士林區社子里013鄰延平北路六段２４巷１４號,20230101,013400
2023010100031,場所與設施噪音舉發,信義區臺北市信義區雙和里002鄰吳興街２８４巷１５之３號,20230101,013600
2023010100032,大型廢棄物清運聯繫,大安區臺北市大安區車層里024鄰延吉街１８２號,20230101,013600
2023010100033,場所與設施噪音舉發,文山區臺北市文山區木柵里009鄰木柵路三段４９巷１２號,20230101,014500
2023010100035,場所與設施噪音舉發,大安區臺北市大安區建安里017鄰忠孝東路四段１８１巷７弄１３號,20230101,015600
2023010100036,場所與設施噪音舉發,士林區臺北市士林區仁勇里009鄰大北路４２號,20230101,020300
2023010100037,場所與設施噪音舉發,大安區臺北市大安區建安里012鄰敦化南路一段１７７巷３６號,20230101,021300
2023010100038,場所與設施噪音舉發,大安區台北市大安區延吉街70巷6弄5號,20230101,021100
2023010100039,場所與設施噪音舉發,大安區臺北市大安區正聲里001鄰光復南路２４０巷５０號,20230101,021600
2023010100040,場所與設施噪音舉發,文山區溪洲河濱公園,20230101,021600
2023010100041,場所與設施噪音舉發,信義區臺北市信義區嘉興里003鄰基隆路二段１１１號,20230101,023900
2023010100042,場所與設施噪音舉發,士林區臺北市士林區義信里012鄰承德路四段１８９號,20230101,024900
2023010100044,場所與設施噪音舉發,士林區臺北市士林區義信里003鄰大南路８９之４號,20230101,031900
2023010100045,場所與設施噪音舉發,大同區臺北市大同區朝陽里005鄰南京西路３４０號,20230101,032300
2023010100046,場所與設施噪音舉發,北投區社子大橋,20230101,032200
2023010100047,大型廢棄物清運聯繫,北投區臺北市北投區永明里006鄰義理街６３巷４弄４號,20230101,033000
2023010100048,場所與設施噪音舉發,大同區臺北市大同區朝陽里005鄰南京西路３４０號,20230101,033300
2023010100049,污染舉發,大安區大安森林公園,20230101,051100
2023010100050,用戶無水、漏水報修,北投區臺北市北投區稻香里003鄰新興路１５３號,20230101,054400
2023010100051,道路散落物或油漬處理,信義區台北市信義區松仁路,20230101,071700
2023010100052,道路散落物或油漬處理,北投區洲美高架橋,20230101,071900
2023010100054,用戶無水、漏水報修,大同區臺北市大同區斯文里009鄰大龍街１５９巷２４號,20230101,073100
2023010100055,場所與設施噪音舉發,大安區臺北市大安區永康里005鄰永康街２號,20230101,073700
2023010100056,場所與設施噪音舉發,大安區臺北市大安區永康里005鄰永康街２號,20230101,074400
2023010100057,場所與設施噪音舉發,信義區基隆路一段364巷-基隆路一段,20230101,081800
2023010100058,鄰里無主垃圾清運,大安區羅斯福路三段-辛亥路一段,20230101,082400
2023010100059,場所與設施噪音舉發,士林區士林站出口1,20230101,082600
2023010100060,場所與設施噪音舉發,萬華區臺北市萬華區西門里012鄰昆明街１８０號,20230101,082700
2023010100062,場所與設施噪音舉發,大同區臺北市大同區玉泉里007鄰延平北路一段２２號,20230101,084400
2023010100063,道路散落物或油漬處理,中正區臺北市中正區文盛里004鄰羅斯福路三段２１０巷１０號,20230101,085100
2023010100064,路燈故障或設施損壞,文山區老泉街45巷,20230101,090100
2023010100065,交通號誌異常,松山區民權東路四段-光復北路,20230101,090200
2023010100066,交通號誌異常,士林區中正路-志成街,20230101,090500
2023010100067,大型廢棄物清運聯繫,大同區103台灣台北市大同區赤峰街23巷23號,20230101,091100
2023010100068,道路散落物或油漬處理,中正區善導寺站出口6,20230101,091300
2023010100069,大型廢棄物清運聯繫,中山區臺北市中山區行仁里011鄰龍江路３４２巷２３號,20230101,093100
2023010100070,大型廢棄物清運聯繫,南港區臺北市南港區九如里025鄰研究院路三段８６巷２７弄７號,20230101,094100
2023010100071,場所與設施噪音舉發,士林區臺北市士林區福德里012鄰中正路３６３號,20230101,094100
2023010100073,場所與設施噪音舉發,中山區臺北市中山區正義里010鄰林森北路１１９巷２１號,20230101,095100
2023010100074,污染舉發,文山區臺北市文山區興邦里002鄰興隆路二段１５３巷５弄３號,20230101,095500
2023010100075,場所與設施噪音舉發,萬華區臺北市萬華區西門里012鄰昆明街１８０號,20230101,100200
2023010100076,場所與設施噪音舉發,中山區臺北市中山區復華里002鄰長春路３６０號,20230101,100200
2023010100077,大型廢棄物清運聯繫,大安區臺北市大安區光武里011鄰大安路一段３１巷１８號,20230101,100400
2023010100078,大型廢棄物清運聯繫,信義區臺北市信義區三犁里005鄰松平路１３５號,20230101,100500
