案件編號,派工項目,案件地址,立案日期,立案時間
202411301,路燈不亮或損壞,中正區100台灣台北市中正區未命名的道路,20241130,235136
202411301,場所與設施噪音舉發,大安區臺北市大安區龍安里002鄰和平東路一段１９７號,20241130,234413
202411301,污染舉發,中山區臺北市中山區晴光里002鄰新生北路三段５８號,20241130,233602
202411301,場所與設施噪音舉發,士林區臺北市士林區仁勇里009鄰大北路４２號,20241130,233349
202411301,場所與設施噪音舉發,文山區臺北市文山區景華里001鄰景美街５巷２１號,20241130,233228
202411301,場所與設施噪音舉發,士林區臺北市士林區仁勇里009鄰大北路４２號,20241130,233155
202411301,污染舉發,中山區臺北市中山區正義里012鄰林森北路１３３巷４號四樓,20241130,232703
202411301,交通號誌異常,大同區民權西路-大龍街,20241130,232253
202411301,場所與設施噪音舉發,大安區臺北市大安區建安里003鄰市民大道四段１１８號,20241130,231536
202411301,大型廢棄物清運聯繫,內湖區114台灣台北市內湖區成功路二段193巷12號,20241130,231456
202411301,大型廢棄物清運聯繫,南港區臺北市南港區聯成里017鄰忠孝東路六段２５０巷１弄１７號四樓,20241130,231540
202411301,鄰里無主垃圾清運,大同區臺北市大同區永樂里015鄰民樂街４６號,20241130,231136
202411301,污染舉發,中山區松江路235巷,20241130,231025
202411301,大型廢棄物清運聯繫,中正區臺北市中正區東門里001鄰杭州南路一段１４巷２弄６號六樓,20241130,230705
202411301,交通號誌異常,大同區臺北市臺北市大同區民權西路大龍街口,20241130,225943
202411301,交通號誌異常,大安區忠孝東路四段-光復南路,20241130,230703
202411301,場所與設施噪音舉發,中正區臺北市中山堂,20241130,224024
202411301,大型廢棄物清運聯繫,中山區臺北市中山區中山里005鄰林森北路３０６號七樓之2,20241130,224019
202411301,大型廢棄物清運聯繫,萬華區臺北市萬華區青山里025鄰和平西路三段１８７之５號五樓,20241130,223436
202411301,路燈不亮或損壞,大同區臺北市大同區永樂里008鄰迪化街一段４６巷１２號,20241130,223248
202411301,場所與設施噪音舉發,大安區臺北市大安區光武里028鄰忠孝東路四段４９巷２號三樓,20241130,222330
202411301,污染舉發,士林區平菁街106巷21弄,20241130,222223
202411301,道路散落物或油漬處理,文山區臺北市文山區景慶里005鄰景福街２３８號,20241130,222058
202411301,大型廢棄物清運聯繫,南港區臺北市南港區南港里011鄰新民街１０２巷２號二樓,20241130,221411
202411301,大型廢棄物清運聯繫,文山區116台灣台北市文山區汀州路四段23巷36號,20241130,220936
202411301,大型廢棄物清運聯繫,內湖區114台灣台北市內湖區新明路460巷18弄8號,20241130,220515
202411301,大型廢棄物清運聯繫,北投區臺北市北投區立賢里012鄰承德路七段２８０巷１號1樓,20241130,220514
202411301,場所與設施噪音舉發,中山區臺北市中山區聚盛里017鄰林森北路４１３號十一樓之7,20241130,220530
202411301,大型廢棄物清運聯繫,內湖區臺北市內湖區紫星里002鄰星雲街７５號三樓,20241130,215832
202411301,鄰里無主垃圾清運,中山區臺北市中山區新生里022鄰錦州街１５７巷３號1樓,20241130,215657
202411301,大型廢棄物清運聯繫,中正區臺北市中正區幸市里009鄰濟南路二段４８巷７之２號二樓,20241130,215248
202411301,路燈不亮或損壞,文山區116台灣台北市文山區興隆路四段107巷41號,20241130,214955
202411301,場所與設施噪音舉發,大安區臺北市大安區錦華里005鄰潮州街３８號,20241130,214808
202411301,大型廢棄物清運聯繫,文山區臺北市文山區興安里013鄰仙岩路１６巷６５號二樓,20241130,214711
202411301,場所與設施噪音舉發,文山區市立景美女中,參考地址：木新路三段３１２號,20241130
202411301,場所與設施噪音舉發,萬華區臺北市萬華區萬壽里003鄰西寧南路１２７號1樓,20241130,214202
202411301,大型廢棄物清運聯繫,北投區112台灣台北市北投區中央北路三段5 樓2 之1號,20241130,214023
202411301,路燈不亮或損壞,北投區義理街63巷4弄,20241130,213920
202411301,路燈不亮或損壞,內湖區114台灣台北市內湖區金湖路125號,20241130,213616
202411301,路燈不亮或損壞,內湖區114台灣台北市內湖區陽光街1號,20241130,213552
202411301,大型廢棄物清運聯繫,松山區臺北市松山區自強里022鄰三民路３５巷２號八樓,20241130,214543
202411301,大型廢棄物清運聯繫,信義區臺北市信義區四育里020鄰虎林街３０巷３６號二樓,20241130,212506
202411301,大型廢棄物清運聯繫,文山區臺北市文山區興安里008鄰興隆路二段１３０巷４號三樓,20241130,212416
202411301,鄰里無主垃圾清運,中正區貴陽街一段-公園路,20241130,212213
202411301,鄰里無主垃圾清運,文山區116台灣台北市文山區自強宿舍(1~3),20241130,211454
202411301,交通標誌及設施物損壞(含汙損)、傾斜,文山區116台灣台北市文山區老泉街45巷8-1號,20241130,210951
